root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Throw Ins to Own Player,Ground Duels,Aerial Duels won,Unsuccessful Passes Opposition Half,Attempts from Set Pieces,Aerial Duels,Blocks,Goals Conceded Outside Box,Duels,Shots On Target ( inc goals ),Index,Unsuccessful Passes Own Half,Total Tackles,Tackles Won,Total Losses Of Possession,Tackles Lost,Appearances,Starts,Times Tackled,Goals Conceded,Backward Passes,Interceptions,Unsuccessful Short Passes,Leftside Passes,Duels won,Ground Duels lost,Successful Dribbles,Rightside Passes,Total Passes,Successful Passes Opposition Half,Games Played,Total Successful Passes ( Excl Crosses & Corners ) ,Ground Duels won,Duels lost,Unsuccessful Launches,Penalty Goals Conceded,Successful Long Passes,Touches,Successful Short Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Aerial Duels lost,Forward Passes,Total Shots,Successful Launches,Open Play Passes,Throw Ins to Opposition Player,Successful Open Play Passes,Unsuccessful Crosses & Corners,Goals Conceded Inside Box,Time Played,Unsuccessful Long Passes,Total Clearances,Successful Passes Own Half,Recoveries,Total Fouls Won,Winning Goal,Successful Crosses & Corners,Unsuccessful Dribbles,Total Fouls Conceded,Substitute On,Key Passes (Attempt Assists),Foul Attempted Tackle,Clearances Off the Line,Yellow Cards,Substitute Off,PutThrough/Blocked Distribution,Total Touches In Opposition Box,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals from Outside Box,Successful Crosses open play,Goals,Successful Lay-offs,Left Foot Goals,Blocked Shots,Home Goals,Away Goals,Penalties Conceded,Corners Taken (incl short corners),Unsuccessful Corners into Box,Unsuccessful Crosses open play,Saves Made,Penalties Faced,GK Successful Distribution,Saves made - parried,GK Unsuccessful Distribution,Catches,Saves Made from Outside Box,Goal Kicks,Penalties Saved,Saves Made from Inside Box,Saves from Penalty,Drops,Corners Won,Goal Assists,Offsides,Unsuccessful lay-offs,Assists (Intentional),Straight Red Cards,Total Red Cards,Crosses not Claimed,Clean Sheets,Saves made - caught,Punches,Foul Won Penalty,Penalties Taken,Right Foot Goals,Goals from Inside Box,Penalty Goals,Successful Corners into Box,Second Goal Assists,Through balls,Handballs conceded,Headed Goals,Set Pieces Goals,Hit Woodwork,Last Man Tackle,Own Goal Scored,Goalkeeper Smother,Red Cards - 2nd Yellow,Other Goals
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Dominican Republic Under 17,Dominican_Republic_Under_17,b69evxema6xgnbfym5z59ojkk,L. Bretón,Midfielder,8,,12.0,,4.0,,,,,12.0,,10.0,,3.0,1.0,6.0,2.0,1.0,1.0,1.0,7.0,10.0,,1.0,11.0,7.0,5.0,1.0,8.0,37.0,8.0,1.0,33.0,7.0,5.0,1.0,1.0,1.0,51.0,32.0,4.0,,8.0,,,34.0,,30.0,,7.0,90.0,3.0,1.0,25.0,9.0,3.0,0.0,,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Dominican Republic Under 17,Dominican_Republic_Under_17,c4n7xscuu3qvfpmmmbfd61dsk,G. Brugal,Midfielder,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Dominican Republic Under 17,Dominican_Republic_Under_17,1fxwbkzn15vgak02akm9on8d0,Á. Cabrera,Midfielder,6,,1.0,,1.0,,,,,1.0,,10.0,,,,1.0,,1.0,,,2.0,3.0,1.0,1.0,3.0,,1.0,,4.0,12.0,5.0,1.0,11.0,,1.0,,,,15.0,11.0,1.0,,2.0,,,12.0,,11.0,,2.0,16.0,,,6.0,1.0,,0.0,,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Dominican Republic Under 17,Dominican_Republic_Under_17,8hruan6wqv2jz5gsvleycaa6s,N. Cruz,Midfielder,10,,14.0,,5.0,,,,,14.0,,10.0,3.0,4.0,4.0,13.0,,1.0,1.0,3.0,7.0,6.0,2.0,4.0,8.0,10.0,4.0,,13.0,40.0,18.0,1.0,33.0,10.0,4.0,1.0,1.0,2.0,66.0,31.0,7.0,,13.0,,,39.0,,32.0,1.0,7.0,90.0,3.0,3.0,15.0,7.0,6.0,0.0,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Dominican Republic Under 17,Dominican_Republic_Under_17,7yai7pjve0wi8e80o28vtrmz8,R. De Lucia,Defender,5,3.0,4.0,,1.0,,,,,4.0,,10.0,3.0,1.0,,4.0,1.0,1.0,1.0,,3.0,,,1.0,,2.0,2.0,1.0,5.0,8.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,,15.0,4.0,4.0,,3.0,,,8.0,,4.0,,3.0,45.0,3.0,,3.0,2.0,,0.0,1.0,,1.0,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Dominican Republic Under 17,Dominican_Republic_Under_17,5jq7k2bvta25rf31ko7h07ndg,E. Frías,Goalkeeper,1,,,1.0,13.0,,1.0,,,1.0,,10.0,13.0,,,26.0,,1.0,1.0,,7.0,,,2.0,5.0,1.0,,,5.0,42.0,4.0,1.0,16.0,,,3.0,1.0,8.0,56.0,8.0,26.0,,32.0,,,23.0,,8.0,,7.0,90.0,24.0,2.0,12.0,14.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,9.0,1.0,4.0,1.0,3.0,9.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Dominican Republic Under 17,Dominican_Republic_Under_17,7vj1g0ac7eew32vsvfczbdyc4,R. Guzmán,Forward,11,,2.0,,,,,,,2.0,,10.0,,,,2.0,,1.0,,2.0,2.0,,,,,,2.0,,,1.0,1.0,1.0,1.0,,2.0,,,,3.0,1.0,,,1.0,,,1.0,,1.0,,2.0,15.0,,,,,,0.0,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Dominican Republic Under 17,Dominican_Republic_Under_17,w63vmmo0kkiqys78ejxjpa1g,B. Jackson,Forward,9,,1.0,,,,2.0,,,3.0,,10.0,,,,1.0,,1.0,1.0,1.0,3.0,4.0,,,1.0,,1.0,,,5.0,2.0,1.0,5.0,,3.0,,1.0,,6.0,5.0,,2.0,,,,2.0,,2.0,,3.0,45.0,,,3.0,,,0.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Dominican Republic Under 17,Dominican_Republic_Under_17,bddc5oqr4o4xfe5cgndsdl7h0,A. Kokoszka,Forward,20,,5.0,,1.0,,2.0,,,7.0,,10.0,,2.0,1.0,3.0,1.0,1.0,,1.0,4.0,5.0,1.0,1.0,,2.0,3.0,,1.0,6.0,1.0,1.0,5.0,2.0,5.0,,,,13.0,5.0,1.0,2.0,,1.0,,2.0,,1.0,,4.0,45.0,,,4.0,,,0.0,,,2.0,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Dominican Republic Under 17,Dominican_Republic_Under_17,4wi7cw12r11f7rob9h04mh15g,F. Marizán,Defender,3,,5.0,,2.0,,,,,5.0,,10.0,3.0,3.0,2.0,5.0,1.0,1.0,1.0,,5.0,4.0,1.0,5.0,9.0,3.0,2.0,,3.0,29.0,4.0,1.0,24.0,3.0,2.0,,1.0,2.0,39.0,22.0,5.0,,13.0,,1.0,29.0,,24.0,,5.0,74.0,,5.0,20.0,2.0,,0.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
