liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Carries,Duels,Duels lost,Duels won,Forward Passes,Foul Attempted Tackle,Games Played,Goals,Goals Conceded,Goals Conceded Inside Box,Goals from Inside Box,Ground Duels,Ground Duels lost,Ground Duels won,Index,Leftside Passes,Offsides,Open Play Passes,Overruns,Penalties Taken,Penalty Goals,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Right Foot Goals,Rightside Passes,Shots On Target ( inc goals ),Substitute On,Successful Dribbles,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Won,Throw Ins to Opposition Player,Time Played,Times Tackled,Total Big Chances Scored,Total Clearances,Total Fouls Conceded,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Dribbles,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Short Passes,Yellow Cards,Home Goals,Away Goals,Winning Goal,Blocked Shots,Blocks,Corners Won,Final Third Touches,Goals Conceded Outside Box,Goals Openplay,Handballs conceded,Hit Woodwork,Key Passes (Attempt Assists),Penalty Goals Conceded,Shots Off Target (inc woodwork),Starts,Straight Red Cards,Substitute Off,Throw Ins to Own Player,Total Big Chances Missed,Total Fouls Won,Total Red Cards,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Launches,Unsuccessful Passes Own Half,Clean Sheets,Clearances Off the Line,Interceptions,Successful Launches,Tackles Lost,Unsuccessful lay-offs,Assists (Intentional),Corners Taken (incl short corners),Foul Won Penalty,Goal Assists,Second Goal Assists,Successful Crosses & Corners,Successful Crosses open play,Total Big Chances Created,Unsuccessful Corners into Box,Attempts from Set Pieces,Direct Setpiece Goals,Goals from Outside Box,Set Pieces Goals,Successful Corners into Box,Through balls,GK Successful Distribution,Goal Kicks,Left Foot Goals,Headed Goals,Penalties Conceded,Total Big Chances Saved,Catches,Drops,GK Unsuccessful Distribution,Goalkeeper Smother,Penalties Faced,Penalties Saved,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves from Penalty,Saves made - caught,Saves made - parried,Own Goal Scored,Last Player Tackle,Red Cards - 2nd Yellow,Crosses not Claimed,Penalties Off Target,Direct Corner Goals
USA_USL_League_One,2025,Chattanooga Red Wolves SC,655brwd3b02cahen9xzbzfk2y,M. Acosta,Forward,21,14.0,5.0,9.0,11.0,29.0,53.0,60.0,29.0,31.0,52.0,2.0,11.0,1.0,6.0,4.0,,46.0,24.0,22.0,10.0,39.0,,170.0,1.0,,,25.0,2.0,1.0,29.0,,55.0,7.0,5.0,3.0,5.0,16.0,140.0,97.0,51.0,129.0,4.0,,626.0,9.0,,4.0,10.0,45.0,175.0,11.0,145.0,11.0,1.0,30.0,254.0,3.0,7.0,28.0,23.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,75.0,2.0,1.0,,,5.0,,4.0,6.0,,3.0,1.0,1.0,11.0,,4.0,3.0,2.0,6.0,1.0,,4.0,3.0,7.0,,,5.0,,,,3.0,1.0,,1.0,,,1.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2025,Chattanooga Red Wolves SC,c01rqqmanlku595l8h6lad7o4,A. Alhassan,Forward,40,21.0,16.0,5.0,8.0,12.0,49.0,78.0,51.0,27.0,13.0,5.0,8.0,,4.0,3.0,,57.0,35.0,22.0,10.0,13.0,,47.0,1.0,,,23.0,8.0,6.0,21.0,,13.0,1.0,6.0,7.0,,,23.0,24.0,7.0,27.0,5.0,,294.0,22.0,,2.0,9.0,64.0,51.0,8.0,27.0,10.0,17.0,24.0,146.0,14.0,1.0,24.0,23.0,2.0,,,0.0,3.0,,5.0,,1.0,,,,4.0,1.0,7.0,2.0,,1.0,,1.0,5.0,,6.0,1.0,1.0,6.0,,,,,5.0,,,8.0,1.0,,,4.0,1.0,1.0,5.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2025,Chattanooga Red Wolves SC,3c47mqf0vorrfrigxmqqhwqac,J. Ayimbila,Defender,5,84.0,35.0,49.0,30.0,97.0,244.0,319.0,149.0,170.0,252.0,26.0,30.0,2.0,26.0,22.0,2.0,235.0,114.0,121.0,10.0,22.0,,496.0,4.0,,,158.0,61.0,15.0,125.0,,126.0,2.0,6.0,35.0,1.0,33.0,294.0,175.0,138.0,262.0,46.0,21.0,2093.0,50.0,2.0,77.0,48.0,407.0,497.0,9.0,295.0,65.0,34.0,202.0,1079.0,31.0,85.0,204.0,117.0,9.0,0.0,2.0,1.0,3.0,7.0,14.0,124.0,4.0,2.0,,,15.0,2.0,7.0,24.0,,8.0,35.0,,22.0,,67.0,67.0,51.0,65.0,6.0,,38.0,11.0,19.0,,1.0,,1.0,1.0,,18.0,18.0,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2025,Chattanooga Red Wolves SC,c28mco9ytj4iohos2523rmvze,M. Bentley,Forward,10,140.0,89.0,51.0,30.0,50.0,94.0,263.0,154.0,109.0,95.0,19.0,30.0,7.0,16.0,15.0,7.0,123.0,65.0,58.0,10.0,46.0,11.0,242.0,2.0,4.0,3.0,49.0,33.0,21.0,43.0,5.0,60.0,24.0,13.0,12.0,8.0,10.0,137.0,97.0,49.0,136.0,13.0,,1643.0,23.0,6.0,17.0,38.0,173.0,251.0,46.0,146.0,21.0,86.0,105.0,529.0,14.0,14.0,100.0,91.0,4.0,4.0,3.0,3.0,12.0,6.0,11.0,55.0,1.0,2.0,4.0,1.0,9.0,2.0,22.0,17.0,1.0,12.0,1.0,7.0,26.0,1.0,13.0,13.0,10.0,18.0,4.0,,10.0,2.0,8.0,1.0,1.0,,2.0,1.0,,,,3.0,,,,,,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2025,Chattanooga Red Wolves SC,9e565ryexasj1efhz4allokd0,C. Carriglitto,Goalkeeper,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2025,Chattanooga Red Wolves SC,9hnukh2rve8lf84pv21rlrecq,J. Filipe,Midfielder,7,4.0,4.0,,3.0,8.0,15.0,20.0,11.0,9.0,13.0,1.0,3.0,,,,,16.0,7.0,9.0,10.0,2.0,,23.0,,,,3.0,1.0,1.0,6.0,,4.0,,1.0,1.0,,1.0,20.0,17.0,9.0,23.0,1.0,,129.0,5.0,,3.0,1.0,22.0,27.0,,24.0,2.0,3.0,3.0,68.0,4.0,1.0,7.0,2.0,1.0,,,0.0,,,1.0,,,,,,4.0,,,2.0,,2.0,,,6.0,,5.0,2.0,,1.0,,,2.0,1.0,1.0,,,,,1.0,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2025,Chattanooga Red Wolves SC,ayd3hhutk6ahrbet7d5jz9vdg,O. Green,Defender,18,39.0,21.0,18.0,21.0,20.0,63.0,77.0,37.0,40.0,130.0,6.0,21.0,,12.0,12.0,,38.0,16.0,22.0,10.0,84.0,,242.0,,,,39.0,11.0,5.0,32.0,,16.0,1.0,11.0,5.0,,32.0,172.0,70.0,106.0,144.0,9.0,29.0,891.0,2.0,,45.0,8.0,122.0,250.0,3.0,176.0,15.0,4.0,74.0,456.0,2.0,38.0,55.0,36.0,6.0,,,0.0,1.0,4.0,2.0,11.0,,,,1.0,1.0,1.0,2.0,10.0,,5.0,38.0,,2.0,,5.0,5.0,25.0,24.0,1.0,,11.0,4.0,6.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
USA_USL_League_One,2025,Chattanooga Red Wolves SC,5ok7sc9enrltxss201yo8cciy,O. Gómez Tapia,Midfielder,16,36.0,19.0,17.0,23.0,49.0,137.0,144.0,65.0,79.0,262.0,14.0,23.0,,10.0,9.0,,108.0,46.0,62.0,10.0,146.0,,471.0,,,,69.0,13.0,12.0,59.0,,48.0,4.0,9.0,9.0,1.0,55.0,368.0,175.0,225.0,343.0,24.0,28.0,1402.0,6.0,,51.0,23.0,161.0,505.0,14.0,398.0,36.0,14.0,107.0,798.0,4.0,55.0,86.0,52.0,6.0,,,0.0,4.0,4.0,4.0,29.0,1.0,,1.0,,6.0,1.0,10.0,14.0,1.0,4.0,57.0,2.0,17.0,1.0,9.0,9.0,29.0,30.0,5.0,,16.0,7.0,12.0,,,,,1.0,,2.0,2.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2025,Chattanooga Red Wolves SC,e59usmu5w20s5bg44d37f8qcq,O. Hernandez,Midfielder,17,45.0,39.0,6.0,31.0,131.0,218.0,205.0,113.0,92.0,188.0,4.0,31.0,6.0,19.0,17.0,4.0,160.0,74.0,86.0,10.0,93.0,1.0,387.0,3.0,2.0,2.0,106.0,43.0,23.0,77.0,,52.0,22.0,3.0,24.0,7.0,49.0,272.0,239.0,123.0,273.0,13.0,65.0,1959.0,56.0,2.0,16.0,12.0,413.0,464.0,33.0,322.0,20.0,40.0,142.0,1057.0,34.0,67.0,221.0,75.0,3.0,4.0,2.0,0.0,12.0,8.0,20.0,187.0,2.0,1.0,,3.0,44.0,1.0,11.0,28.0,,28.0,59.0,1.0,43.0,,98.0,45.0,16.0,19.0,,,9.0,2.0,7.0,1.0,4.0,52.0,,4.0,,40.0,21.0,10.0,32.0,13.0,,2.0,1.0,11.0,2.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2025,Chattanooga Red Wolves SC,dntorsr8bza6jf3lf99p1r4t0,P. Hernandez,Forward,14,124.0,77.0,47.0,30.0,59.0,109.0,282.0,171.0,111.0,76.0,15.0,30.0,10.0,25.0,22.0,9.0,158.0,94.0,64.0,10.0,42.0,16.0,239.0,1.0,1.0,1.0,55.0,30.0,18.0,43.0,7.0,73.0,18.0,7.0,10.0,11.0,10.0,148.0,110.0,52.0,148.0,5.0,1.0,1968.0,49.0,9.0,6.0,39.0,222.0,250.0,41.0,158.0,21.0,91.0,92.0,573.0,16.0,19.0,97.0,73.0,5.0,4.0,6.0,4.0,14.0,3.0,9.0,137.0,3.0,8.0,1.0,3.0,17.0,3.0,23.0,23.0,,13.0,6.0,6.0,35.0,,14.0,12.0,7.0,9.0,1.0,,2.0,1.0,16.0,2.0,1.0,1.0,1.0,1.0,,4.0,4.0,1.0,1.0,,,1.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
