liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Carries,Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Games Played,Goal Assists,Goals,Goals Conceded,Goals Conceded Outside Box,Goals Openplay,Goals from Outside Box,Ground Duels,Ground Duels lost,Ground Duels won,Key Passes (Attempt Assists),Leftside Passes,Offsides,Open Play Passes,Overruns,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Right Foot Goals,Rightside Passes,Shots Created,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Substitute Off,Successful Crosses & Corners,Successful Crosses open play,Successful Dribbles,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Through balls,Time Played,Times Tackled,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Unsuccessful Passes Opposition Half,Unsuccessful Short Passes,Yellow Cards,Home Goals,Away Goals,Winning Goal,Substitute On,Aerial Duels lost,Foul Won Penalty,Goals Conceded Inside Box,Goals from Inside Box,Hit Woodwork,Left Foot Goals,Other Goals,Tackles Won,Total Big Chances Created,Total Big Chances Missed,Total Big Chances Scored,Unsuccessful Passes Own Half,Blocks,GK Successful Distribution,Goal Kicks,Handballs conceded,Interceptions,Penalties Conceded,Penalty Goals Conceded,Red Cards - 2nd Yellow,Successful Launches,Throw Ins to Opposition Player,Throw Ins to Own Player,Total Red Cards,Unsuccessful Launches,Unsuccessful Long Passes,Assists (Intentional),Clean Sheets,Total Big Chances Saved,GK Unsuccessful Distribution,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - parried,Attempts from Set Pieces,Corners Taken (incl short corners),Successful Corners into Box,Unsuccessful Corners into Box,Second Goal Assists,Catches,Goalkeeper Smother,Penalties Faced,Headed Goals,Penalties Taken,Clearances Off the Line,Last Player Tackle,Own Goal Scored,Unsuccessful lay-offs,Direct Setpiece Goals,Penalty Goals,Set Pieces Goals,Punches,Straight Red Cards,Drops,Penalties Saved,Saves from Penalty,Penalties Off Target,Saves made - caught,Direct Corner Goals,Crosses not Claimed
USA_MLS_Next_Pro,2026,Vancouver Whitecaps FC II,84krgh1swq0ul9b6eowjs05p1,S. Adekugbe,Defender,3,2.0,1.0,1.0,4.0,,11.0,,5.0,3.0,2.0,16.0,16.0,1.0,1.0,,,1.0,,,,3.0,2.0,1.0,1.0,,1.0,33.0,,6.0,,,1.0,,15.0,1.0,,,1.0,1.0,2.0,2.0,1.0,,4.0,31.0,24.0,11.0,29.0,,,45.0,1.0,,1.0,,5.0,35.0,,33.0,,,2.0,47.0,1.0,1.0,,3.0,2.0,,,,0.0,,1.0,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2026,Vancouver Whitecaps FC II,cccgw5q9gziyhturpcuxfxvu2,P. Amponsah,Defender,54,25.0,8.0,11.0,46.0,2.0,140.0,4.0,82.0,40.0,42.0,69.0,277.0,5.0,11.0,2.0,1.0,23.0,2.0,,1.0,57.0,23.0,34.0,2.0,101.0,,655.0,,70.0,11.0,7.0,48.0,,273.0,4.0,2.0,2.0,9.0,,,,2.0,1.0,65.0,570.0,251.0,359.0,545.0,6.0,,900.0,9.0,47.0,12.0,10.0,111.0,697.0,4.0,610.0,22.0,9.0,87.0,872.0,5.0,4.0,4.0,67.0,41.0,2.0,0.0,1.0,0.0,2.0,17.0,,21.0,,1.0,1.0,,16.0,1.0,,,25.0,7.0,12.0,12.0,1.0,21.0,,,,6.0,1.0,14.0,,25.0,46.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2026,Vancouver Whitecaps FC II,1g87lk1nglquvmvpowjfpcpre,I. Boehmer,Goalkeeper,32,1.0,1.0,4.0,,,32.0,,5.0,2.0,3.0,,82.0,,4.0,,,5.0,,,,4.0,2.0,2.0,,56.0,,128.0,,6.0,1.0,,41.0,,20.0,,,,4.0,,,,2.0,,24.0,100.0,12.0,113.0,101.0,,,360.0,1.0,2.0,,,34.0,158.0,,125.0,,,33.0,203.0,,,,22.0,3.0,,,,0.0,,,,5.0,,,,,,,,,11.0,,41.0,22.0,,,,,,5.0,,,,13.0,30.0,,1.0,2.0,5.0,14.0,8.0,6.0,4.0,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,
USA_MLS_Next_Pro,2026,Vancouver Whitecaps FC II,6afa2fdgljic5fflfrfclpjx0,T. Brown,Forward,64,,,8.0,14.0,1.0,27.0,1.0,26.0,15.0,11.0,48.0,11.0,4.0,8.0,,1.0,7.0,,1.0,,26.0,15.0,11.0,2.0,16.0,1.0,49.0,1.0,12.0,1.0,,8.0,1.0,9.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,37.0,27.0,12.0,37.0,,,200.0,7.0,,5.0,3.0,27.0,50.0,6.0,38.0,3.0,11.0,12.0,90.0,1.0,1.0,3.0,12.0,11.0,1.0,0.0,1.0,0.0,7.0,,,7.0,1.0,,,,3.0,,3.0,1.0,1.0,,,,,1.0,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
USA_MLS_Next_Pro,2026,Vancouver Whitecaps FC II,tz9hyn715y0xdkoax1jd6wdm,C. Bruletti,Midfielder,46,4.0,2.0,9.0,70.0,,61.0,1.0,40.0,20.0,20.0,81.0,67.0,4.0,9.0,,,17.0,2.0,,,36.0,18.0,18.0,3.0,98.0,,297.0,,25.0,9.0,4.0,29.0,,70.0,3.0,1.0,,8.0,5.0,5.0,3.0,1.0,8.0,18.0,266.0,119.0,160.0,256.0,9.0,,600.0,4.0,8.0,8.0,4.0,55.0,305.0,1.0,274.0,13.0,,31.0,381.0,14.0,4.0,2.0,32.0,21.0,3.0,,,0.0,1.0,2.0,,15.0,,,,,4.0,,,,13.0,3.0,,,,6.0,1.0,,,,,4.0,,7.0,10.0,,,,,,,,,,11.0,1.0,10.0,,,,,,,,,,1.0,,,,,,,,,,,,
USA_MLS_Next_Pro,2026,Vancouver Whitecaps FC II,bk5vwmy3734kat6av3uzymyhg,L. Campagna,Defender,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2026,Vancouver Whitecaps FC II,1l7dyv7n5ndr2scmxnoraxmhg,S. Deo,Defender,66,3.0,1.0,9.0,62.0,2.0,59.0,3.0,56.0,32.0,24.0,139.0,55.0,3.0,9.0,1.0,,15.0,1.0,,,53.0,30.0,23.0,7.0,51.0,2.0,181.0,1.0,26.0,7.0,2.0,21.0,,14.0,8.0,4.0,2.0,7.0,6.0,5.0,5.0,6.0,2.0,4.0,145.0,87.0,64.0,142.0,5.0,,532.0,15.0,4.0,7.0,4.0,83.0,182.0,6.0,146.0,13.0,14.0,36.0,304.0,10.0,10.0,9.0,37.0,32.0,1.0,,,0.0,2.0,2.0,,14.0,,,,,8.0,3.0,1.0,,9.0,2.0,,,,10.0,,,,,5.0,13.0,,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2026,Vancouver Whitecaps FC II,604cszor20la2imm4xb42gvmc,N. Djordjevic,Defender,41,2.0,2.0,5.0,36.0,1.0,71.0,1.0,55.0,21.0,34.0,86.0,50.0,1.0,5.0,,,8.0,,,,53.0,21.0,32.0,5.0,72.0,,155.0,2.0,45.0,15.0,9.0,25.0,,4.0,5.0,1.0,,5.0,2.0,4.0,4.0,9.0,,16.0,128.0,62.0,77.0,119.0,5.0,1.0,423.0,12.0,5.0,1.0,12.0,68.0,162.0,1.0,135.0,11.0,6.0,27.0,286.0,8.0,8.0,4.0,27.0,21.0,,,,0.0,,,,8.0,,,,,6.0,2.0,,,8.0,,,,,4.0,,,,,9.0,19.0,,2.0,6.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2026,Vancouver Whitecaps FC II,3zd7mw27i3s6y7kkuu5xxmkgk,R. Elloumi,Forward,19,3.0,2.0,2.0,2.0,3.0,11.0,3.0,18.0,11.0,7.0,30.0,3.0,1.0,2.0,,1.0,2.0,,1.0,,15.0,10.0,5.0,,9.0,,15.0,,3.0,3.0,1.0,2.0,1.0,2.0,,2.0,3.0,2.0,1.0,,,3.0,1.0,,8.0,6.0,3.0,9.0,1.0,,154.0,5.0,,4.0,,18.0,16.0,5.0,9.0,2.0,12.0,7.0,46.0,,,3.0,6.0,6.0,1.0,1.0,0.0,1.0,,1.0,,2.0,1.0,,,,1.0,,,,1.0,,,,1.0,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2026,Vancouver Whitecaps FC II,dfp94exf42yuqqkpmeamhgnx0,I. Francoeur,Goalkeeper,50,,,2.0,,,4.0,,,,,,9.0,,2.0,,,7.0,1.0,,,,,,,22.0,,29.0,,4.0,,,19.0,,19.0,,,,2.0,,,,,,3.0,23.0,2.0,39.0,38.0,,,180.0,,,,,10.0,50.0,,41.0,,,9.0,76.0,,,,4.0,1.0,,,,0.0,,,,6.0,,,,,,,,,5.0,,35.0,21.0,,,,,,1.0,,,,2.0,8.0,,,,3.0,8.0,6.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
