liga,temporada,equipo,id,nombre,posicion,dorsal,PutThrough/Blocked Distribution Won,Successful Passes Own Half,Ground Duels lost,Touches,PutThrough/Blocked Distribution,Total Tackles,Backward Passes,Tackles Lost,Games Played,Successful Open Play Passes,Aerial Duels won,Rightside Passes,Substitute On,Total Unsuccessful Passes ( Excl Crosses & Corners ),Duels lost,Ground Duels won,Ground Duels,Total Fouls Conceded,Time Played,Forward Passes,Total Passes,Total Clearances,Duels won,Foul Attempted Tackle,Aerial Duels,Open Play Passes,Appearances,Goals Conceded Inside Box,Goals Conceded,Total Losses Of Possession,Index,Successful Passes Opposition Half,Unsuccessful Short Passes,Recoveries,Successful Short Passes,Unsuccessful Passes Opposition Half,Duels,Total Successful Passes ( Excl Crosses & Corners ) ,Winning Goal,Times Tackled,Successful Crosses & Corners,Substitute Off,Successful Lay-offs,Interceptions,Leftside Passes,Assists (Intentional),Unsuccessful Long Passes,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Crosses open play,Goal Assists,Unsuccessful Crosses & Corners,Total Fouls Won,Starts,Corners Won,Unsuccessful Passes Own Half,Aerial Duels lost,Tackles Won,Successful Long Passes,Total Touches In Opposition Box,Straight Red Cards,Goals from Inside Box,Total Shots,Total Red Cards,Shots Off Target (inc woodwork),Successful Launches,Penalty Goals Conceded,Blocked Shots,Yellow Cards,Goal Kicks,Goals,Successful Dribbles,GK Successful Distribution,Clearances Off the Line,Goals from Outside Box,Goals Conceded Outside Box,Hit Woodwork,Clean Sheets,Right Foot Goals,Offsides,Throw Ins to Own Player,Key Passes (Attempt Assists),Blocks,Shots On Target ( inc goals ),Home Goals,Away Goals,Foul Won Penalty,Penalties Off Target,Overruns,Penalties Taken,Left Foot Goals,Through balls,Headed Goals,Successful Crosses open play,Unsuccessful lay-offs,Penalty Goals,Handballs conceded,Saves Made from Inside Box,GK Unsuccessful Distribution,Saves Made,Drops,Punches,Corners Taken (incl short corners),Unsuccessful Corners into Box,Successful Corners into Box,Throw Ins to Opposition Player,Second Goal Assists,Attempts from Set Pieces,Last Player Tackle,Saves Made from Outside Box,Saves made - caught,Penalties Faced,Catches,Saves made - parried,Penalties Conceded,Own Goal Scored,Red Cards - 2nd Yellow,Goalkeeper Smother,Set Pieces Goals,Penalties Saved,Saves from Penalty,Crosses not Claimed,Other Goals
USA_USL_Championship,2024,Hartford Athletic,3s1a50dskuehneuuy9b1nxg4,J. Akpunonu,Defender,3,6.0,259.0,17.0,685.0,12.0,17.0,45.0,4.0,14.0,380.0,21.0,53.0,4.0,107.0,28.0,31.0,48.0,5.0,925.0,234.0,502.0,32.0,52.0,2.0,32.0,486.0,14.0,14.0,16.0,138.0,10.0,136.0,37.0,42.0,330.0,73.0,80.0,395.0,0.0,8.0,,1.0,,12.0,170.0,1.0,70.0,4.0,46.0,1.0,1.0,1.0,11.0,10.0,2.0,35.0,11.0,13.0,65.0,6.0,,,4.0,,3.0,10.0,2.0,2.0,2.0,,,4.0,,3.0,,2.0,,3.0,,1.0,34.0,4.0,11.0,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,12.0,,,,,,,,,,1.0,,,,,,,
USA_USL_Championship,2024,Hartford Athletic,7q4366dkzgdafd4go7xbcvaw9,A. Asiedu,Midfielder,12,6.0,166.0,64.0,663.0,12.0,28.0,87.0,8.0,24.0,363.0,12.0,107.0,8.0,97.0,79.0,52.0,116.0,22.0,1309.0,160.0,466.0,8.0,64.0,16.0,27.0,460.0,24.0,24.0,28.0,167.0,10.0,206.0,62.0,84.0,350.0,75.0,143.0,369.0,0.0,27.0,3.0,10.0,11.0,20.0,112.0,3.0,35.0,7.0,23.0,7.0,3.0,11.0,13.0,16.0,3.0,33.0,15.0,20.0,19.0,14.0,,,8.0,1.0,6.0,3.0,4.0,,6.0,,,11.0,,,,4.0,,2.0,,3.0,1.0,11.0,3.0,2.0,,,,,1.0,,,3.0,,1.0,1.0,,1.0,,,,,,5.0,3.0,2.0,,,,,,,,,,1.0,,1.0,,,,,,
USA_USL_Championship,2024,Hartford Athletic,a8q0m9uczyvjyn6cfzkaxkp1x,D. Barrera,Midfielder,10,9.0,100.0,42.0,620.0,21.0,8.0,94.0,4.0,22.0,338.0,10.0,78.0,13.0,87.0,55.0,18.0,60.0,19.0,988.0,165.0,442.0,5.0,28.0,10.0,23.0,420.0,22.0,8.0,11.0,171.0,10.0,280.0,58.0,32.0,320.0,108.0,83.0,355.0,0.0,12.0,25.0,9.0,17.0,3.0,105.0,4.0,29.0,6.0,8.0,13.0,5.0,40.0,7.0,9.0,1.0,19.0,13.0,4.0,35.0,16.0,,1.0,8.0,,3.0,,1.0,5.0,2.0,,2.0,3.0,,,1.0,3.0,,,,2.0,6.0,27.0,1.0,5.0,2.0,0.0,,,,,2.0,7.0,,4.0,,,1.0,,,,,,44.0,20.0,20.0,1.0,1.0,,,,,,,,,,,,,,,,
USA_USL_Championship,2024,Hartford Athletic,b7pzjfl5fuvivmc2x9defzfmx,D. Beckford,Forward,7,22.0,60.0,112.0,718.0,31.0,25.0,72.0,11.0,22.0,225.0,2.0,98.0,2.0,109.0,118.0,78.0,190.0,18.0,1640.0,96.0,334.0,6.0,80.0,11.0,8.0,334.0,22.0,29.0,34.0,273.0,10.0,176.0,85.0,66.0,214.0,117.0,198.0,225.0,2.0,71.0,11.0,12.0,8.0,11.0,68.0,1.0,24.0,49.0,10.0,28.0,1.0,28.0,15.0,20.0,20.0,20.0,6.0,14.0,11.0,94.0,,2.0,34.0,,17.0,4.0,6.0,15.0,4.0,,3.0,38.0,,1.0,1.0,5.0,,1.0,3.0,4.0,11.0,19.0,2.0,17.0,3.0,0.0,1.0,,12.0,,,1.0,,11.0,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
USA_USL_Championship,2024,Hartford Athletic,4nwnrf33mdxscx5rdaw1529cl,Y. Boudadi,Defender,0,10.0,257.0,67.0,1111.0,26.0,37.0,151.0,10.0,25.0,531.0,22.0,25.0,7.0,126.0,89.0,77.0,144.0,33.0,1628.0,254.0,670.0,23.0,99.0,20.0,44.0,656.0,25.0,31.0,34.0,250.0,10.0,298.0,82.0,72.0,507.0,135.0,188.0,544.0,0.0,27.0,11.0,7.0,,23.0,240.0,2.0,44.0,20.0,21.0,47.0,3.0,48.0,21.0,18.0,11.0,39.0,22.0,27.0,37.0,33.0,,,6.0,,4.0,6.0,2.0,1.0,7.0,,,20.0,,,,3.0,,2.0,,2.0,130.0,21.0,3.0,2.0,,,2.0,,7.0,,,,,9.0,,,2.0,,,,,,3.0,1.0,1.0,11.0,,,,,,,,,1.0,,,,,,,,
USA_USL_Championship,2024,Hartford Athletic,5ynru0652guk8hl45ltxo0dwq,R. Buckmaster,Defender,19,11.0,154.0,27.0,794.0,24.0,24.0,103.0,11.0,21.0,313.0,9.0,38.0,2.0,92.0,42.0,51.0,78.0,10.0,1496.0,167.0,416.0,36.0,60.0,4.0,24.0,404.0,21.0,21.0,25.0,153.0,10.0,175.0,62.0,49.0,306.0,86.0,102.0,324.0,0.0,8.0,5.0,13.0,1.0,23.0,108.0,1.0,30.0,3.0,20.0,16.0,1.0,17.0,26.0,19.0,8.0,23.0,15.0,13.0,18.0,19.0,,,4.0,,3.0,7.0,1.0,1.0,4.0,1.0,,1.0,,,,4.0,,1.0,,2.0,115.0,11.0,8.0,1.0,,,,,1.0,,,1.0,,5.0,,,,,1.0,,,,,,,16.0,,,,,,,,,,,,,,,,,
USA_USL_Championship,2024,Hartford Athletic,7i9qesz7fugndupldntvshwd0,S. Careaga,Midfielder,10,19.0,392.0,78.0,1203.0,32.0,26.0,241.0,9.0,32.0,790.0,16.0,225.0,13.0,94.0,96.0,64.0,142.0,33.0,1705.0,217.0,900.0,16.0,80.0,17.0,34.0,882.0,32.0,21.0,25.0,181.0,10.0,423.0,68.0,97.0,751.0,89.0,176.0,806.0,0.0,35.0,9.0,9.0,20.0,13.0,217.0,2.0,26.0,19.0,11.0,7.0,2.0,20.0,23.0,19.0,6.0,25.0,18.0,17.0,55.0,34.0,,6.0,30.0,1.0,15.0,3.0,3.0,11.0,6.0,,8.0,16.0,,,2.0,4.0,,4.0,1.0,,9.0,21.0,1.0,15.0,4.0,4.0,,,1.0,,7.0,1.0,,,2.0,,2.0,,,,,,20.0,13.0,7.0,2.0,,6.0,,,,,,,,,1.0,,2.0,,,,
USA_USL_Championship,2024,Hartford Athletic,6rnuvzwbmj7qv80xlwkjvqnkl,J. Chapman,Midfielder,8,34.0,533.0,123.0,1928.0,64.0,56.0,240.0,21.0,32.0,1088.0,46.0,352.0,5.0,276.0,168.0,101.0,224.0,54.0,2350.0,478.0,1441.0,35.0,147.0,33.0,91.0,1356.0,32.0,29.0,33.0,430.0,10.0,653.0,214.0,125.0,1064.0,268.0,315.0,1165.0,0.0,46.0,21.0,10.0,23.0,40.0,371.0,,62.0,15.0,13.0,26.0,1.0,53.0,33.0,27.0,9.0,61.0,45.0,35.0,101.0,35.0,,,13.0,,9.0,5.0,6.0,3.0,7.0,,1.0,13.0,,,1.0,4.0,,5.0,1.0,1.0,13.0,34.0,6.0,4.0,0.0,1.0,,,1.0,,,6.0,,8.0,3.0,,,,,,,,31.0,19.0,10.0,1.0,,2.0,,,,,,,,,,,1.0,,,,
USA_USL_Championship,2024,Hartford Athletic,1rua8d3nlisesyrzeic1rj8tm,M. DeShields,Defender,24,5.0,122.0,20.0,436.0,7.0,17.0,45.0,5.0,10.0,226.0,9.0,44.0,1.0,53.0,29.0,29.0,49.0,8.0,719.0,130.0,286.0,20.0,38.0,4.0,18.0,278.0,10.0,7.0,8.0,75.0,10.0,111.0,25.0,28.0,217.0,37.0,67.0,233.0,0.0,6.0,,5.0,,14.0,67.0,,28.0,3.0,14.0,4.0,,4.0,10.0,9.0,,20.0,9.0,12.0,16.0,10.0,,,2.0,,2.0,4.0,2.0,1.0,,,,3.0,,,,1.0,,3.0,,1.0,34.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,
USA_USL_Championship,2024,Hartford Athletic,8ecb1shzu9migh6lv1bnku8es,J. DiCarlo,Goalkeeper,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
