liga,temporada,equipo,id,nombre,posicion,dorsal,Appearances,Backward Passes,Carries,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Games Played,Goals Conceded,Goals Conceded Inside Box,Ground Duels,Ground Duels lost,Ground Duels won,Interceptions,Key Passes (Attempt Assists),Open Play Passes,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Rightside Passes,Shots Created,Starts,Substitute Off,Successful Crosses & Corners,Successful Crosses open play,Successful Dribbles,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Won,Time Played,Times Tackled,Total Big Chances Created,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Passes Opposition Half,Unsuccessful Short Passes,Winning Goal,Aerial Duels,Aerial Duels lost,Blocks,Foul Attempted Tackle,Leftside Passes,Total Clearances,Total Fouls Conceded,Unsuccessful Passes Own Half,Yellow Cards,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Corners Won,Shots On Target ( inc goals ),Substitute On,Throw Ins to Own Player,Total Big Chances Missed,Total Shots,Unsuccessful Long Passes,Corners Taken (incl short corners),Successful Corners into Box,Successful Lay-offs,Unsuccessful Dribbles,Attempts from Set Pieces,Red Cards - 2nd Yellow,Total Red Cards,Unsuccessful Corners into Box,Unsuccessful Launches,Unsuccessful lay-offs,Goals,Goals Openplay,Goals from Inside Box,Left Foot Goals,Tackles Lost,Home Goals,Away Goals,Overruns,Goal Assists,Successful Launches,Successful Long Passes,Aerial Duels won,GK Successful Distribution,Goal Kicks,Catches,GK Unsuccessful Distribution,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - parried,Blocked Shots,Goals Conceded Outside Box,Shots Off Target (inc woodwork),Offsides,Assists (Intentional),Hit Woodwork,Headed Goals,Throw Ins to Opposition Player,Total Big Chances Scored,Right Foot Goals,Total Big Chances Saved,Goals from Outside Box,Handballs conceded,Clean Sheets,Through balls,Second Goal Assists,Goalkeeper Smother,Clearances Off the Line,Saves made - caught,Straight Red Cards,Last Player Tackle,Other Goals,Own Goal Scored,Drops,Penalty Goals Conceded,Penalties Faced,Penalties Conceded,Direct Setpiece Goals,Set Pieces Goals,Foul Won Penalty,Penalties Taken,Penalty Goals
USA_USL_Cup,2026,Spokane Velocity FC,2gawx03wls5vwtlocjir3u7vu,M. Alexandre,Forward,17,2.0,3.0,12.0,23.0,13.0,10.0,26.0,12.0,2.0,4.0,4.0,17.0,10.0,7.0,,,30.0,3.0,6.0,2.0,3.0,8.0,,2.0,1.0,,,2.0,20.0,13.0,7.0,19.0,1.0,138.0,7.0,,4.0,25.0,30.0,20.0,1.0,2.0,10.0,60.0,7.0,8.0,0.0,6.0,3.0,,1.0,7.0,,2.0,3.0,1.0,,,,,,1.0,,,2.0,,,1.0,2.0,,,1.0,,1.0,,,,,,,,,2.0,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
USA_USL_Cup,2026,Spokane Velocity FC,cn8fovjei9tdslashum11dp05,N. Brett,Forward,9,1.0,1.0,,4.0,3.0,1.0,7.0,3.0,1.0,,,4.0,3.0,1.0,,,12.0,,2.0,,3.0,3.0,,1.0,1.0,,,1.0,10.0,5.0,5.0,7.0,,89.0,,,,6.0,12.0,10.0,,,2.0,19.0,2.0,2.0,0.0,,,,2.0,5.0,,2.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2026,Spokane Velocity FC,9rpbbengo5oqgvrxn1181f1g4,J. Buck,Goalkeeper,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2026,Spokane Velocity FC,f0jwa1a61lxs31g47csjv7itw,I. Covi,Defender,20,2.0,,4.0,5.0,3.0,2.0,,3.0,2.0,1.0,1.0,4.0,2.0,2.0,,,9.0,2.0,,,,2.0,,,,,,,8.0,2.0,6.0,7.0,1.0,43.0,,,,1.0,9.0,8.0,2.0,,1.0,17.0,,1.0,0.0,1.0,1.0,1.0,,4.0,5.0,1.0,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2026,Spokane Velocity FC,aebqqrjc0mtfbolzy8y8olk2x,J. Denton,Midfielder,19,1.0,,,2.0,2.0,,2.0,,1.0,,,2.0,2.0,,,,2.0,,,,1.0,,,,,,,,2.0,,2.0,2.0,,32.0,1.0,,,1.0,2.0,2.0,,,,5.0,,,0.0,,,,1.0,2.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2026,Spokane Velocity FC,bmlit85nr640d79etfmjroqtx,C. Fernández,Midfielder,6,2.0,12.0,4.0,17.0,6.0,11.0,5.0,22.0,2.0,3.0,3.0,16.0,6.0,10.0,5.0,2.0,72.0,3.0,2.0,,8.0,15.0,2.0,2.0,1.0,2.0,1.0,,59.0,21.0,40.0,54.0,5.0,152.0,1.0,,5.0,15.0,72.0,59.0,5.0,,13.0,97.0,10.0,6.0,0.0,1.0,,3.0,4.0,23.0,2.0,4.0,4.0,,1.0,1.0,,,,,,,7.0,,,,,,,,,4.0,,,,,,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2026,Spokane Velocity FC,e3mvxgy6ggpbhm4lzv20ouig9,S. Fitch,Defender,4,1.0,5.0,,7.0,5.0,2.0,4.0,10.0,1.0,,,4.0,3.0,1.0,3.0,,27.0,,,,5.0,3.0,,1.0,,,,,22.0,9.0,14.0,22.0,,90.0,1.0,,1.0,8.0,28.0,23.0,,,5.0,44.0,4.0,3.0,0.0,3.0,2.0,,1.0,10.0,3.0,2.0,1.0,,,,1.0,,,5.0,,,2.0,,,,1.0,,,,,2.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2026,Spokane Velocity FC,5ayndruo1m9cwxp8nlkc2zgmh,J. Gallardo,Midfielder,7,1.0,9.0,12.0,11.0,8.0,3.0,27.0,10.0,1.0,4.0,4.0,11.0,8.0,3.0,1.0,,27.0,10.0,2.0,2.0,6.0,3.0,,1.0,,,,1.0,18.0,11.0,7.0,18.0,,90.0,4.0,,1.0,23.0,27.0,18.0,1.0,3.0,9.0,56.0,12.0,8.0,0.0,,,,1.0,5.0,,3.0,2.0,1.0,5.0,4.0,1.0,,,1.0,,,1.0,,,,4.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2026,Spokane Velocity FC,3o1ofvw8de8lo5wdn0cs5gxxx,L. Gil,Midfielder,10,2.0,7.0,1.0,12.0,7.0,5.0,15.0,11.0,2.0,1.0,1.0,8.0,6.0,2.0,1.0,,31.0,1.0,5.0,3.0,6.0,5.0,,1.0,1.0,1.0,,,21.0,10.0,14.0,23.0,,86.0,5.0,,2.0,21.0,33.0,23.0,,1.0,10.0,58.0,12.0,8.0,0.0,4.0,1.0,,1.0,10.0,3.0,1.0,3.0,,5.0,5.0,1.0,,1.0,1.0,,,2.0,,,1.0,2.0,,,,,1.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2026,Spokane Velocity FC,4zk384iwrvinp38k34hc10q1h,M. Hernández,Forward,14,1.0,,3.0,2.0,1.0,1.0,,1.0,1.0,,,2.0,1.0,1.0,,,1.0,3.0,,,1.0,,,,,,,,,,,,1.0,4.0,1.0,,,2.0,1.0,,1.0,,1.0,3.0,,1.0,0.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2026,Spokane Velocity FC,3e4gkylxcdo34rieonozdqr4l,S. John-Brown,Forward,11,1.0,6.0,6.0,11.0,9.0,2.0,14.0,6.0,1.0,4.0,4.0,5.0,4.0,1.0,1.0,,30.0,2.0,2.0,1.0,2.0,7.0,,1.0,,,,,24.0,14.0,10.0,24.0,,90.0,1.0,,1.0,8.0,30.0,24.0,,4.0,6.0,41.0,3.0,6.0,0.0,6.0,5.0,,2.0,11.0,1.0,2.0,3.0,,,,,1.0,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2026,Spokane Velocity FC,a3uoyl25330qgi2by44eq4o2d,A. Lewis,Midfielder,77,2.0,16.0,21.0,18.0,6.0,12.0,17.0,14.0,2.0,4.0,4.0,16.0,5.0,11.0,2.0,2.0,73.0,5.0,3.0,2.0,6.0,22.0,2.0,2.0,1.0,1.0,1.0,4.0,64.0,34.0,34.0,66.0,4.0,171.0,3.0,1.0,2.0,16.0,76.0,67.0,5.0,4.0,9.0,104.0,6.0,7.0,0.0,2.0,1.0,,,24.0,2.0,,4.0,,1.0,1.0,,,,,,1.0,2.0,,,3.0,3.0,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2026,Spokane Velocity FC,e8gm9eq1o6gonq3blbesa16g9,S. Lewis,Goalkeeper,1,2.0,,2.0,1.0,,1.0,,47.0,2.0,4.0,4.0,1.0,,1.0,,,53.0,1.0,,,14.0,12.0,,2.0,,,,,39.0,7.0,41.0,33.0,,180.0,,,1.0,29.0,77.0,48.0,,,29.0,93.0,24.0,,0.0,,,,,18.0,2.0,,5.0,,,,,,,,,,29.0,,,,,,,,,15.0,,,,,,,,,,,1.0,15.0,,15.0,14.0,2.0,5.0,,5.0,,5.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2026,Spokane Velocity FC,ei30dsbb51ri88sr7aku2t13p,G. Margvelashvili,Defender,5,2.0,11.0,15.0,15.0,4.0,11.0,6.0,32.0,2.0,3.0,3.0,8.0,3.0,5.0,5.0,,92.0,5.0,,,8.0,20.0,,2.0,1.0,,,1.0,82.0,22.0,65.0,84.0,1.0,169.0,,,2.0,11.0,97.0,87.0,2.0,2.0,10.0,126.0,6.0,6.0,0.0,7.0,1.0,2.0,1.0,34.0,14.0,3.0,4.0,1.0,,,1.0,1.0,,,1.0,1.0,4.0,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,3.0,6.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2026,Spokane Velocity FC,bxlh35ww96wgrsgfc8blou50p,M. Mensah,Defender,33,2.0,15.0,7.0,10.0,6.0,4.0,17.0,20.0,2.0,4.0,4.0,6.0,3.0,3.0,2.0,1.0,50.0,3.0,,,8.0,16.0,1.0,2.0,,1.0,1.0,2.0,38.0,13.0,28.0,37.0,,180.0,1.0,1.0,1.0,26.0,52.0,40.0,,1.0,12.0,91.0,11.0,6.0,0.0,4.0,3.0,,1.0,1.0,5.0,1.0,4.0,,3.0,3.0,,,,12.0,,,6.0,,,,1.0,,,,,4.0,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2026,Spokane Velocity FC,eaulxpgb8yhnk0cfpwcpzks4q,C. Merancio,Goalkeeper,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
