liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Blocks,Carries,Clean Sheets,Clearances Off the Line,Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,GK Successful Distribution,Games Played,Goal Kicks,Goals,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Goals from Inside Box,Ground Duels,Ground Duels lost,Ground Duels won,Headed Goals,Interceptions,Key Passes (Attempt Assists),Leftside Passes,Offsides,Open Play Passes,Other Goals,Overruns,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Rightside Passes,Shots Created,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Successful Dribbles,Successful Launches,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Throw Ins to Own Player,Time Played,Times Tackled,Total Big Chances Created,Total Big Chances Missed,Total Big Chances Saved,Total Big Chances Scored,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Unsuccessful lay-offs,Yellow Cards,Home Goals,Away Goals,Winning Goal,Attempts from Set Pieces,Corners Taken (incl short corners),Goals Openplay,Handballs conceded,Penalties Taken,Penalty Goals,Right Foot Goals,Second Goal Assists,Substitute Off,Substitute On,Successful Lay-offs,Through balls,Unsuccessful Corners into Box,Foul Won Penalty,Goal Assists,Penalties Conceded,Successful Crosses & Corners,Successful Crosses open play,Throw Ins to Opposition Player,Assists (Intentional),Hit Woodwork,Successful Corners into Box,Left Foot Goals,Direct Setpiece Goals,Goals from Outside Box,Set Pieces Goals,Last Player Tackle,Own Goal Scored,Straight Red Cards,Total Red Cards,Red Cards - 2nd Yellow,GK Unsuccessful Distribution,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Catches,Drops,Goalkeeper Smother,Penalties Faced,Penalties Saved,Punches,Saves from Penalty,Saves made - caught,Saves made - parried,Penalties Off Target
Mexico_Liga_MX,2025-2026,Club Tijuana Xoloitzcuintles de Caliente,ag7p0ya82svm1m4xazyql2uxg,D. Abreu,Forward,31,28.0,20.0,8.0,12.0,22.0,4.0,,17.0,,,,53.0,30.0,23.0,62.0,16.0,,,12.0,,3.0,5.0,3.0,2.0,3.0,25.0,10.0,15.0,,1.0,2.0,13.0,4.0,73.0,,,1.0,8.0,4.0,1.0,8.0,28.0,3.0,4.0,5.0,4.0,2.0,,,49.0,27.0,28.0,55.0,3.0,3.0,,423.0,7.0,1.0,,,3.0,8.0,1.0,7.0,49.0,79.0,9.0,55.0,6.0,17.0,24.0,151.0,,,2.0,1.0,1.0,20.0,4.0,23.0,2.0,,1.0,2.0,1.0,,,2.0,,1.0,1.0,2.0,,4.0,8.0,9.0,,,2.0,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2025-2026,Club Tijuana Xoloitzcuintles de Caliente,d85pibm7q3wbjzg2q451umeqc,D. Bagüí,Defender,32,1.0,,1.0,1.0,,,,1.0,,,,2.0,,2.0,,1.0,,,1.0,,,,,,,1.0,,1.0,,1.0,,,,2.0,,,,,,,2.0,1.0,,,,,,,,1.0,,1.0,1.0,,1.0,,18.0,,,,,,2.0,,,1.0,2.0,,1.0,1.0,,1.0,6.0,,,,,,,1.0,1.0,,,,,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2025-2026,Club Tijuana Xoloitzcuintles de Caliente,9x4zu1o3adl4otm7wqzqvz6xh,Unai Bilbao,Defender,4,58.0,22.0,36.0,16.0,44.0,1.0,12.0,121.0,4.0,,,108.0,40.0,68.0,24.0,253.0,5.0,23.0,16.0,24.0,1.0,15.0,12.0,3.0,1.0,50.0,18.0,32.0,1.0,27.0,2.0,120.0,,649.0,,,1.0,64.0,12.0,9.0,32.0,291.0,2.0,5.0,3.0,13.0,1.0,6.0,60.0,560.0,124.0,490.0,554.0,5.0,12.0,3.0,1218.0,,,1.0,,,97.0,16.0,16.0,99.0,708.0,8.0,614.0,17.0,11.0,94.0,923.0,,,,36.0,65.0,61.0,33.0,29.0,,4.0,0.0,1.0,0.0,,,,2.0,,,,,,3.0,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,
Mexico_Liga_MX,2025-2026,Club Tijuana Xoloitzcuintles de Caliente,dx6uqnml4itbr426gs12udln9,D. Blanco,Midfielder,27,9.0,9.0,,13.0,19.0,2.0,,52.0,,,3.0,71.0,41.0,30.0,96.0,21.0,4.0,,13.0,,,6.0,6.0,,,62.0,32.0,30.0,,4.0,3.0,15.0,1.0,60.0,,2.0,1.0,31.0,4.0,3.0,17.0,6.0,3.0,3.0,1.0,2.0,8.0,,4.0,40.0,31.0,13.0,37.0,2.0,5.0,5.0,429.0,19.0,1.0,,,,5.0,8.0,15.0,77.0,61.0,4.0,41.0,7.0,13.0,20.0,193.0,13.0,12.0,17.0,4.0,8.0,31.0,2.0,12.0,,2.0,,,0.0,,2.0,,,,,,,2.0,11.0,,,1.0,1.0,,,3.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2025-2026,Club Tijuana Xoloitzcuintles de Caliente,9rwn5wckqcb5inw1dhhmpj1t5,F. Boya,Midfielder,34,23.0,10.0,13.0,6.0,5.0,1.0,1.0,6.0,,,1.0,41.0,21.0,20.0,19.0,22.0,1.0,,6.0,,,3.0,3.0,,,18.0,11.0,7.0,,,1.0,12.0,,48.0,,1.0,1.0,3.0,1.0,1.0,6.0,9.0,1.0,3.0,,2.0,1.0,2.0,3.0,28.0,17.0,11.0,25.0,1.0,2.0,1.0,174.0,2.0,,,,,6.0,5.0,3.0,26.0,48.0,3.0,28.0,3.0,6.0,20.0,79.0,,,,,1.0,13.0,7.0,19.0,,1.0,,,0.0,,,,,,,,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2025-2026,Club Tijuana Xoloitzcuintles de Caliente,qsce60rnyzjufjqdvdvnouay,K. Castañeda,Midfielder,10,4.0,1.0,3.0,17.0,140.0,11.0,1.0,184.0,3.0,,16.0,91.0,41.0,50.0,338.0,217.0,5.0,,17.0,,7.0,11.0,8.0,3.0,5.0,87.0,40.0,47.0,,13.0,32.0,127.0,1.0,646.0,,,1.0,83.0,24.0,4.0,66.0,193.0,34.0,17.0,16.0,17.0,10.0,1.0,58.0,522.0,371.0,203.0,495.0,2.0,12.0,6.0,1395.0,25.0,3.0,1.0,,4.0,6.0,11.0,23.0,245.0,677.0,33.0,553.0,14.0,24.0,124.0,961.0,62.0,22.0,10.0,10.0,26.0,149.0,37.0,98.0,1.0,4.0,2.0,5.0,3.0,8.0,51.0,5.0,1.0,2.0,2.0,6.0,,9.0,,25.0,1.0,24.0,1.0,2.0,,21.0,6.0,1.0,2.0,2.0,14.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2025-2026,Club Tijuana Xoloitzcuintles de Caliente,d1fopj6ggy6x2zsbevr1dd36y,C. Castillo,Forward,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2025-2026,Club Tijuana Xoloitzcuintles de Caliente,3b1t1bhcalqyj33n6zer7o86i,M. El Ghezouani,Forward,21,72.0,40.0,32.0,16.0,55.0,2.0,,33.0,,,3.0,141.0,82.0,59.0,85.0,35.0,8.0,,16.0,,1.0,9.0,7.0,2.0,1.0,69.0,42.0,27.0,,5.0,6.0,40.0,6.0,147.0,,,2.0,11.0,13.0,8.0,28.0,36.0,7.0,8.0,3.0,12.0,3.0,,,94.0,61.0,52.0,113.0,5.0,5.0,,976.0,17.0,1.0,2.0,,1.0,12.0,20.0,14.0,101.0,166.0,11.0,113.0,10.0,32.0,53.0,311.0,2.0,2.0,2.0,2.0,2.0,41.0,14.0,51.0,3.0,1.0,0.0,1.0,0.0,,,1.0,1.0,,,,,11.0,4.0,5.0,,,,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2025-2026,Club Tijuana Xoloitzcuintles de Caliente,c7t3jjwtrw1qrpr6a4nvdxat,K. Escamilla,Defender,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2025-2026,Club Tijuana Xoloitzcuintles de Caliente,7rsoyzo7hhqxv9vc1g3v57uac,J. González,Forward,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
