liga,temporada,equipo,id,nombre,posicion,dorsal,Appearances,Games Played,Index,Substitute On,Time Played,Winning Goal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Assists (Intentional),Backward Passes,Blocks,Carries,Corners Taken (incl short corners),Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Goal Assists,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Ground Duels,Ground Duels lost,Ground Duels won,Interceptions,Key Passes (Attempt Assists),Leftside Passes,Open Play Passes,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Rightside Passes,Shots Off Target (inc woodwork),Starts,Substitute Off,Successful Corners into Box,Successful Crosses & Corners,Successful Crosses open play,Successful Dribbles,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Throw Ins to Opposition Player,Throw Ins to Own Player,Times Tackled,Total Big Chances Created,Total Big Chances Missed,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Corners into Box,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Yellow Cards,Clean Sheets,Goals,Goals Openplay,Goals from Inside Box,Headed Goals,Overruns,Shots On Target ( inc goals ),Successful Launches,Through balls,Total Big Chances Scored,Home Goals,Away Goals,Blocked Shots,Goals from Outside Box,Handballs conceded,Hit Woodwork,Left Foot Goals,Offsides,Penalties Taken,Penalty Goals,Right Foot Goals,Successful Lay-offs,Unsuccessful lay-offs,Catches,Drops,GK Successful Distribution,GK Unsuccessful Distribution,Goal Kicks,Goalkeeper Smother,Last Player Tackle,Penalties Faced,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - caught,Saves made - parried,Second Goal Assists,Attempts from Set Pieces,Set Pieces Goals,Penalties Conceded,Clearances Off the Line,Straight Red Cards,Total Big Chances Saved,Total Red Cards,Other Goals,Red Cards - 2nd Yellow,Foul Won Penalty,Crosses not Claimed,Direct Setpiece Goals,Penalties Off Target,Own Goal Scored,Penalties Saved,Saves from Penalty
USA_USL_Championship,2025,Indy Eleven,5fhb206czgy2ul5j0tsqeo7ah,E. Amoh,Forward,22,27.0,27.0,10.0,15.0,1102.0,0.0,166.0,108.0,58.0,,69.0,2.0,93.0,,9.0,273.0,164.0,109.0,40.0,47.0,11.0,1.0,19.0,17.0,2.0,107.0,56.0,51.0,5.0,10.0,46.0,217.0,1.0,39.0,17.0,8.0,34.0,58.0,15.0,12.0,12.0,,1.0,1.0,17.0,5.0,145.0,105.0,44.0,143.0,5.0,8.0,,,28.0,2.0,8.0,14.0,27.0,24.0,147.0,220.0,28.0,148.0,13.0,65.0,72.0,443.0,,1.0,1.0,11.0,2.0,9.0,64.0,9.0,63.0,1.0,,5.0,4.0,5.0,,,13.0,,2.0,5.0,3.0,2.0,5.0,,3.0,,,9.0,,,5.0,12.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,
USA_USL_Championship,2025,Indy Eleven,2co6fedrz8anjzy9ise76dplh,J. Blake,Midfielder,8,30.0,30.0,10.0,1.0,2443.0,4.0,93.0,46.0,47.0,1.0,194.0,4.0,235.0,23.0,17.0,320.0,167.0,153.0,144.0,317.0,26.0,4.0,47.0,40.0,7.0,227.0,121.0,106.0,7.0,26.0,183.0,862.0,2.0,86.0,46.0,26.0,94.0,231.0,23.0,29.0,14.0,3.0,9.0,5.0,11.0,58.0,637.0,491.0,217.0,641.0,16.0,34.0,2.0,4.0,55.0,4.0,1.0,21.0,47.0,46.0,384.0,925.0,49.0,699.0,50.0,73.0,226.0,1394.0,8.0,36.0,23.0,20.0,35.0,65.0,216.0,46.0,161.0,4.0,1.0,10.0,4.0,9.0,,2.0,26.0,6.0,1.0,5.0,6.0,4.0,16.0,1.0,7.0,,4.0,3.0,4.0,4.0,6.0,15.0,1.0,,,,,,,,,,,,,,,,8.0,,1.0,,,,,,,1.0,,,,,,
USA_USL_Championship,2025,Indy Eleven,7ad4uvgwiwtjy23nt3yjsmctm,O. Brynéus,Forward,21,13.0,13.0,10.0,9.0,448.0,0.0,12.0,9.0,3.0,1.0,28.0,1.0,51.0,,4.0,35.0,24.0,11.0,15.0,21.0,3.0,1.0,12.0,11.0,1.0,23.0,15.0,8.0,1.0,6.0,5.0,96.0,1.0,28.0,7.0,1.0,19.0,42.0,6.0,4.0,4.0,,2.0,2.0,2.0,2.0,65.0,53.0,14.0,63.0,2.0,3.0,,6.0,8.0,2.0,3.0,6.0,7.0,1.0,70.0,96.0,9.0,65.0,5.0,21.0,31.0,177.0,,11.0,11.0,4.0,3.0,6.0,37.0,5.0,25.0,,,,,,,2.0,3.0,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2025,Indy Eleven,cv7nd9tnk6j2ixvnlibiip2vp,R. Charles-Cook,Goalkeeper,23,4.0,4.0,10.0,,315.0,0.0,1.0,,1.0,,,,7.0,,,1.0,,1.0,,75.0,,,9.0,8.0,1.0,,,,,,8.0,27.0,1.0,3.0,,,26.0,4.0,,4.0,1.0,,,,,19.0,12.0,17.0,16.0,14.0,,,,,,,,3.0,,,55.0,87.0,,33.0,,,54.0,109.0,,,,,23.0,54.0,49.0,5.0,,1.0,,,,,,,,8.0,,,,,,,,,,,,,,,,1.0,,22.0,26.0,39.0,,,1.0,1.0,7.0,3.0,3.0,,4.0,,,,,,,,,,,,,,,,,
USA_USL_Championship,2025,Indy Eleven,1nl79aq9il743hgoaijmupmmt,E. Collier,Forward,18,18.0,18.0,10.0,18.0,295.0,0.0,25.0,20.0,5.0,1.0,16.0,,64.0,,5.0,75.0,52.0,23.0,8.0,19.0,1.0,1.0,5.0,5.0,,50.0,32.0,18.0,,4.0,18.0,82.0,,37.0,9.0,2.0,16.0,29.0,3.0,,,,,,4.0,1.0,60.0,48.0,12.0,59.0,2.0,5.0,,3.0,27.0,,,2.0,3.0,7.0,73.0,82.0,5.0,60.0,7.0,22.0,22.0,175.0,,6.0,6.0,19.0,2.0,4.0,22.0,6.0,18.0,1.0,,,,,,1.0,2.0,,,,,,1.0,,,,,2.0,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2025,Indy Eleven,d50x000h9o6i8kd8aihie4lx,M. Foster,Forward,99,21.0,21.0,10.0,3.0,1542.0,0.0,11.0,8.0,3.0,2.0,119.0,2.0,248.0,1.0,27.0,162.0,88.0,74.0,32.0,66.0,16.0,3.0,35.0,31.0,4.0,151.0,80.0,71.0,6.0,19.0,112.0,369.0,1.0,144.0,24.0,3.0,58.0,83.0,19.0,18.0,11.0,,3.0,3.0,24.0,21.0,292.0,222.0,82.0,280.0,6.0,7.0,1.0,18.0,55.0,2.0,3.0,2.0,22.0,34.0,218.0,380.0,28.0,301.0,13.0,83.0,79.0,677.0,,44.0,44.0,28.0,7.0,18.0,111.0,12.0,61.0,5.0,,3.0,3.0,2.0,,3.0,9.0,1.0,,1.0,1.0,2.0,6.0,1.0,2.0,1.0,2.0,8.0,,,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
USA_USL_Championship,2025,Indy Eleven,97d0drjb3zqkh5ozfufg17nys,P. Hogan,Defender,3,19.0,19.0,10.0,7.0,1229.0,0.0,62.0,18.0,44.0,,22.0,12.0,67.0,,1.0,100.0,38.0,62.0,,180.0,10.0,,27.0,22.0,5.0,38.0,20.0,18.0,17.0,2.0,159.0,420.0,1.0,29.0,2.0,1.0,22.0,78.0,3.0,12.0,2.0,,,,,31.0,335.0,92.0,259.0,320.0,4.0,10.0,,1.0,,,1.0,124.0,16.0,5.0,92.0,439.0,6.0,351.0,14.0,17.0,88.0,638.0,,1.0,1.0,,30.0,50.0,68.0,21.0,38.0,2.0,2.0,2.0,,2.0,2.0,,3.0,6.0,,1.0,1.0,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2025,Indy Eleven,ddszr3eumcoos2r3cb2dtiq6s,R. Hunsucker,Goalkeeper,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2025,Indy Eleven,8delieh6jv1cgaukmgcwfjsic,E. Kizza,Forward,19,28.0,28.0,10.0,17.0,1071.0,0.0,78.0,61.0,17.0,1.0,82.0,,60.0,,4.0,149.0,103.0,46.0,43.0,33.0,6.0,1.0,22.0,19.0,3.0,71.0,42.0,29.0,3.0,7.0,47.0,201.0,2.0,16.0,10.0,2.0,32.0,50.0,10.0,11.0,10.0,,2.0,2.0,1.0,7.0,162.0,113.0,62.0,166.0,5.0,5.0,1.0,1.0,21.0,1.0,7.0,3.0,19.0,18.0,92.0,212.0,17.0,173.0,10.0,46.0,39.0,348.0,,2.0,2.0,8.0,,1.0,36.0,5.0,38.0,2.0,,3.0,2.0,3.0,1.0,,7.0,1.0,1.0,3.0,2.0,1.0,3.0,,,1.0,,10.0,,,2.0,8.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,
USA_USL_Championship,2025,Indy Eleven,blts89a19itip4gjeagcwc1xx,C. Lindley,Midfielder,6,26.0,26.0,10.0,8.0,1723.0,1.0,34.0,15.0,19.0,2.0,125.0,2.0,198.0,16.0,5.0,124.0,60.0,64.0,108.0,289.0,13.0,2.0,26.0,21.0,5.0,90.0,45.0,45.0,16.0,22.0,213.0,774.0,,83.0,29.0,10.0,88.0,180.0,1.0,18.0,4.0,6.0,20.0,10.0,4.0,78.0,607.0,376.0,279.0,557.0,7.0,12.0,1.0,10.0,10.0,5.0,,20.0,27.0,23.0,238.0,807.0,3.0,635.0,19.0,6.0,172.0,1033.0,9.0,39.0,30.0,4.0,33.0,69.0,181.0,30.0,103.0,3.0,4.0,1.0,1.0,,,,2.0,17.0,1.0,,0.0,1.0,1.0,1.0,1.0,,,,,,1.0,8.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,
