liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Offsides,Time Played,Throw Ins to Own Player,Substitute On,Successful Lay-offs,Successful Launches,Goals,Open Play Passes,Corners Won,Times Tackled,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Yellow Cards,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Penalty Goals Conceded,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Corners into Box,Rightside Passes,Key Passes (Attempt Assists),Total Red Cards,Unsuccessful Passes Opposition Half,Blocked Shots,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Successful Long Passes,Successful Crosses open play,Total Fouls Won,Straight Red Cards,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Left Foot Goals,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Handballs conceded,Hit Woodwork,Assists (Intentional),Ground Duels lost,Leftside Passes,Goals from Inside Box,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Goal Assists,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Winning Goal,Right Foot Goals,Red Cards - 2nd Yellow,Goals from Outside Box,Headed Goals,Throw Ins to Opposition Player,Unsuccessful lay-offs,Foul Won Penalty,Penalties Taken,Penalty Goals,GK Successful Distribution,Attempts from Set Pieces,Saves Made,Penalties Conceded,Punches,Penalties Saved,Goalkeeper Smother,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves from Penalty,Saves made - caught,GK Unsuccessful Distribution,Clean Sheets,Second Goal Assists,Clearances Off the Line,Last Man Tackle,Own Goal Scored,Crosses not Claimed,Set Pieces Goals,Other Goals,Penalties Off Target,Home Goals,Away Goals
USA_USL_Championship,2020,Atlanta United 2,69j92vzo1swgodk0g9g2ksqqy,B. Njie,Midfielder,14,4.0,,622.0,3.0,4.0,2.0,2.0,,283.0,,19.0,57.0,1.0,118.0,1.0,1.0,10.0,11.0,2.0,3.0,1.0,104.0,114.0,19.0,48.0,,289.0,7.0,11.0,10.0,199.0,11.0,4.0,58.0,,62.0,7.0,,51.0,,48.0,7.0,21.0,13.0,418.0,,11.0,10.0,1.0,67.0,109.0,7.0,10.0,36.0,2.0,32.0,1.0,4.0,,3.0,7.0,71.0,6.0,14.0,,6.0,11.0,,,,,34.0,61.0,,225.0,231.0,4.0,,,13.0,35.0,6.0,12.0,33.0,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,Atlanta United 2,fc8g3g0dytum49gv0luba06i,N. Prince,Defender,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,Atlanta United 2,f11ubohus6ppmy2qkq9w6a5wq,W. Reilly,Midfielder,16,2.0,,1293.0,5.0,,,3.0,,606.0,,14.0,92.0,,169.0,12.0,5.0,36.0,19.0,2.0,4.0,10.0,139.0,362.0,23.0,65.0,2.0,632.0,2.0,31.0,13.0,479.0,26.0,2.0,101.0,,188.0,4.0,,63.0,,85.0,15.0,29.0,41.0,831.0,1.0,15.0,16.0,8.0,122.0,173.0,2.0,10.0,73.0,,52.0,,25.0,,12.0,4.0,144.0,13.0,30.0,,3.0,15.0,1.0,1.0,,,61.0,179.0,,509.0,531.0,22.0,,1.0,15.0,71.0,8.0,22.0,61.0,0.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,Atlanta United 2,e4xcds6mws71mpp0lskbft9wq,V. Reyes,Goalkeeper,27,,,270.0,,,,2.0,,59.0,,,,,8.0,22.0,,44.0,,,,,47.0,44.0,,1.0,,97.0,,,,38.0,6.0,,45.0,,12.0,,,30.0,,30.0,3.0,,15.0,128.0,,3.0,,,,58.0,,10.0,,,14.0,,,,,,,2.0,6.0,,,3.0,,,,,,27.0,,33.0,52.0,,,,,,,,,0.0,,,,,,,,,,30.0,,13.0,,1.0,,,,,5.0,2.0,8.0,,,,12.0,,,,,,,,,,,
USA_USL_Championship,2020,Atlanta United 2,b3fcjyez6bx62n84767cxbiay,D. Steedman,Midfielder,8,4.0,1.0,331.0,,11.0,1.0,,,113.0,,7.0,37.0,4.0,43.0,1.0,,6.0,7.0,4.0,1.0,5.0,61.0,45.0,8.0,27.0,1.0,117.0,2.0,2.0,5.0,77.0,11.0,4.0,33.0,2.0,22.0,6.0,,31.0,,19.0,2.0,13.0,8.0,194.0,3.0,13.0,,1.0,42.0,33.0,6.0,10.0,26.0,,7.0,2.0,9.0,,4.0,,51.0,1.0,12.0,,6.0,13.0,1.0,,,,20.0,25.0,,80.0,84.0,9.0,,,3.0,25.0,5.0,3.0,22.0,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,Atlanta United 2,bnrjyqkjni7gx0hi66lu4uxre,G. Tubbs,Defender,28,,,485.0,,,,1.0,,239.0,,2.0,18.0,,50.0,5.0,,11.0,1.0,1.0,,8.0,42.0,160.0,12.0,26.0,1.0,247.0,2.0,1.0,6.0,192.0,10.0,1.0,37.0,,70.0,,,14.0,,22.0,6.0,3.0,23.0,306.0,,6.0,1.0,1.0,30.0,91.0,1.0,10.0,30.0,,18.0,,4.0,,9.0,,47.0,12.0,10.0,,,6.0,,,,,9.0,68.0,,202.0,210.0,17.0,,,9.0,17.0,3.0,9.0,21.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,Atlanta United 2,2p6uagebunshlw5zmp16748dm,C. Wiley,Defender,30,12.0,2.0,910.0,91.0,,,3.0,,310.0,5.0,13.0,72.0,5.0,123.0,3.0,,17.0,9.0,,4.0,11.0,142.0,132.0,11.0,58.0,,325.0,3.0,4.0,8.0,236.0,14.0,1.0,75.0,,97.0,7.0,,57.0,,49.0,11.0,23.0,30.0,587.0,,11.0,2.0,5.0,63.0,147.0,6.0,10.0,33.0,1.0,14.0,5.0,7.0,,7.0,7.0,81.0,13.0,18.0,,12.0,11.0,,1.0,,,37.0,9.0,,236.0,250.0,18.0,,,4.0,48.0,7.0,25.0,26.0,0.0,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,Atlanta United 2,2w38gs56nefz2s67peyzb10q1,J. Williams,Forward,19,,3.0,352.0,3.0,1.0,6.0,,,102.0,4.0,7.0,23.0,1.0,45.0,,2.0,7.0,8.0,7.0,,10.0,62.0,20.0,6.0,32.0,1.0,103.0,2.0,9.0,5.0,60.0,5.0,9.0,39.0,,26.0,2.0,,36.0,1.0,12.0,4.0,10.0,3.0,185.0,,5.0,6.0,,35.0,32.0,15.0,10.0,31.0,2.0,4.0,1.0,6.0,,14.0,5.0,59.0,12.0,5.0,,,5.0,,,,2.0,18.0,22.0,,63.0,64.0,24.0,2.0,1.0,4.0,28.0,2.0,4.0,17.0,0.0,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,
USA_USL_Championship,2020,Atlanta United 2,21c8xr15tb1u1kc2q6fqsmaga,O. Wolff,Midfielder,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,Atlanta United 2,ah3swx80hoddr239t1r6qg2ga,T. Wolff,Forward,24,,,62.0,,,1.0,,,9.0,,,2.0,,2.0,,,,1.0,,,1.0,6.0,3.0,,4.0,,9.0,1.0,,,5.0,,,4.0,,1.0,,,2.0,,1.0,1.0,2.0,2.0,13.0,,1.0,,,1.0,2.0,1.0,10.0,1.0,,,,1.0,,,,2.0,,,,,1.0,,,,,,4.0,,5.0,5.0,1.0,,,,1.0,,,1.0,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
