root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Time Played,Throw Ins to Own Player,Open Play Passes,Backward Passes,Successful Passes Opposition Half,Unsuccessful Launches,Yellow Cards,Unsuccessful Long Passes,Own Goal Scored,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Throw Ins to Opposition Player,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Appearances,Foul Attempted Tackle,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Attempts from Set Pieces,Successful Long Passes,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Games Played,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Unsuccessful Crosses open play,Substitute On,Successful Launches,Unsuccessful Crosses & Corners,Unsuccessful lay-offs,Blocks,Offsides,Successful Lay-offs,Goals,Right Foot Goals,Corners Won,Shots On Target ( inc goals ),Hit Woodwork,Goals from Inside Box,Substitute Off,Through balls,Successful Crosses & Corners,Corners Taken (incl short corners),Successful Crosses open play,Unsuccessful Corners into Box,Assists (Intentional),Goal Assists,Successful Corners into Box,Left Foot Goals,Penalties Taken,Penalty Goals,Saves Made,GK Successful Distribution,Punches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,GK Unsuccessful Distribution,Catches,Drops,Foul Won Penalty,Handballs conceded,Penalties Off Target,Clearances Off the Line,Clean Sheets,Goalkeeper Smother,Penalty Goals Conceded,Penalties Conceded,Crosses not Claimed,Penalties Faced,Headed Goals,Goals from Outside Box,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Saves made - caught,Set Pieces Goals,Second Goal Assists,Penalties Saved,Saves from Penalty
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2019 USA,Canada Under 17,Canada_Under_17,c760g3hvhvi7nra7gpdrynn1m,J. Altobelli,Midfielder,20,206.0,1.0,62.0,13.0,29.0,2.0,1.0,4.0,,2.0,2.0,,2.0,35.0,15.0,7.0,16.0,63.0,7.0,2.0,40.0,3.0,4.0,20.0,14.0,3.0,24.0,1.0,,13.0,1.0,5.0,3.0,112.0,5.0,6.0,28.0,23.0,9.0,10.0,19.0,2.0,3.0,8.0,3.0,1.0,33.0,2.0,3.0,5.0,12.0,13.0,42.0,43.0,5.0,5.0,14.0,2.0,3.0,16.0,1.0,4.0,,7.0,,,,,,,1.0,2.0,1.0,,1.0,,1.0,7.0,,5.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2019 USA,Canada Under 17,Canada_Under_17,xiiyb7668rzbd2lwspin48dm,D. Amla,Defender,14,90.0,7.0,22.0,1.0,5.0,3.0,,3.0,,,,,1.0,17.0,9.0,3.0,9.0,26.0,1.0,4.0,10.0,1.0,,12.0,7.0,,5.0,,2.0,1.0,2.0,2.0,8.0,57.0,2.0,1.0,13.0,16.0,,10.0,11.0,,4.0,3.0,1.0,,15.0,4.0,1.0,2.0,3.0,2.0,11.0,14.0,2.0,2.0,4.0,1.0,2.0,10.0,1.0,,2.0,1.0,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2019 USA,Canada Under 17,Canada_Under_17,5oh5azobd7sz85kn13stfz78q,M. Bourgeois,Defender,6,270.0,,150.0,7.0,27.0,4.0,1.0,14.0,,2.0,1.0,1.0,1.0,32.0,101.0,7.0,13.0,155.0,4.0,1.0,118.0,5.0,1.0,27.0,42.0,,16.0,,,19.0,3.0,4.0,11.0,189.0,3.0,2.0,18.0,54.0,2.0,10.0,13.0,,10.0,3.0,3.0,3.0,22.0,5.0,6.0,3.0,8.0,52.0,124.0,128.0,4.0,5.0,9.0,2.0,5.0,10.0,,,,,,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2019 USA,Canada Under 17,Canada_Under_17,bje8wvncnbbx5w0l08uno88ru,M. Catavolo,Forward,10,391.0,1.0,114.0,26.0,51.0,5.0,,10.0,,2.0,,2.0,3.0,69.0,34.0,8.0,23.0,117.0,3.0,4.0,78.0,7.0,,33.0,12.0,1.0,34.0,2.0,,29.0,4.0,6.0,8.0,184.0,6.0,1.0,48.0,43.0,5.0,10.0,21.0,,6.0,6.0,3.0,7.0,54.0,,9.0,6.0,30.0,36.0,82.0,84.0,6.0,6.0,33.0,2.0,4.0,18.0,7.0,2.0,,9.0,,,,1.0,,,3.0,,,,1.0,,1.0,4.0,,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2019 USA,Canada Under 17,Canada_Under_17,52laardf214jtq6ubciqllw16,B. Collins,Goalkeeper,21,180.0,,21.0,,1.0,2.0,,13.0,,,,1.0,,14.0,36.0,,1.0,51.0,,,29.0,3.0,,14.0,8.0,,1.0,,,15.0,2.0,,13.0,74.0,2.0,,1.0,27.0,,10.0,1.0,,8.0,,1.0,,2.0,2.0,4.0,2.0,1.0,16.0,18.0,37.0,1.0,,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,7.0,31.0,2.0,1.0,2.0,6.0,11.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2019 USA,Canada Under 17,Canada_Under_17,8npu0cbqjrhwv5km1w29kh016,S. Colyn,Midfielder,10,387.0,,127.0,29.0,66.0,,1.0,2.0,,6.0,2.0,1.0,8.0,51.0,49.0,7.0,24.0,135.0,11.0,4.0,99.0,5.0,5.0,26.0,33.0,8.0,29.0,1.0,,13.0,4.0,6.0,6.0,214.0,5.0,8.0,46.0,50.0,8.0,10.0,32.0,2.0,10.0,13.0,8.0,1.0,62.0,4.0,6.0,5.0,22.0,23.0,103.0,109.0,16.0,6.0,30.0,1.0,3.0,24.0,2.0,1.0,,9.0,,,,3.0,1.0,1.0,2.0,3.0,,1.0,3.0,,6.0,10.0,,4.0,,,4.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2019 USA,Canada Under 17,Canada_Under_17,1fierhj75c8bk11d36gv8a356,N. Demian,Defender,6,480.0,2.0,248.0,15.0,25.0,30.0,1.0,38.0,,4.0,,2.0,10.0,68.0,175.0,13.0,26.0,264.0,3.0,2.0,180.0,8.0,,64.0,72.0,1.0,29.0,,,22.0,5.0,8.0,35.0,326.0,5.0,,26.0,91.0,3.0,10.0,23.0,,20.0,2.0,6.0,,42.0,15.0,10.0,5.0,9.0,86.0,187.0,200.0,16.0,11.0,19.0,2.0,9.0,17.0,,,6.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2019 USA,Canada Under 17,Canada_Under_17,a9da4zkgza47coe06mtkxt2ei,J. Dunning,Midfielder,16,129.0,,21.0,9.0,8.0,1.0,,2.0,,1.0,,1.0,1.0,9.0,10.0,3.0,2.0,22.0,1.0,,18.0,2.0,,4.0,5.0,2.0,2.0,2.0,,5.0,1.0,1.0,2.0,36.0,4.0,1.0,12.0,4.0,,10.0,6.0,,,3.0,1.0,1.0,14.0,,3.0,4.0,7.0,4.0,17.0,18.0,2.0,3.0,8.0,,,5.0,,3.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2019 USA,Canada Under 17,Canada_Under_17,c11tg3waak6my0tyjpq9qeuzu,G. Facchineri,Defender,5,390.0,,228.0,11.0,25.0,12.0,,20.0,,1.0,,1.0,,38.0,185.0,8.0,15.0,245.0,1.0,,200.0,3.0,1.0,35.0,69.0,,23.0,,1.0,16.0,4.0,3.0,12.0,286.0,4.0,1.0,15.0,67.0,1.0,10.0,18.0,,10.0,5.0,5.0,1.0,20.0,12.0,4.0,4.0,2.0,98.0,196.0,210.0,5.0,6.0,2.0,2.0,7.0,13.0,,,5.0,,,2.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2019 USA,Canada Under 17,Canada_Under_17,33l8nq6xbj3pm1lkxo2qs5vfu,K. Ferdinand,Defender,13,270.0,27.0,146.0,20.0,55.0,3.0,,9.0,,4.0,,1.0,1.0,48.0,65.0,10.0,25.0,153.0,6.0,2.0,109.0,5.0,,34.0,37.0,1.0,26.0,,3.0,17.0,3.0,9.0,10.0,234.0,3.0,1.0,30.0,67.0,3.0,10.0,17.0,,10.0,4.0,1.0,1.0,32.0,5.0,6.0,3.0,14.0,29.0,112.0,119.0,2.0,5.0,15.0,5.0,10.0,16.0,2.0,,3.0,2.0,,1.0,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
