liga,temporada,equipo,id,nombre,posicion,dorsal,Time Played,Penalties Conceded,Open Play Passes,Backward Passes,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Substitute Off,Total Fouls Conceded,Successful Short Passes,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Appearances,Foul Attempted Tackle,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Total Fouls Won,Aerial Duels won,Duels,Total Clearances,Games Played,Ground Duels lost,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Unsuccessful Crosses open play,Successful Lay-offs,Corners Won,Yellow Cards,Penalty Goals Conceded,Successful Dribbles,Goals Conceded Inside Box,Shots On Target ( inc goals ),Successful Long Passes,Unsuccessful Dribbles,Goals Conceded,Unsuccessful Crosses & Corners,Hit Woodwork,Leftside Passes,Clean Sheets,Substitute On,Blocks,Saves Made,GK Successful Distribution,Successful Launches,Punches,Penalties Saved,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves from Penalty,GK Unsuccessful Distribution,Offsides,Throw Ins to Own Player,Successful Crosses & Corners,Throw Ins to Opposition Player,Successful Crosses open play,Blocked Shots,Corners Taken (incl short corners),Unsuccessful Corners into Box,Attempts from Set Pieces,Successful Corners into Box,Goals Conceded Outside Box,Handballs conceded,Assists (Intentional),Goal Assists,Through balls,Goals,Headed Goals,Clearances Off the Line,Goals from Inside Box,Right Foot Goals,Goals from Outside Box,Left Foot Goals,Catches,Saves made - caught,Unsuccessful lay-offs,Second Goal Assists,Goalkeeper Smother,Drops,Foul Won Penalty,Set Pieces Goals,Penalties Taken,Penalty Goals,Last Man Tackle,Own Goal Scored,Penalties Off Target,Total Red Cards,Straight Red Cards
Concacaf_Concacaf_Champions_Cup,2019,Club Atlético Pantoja,6o3e89kkture5pzzgzry8djo5,D. Batista,Forward,9,55.0,1.0,16.0,4.0,4.0,,,2.0,,,14.0,6.0,,6.0,16.0,1.0,1.0,9.0,,6.0,,,3.0,3.0,1.0,3.0,3.0,28.0,2.0,1.0,8.0,4.0,,1.0,1.0,1.0,,8.0,,2.0,7.0,10.0,10.0,,,7.0,,,1.0,,,,1.0,1.0,,2.0,,1.0,1.0,2.0,,,8.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2019,Club Atlético Pantoja,b1u43afbwgabvpiqqvxq4jjdh,O. Báez,Goalkeeper,23,90.0,,11.0,,10.0,14.0,22.0,,,,23.0,8.0,1.0,1.0,41.0,,,4.0,,23.0,4.0,,19.0,11.0,1.0,,4.0,50.0,1.0,,1.0,34.0,,79.0,1.0,,,1.0,1.0,1.0,,4.0,18.0,,,,1.0,,1.0,,,,,,,2.0,,14.0,,2.0,,,3.0,,,,7.0,7.0,2.0,,,1.0,1.0,6.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2019,Club Atlético Pantoja,4q9tq5buu1hmend7fygzdrt1x,L. Espinal,Forward,7,180.0,,29.0,18.0,21.0,,,2.0,2.0,5.0,28.0,9.0,1.0,6.0,36.0,,3.0,30.0,2.0,6.0,6.0,,5.0,2.0,2.0,3.0,2.0,76.0,2.0,3.0,16.0,5.0,9.0,24.0,11.0,3.0,4.0,25.0,,2.0,9.0,23.0,30.0,9.0,,14.0,1.0,,7.0,1.0,,,,1.0,3.0,5.0,,,1.0,5.0,1.0,,7.0,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2019,Club Atlético Pantoja,atrahaewt7dd14ynlreqfw4q,G. Ferreras,Defender,4,180.0,,44.0,9.0,5.0,4.0,10.0,4.0,,3.0,17.0,30.0,6.0,3.0,48.0,,1.0,31.0,,13.0,6.0,,7.0,16.0,2.0,4.0,6.0,84.0,2.0,,8.0,22.0,,23.0,9.0,,3.0,14.0,14.0,2.0,2.0,32.0,35.0,6.0,4.0,5.0,2.0,4.0,6.0,,,,,1.0,,5.0,,4.0,1.0,5.0,,,11.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,
Concacaf_Concacaf_Champions_Cup,2019,Club Atlético Pantoja,ba7kumnj5n4s5grq9kc7eakx6,J. Innocent,Defender,13,180.0,,63.0,7.0,13.0,3.0,8.0,3.0,,1.0,25.0,33.0,,10.0,64.0,,1.0,43.0,,18.0,15.0,,10.0,15.0,2.0,5.0,8.0,91.0,2.0,1.0,9.0,25.0,,11.0,7.0,1.0,4.0,14.0,4.0,2.0,6.0,45.0,46.0,5.0,,7.0,,4.0,3.0,,,,,1.0,3.0,5.0,,3.0,2.0,5.0,,,17.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
Concacaf_Concacaf_Champions_Cup,2019,Club Atlético Pantoja,f3gi86mrnqbwfipbdo9rpliad,J. López,Midfielder,14,135.0,,47.0,5.0,20.0,1.0,5.0,1.0,2.0,3.0,36.0,15.0,1.0,14.0,54.0,1.0,1.0,29.0,2.0,19.0,17.0,,14.0,5.0,2.0,4.0,7.0,88.0,2.0,1.0,12.0,22.0,,17.0,7.0,5.0,2.0,17.0,1.0,2.0,7.0,31.0,35.0,5.0,,10.0,1.0,3.0,5.0,1.0,,,,1.0,,4.0,,6.0,1.0,4.0,2.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2019,Club Atlético Pantoja,aoba6yb2whykmz9jw4lbzsjjd,P. Marisi,Forward,30,55.0,,14.0,1.0,4.0,1.0,2.0,,,,8.0,5.0,,4.0,15.0,1.0,,8.0,,6.0,3.0,,4.0,7.0,1.0,1.0,3.0,22.0,1.0,,3.0,5.0,,14.0,2.0,1.0,,3.0,,1.0,1.0,8.0,9.0,,,1.0,,,2.0,1.0,,,,,1.0,1.0,,1.0,,1.0,1.0,,6.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2019,Club Atlético Pantoja,avell65mjdk1iwm5hcn2e73ai,O. Marte,Goalkeeper,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2019,Club Atlético Pantoja,cjj9u2d8oi12wvtmhmbg3vpat,P. Martinez,Defender,11,16.0,,7.0,1.0,2.0,,,,,2.0,3.0,3.0,,2.0,7.0,,,4.0,,2.0,2.0,,2.0,3.0,,,,11.0,1.0,,2.0,3.0,,1.0,2.0,1.0,1.0,5.0,,1.0,1.0,5.0,5.0,3.0,,3.0,,,1.0,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2019,Club Atlético Pantoja,1f7qgxgsik46vlgiti7kz9kdm,P. Muñoz,Defender,3,90.0,,14.0,1.0,4.0,,,,,,8.0,6.0,1.0,4.0,14.0,,1.0,10.0,,4.0,,,1.0,3.0,1.0,2.0,3.0,32.0,1.0,1.0,2.0,8.0,,13.0,4.0,,3.0,5.0,3.0,1.0,1.0,10.0,10.0,3.0,1.0,1.0,,1.0,1.0,,,,,,,2.0,,,,2.0,,,5.0,,,1.0,,,,,,,,,,,,,6.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
