liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Throw Ins to Own Player,Successful Launches,Open Play Passes,Backward Passes,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Total Fouls Conceded,Successful Short Passes,Goals Conceded Inside Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Throw Ins to Opposition Player,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Appearances,Blocks,Ground Duels,Forward Passes,Index,Duels won,Successful Long Passes,Total Fouls Won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,GK Successful Distribution,Substitute On,Successful Lay-offs,Goals,Right Foot Goals,Successful Crosses & Corners,Yellow Cards,Shots Off Target (inc woodwork),Substitute Off,Successful Dribbles,Total Shots,Total Red Cards,Blocked Shots,Red Cards - 2nd Yellow,Foul Attempted Tackle,Total Touches In Opposition Box,Shots On Target ( inc goals ),Successful Crosses open play,Aerial Duels won,Handballs conceded,Hit Woodwork,Goals from Inside Box,Unsuccessful lay-offs,Through balls,Offsides,Corners Won,Successful Corners into Box,Corners Taken (incl short corners),Goals from Outside Box,Left Foot Goals,Unsuccessful Corners into Box,Assists (Intentional),Clearances Off the Line,Goal Assists,Saves Made,Crosses not Claimed,Punches,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Saves made - caught,GK Unsuccessful Distribution,Second Goal Assists,Own Goal Scored,Headed Goals,Foul Won Penalty,Set Pieces Goals,Attempts from Set Pieces,Penalties Taken,Penalty Goals,Straight Red Cards,Penalties Conceded,Goalkeeper Smother,Penalties Faced,Times Tackled,Penalty Goals Conceded,Home Goals,Away Goals,Winning Goal,Other Goals,Goal Kicks,Last Man Tackle,Saves from Penalty,Penalties Saved,Penalties Off Target
USA_USL_Championship,2017,Saint Louis FC,dku16yplbd9pjo9lw01u898t1,D. Ahmetović,Midfielder,26,4.0,277.0,13.0,,101.0,27.0,57.0,,,2.0,,4.0,52.0,36.0,10.0,18.0,107.0,3.0,87.0,6.0,18.0,30.0,1.0,21.0,6.0,9.0,4.0,3.0,4.0,194.0,6.0,,33.0,36.0,10.0,14.0,2.0,2.0,4.0,38.0,5.0,6.0,7.0,6.0,20.0,14.0,84.0,89.0,5.0,,8.0,24.0,2.0,6.0,13.0,,2.0,4.0,,,4.0,,4.0,3.0,1.0,4.0,,3.0,,2.0,2.0,,1.0,1.0,,,,,,,2.0,2.0,4.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2017,Saint Louis FC,2ith944jz6kopy3h1zmvg6iuh,E. Alihodzic,Midfielder,28,6.0,1050.0,9.0,1.0,568.0,62.0,266.0,4.0,26.0,13.0,2.0,4.0,162.0,246.0,46.0,73.0,601.0,15.0,428.0,12.0,99.0,186.0,3.0,81.0,,103.0,13.0,25.0,36.0,834.0,14.0,2.0,114.0,168.0,10.0,79.0,74.0,14.0,3.0,129.0,18.0,14.0,18.0,14.0,46.0,185.0,476.0,502.0,15.0,2.0,30.0,50.0,16.0,14.0,68.0,,1.0,8.0,,,10.0,3.0,11.0,5.0,8.0,16.0,1.0,6.0,,9.0,6.0,5.0,1.0,11.0,1.0,,,2.0,,,5.0,7.0,11.0,,,4.0,1.0,,1.0,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,1.0,,,
USA_USL_Championship,2017,Saint Louis FC,bcvlpd2leq5fb5kex2klldbkl,M. Alvarez,Midfielder,21,11.0,411.0,3.0,,132.0,28.0,77.0,1.0,6.0,9.0,2.0,9.0,98.0,33.0,9.0,34.0,141.0,9.0,91.0,6.0,40.0,20.0,11.0,63.0,,27.0,2.0,17.0,5.0,275.0,14.0,,58.0,44.0,10.0,37.0,10.0,20.0,4.0,71.0,4.0,8.0,28.0,14.0,25.0,49.0,93.0,101.0,13.0,,6.0,34.0,3.0,2.0,33.0,,12.0,4.0,,,9.0,1.0,2.0,1.0,5.0,6.0,,2.0,,3.0,11.0,4.0,,4.0,1.0,,,,1.0,1.0,3.0,8.0,19.0,,,10.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,
USA_USL_Championship,2017,Saint Louis FC,8auz3q5phubnh3tfs7xdjxfpx,J. Angulo,Forward,19,14.0,2241.0,7.0,1.0,515.0,137.0,256.0,,17.0,14.0,4.0,51.0,296.0,129.0,19.0,139.0,536.0,41.0,365.0,20.0,156.0,148.0,19.0,147.0,1.0,64.0,24.0,39.0,23.0,866.0,31.0,,159.0,146.0,10.0,76.0,15.0,18.0,18.0,227.0,11.0,24.0,14.0,31.0,100.0,105.0,360.0,380.0,68.0,2.0,13.0,151.0,6.0,1.0,59.0,,7.0,45.0,15.0,2.0,5.0,3.0,33.0,11.0,23.0,62.0,,16.0,,10.0,89.0,29.0,5.0,17.0,5.0,2.0,14.0,7.0,11.0,36.0,10.0,,1.0,1.0,13.0,,6.0,,8.0,,,,,,,,,,,,,,,1.0,4.0,3.0,3.0,,,,,,,,,,,,,,,
USA_USL_Championship,2017,Saint Louis FC,baf6w0jdrhh6jznpdlitmxko9,E. Appiah,Midfielder,45,8.0,680.0,5.0,,305.0,69.0,147.0,3.0,18.0,7.0,3.0,15.0,163.0,104.0,9.0,53.0,312.0,7.0,232.0,8.0,71.0,111.0,12.0,87.0,,61.0,9.0,16.0,18.0,502.0,10.0,,78.0,85.0,10.0,45.0,9.0,14.0,11.0,102.0,8.0,11.0,34.0,10.0,42.0,47.0,236.0,241.0,24.0,2.0,6.0,57.0,3.0,9.0,36.0,,1.0,17.0,1.0,,10.0,1.0,5.0,3.0,13.0,12.0,,3.0,,4.0,18.0,7.0,1.0,9.0,,,1.0,,,3.0,6.0,8.0,27.0,,1.0,17.0,1.0,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
USA_USL_Championship,2017,Saint Louis FC,bwyk5icogeuog3w979czqa02d,M. Bjurman,Midfielder,11,9.0,1812.0,14.0,,693.0,205.0,324.0,7.0,20.0,22.0,3.0,46.0,250.0,240.0,33.0,126.0,706.0,9.0,532.0,31.0,146.0,190.0,23.0,118.0,,90.0,21.0,40.0,42.0,996.0,27.0,1.0,136.0,162.0,10.0,90.0,28.0,28.0,12.0,210.0,17.0,34.0,14.0,27.0,74.0,149.0,549.0,560.0,74.0,2.0,21.0,120.0,12.0,14.0,62.0,,6.0,41.0,2.0,1.0,4.0,2.0,15.0,8.0,4.0,22.0,,4.0,,6.0,50.0,7.0,3.0,28.0,,,1.0,7.0,2.0,3.0,5.0,,7.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2017,Saint Louis FC,6asw8cs421jmgxridtw5otzh1,E. Cabalceta,Defender,30,5.0,727.0,1.0,5.0,349.0,18.0,96.0,10.0,33.0,4.0,1.0,8.0,92.0,197.0,12.0,41.0,367.0,10.0,264.0,12.0,74.0,80.0,1.0,53.0,,36.0,8.0,10.0,26.0,499.0,10.0,3.0,45.0,185.0,10.0,36.0,29.0,8.0,1.0,68.0,43.0,13.0,5.0,10.0,24.0,84.0,280.0,293.0,23.0,2.0,9.0,32.0,3.0,33.0,21.0,,2.0,,,,,3.0,4.0,1.0,1.0,4.0,,,,2.0,3.0,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2017,Saint Louis FC,bst0cnba7qhy8yea6hng4enyt,W. Charpie,Defender,22,53.0,1464.0,106.0,11.0,734.0,137.0,300.0,31.0,51.0,11.0,2.0,13.0,288.0,298.0,27.0,106.0,741.0,26.0,553.0,23.0,157.0,126.0,15.0,166.0,32.0,90.0,15.0,32.0,44.0,1158.0,19.0,7.0,102.0,270.0,10.0,70.0,31.0,15.0,6.0,134.0,48.0,25.0,53.0,19.0,51.0,208.0,578.0,584.0,32.0,2.0,23.0,64.0,4.0,22.0,51.0,,4.0,2.0,,,14.0,5.0,4.0,,11.0,5.0,,2.0,,7.0,19.0,1.0,14.0,19.0,,1.0,,,1.0,,9.0,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2017,Saint Louis FC,807o9aah2y5z9bk70c4s0c89h,A. Cochran,Defender,4,1.0,1664.0,1.0,13.0,870.0,28.0,225.0,43.0,89.0,6.0,3.0,29.0,219.0,482.0,27.0,112.0,908.0,17.0,602.0,24.0,201.0,285.0,2.0,132.0,,69.0,19.0,11.0,70.0,1145.0,19.0,21.0,52.0,453.0,10.0,85.0,105.0,2.0,,135.0,95.0,27.0,1.0,19.0,21.0,142.0,680.0,707.0,83.0,5.0,17.0,50.0,10.0,43.0,31.0,,,,1.0,,,3.0,3.0,2.0,2.0,5.0,,2.0,,9.0,13.0,2.0,,54.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2017,Saint Louis FC,6zmdzhx72ydq7lgvn9fstltcl,S. Dalgaard,Midfielder,7,21.0,1262.0,4.0,2.0,451.0,112.0,234.0,6.0,20.0,11.0,1.0,22.0,250.0,117.0,17.0,93.0,458.0,25.0,325.0,15.0,113.0,130.0,12.0,122.0,2.0,83.0,14.0,18.0,15.0,755.0,20.0,2.0,157.0,131.0,10.0,88.0,20.0,30.0,26.0,194.0,15.0,16.0,24.0,20.0,84.0,85.0,338.0,345.0,37.0,1.0,11.0,106.0,6.0,9.0,73.0,,6.0,24.0,1.0,1.0,6.0,1.0,11.0,10.0,27.0,22.0,,6.0,,13.0,32.0,11.0,4.0,15.0,1.0,,1.0,3.0,1.0,1.0,7.0,2.0,5.0,,,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
