root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Open Play Passes,Goals from Inside Box,Successful Open Play Passes,Leftside Passes,Ground Duels lost,Unsuccessful Short Passes,Successful Lay-offs,Unsuccessful Passes Own Half,Aerial Duels won,Penalty Goals Conceded,Goals Conceded Inside Box,Successful Passes Opposition Half,Appearances,Goals Conceded,Goals from Outside Box,Aerial Duels,Left Foot Goals,Total Fouls Won,Index,Backward Passes,Touches,Total Passes,Substitute Off,Handballs conceded,Total Successful Passes ( Excl Crosses & Corners ) ,Substitute On,Successful Passes Own Half,Foul Attempted Tackle,Goals Conceded Outside Box,Times Tackled,Offsides,Total Losses Of Possession,Unsuccessful Dribbles,Duels lost,Total Unsuccessful Passes ( Excl Crosses & Corners ),Total Shots,Starts,Ground Duels,PutThrough/Blocked Distribution Won,Goals,Shots On Target ( inc goals ),Ground Duels won,Right Foot Goals,Total Touches In Opposition Box,Unsuccessful Passes Opposition Half,Rightside Passes,PutThrough/Blocked Distribution,Overruns,Total Fouls Conceded,Aerial Duels lost,Forward Passes,Time Played,Recoveries,Games Played,Duels won,Shots Off Target (inc woodwork),Successful Short Passes,Successful Dribbles,Yellow Cards,Duels,Home Goals,Away Goals,Winning Goal,Key Passes (Attempt Assists),Through balls,Successful Crosses & Corners,Corners Won,Unsuccessful Launches,Successful Launches,Successful Long Passes,Unsuccessful Long Passes,Interceptions,Total Clearances,Blocked Shots,Tackles Lost,Corners Taken (incl short corners),Unsuccessful Crosses open play,Attempts from Set Pieces,Unsuccessful Corners into Box,Successful Corners into Box,Tackles Won,Unsuccessful Crosses & Corners,Throw Ins to Own Player,Total Tackles,Clean Sheets,Successful Crosses open play,Blocks,Goal Assists,Unsuccessful lay-offs,Goal Kicks,GK Successful Distribution,Throw Ins to Opposition Player,GK Unsuccessful Distribution,Saves Made from Outside Box,Saves Made from Inside Box,Saves made - parried,Drops,Saves Made,Catches,Penalties Faced,Penalties Conceded,Straight Red Cards,Total Red Cards,Foul Won Penalty,Assists (Intentional),Hit Woodwork,Headed Goals,Punches,Penalty Goals,Penalties Taken,Set Pieces Goals,Red Cards - 2nd Yellow,Crosses not Claimed,Own Goal Scored,Saves made - caught,Goalkeeper Smother,Clearances Off the Line,Saves from Penalty,Penalties Saved,Last Player Tackle,Second Goal Assists,Penalties Off Target
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,French Guiana,French_Guiana,ez5qi7ygxfxcf4dk7c3dy70lx,A. Abelinti,Forward,0,13.0,,10.0,3.0,8.0,3.0,,1.0,,,,10.0,2.0,,,2.0,,3.0,10.0,7.0,30.0,14.0,1.0,,11.0,1.0,1.0,1.0,,3.0,,8.0,2.0,10.0,3.0,2.0,1.0,14.0,,,,6.0,,5.0,2.0,,,,3.0,2.0,4.0,98.0,1.0,2.0,6.0,2.0,10.0,2.0,1.0,16.0,,,0.0,,1.0,,,,,1.0,,,,2.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,French Guiana,French_Guiana,f2dkz5j5uycpntmojda8c019m,S. Alontoesa,Midfielder,0,10.0,,4.0,,7.0,5.0,,,,1.0,2.0,2.0,1.0,2.0,,1.0,,1.0,10.0,2.0,24.0,10.0,1.0,,4.0,,2.0,,,5.0,,15.0,4.0,8.0,6.0,2.0,1.0,8.0,,,1.0,1.0,,1.0,7.0,4.0,,,,1.0,4.0,82.0,,1.0,1.0,1.0,3.0,,,9.0,,,0.0,,,,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,French Guiana,French_Guiana,5qno501ojp2xsfvzeuejdpct0,K. Baal,Forward,0,15.0,,10.0,2.0,4.0,3.0,,,,,1.0,9.0,2.0,1.0,,,,1.0,10.0,2.0,26.0,15.0,1.0,,10.0,1.0,2.0,,,3.0,,10.0,2.0,4.0,5.0,1.0,1.0,6.0,,,,2.0,,2.0,7.0,4.0,,,,,7.0,70.0,6.0,2.0,2.0,1.0,9.0,1.0,,6.0,,,0.0,,,1.0,,1.0,,1.0,2.0,1.0,,,,,2.0,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,French Guiana,French_Guiana,4fg9782f08hchiwpnh92rxgid,L. Baal,Midfielder,0,125.0,,103.0,47.0,13.0,17.0,,5.0,,,7.0,48.0,4.0,7.0,,4.0,,4.0,10.0,17.0,172.0,128.0,1.0,1.0,106.0,,59.0,5.0,,4.0,,32.0,4.0,17.0,22.0,2.0,4.0,29.0,1.0,,1.0,16.0,,3.0,19.0,15.0,5.0,,7.0,4.0,49.0,355.0,24.0,4.0,16.0,1.0,95.0,1.0,,33.0,,,0.0,2.0,,1.0,,2.0,,11.0,5.0,6.0,2.0,,3.0,2.0,1.0,,1.0,,8.0,2.0,,11.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,French Guiana,French_Guiana,dpl5m66fi4moteuftl4ha0atx,Ludovic Baal,Defender,0,108.0,1.0,90.0,17.0,13.0,16.0,,4.0,,,1.0,50.0,4.0,1.0,,1.0,1.0,3.0,10.0,16.0,147.0,110.0,4.0,,92.0,,42.0,1.0,,11.0,,38.0,3.0,14.0,18.0,1.0,4.0,23.0,1.0,1.0,1.0,10.0,,1.0,17.0,33.0,4.0,,2.0,1.0,44.0,226.0,21.0,4.0,10.0,,86.0,1.0,,24.0,0.0,1.0,0.0,2.0,,,,1.0,1.0,6.0,2.0,2.0,1.0,,1.0,,2.0,,,,5.0,3.0,,6.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,French Guiana,French_Guiana,5fpxnfeekzgqpxhx0yg14wh04,J. Benice,Defender,0,8.0,,8.0,3.0,,,,,,,,4.0,1.0,,,,,,10.0,1.0,12.0,9.0,,,9.0,1.0,5.0,,,,,,,,,,,,,,,,,,,1.0,,,,,4.0,7.0,2.0,1.0,,,8.0,,,,,,0.0,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,French Guiana,French_Guiana,44gwubtw9t5p2brlnbpp9nkt0,R. Besini,Forward,0,6.0,,5.0,,,1.0,,,,,4.0,3.0,2.0,4.0,,1.0,,,10.0,2.0,9.0,6.0,,,5.0,2.0,2.0,,,,,2.0,,1.0,1.0,,,,,,,,,2.0,1.0,3.0,,1.0,,1.0,1.0,43.0,,2.0,,,5.0,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,French Guiana,French_Guiana,f3nawpza39coynef6gpg0cl5g,B. Boecasse,Defender,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,French Guiana,French_Guiana,5osf61so8i5eo80fu08worn6c,M. Buisan,Goalkeeper,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,French Guiana,French_Guiana,mpdixksrrpwak67vpqbf7lzo,Z. Charlec,Midfielder,0,48.0,,39.0,14.0,5.0,4.0,,1.0,,,4.0,11.0,2.0,4.0,,,,1.0,10.0,9.0,66.0,49.0,,,40.0,,29.0,2.0,,2.0,,13.0,1.0,5.0,9.0,,2.0,8.0,1.0,,,3.0,,,8.0,10.0,1.0,1.0,3.0,,16.0,158.0,13.0,2.0,3.0,,37.0,,,8.0,,,0.0,,,,,1.0,,3.0,5.0,2.0,3.0,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,
