root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Unsuccessful Passes Own Half,Successful Open Play Passes,Ground Duels lost,Aerial Duels,Successful Dribbles,Duels won,Backward Passes,Key Passes (Attempt Assists),Throw Ins to Own Player,Tackles Won,Total Unsuccessful Passes ( Excl Crosses & Corners ),Shots On Target ( inc goals ),Substitute On,Forward Passes,Blocked Shots,Aerial Duels lost,Unsuccessful Crosses & Corners,Throw Ins to Opposition Player,Corners Won,Open Play Passes,Handballs conceded,Aerial Duels won,Foul Attempted Tackle,Rightside Passes,Unsuccessful Passes Opposition Half,Unsuccessful Dribbles,Successful Crosses open play,Goals Conceded,Shots Off Target (inc woodwork),Successful Long Passes,Offsides,Unsuccessful Crosses open play,Duels,Total Fouls Conceded,Goals Conceded Inside Box,Yellow Cards,Total Fouls Won,Successful Passes Own Half,Successful Passes Opposition Half,Unsuccessful Short Passes,Total Losses Of Possession,Ground Duels,Index,Successful Crosses & Corners,Penalties Conceded,Penalty Goals Conceded,Successful Lay-offs,Touches,Goals Conceded Outside Box,Leftside Passes,Total Touches In Opposition Box,Total Tackles,Unsuccessful Long Passes,Appearances,Total Successful Passes ( Excl Crosses & Corners ) ,Recoveries,Time Played,Successful Short Passes,PutThrough/Blocked Distribution Won,PutThrough/Blocked Distribution,Games Played,Ground Duels won,Total Shots,Total Passes,Total Clearances,Tackles Lost,Interceptions,Through balls,Unsuccessful Launches,Times Tackled,Blocks,Duels lost,Starts,Home Goals,Away Goals,Winning Goal,Assists (Intentional),Goal Assists,Successful Launches,Substitute Off,Right Foot Goals,Goals,Goals from Inside Box,Left Foot Goals,Red Cards - 2nd Yellow,Foul Won Penalty,Hit Woodwork,Total Red Cards,Penalty Goals,Penalties Taken,Set Pieces Goals,Attempts from Set Pieces,Unsuccessful lay-offs,Headed Goals,Penalties Faced,Last Man Tackle,GK Successful Distribution,Saves Made from Outside Box,Punches,Saves Made from Inside Box,Drops,Clean Sheets,Saves Made,Corners Taken (incl short corners),Catches,Saves made - parried,Saves from Penalty,Saves made - caught,GK Unsuccessful Distribution,Unsuccessful Corners into Box,Penalties Saved,Straight Red Cards,Successful Corners into Box,Second Goal Assists,Goalkeeper Smother,Goals from Outside Box,Clearances Off the Line,Own Goal Scored,Other Goals,Crosses not Claimed,Penalties Off Target
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2022,Toronto FC II,Toronto_FC_II,dfnus4g6zypd1xcec6x7p85ey,L. Accettola,Midfielder,75,2.0,48.0,6.0,1.0,2.0,10.0,16.0,,,2.0,9.0,,5.0,17.0,4.0,1.0,1.0,,1.0,57.0,,,1.0,12.0,8.0,1.0,,3.0,2.0,1.0,,,17.0,1.0,3.0,,5.0,25.0,25.0,6.0,17.0,16.0,10.0,,,1.0,,86.0,,14.0,3.0,3.0,3.0,6.0,50.0,8.0,160.0,49.0,,1.0,6.0,10.0,2.0,59.0,,1.0,1.0,,1.0,4.0,,7.0,1.0,0.0,0.0,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2022,Toronto FC II,Toronto_FC_II,c760g3hvhvi7nra7gpdrynn1m,J. Altobelli,Midfielder,82,13.0,213.0,61.0,20.0,18.0,58.0,89.0,7.0,3.0,6.0,51.0,15.0,12.0,59.0,3.0,14.0,9.0,,4.0,264.0,1.0,6.0,4.0,70.0,47.0,24.0,,20.0,11.0,16.0,2.0,4.0,133.0,11.0,17.0,7.0,25.0,81.0,144.0,44.0,129.0,113.0,10.0,,,,9.0,465.0,3.0,58.0,40.0,9.0,7.0,23.0,225.0,36.0,1033.0,209.0,5.0,15.0,23.0,52.0,26.0,276.0,3.0,3.0,4.0,1.0,2.0,44.0,1.0,75.0,11.0,2.0,3.0,3.0,3.0,3.0,,10.0,5.0,5.0,4.0,,,1.0,2.0,,,,,,1.0,,,,,,,,,,,3.0,,,,,,3.0,,,,,,1.0,,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2022,Toronto FC II,Toronto_FC_II,6wbtc3di25kcbqrat4pcwo5m2,T. Antonoglou,Midfielder,81,49.0,808.0,88.0,14.0,26.0,95.0,218.0,26.0,133.0,24.0,134.0,16.0,1.0,214.0,4.0,7.0,60.0,9.0,15.0,936.0,1.0,7.0,18.0,505.0,145.0,21.0,12.0,28.0,12.0,80.0,7.0,33.0,190.0,29.0,26.0,6.0,23.0,426.0,453.0,95.0,288.0,176.0,10.0,28.0,,1.0,2.0,1565.0,2.0,48.0,56.0,39.0,39.0,22.0,851.0,133.0,1942.0,771.0,32.0,46.0,22.0,88.0,28.0,985.0,23.0,15.0,44.0,2.0,12.0,41.0,3.0,95.0,21.0,1.0,5.0,0.0,4.0,4.0,5.0,3.0,,6.0,4.0,4.0,,1.0,,,,1.0,1.0,7.0,,2.0,,,,,,,,5.0,,47.0,,,,,,22.0,,,16.0,,,2.0,,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2022,Toronto FC II,Toronto_FC_II,ajrliesse5lkknkl4599bfk2y,A. Carlini,Midfielder,85,2.0,115.0,15.0,4.0,2.0,11.0,40.0,4.0,1.0,1.0,13.0,1.0,5.0,27.0,,4.0,2.0,,,128.0,,,2.0,36.0,13.0,1.0,,4.0,2.0,7.0,2.0,1.0,30.0,5.0,4.0,2.0,7.0,52.0,66.0,12.0,25.0,26.0,10.0,,,,,171.0,,28.0,9.0,2.0,1.0,10.0,118.0,22.0,426.0,111.0,2.0,3.0,10.0,11.0,3.0,131.0,3.0,1.0,2.0,,,6.0,,19.0,5.0,0.0,1.0,0.0,,,1.0,5.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2022,Toronto FC II,Toronto_FC_II,6twhs1y8bihm7vc9dib8hgezt,K. Çela,Defender,34,5.0,154.0,3.0,4.0,,7.0,11.0,1.0,,1.0,10.0,,,59.0,,2.0,,,,164.0,,2.0,1.0,39.0,5.0,,1.0,5.0,1.0,8.0,,,12.0,2.0,5.0,1.0,2.0,132.0,29.0,5.0,12.0,8.0,10.0,1.0,,,,204.0,,61.0,2.0,3.0,5.0,4.0,160.0,11.0,300.0,152.0,,1.0,4.0,5.0,1.0,170.0,11.0,2.0,4.0,,3.0,1.0,2.0,5.0,4.0,0.0,0.0,0.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2022,Toronto FC II,Toronto_FC_II,41fep3jlo1ieyq9hvpmsl6wvd,K. Chung,Defender,12,9.0,172.0,20.0,4.0,7.0,21.0,65.0,6.0,21.0,7.0,27.0,2.0,3.0,50.0,1.0,4.0,7.0,2.0,2.0,199.0,,,3.0,20.0,25.0,5.0,6.0,7.0,1.0,14.0,,6.0,45.0,6.0,6.0,2.0,5.0,95.0,89.0,16.0,53.0,41.0,10.0,7.0,,,,310.0,1.0,69.0,5.0,9.0,11.0,9.0,177.0,19.0,379.0,163.0,4.0,7.0,9.0,21.0,3.0,204.0,6.0,2.0,9.0,,4.0,10.0,1.0,24.0,6.0,1.0,0.0,0.0,1.0,1.0,1.0,6.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,1.0,,,1.0,1.0,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2022,Toronto FC II,Toronto_FC_II,3wn0nn5q8g2mjzuc8yb4dvu2,M. Cimermancic,Midfielder,71,29.0,374.0,54.0,10.0,15.0,48.0,98.0,11.0,6.0,15.0,73.0,,5.0,120.0,,4.0,3.0,2.0,,445.0,,6.0,8.0,118.0,47.0,8.0,1.0,16.0,1.0,19.0,2.0,3.0,106.0,13.0,15.0,2.0,6.0,192.0,195.0,63.0,125.0,96.0,10.0,1.0,,2.0,4.0,606.0,1.0,123.0,4.0,21.0,10.0,15.0,386.0,58.0,975.0,367.0,5.0,12.0,15.0,42.0,1.0,459.0,7.0,6.0,18.0,4.0,4.0,24.0,2.0,58.0,10.0,0.0,0.0,0.0,1.0,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2022,Toronto FC II,Toronto_FC_II,ekok8abryabgzadxjcg5dhes4,Alonso Coello,Midfielder,52,55.0,1344.0,75.0,30.0,25.0,147.0,200.0,19.0,2.0,42.0,208.0,5.0,1.0,444.0,6.0,14.0,6.0,,4.0,1549.0,1.0,16.0,23.0,454.0,159.0,8.0,,40.0,1.0,136.0,,2.0,236.0,33.0,37.0,3.0,27.0,770.0,633.0,139.0,263.0,206.0,10.0,,,2.0,3.0,1920.0,3.0,513.0,12.0,79.0,69.0,25.0,1403.0,183.0,2188.0,1267.0,13.0,26.0,25.0,131.0,6.0,1611.0,27.0,37.0,35.0,4.0,10.0,30.0,8.0,89.0,24.0,0.0,1.0,1.0,,,3.0,2.0,1.0,1.0,1.0,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,5.0,,4.0,,,,,,4.0,,,,1.0,,,,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2022,Toronto FC II,Toronto_FC_II,c71n0j2gn476m4fzwxldxfms4,A. Ćurić,Midfielder,65,43.0,852.0,23.0,53.0,3.0,66.0,49.0,3.0,4.0,13.0,81.0,1.0,1.0,297.0,1.0,22.0,,1.0,1.0,932.0,2.0,31.0,11.0,348.0,38.0,,,26.0,4.0,59.0,2.0,,111.0,18.0,23.0,3.0,13.0,671.0,206.0,49.0,95.0,58.0,10.0,,1.0,1.0,,1125.0,3.0,264.0,12.0,20.0,32.0,17.0,877.0,99.0,1467.0,818.0,5.0,8.0,17.0,35.0,5.0,958.0,47.0,7.0,27.0,,12.0,3.0,13.0,45.0,16.0,0.0,0.0,0.0,,,12.0,2.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2022,Toronto FC II,Toronto_FC_II,3hyk3ob08p92p45w8ox6pphjo,J. Daher,Defender,63,4.0,25.0,3.0,1.0,1.0,15.0,5.0,,8.0,7.0,10.0,,,18.0,,1.0,,4.0,,35.0,,,1.0,13.0,6.0,,,3.0,,,,,19.0,2.0,3.0,,1.0,12.0,14.0,9.0,17.0,18.0,10.0,,,1.0,,71.0,,,,13.0,1.0,1.0,26.0,6.0,81.0,26.0,1.0,4.0,1.0,15.0,,36.0,1.0,6.0,,,1.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
