liga,temporada,equipo,id,nombre,posicion,dorsal,Total Tackles,Throw Ins to Own Player,Total Clearances,Successful Short Passes,Tackles Won,Corners Won,Ground Duels won,Aerial Duels,Unsuccessful Passes Own Half,Games Played,Successful Open Play Passes,Rightside Passes,Forward Passes,Tackles Lost,Substitute Off,Successful Passes Own Half,Overruns,Through balls,Backward Passes,PutThrough/Blocked Distribution Won,Time Played,Appearances,Goal Assists,Unsuccessful Passes Opposition Half,Duels won,Open Play Passes,Unsuccessful Short Passes,Ground Duels,Unsuccessful Crosses open play,Shots Off Target (inc woodwork),Aerial Duels won,Leftside Passes,Unsuccessful Dribbles,Total Successful Passes ( Excl Crosses & Corners ) ,Total Touches In Opposition Box,Successful Lay-offs,Clean Sheets,Recoveries,Starts,Total Losses Of Possession,PutThrough/Blocked Distribution,Touches,Total Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Aerial Duels lost,Successful Dribbles,Ground Duels lost,Duels,Successful Passes Opposition Half,Index,Duels lost,Shots On Target ( inc goals ),Substitute On,Unsuccessful Crosses & Corners,Total Shots,Times Tackled,Total Fouls Won,Winning Goal,Goals Conceded Inside Box,Unsuccessful Long Passes,Successful Long Passes,Goals Conceded,Interceptions,Unsuccessful Launches,Throw Ins to Opposition Player,Key Passes (Attempt Assists),Successful Launches,Goals from Inside Box,Right Foot Goals,Left Foot Goals,Offsides,Total Fouls Conceded,Unsuccessful lay-offs,Goals,Home Goals,Away Goals,Successful Crosses & Corners,Unsuccessful Corners into Box,Assists (Intentional),Foul Attempted Tackle,Blocks,Successful Corners into Box,Corners Taken (incl short corners),Successful Crosses open play,Blocked Shots,GK Successful Distribution,Goal Kicks,Penalty Goals,Penalties Taken,Yellow Cards,Handballs conceded,Clearances Off the Line,Second Goal Assists,Foul Won Penalty,Goals from Outside Box,Red Cards - 2nd Yellow,Total Red Cards,Punches,Saves Made,GK Unsuccessful Distribution,Saves Made from Inside Box,Last Player Tackle,Saves Made from Outside Box,Goals Conceded Outside Box,Hit Woodwork,Attempts from Set Pieces,Goalkeeper Smother,Drops,Penalties Faced,Penalties Saved,Saves made - parried,Saves from Penalty,Straight Red Cards,Penalties Conceded
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,El Salvador,990a78qog5s39rlyfmbyb2d7u,E. Alvarado,Midfielder,25,3.0,,,7.0,2.0,,4.0,1.0,2.0,1.0,8.0,,5.0,1.0,1.0,5.0,,,2.0,,73.0,1.0,,3.0,5.0,13.0,4.0,6.0,,,1.0,6.0,,8.0,,,,2.0,1.0,5.0,,19.0,13.0,5.0,,,2.0,7.0,3.0,10.0,2.0,,,,,,1.0,0.0,,1.0,1.0,,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,El Salvador,b7s0uzl5uzqqhuhg3ng8lnbvt,K. Carabantes,Goalkeeper,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,El Salvador,9vkgwmwf1dv1i8x50k3vp3xpm,M. Cartagena,Midfielder,23,2.0,,2.0,50.0,1.0,,6.0,1.0,1.0,2.0,51.0,21.0,14.0,1.0,1.0,38.0,,,18.0,1.0,135.0,2.0,,14.0,7.0,66.0,9.0,9.0,,,1.0,15.0,1.0,53.0,,,1.0,9.0,2.0,18.0,3.0,86.0,68.0,15.0,,1.0,3.0,10.0,15.0,10.0,3.0,,,,,1.0,3.0,0.0,1.0,6.0,3.0,1.0,2.0,2.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,El Salvador,cfwq92464n375vbq9dewklvdg,M. Cerritos,Midfielder,26,2.0,,4.0,27.0,2.0,,3.0,6.0,,3.0,30.0,14.0,7.0,,1.0,20.0,,,4.0,2.0,126.0,3.0,,11.0,5.0,40.0,9.0,9.0,1.0,,2.0,15.0,,30.0,,1.0,,,1.0,14.0,5.0,61.0,40.0,10.0,4.0,1.0,6.0,15.0,10.0,10.0,10.0,,2.0,1.0,,1.0,,0.0,2.0,1.0,3.0,3.0,1.0,,,,,,,,1.0,4.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,El Salvador,4i0iq31lu0vvjfgk8kqyec72t,D. Cerén,Midfielder,7,2.0,,,37.0,1.0,,6.0,3.0,8.0,3.0,44.0,12.0,34.0,1.0,1.0,20.0,,,3.0,1.0,123.0,3.0,,8.0,7.0,60.0,12.0,11.0,,,1.0,12.0,1.0,45.0,,1.0,,9.0,1.0,20.0,2.0,73.0,61.0,16.0,2.0,,5.0,14.0,25.0,10.0,7.0,,2.0,,,3.0,4.0,0.0,2.0,4.0,8.0,3.0,1.0,2.0,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,El Salvador,cbl77jgbrk2flhnk71nkuvcvd,J. Cruz,Defender,4,6.0,,6.0,82.0,4.0,,7.0,8.0,,2.0,87.0,44.0,47.0,2.0,,71.0,,1.0,2.0,,180.0,2.0,,17.0,11.0,102.0,5.0,10.0,,,4.0,13.0,,89.0,,,1.0,4.0,2.0,19.0,,127.0,106.0,17.0,4.0,,3.0,18.0,18.0,10.0,7.0,,,,,,1.0,0.0,1.0,12.0,7.0,2.0,3.0,7.0,,,2.0,,,,,4.0,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,El Salvador,9pwxnznkg0t5pjvpm3gc7ic45,R. Domínguez,Defender,3,1.0,,7.0,7.0,,,1.0,2.0,,1.0,6.0,3.0,2.0,1.0,,7.0,,,3.0,,90.0,1.0,,1.0,2.0,7.0,,5.0,,,1.0,1.0,,8.0,1.0,,,2.0,1.0,3.0,,22.0,9.0,1.0,1.0,,4.0,7.0,1.0,10.0,5.0,,,,,,,0.0,2.0,1.0,1.0,2.0,,,,,,,,,,2.0,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,El Salvador,1soz3fcr7wk75j2qti04goi96,E. Dueñas Hernández,Midfielder,10,4.0,,,29.0,2.0,2.0,8.0,5.0,1.0,2.0,33.0,15.0,7.0,2.0,,9.0,,,14.0,4.0,107.0,2.0,,11.0,8.0,39.0,5.0,13.0,5.0,,,3.0,2.0,33.0,,2.0,,10.0,1.0,21.0,6.0,73.0,39.0,6.0,5.0,2.0,5.0,18.0,28.0,10.0,10.0,,1.0,6.0,,5.0,2.0,0.0,1.0,1.0,4.0,2.0,,1.0,,4.0,1.0,,,,,,1.0,,,,4.0,,,,,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,El Salvador,3gs9waql11dn4ky3g6p5a347o,D. Flores,Defender,5,4.0,25.0,9.0,63.0,3.0,2.0,9.0,3.0,9.0,3.0,59.0,29.0,38.0,1.0,,37.0,,1.0,15.0,4.0,270.0,3.0,,14.0,10.0,76.0,11.0,17.0,4.0,1.0,1.0,3.0,3.0,66.0,,,1.0,14.0,3.0,39.0,12.0,164.0,85.0,19.0,2.0,,8.0,20.0,29.0,10.0,10.0,,,4.0,1.0,5.0,5.0,0.0,3.0,8.0,3.0,4.0,3.0,5.0,7.0,2.0,2.0,,,,,4.0,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,El Salvador,alcsob4r4cteko0p7n99lwpka,B. Gil,Forward,9,,,1.0,20.0,,,2.0,11.0,1.0,2.0,17.0,6.0,8.0,,1.0,3.0,,,8.0,1.0,167.0,2.0,,5.0,5.0,23.0,6.0,12.0,,2.0,3.0,4.0,1.0,20.0,8.0,,,1.0,2.0,19.0,2.0,49.0,26.0,6.0,8.0,2.0,10.0,23.0,17.0,10.0,18.0,,,,2.0,5.0,,0.0,1.0,,,2.0,,,,1.0,,,,,2.0,5.0,,,,,,,,2.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,El Salvador,w0yrcf7zojb1b9p0gvuz0qg9,M. González,Goalkeeper,1,,,3.0,35.0,,,3.0,,3.0,3.0,22.0,15.0,55.0,,,37.0,,,,,270.0,3.0,,36.0,3.0,37.0,,4.0,,,,13.0,,44.0,,,1.0,21.0,3.0,40.0,,105.0,83.0,39.0,,,1.0,4.0,7.0,10.0,1.0,,,,,,3.0,0.0,3.0,39.0,9.0,4.0,,17.0,,,3.0,,,,,,,,,,,,,,,,,,,19.0,22.0,,,,,,,,,,,2.0,6.0,9.0,5.0,,1.0,1.0,,,1.0,2.0,1.0,1.0,1.0,1.0,,
