liga,temporada,equipo,id,nombre,posicion,dorsal,Open Play Passes,Substitute On,Successful Open Play Passes,Successful Short Passes,Games Played,Successful Passes Opposition Half,Total Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Time Played,Forward Passes,Appearances,Index,Touches,Home Goals,Away Goals,Winning Goal,Duels lost,Ground Duels,Ground Duels won,Total Shots,Unsuccessful Short Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Unsuccessful Launches,Recoveries,Unsuccessful Long Passes,Clean Sheets,Times Tackled,Unsuccessful Passes Own Half,Total Touches In Opposition Box,Aerial Duels won,Blocks,Successful Passes Own Half,Goals Conceded Outside Box,Interceptions,Ground Duels lost,Total Clearances,Foul Attempted Tackle,Leftside Passes,Backward Passes,Rightside Passes,PutThrough/Blocked Distribution,Aerial Duels,Tackles Won,Unsuccessful Passes Opposition Half,Unsuccessful Dribbles,Duels,Goals Conceded,Successful Dribbles,Total Fouls Conceded,Goals Conceded Inside Box,Starts,Total Tackles,Shots Off Target (inc woodwork),Successful Long Passes,Duels won,Total Losses Of Possession,Total Fouls Won,PutThrough/Blocked Distribution Won,Shots On Target ( inc goals ),Blocked Shots,Yellow Cards,Offsides,Unsuccessful Crosses & Corners,Aerial Duels lost,Goals,Attempts from Set Pieces,Unsuccessful Crosses open play,Substitute Off,Goals from Inside Box,Tackles Lost,Key Passes (Attempt Assists),Left Foot Goals,GK Unsuccessful Distribution,Saves Made from Inside Box,Saves Made,GK Successful Distribution,Through balls,Corners Won,Goal Assists,Assists (Intentional),Successful Lay-offs,Throw Ins to Own Player,Right Foot Goals,Corners Taken (incl short corners),Goals from Outside Box,Unsuccessful Corners into Box,Second Goal Assists,Successful Launches,Successful Crosses & Corners,Successful Crosses open play,Foul Won Penalty,Handballs conceded,Successful Corners into Box,Penalties Taken,Penalty Goals,Throw Ins to Opposition Player,Saves made - parried,Punches,Catches,Goalkeeper Smother,Saves Made from Outside Box,Clearances Off the Line,Hit Woodwork,Penalty Goals Conceded,Drops,Penalties Faced,Penalties Conceded,Straight Red Cards,Total Red Cards,Unsuccessful lay-offs,Headed Goals
Concacaf_Leagues_Cup_2019_2022,2021,Sporting Kansas City,dq6datcirhjvuslw4d3xbxzhl,G. Barber,Midfielder,19,16.0,,10.0,10.0,1.0,8.0,16.0,10.0,90.0,1.0,1.0,10.0,32.0,0.0,0.0,0.0,7.0,6.0,1.0,2.0,5.0,6.0,,2.0,1.0,,3.0,,8.0,,,2.0,1.0,,5.0,,2.0,9.0,4.0,2.0,3.0,2.0,,10.0,2.0,8.0,6.0,1.0,2.0,5.0,1.0,,,,1.0,16.0,,,2.0,,,1.0,4.0,2.0,,,4.0,,,,2.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Sporting Kansas City,1nnd0b4qwlni7tqot2n2st4yy,O. Cisneros,Forward,25,14.0,,12.0,12.0,1.0,10.0,14.0,12.0,90.0,4.0,1.0,10.0,25.0,0.0,0.0,0.0,6.0,5.0,,1.0,1.0,2.0,1.0,2.0,1.0,,1.0,2.0,2.0,2.0,,2.0,1.0,,5.0,,2.0,3.0,2.0,5.0,1.0,3.0,,2.0,,8.0,6.0,,2.0,5.0,1.0,,1.0,,2.0,10.0,,,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Sporting Kansas City,7f1q3d59u9n16v9xrskfxqsq1,A. Dia,Defender,13,31.0,,24.0,25.0,1.0,17.0,32.0,25.0,90.0,13.0,1.0,10.0,47.0,0.0,0.0,0.0,4.0,4.0,,,6.0,7.0,,5.0,1.0,,2.0,1.0,,1.0,,8.0,1.0,3.0,4.0,,1.0,,4.0,15.0,1.0,1.0,,8.0,1.0,5.0,6.0,,2.0,5.0,1.0,,,,1.0,12.0,,,,,,,2.0,,,,2.0,,,,,,,,,,1.0,1.0,,,,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Sporting Kansas City,9qhpi9y9iujvkbocafhgrj04q,C. Duke,Midfielder,28,12.0,1.0,10.0,9.0,1.0,10.0,12.0,10.0,45.0,7.0,1.0,10.0,21.0,1.0,0.0,0.0,2.0,5.0,3.0,2.0,1.0,2.0,,2.0,1.0,,1.0,,3.0,,,,,1.0,2.0,,,2.0,3.0,,,,,3.0,,5.0,3.0,,,3.0,,,1.0,1.0,3.0,5.0,3.0,,1.0,,,,1.0,,1.0,,1.0,,1.0,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Sporting Kansas City,16dmszlgoxqwzncidglrv9j9x,R. Espinoza,Midfielder,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Sporting Kansas City,89ixapo4jd0qy98gmvl4a6jje,W. Harris,Forward,96,10.0,,6.0,11.0,1.0,6.0,17.0,13.0,90.0,4.0,1.0,10.0,33.0,0.0,0.0,0.0,5.0,7.0,2.0,2.0,4.0,4.0,,4.0,,,5.0,,5.0,,1.0,7.0,1.0,,5.0,,,4.0,6.0,3.0,,,,4.0,1.0,7.0,6.0,,,5.0,1.0,,1.0,2.0,2.0,10.0,2.0,,1.0,2.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Sporting Kansas City,2kcvwgrqcwgsisxo2lulusq1h,G. Kinda,Midfielder,17,14.0,1.0,12.0,14.0,1.0,9.0,16.0,14.0,45.0,5.0,1.0,10.0,25.0,0.0,0.0,0.0,2.0,4.0,2.0,,,2.0,,2.0,2.0,,1.0,,,,,5.0,,1.0,2.0,,1.0,4.0,3.0,4.0,1.0,,1.0,5.0,1.0,4.0,3.0,,1.0,3.0,,1.0,,,2.0,6.0,1.0,1.0,,1.0,,,3.0,,,,1.0,,,,,,,,,,,1.0,,,,,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Sporting Kansas City,52rcg38mijjjusfwqxa2l7hex,J. Lindsey,Defender,2,10.0,,8.0,8.0,1.0,3.0,10.0,8.0,15.0,4.0,1.0,10.0,12.0,0.0,0.0,0.0,,,,,2.0,2.0,,,,,,2.0,,,,5.0,,,,,,3.0,3.0,,1.0,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Sporting Kansas City,6j38lv6xa3gnzzsn5x2i35rdh,K. McIntosh,Goalkeeper,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Sporting Kansas City,44kah50v5w1on1mhbostzfrze,K. Pierre,Defender,24,19.0,1.0,16.0,16.0,1.0,10.0,19.0,16.0,75.0,7.0,1.0,10.0,29.0,0.0,0.0,0.0,2.0,2.0,,,2.0,3.0,,5.0,1.0,,1.0,1.0,,,,6.0,1.0,,2.0,,,5.0,6.0,1.0,,,,3.0,1.0,2.0,6.0,,,5.0,,,,,,5.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
