liga,temporada,equipo,id,nombre,posicion,dorsal,PutThrough/Blocked Distribution Won,Successful Passes Own Half,Ground Duels lost,Touches,PutThrough/Blocked Distribution,Total Tackles,Backward Passes,Tackles Lost,Games Played,Successful Open Play Passes,Aerial Duels won,Rightside Passes,Substitute On,Total Unsuccessful Passes ( Excl Crosses & Corners ),Duels lost,Ground Duels won,Ground Duels,Total Fouls Conceded,Time Played,Forward Passes,Total Passes,Total Clearances,Duels won,Foul Attempted Tackle,Aerial Duels,Open Play Passes,Appearances,Goals Conceded Inside Box,Goals Conceded,Total Losses Of Possession,Index,Successful Passes Opposition Half,Unsuccessful Short Passes,Recoveries,Successful Short Passes,Unsuccessful Passes Opposition Half,Duels,Total Successful Passes ( Excl Crosses & Corners ) ,Winning Goal,Times Tackled,Successful Crosses & Corners,Substitute Off,Successful Lay-offs,Interceptions,Leftside Passes,Assists (Intentional),Unsuccessful Long Passes,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Crosses open play,Goal Assists,Unsuccessful Crosses & Corners,Total Fouls Won,Starts,Corners Won,Unsuccessful Passes Own Half,Aerial Duels lost,Tackles Won,Successful Long Passes,Total Touches In Opposition Box,Straight Red Cards,Goals from Inside Box,Total Shots,Total Red Cards,Shots Off Target (inc woodwork),Successful Launches,Penalty Goals Conceded,Blocked Shots,Yellow Cards,Goal Kicks,Goals,Successful Dribbles,GK Successful Distribution,Clearances Off the Line,Goals from Outside Box,Goals Conceded Outside Box,Hit Woodwork,Clean Sheets,Right Foot Goals,Offsides,Throw Ins to Own Player,Key Passes (Attempt Assists),Blocks,Shots On Target ( inc goals ),Home Goals,Away Goals,Foul Won Penalty,Penalties Off Target,Overruns,Penalties Taken,Left Foot Goals,Through balls,Headed Goals,Successful Crosses open play,Unsuccessful lay-offs,Penalty Goals,Handballs conceded,Saves Made from Inside Box,GK Unsuccessful Distribution,Saves Made,Drops,Punches,Corners Taken (incl short corners),Unsuccessful Corners into Box,Successful Corners into Box,Throw Ins to Opposition Player,Second Goal Assists,Attempts from Set Pieces,Last Player Tackle,Saves Made from Outside Box,Saves made - caught,Penalties Faced,Catches,Saves made - parried,Penalties Conceded,Own Goal Scored,Red Cards - 2nd Yellow,Goalkeeper Smother,Set Pieces Goals,Penalties Saved,Saves from Penalty,Crosses not Claimed,Other Goals
USA_USL_Championship,2024,Pittsburgh Riverhounds SC,69pe2d0b9ughzcn3iqarracr8,L. Biasi,Defender,13,24.0,551.0,59.0,2046.0,47.0,53.0,114.0,11.0,32.0,1017.0,58.0,447.0,4.0,425.0,89.0,102.0,161.0,31.0,2567.0,737.0,1489.0,70.0,160.0,15.0,88.0,1428.0,32.0,20.0,22.0,534.0,10.0,521.0,191.0,124.0,923.0,339.0,249.0,1064.0,0.0,17.0,8.0,6.0,1.0,34.0,191.0,,234.0,9.0,123.0,22.0,1.0,22.0,37.0,28.0,6.0,108.0,30.0,42.0,141.0,17.0,,,6.0,1.0,3.0,30.0,1.0,1.0,8.0,,,15.0,,,,2.0,,10.0,,1.0,132.0,7.0,11.0,3.0,,,,,2.0,,,2.0,,8.0,,,2.0,,,,,,,,,32.0,,1.0,1.0,,,,,,,,1.0,,,,,,
USA_USL_Championship,2024,Pittsburgh Riverhounds SC,6692w96w6qmvgcpo02dehq4iy,L. Blackstock,Forward,7,30.0,297.0,83.0,1552.0,55.0,48.0,187.0,15.0,34.0,622.0,30.0,85.0,9.0,231.0,116.0,82.0,165.0,33.0,2225.0,291.0,869.0,40.0,112.0,17.0,63.0,849.0,34.0,19.0,20.0,428.0,10.0,359.0,130.0,107.0,573.0,233.0,228.0,638.0,1.0,38.0,18.0,18.0,1.0,31.0,306.0,3.0,101.0,21.0,51.0,60.0,4.0,62.0,23.0,25.0,18.0,60.0,33.0,33.0,65.0,55.0,,1.0,18.0,,9.0,4.0,1.0,6.0,3.0,,1.0,13.0,,,,1.0,1.0,3.0,,9.0,208.0,27.0,7.0,9.0,1.0,0.0,,,7.0,,1.0,1.0,,17.0,1.0,,2.0,,,,,,1.0,,1.0,46.0,,,,,,,,,,,,,,,,,
USA_USL_Championship,2024,Pittsburgh Riverhounds SC,ahfl8o5ngmw3vp3up97rlaj8p,P. Cayet,Defender,44,2.0,43.0,8.0,208.0,5.0,12.0,11.0,2.0,16.0,73.0,17.0,26.0,16.0,48.0,15.0,21.0,29.0,5.0,274.0,76.0,123.0,20.0,38.0,,24.0,117.0,16.0,,2.0,62.0,10.0,33.0,18.0,15.0,68.0,32.0,53.0,75.0,0.0,1.0,1.0,,,7.0,10.0,,30.0,1.0,17.0,3.0,,3.0,5.0,,2.0,19.0,7.0,10.0,7.0,7.0,,,6.0,,5.0,4.0,,1.0,,,,4.0,,,,2.0,,,,,11.0,1.0,1.0,1.0,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
USA_USL_Championship,2024,Pittsburgh Riverhounds SC,1rua8d3nlisesyrzeic1rj8tm,M. DeShields,Defender,23,5.0,122.0,20.0,436.0,7.0,17.0,45.0,5.0,10.0,226.0,9.0,44.0,1.0,53.0,29.0,29.0,49.0,8.0,719.0,130.0,286.0,20.0,38.0,4.0,18.0,278.0,10.0,7.0,8.0,75.0,10.0,111.0,25.0,28.0,217.0,37.0,67.0,233.0,0.0,6.0,,5.0,,14.0,67.0,,28.0,3.0,14.0,4.0,,4.0,10.0,9.0,,20.0,9.0,12.0,16.0,10.0,,,2.0,,2.0,4.0,2.0,1.0,,,,3.0,,,,1.0,,3.0,,1.0,34.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,
USA_USL_Championship,2024,Pittsburgh Riverhounds SC,a9lytq2ddavywxo7ib8uzbj6x,E. Dick,Goalkeeper,1,,185.0,2.0,883.0,,,,,27.0,104.0,16.0,67.0,,291.0,6.0,6.0,8.0,,2430.0,419.0,549.0,25.0,22.0,,20.0,193.0,27.0,18.0,19.0,298.0,10.0,73.0,6.0,299.0,146.0,243.0,28.0,258.0,0.0,,,,,,63.0,,285.0,,106.0,,,,9.0,27.0,1.0,48.0,4.0,,112.0,,,,,,,36.0,1.0,,1.0,197.0,,,272.0,,,1.0,,14.0,,,,,,,,,,,,,,,,,,,,48.0,94.0,72.0,7.0,4.0,,,,,,,,24.0,7.0,1.0,44.0,13.0,,,,5.0,,,,1.0,
USA_USL_Championship,2024,Pittsburgh Riverhounds SC,47nnufs6geldty80gsgctf8k4,B. Diene,Forward,27,1.0,26.0,36.0,220.0,5.0,7.0,44.0,2.0,24.0,89.0,18.0,33.0,20.0,40.0,84.0,14.0,50.0,15.0,544.0,25.0,130.0,2.0,32.0,9.0,66.0,129.0,24.0,8.0,9.0,79.0,10.0,65.0,34.0,18.0,84.0,37.0,116.0,90.0,0.0,16.0,1.0,4.0,9.0,5.0,28.0,2.0,6.0,6.0,3.0,1.0,2.0,2.0,4.0,4.0,3.0,5.0,48.0,5.0,6.0,31.0,,1.0,11.0,,6.0,,1.0,2.0,3.0,,1.0,3.0,,,,1.0,1.0,,1.0,5.0,,7.0,,5.0,0.0,1.0,,,1.0,,,1.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2024,Pittsburgh Riverhounds SC,cklwjv5o1dz1avj04oy0xdwd0,N. Dragisich,Midfielder,17,,1.0,,25.0,,1.0,4.0,,4.0,14.0,3.0,4.0,4.0,4.0,,1.0,1.0,,36.0,6.0,18.0,,4.0,,3.0,18.0,4.0,,,6.0,10.0,13.0,3.0,1.0,14.0,4.0,4.0,14.0,0.0,,,,,,4.0,,1.0,,,,,,,,,,,1.0,,2.0,,,1.0,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2024,Pittsburgh Riverhounds SC,cxrjwzo1fmvgcw8i820hwn07p,J. Etou,Defender,8,26.0,251.0,87.0,1475.0,55.0,47.0,186.0,15.0,32.0,628.0,36.0,329.0,4.0,225.0,120.0,124.0,211.0,33.0,2393.0,314.0,859.0,47.0,160.0,21.0,69.0,851.0,32.0,20.0,22.0,425.0,10.0,395.0,146.0,85.0,605.0,250.0,280.0,634.0,1.0,43.0,12.0,15.0,6.0,15.0,30.0,3.0,79.0,33.0,55.0,75.0,3.0,76.0,56.0,28.0,27.0,51.0,33.0,32.0,29.0,98.0,,2.0,15.0,,7.0,11.0,1.0,13.0,5.0,,2.0,21.0,,,,2.0,,4.0,1.0,5.0,104.0,16.0,2.0,8.0,2.0,0.0,3.0,,11.0,,1.0,1.0,,12.0,,,1.0,,,,,,,,,12.0,,2.0,,,,,,,,,,,,,,,
USA_USL_Championship,2024,Pittsburgh Riverhounds SC,1gfsz5cm0jooza42rf98iqvo5,K. Forbes,Midfielder,11,15.0,225.0,49.0,1073.0,28.0,23.0,147.0,6.0,34.0,530.0,23.0,232.0,21.0,170.0,89.0,46.0,95.0,14.0,1450.0,246.0,753.0,8.0,69.0,10.0,63.0,692.0,34.0,15.0,17.0,298.0,10.0,374.0,121.0,96.0,539.0,202.0,158.0,583.0,0.0,28.0,16.0,9.0,19.0,19.0,128.0,1.0,49.0,10.0,18.0,18.0,1.0,56.0,13.0,13.0,17.0,24.0,40.0,17.0,44.0,35.0,,1.0,21.0,,14.0,6.0,1.0,8.0,1.0,,1.0,10.0,,,,2.0,,1.0,,7.0,29.0,27.0,1.0,7.0,1.0,0.0,,,3.0,,,5.0,1.0,5.0,2.0,,2.0,,,,,,61.0,34.0,12.0,4.0,,2.0,,,,,,,,,,,,,,,
USA_USL_Championship,2024,Pittsburgh Riverhounds SC,c4va4gt5g10zm05qtucgyt889,D. Griffin,Midfielder,2,22.0,472.0,90.0,1802.0,51.0,50.0,180.0,13.0,33.0,976.0,55.0,310.0,1.0,313.0,149.0,105.0,195.0,39.0,2892.0,516.0,1354.0,45.0,160.0,18.0,114.0,1283.0,33.0,24.0,27.0,414.0,10.0,575.0,216.0,194.0,937.0,251.0,309.0,1041.0,0.0,37.0,6.0,,10.0,43.0,348.0,2.0,97.0,16.0,56.0,11.0,2.0,15.0,33.0,32.0,18.0,77.0,59.0,37.0,104.0,68.0,,3.0,27.0,,14.0,20.0,1.0,23.0,4.0,1.0,4.0,22.0,1.0,,1.0,3.0,,15.0,3.0,3.0,5.0,25.0,5.0,13.0,2.0,2.0,,,1.0,3.0,1.0,9.0,,4.0,,2.0,1.0,,,,,,2.0,,,1.0,,3.0,,,,,,,,,,,,,,,
