root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Successful Open Play Passes,Substitute On,Aerial Duels,Forward Passes,Total Clearances,Games Played,Goals Conceded Outside Box,Ground Duels lost,Appearances,Successful Crosses open play,Successful Long Passes,Time Played,GK Successful Distribution,Ground Duels,Total Shots,Successful Passes Own Half,Aerial Duels lost,Index,Key Passes (Attempt Assists),Total Touches In Opposition Box,Blocks,Open Play Passes,Successful Passes Opposition Half,Starts,Ground Duels won,Goals Conceded Inside Box,Shots Off Target (inc woodwork),Touches,Unsuccessful Short Passes,Tackles Won,Substitute Off,Leftside Passes,Backward Passes,Unsuccessful Crosses open play,PutThrough/Blocked Distribution Won,Unsuccessful Passes Own Half,Total Fouls Conceded,Duels,Aerial Duels won,Throw Ins to Own Player,Tackles Lost,Goal Assists,Interceptions,Unsuccessful Passes Opposition Half,Assists (Intentional),Duels lost,Goals Conceded,Unsuccessful Launches,Total Fouls Won,Goal Kicks,Duels won,Foul Attempted Tackle,Total Losses Of Possession,Successful Launches,Unsuccessful Long Passes,Recoveries,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Short Passes,Unsuccessful Crosses & Corners,Rightside Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Crosses & Corners,Total Passes,Times Tackled,PutThrough/Blocked Distribution,Unsuccessful Dribbles,Throw Ins to Opposition Player,Total Tackles,Winning Goal,Successful Lay-offs,Blocked Shots,Penalties Taken,Corners Won,Clean Sheets,Penalty Goals Conceded,Through balls,Foul Won Penalty,Handballs conceded,Penalty Goals,Yellow Cards,Right Foot Goals,Goals from Inside Box,Left Foot Goals,Goals,Successful Dribbles,Offsides,Headed Goals,Shots On Target ( inc goals ),Overruns,Home Goals,Away Goals,Unsuccessful Corners into Box,Corners Taken (incl short corners),Successful Corners into Box,Straight Red Cards,Total Red Cards,Unsuccessful lay-offs,Penalties Conceded,Own Goal Scored,Hit Woodwork,Catches,Punches,GK Unsuccessful Distribution,Saves made - parried,Saves Made from Inside Box,Saves Made,Saves Made from Outside Box,Goals from Outside Box,Drops,Saves made - caught,Penalties Faced,Penalties Saved,Saves from Penalty,Red Cards - 2nd Yellow,Crosses not Claimed,Last Player Tackle,Attempts from Set Pieces,Other Goals,Clearances Off the Line,Set Pieces Goals,Penalties Off Target,Last Man Tackle,Goalkeeper Smother,Second Goal Assists
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2023,Minnesota United FC II,Minnesota_United_FC_II,81z7n0qyr2tlkidxphoxqzkve,Z. Bello,Midfielder,34,676.0,3.0,40.0,217.0,17.0,25.0,5.0,120.0,25.0,3.0,41.0,1899.0,,193.0,27.0,292.0,23.0,10.0,15.0,45.0,6.0,819.0,396.0,22.0,73.0,32.0,16.0,1165.0,116.0,21.0,5.0,207.0,159.0,13.0,13.0,37.0,26.0,233.0,17.0,8.0,15.0,2.0,15.0,119.0,,143.0,37.0,8.0,13.0,,90.0,10.0,265.0,2.0,27.0,105.0,685.0,644.0,13.0,245.0,143.0,3.0,828.0,56.0,34.0,22.0,,36.0,1.0,11.0,25.0,,14.0,4.0,4.0,3.0,,1.0,,2.0,1.0,1.0,,1.0,24.0,,,11.0,5.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2023,Minnesota United FC II,Minnesota_United_FC_II,7wietm9dw605wn6anlziu2fsa,P. Blay,Defender,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2023,Minnesota United FC II,Minnesota_United_FC_II,40n40bo61gq12dtgpcy2ifims,F. Conneh,Midfielder,61,40.0,3.0,6.0,23.0,1.0,5.0,1.0,21.0,5.0,1.0,2.0,254.0,,34.0,3.0,7.0,6.0,10.0,4.0,10.0,,63.0,34.0,2.0,13.0,2.0,1.0,121.0,21.0,6.0,2.0,13.0,6.0,3.0,4.0,1.0,5.0,40.0,,2.0,4.0,1.0,1.0,25.0,,27.0,3.0,1.0,2.0,,13.0,3.0,47.0,,2.0,19.0,40.0,38.0,3.0,21.0,23.0,1.0,63.0,9.0,6.0,5.0,,10.0,0.0,,2.0,,2.0,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,2.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2023,Minnesota United FC II,Minnesota_United_FC_II,6kp2pv58u27yf5tnclyhnuoh6,C. Dunbar,Midfielder,23,114.0,,12.0,51.0,1.0,9.0,,39.0,9.0,4.0,14.0,771.0,,68.0,27.0,26.0,10.0,10.0,14.0,61.0,,146.0,105.0,9.0,29.0,8.0,11.0,338.0,29.0,1.0,4.0,42.0,27.0,13.0,8.0,3.0,5.0,80.0,2.0,1.0,,1.0,3.0,60.0,1.0,49.0,8.0,1.0,12.0,,31.0,3.0,118.0,1.0,6.0,37.0,120.0,106.0,28.0,35.0,35.0,11.0,155.0,27.0,15.0,19.0,1.0,1.0,3.0,3.0,6.0,1.0,12.0,3.0,1.0,,,,1.0,2.0,4.0,4.0,1.0,5.0,16.0,1.0,,16.0,3.0,3.0,2.0,13.0,22.0,6.0,,,,,,3.0,,,,,,,,1.0,,,,,,,,,4.0,,,1.0,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2023,Minnesota United FC II,Minnesota_United_FC_II,4tengy9p53kcukevpi8s54wh6,F. Emmings,Goalkeeper,99,256.0,,5.0,269.0,23.0,24.0,8.0,1.0,24.0,,106.0,2160.0,252.0,4.0,,393.0,3.0,10.0,,,,335.0,55.0,24.0,3.0,42.0,,809.0,5.0,,,161.0,,,1.0,53.0,,9.0,2.0,,,,,94.0,,4.0,50.0,56.0,3.0,191.0,5.0,,152.0,26.0,142.0,132.0,448.0,342.0,,165.0,147.0,,595.0,,2.0,,,,0.0,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,39.0,22.0,59.0,80.0,20.0,,,2.0,4.0,1.0,1.0,,,,,,,,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2023,Minnesota United FC II,Minnesota_United_FC_II,1795jw1oc3pkthyq0kqexh65m,B. Fischer,Defender,37,763.0,1.0,68.0,427.0,77.0,19.0,5.0,33.0,19.0,,81.0,1615.0,,77.0,9.0,564.0,24.0,10.0,3.0,16.0,24.0,945.0,232.0,18.0,44.0,30.0,7.0,1217.0,81.0,22.0,1.0,369.0,50.0,1.0,11.0,64.0,21.0,145.0,44.0,3.0,9.0,,17.0,133.0,,57.0,35.0,39.0,4.0,,88.0,9.0,211.0,11.0,115.0,100.0,796.0,715.0,1.0,146.0,196.0,,992.0,6.0,23.0,2.0,,31.0,1.0,,1.0,,1.0,2.0,1.0,,,,,5.0,,1.0,,1.0,9.0,2.0,1.0,2.0,,1.0,0.0,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2023,Minnesota United FC II,Minnesota_United_FC_II,2ye36bmajaqbiwf8713uocob8,J. Gasho,Defender,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2023,Minnesota United FC II,Minnesota_United_FC_II,2gaiddey51kawxp9atdskxzis,C. Gbo,Midfielder,40,568.0,2.0,31.0,218.0,20.0,19.0,2.0,85.0,19.0,2.0,65.0,1379.0,,171.0,10.0,281.0,6.0,10.0,7.0,13.0,3.0,707.0,300.0,17.0,86.0,22.0,10.0,967.0,87.0,36.0,10.0,174.0,116.0,,16.0,25.0,48.0,202.0,25.0,3.0,12.0,2.0,30.0,116.0,,91.0,24.0,12.0,26.0,,111.0,33.0,194.0,4.0,53.0,157.0,579.0,514.0,1.0,211.0,140.0,2.0,719.0,20.0,26.0,6.0,,48.0,0.0,3.0,5.0,,,4.0,2.0,4.0,,2.0,,7.0,,,,,13.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2023,Minnesota United FC II,Minnesota_United_FC_II,4y7p59unsumcfk5trk1naums5,D. Henry,Defender,5,24.0,,,15.0,3.0,1.0,,1.0,1.0,,1.0,72.0,,2.0,1.0,21.0,,10.0,,1.0,,33.0,6.0,1.0,1.0,3.0,1.0,47.0,2.0,1.0,1.0,10.0,1.0,,,6.0,,2.0,,,,,1.0,6.0,,1.0,3.0,2.0,,,1.0,,13.0,,10.0,3.0,27.0,26.0,,13.0,12.0,,39.0,,1.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2023,Minnesota United FC II,Minnesota_United_FC_II,a1rc6kukly42y5j5smz3w72tw,T. Ibsais,Midfielder,62,1.0,1.0,,,,1.0,,,1.0,,,6.0,,2.0,,,,10.0,,,,1.0,1.0,,2.0,,,5.0,,,,1.0,,,,,,2.0,,,1.0,,,,,,,,,,2.0,,1.0,,,,1.0,1.0,,,,,1.0,,,,,1.0,0.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
