liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocks,Carries,Clean Sheets,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Games Played,Goals Conceded,Goals Conceded Inside Box,Ground Duels,Ground Duels lost,Ground Duels won,Interceptions,Leftside Passes,Open Play Passes,Progressive Carries,Recoveries,Rightside Passes,Shots On Target ( inc goals ),Starts,Successful Dribbles,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Throw Ins to Opposition Player,Throw Ins to Own Player,Time Played,Times Tackled,Total Big Chances Missed,Total Clearances,Total Fouls Conceded,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Winning Goal,Foul Attempted Tackle,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Substitute Off,Unsuccessful lay-offs,Hit Woodwork,Substitute On,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Yellow Cards,Successful Crosses & Corners,Successful Crosses open play,Total Fouls Won,GK Successful Distribution,GK Unsuccessful Distribution,Goal Kicks,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Successful Launches,Total Big Chances Saved,Corners Taken (incl short corners),Corners Won,Key Passes (Attempt Assists),Overruns,Successful Corners into Box,Successful Lay-offs,Total Big Chances Created,Unsuccessful Corners into Box,Offsides,Goals,Goals Openplay,Goals from Inside Box,Headed Goals,Total Big Chances Scored,Home Goals,Away Goals,Assists (Intentional),Goal Assists,Blocked Shots,Through balls,Catches,Saves made - parried,Clearances Off the Line,Handballs conceded,Attempts from Set Pieces,Goals from Outside Box,Right Foot Goals,Goalkeeper Smother,Goals Conceded Outside Box,Penalty Goals Conceded,Shots Created,Drops,Penalties Faced,Left Foot Goals,Penalties Conceded,Foul Won Penalty,Penalties Taken,Penalty Goals,Saves made - caught,Other Goals,Straight Red Cards,Total Red Cards,Last Player Tackle,Second Goal Assists,Red Cards - 2nd Yellow,Penalties Off Target,Crosses not Claimed,Direct Setpiece Goals,Set Pieces Goals,Penalties Saved,Saves from Penalty,Own Goal Scored
Concacaf_Concacaf_Champions_Cup,2026,CF América,c2sm93wtigxc9gl3ayobtucph,N. Araújo,Defender,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,CF América,co6nh6hcs927fub28fk3cfvo4,D. Arriaga,Midfielder,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,CF América,8wzlc99znjt7cvbzwqlc5a0ic,N. Bedolla,Goalkeeper,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,CF América,csvbc0k1f54418nn8pjhg8ull,C. Borja,Defender,26,4.0,2.0,2.0,5.0,41.0,,79.0,2.0,28.0,13.0,15.0,92.0,100.0,5.0,3.0,2.0,24.0,11.0,13.0,4.0,21.0,278.0,39.0,21.0,122.0,,5.0,2.0,16.0,245.0,141.0,114.0,235.0,1.0,5.0,2.0,39.0,450.0,5.0,,8.0,4.0,59.0,284.0,,251.0,6.0,3.0,33.0,388.0,2.0,4.0,10.0,37.0,12.0,23.0,0.0,1.0,10.0,2.0,,,,,,16.0,16.0,,4.0,4.0,5.0,,,,,,,,3.0,,,1.0,5.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,CF América,87gmnnxvwtr265s3efeziwrft,A. Cervantes,Midfielder,13,,,,2.0,2.0,,6.0,,1.0,,1.0,4.0,6.0,2.0,,,1.0,,1.0,,6.0,18.0,3.0,3.0,4.0,2.0,,,2.0,16.0,8.0,8.0,14.0,1.0,,,,23.0,,,,,3.0,18.0,2.0,16.0,1.0,1.0,2.0,22.0,,,,,2.0,2.0,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,CF América,5jj07az7i7svdgh5egd1s5dqt,R. Cota,Goalkeeper,30,4.0,1.0,3.0,4.0,,,25.0,1.0,5.0,1.0,4.0,,60.0,4.0,2.0,2.0,1.0,,1.0,,24.0,91.0,8.0,36.0,33.0,,3.0,,9.0,72.0,5.0,83.0,79.0,,,,,318.0,,,6.0,,31.0,117.0,,88.0,,,29.0,162.0,,17.0,29.0,17.0,12.0,,0.0,,,,,,,,1.0,,,,,,1.0,37.0,9.0,19.0,3.0,6.0,4.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,CF América,claujooxyw4dzynzmy752r3l5,S. Cáceres,Defender,4,20.0,8.0,12.0,6.0,13.0,2.0,79.0,3.0,39.0,15.0,24.0,5.0,105.0,6.0,2.0,1.0,19.0,7.0,12.0,2.0,89.0,317.0,33.0,24.0,129.0,2.0,6.0,1.0,25.0,291.0,63.0,247.0,285.0,,4.0,,2.0,494.0,2.0,,33.0,4.0,32.0,336.0,2.0,310.0,4.0,2.0,26.0,402.0,1.0,9.0,17.0,12.0,14.0,9.0,0.0,2.0,4.0,,,2.0,,,,,,1.0,,,7.0,10.0,,10.0,,,,,4.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,CF América,16trid756c0hhbd01arr5h250,D. Reyes,Forward,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,CF América,30q9d8i2c8kgscpgze0x5h0b9,V. Dávila,Forward,11,5.0,3.0,2.0,2.0,10.0,,22.0,,17.0,7.0,10.0,41.0,7.0,2.0,1.0,,12.0,4.0,8.0,1.0,28.0,60.0,6.0,2.0,17.0,2.0,2.0,2.0,3.0,51.0,41.0,12.0,50.0,,2.0,,,146.0,2.0,,2.0,2.0,13.0,62.0,4.0,53.0,2.0,8.0,9.0,86.0,,,,6.0,3.0,9.0,0.0,1.0,2.0,1.0,2.0,2.0,,,,,,,,,4.0,,,,,,,,,,,2.0,1.0,,,1.0,,,,1.0,,1.0,,,0.0,1.0,,,2.0,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,CF América,ae7jup113m2kspinibc4e19uc,T. Espinosa,Defender,22,1.0,1.0,,1.0,2.0,,4.0,,4.0,1.0,3.0,1.0,2.0,1.0,,,3.0,,3.0,,,5.0,1.0,1.0,1.0,,,2.0,,4.0,2.0,2.0,4.0,,,,,18.0,,,,,1.0,5.0,,4.0,,,1.0,8.0,,,,1.0,,1.0,0.0,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,CF América,9vy0gclovljnladztpsu1usr8,D. Espinoza,Midfielder,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
