root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Total Shots,Total Losses Of Possession,Index,Total Fouls Conceded,Substitute Off,Yellow Cards,Games Played,Foul Attempted Tackle,Successful Passes Own Half,PutThrough/Blocked Distribution Won,Total Tackles,Shots Off Target (inc woodwork),Ground Duels lost,Unsuccessful Long Passes,Total Touches In Opposition Box,Successful Open Play Passes,Substitute On,Unsuccessful Passes Opposition Half,Forward Passes,Penalty Goals Conceded,Tackles Won,Successful Short Passes,Touches,Successful Passes Opposition Half,Ground Duels won,PutThrough/Blocked Distribution,Duels,Recoveries,Backward Passes,Time Played,Duels won,Times Tackled,Unsuccessful Passes Own Half,Ground Duels,Open Play Passes,Goals Conceded,Starts,Leftside Passes,Unsuccessful Dribbles,Unsuccessful Short Passes,Appearances,Shots On Target ( inc goals ),Total Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Goals Conceded Inside Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Aerial Duels lost,Corners Won,Aerial Duels won,Aerial Duels,Rightside Passes,Duels lost,Key Passes (Attempt Assists),Home Goals,Away Goals,Winning Goal,Successful Long Passes,Total Fouls Won,Foul Won Penalty,Tackles Lost,Assists (Intentional),Successful Crosses & Corners,Total Clearances,Successful Dribbles,Hit Woodwork,Offsides,Goals from Inside Box,Goal Assists,Goals,Interceptions,Unsuccessful Crosses open play,Successful Lay-offs,Successful Crosses open play,Unsuccessful Crosses & Corners,Right Foot Goals,Throw Ins to Opposition Player,Throw Ins to Own Player,Blocked Shots,Unsuccessful Launches,Punches,Penalties Saved,Successful Launches,Catches,Saves Made,Saves from Penalty,Clean Sheets,Penalties Faced,Saves Made from Outside Box,GK Unsuccessful Distribution,GK Successful Distribution,Saves Made from Inside Box,Saves made - parried,Through balls,Corners Taken (incl short corners),Blocks,Set Pieces Goals,Unsuccessful Corners into Box,Successful Corners into Box,Attempts from Set Pieces,Goals from Outside Box,Penalties Conceded,Penalty Goals,Unsuccessful lay-offs,Penalties Taken,Handballs conceded,Left Foot Goals,Headed Goals,Goalkeeper Smother,Total Red Cards,Straight Red Cards,Goals Conceded Outside Box,Fifty Fifty,Successful Fifty Fifty,Drops,Clearances Off the Line,Red Cards - 2nd Yellow,Own Goal Scored,Crosses not Claimed,Saves made - caught,Last Man Tackle,Second Goal Assists,Penalties Off Target
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2021,Canada,Canada,83180uf8plty9hjlnxzqg9gph,T. Akindele,Forward,24,2.0,15.0,10.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,2.0,2.0,11.0,1.0,9.0,8.0,1.0,1.0,12.0,32.0,10.0,1.0,3.0,14.0,4.0,2.0,89.0,5.0,3.0,1.0,6.0,21.0,1.0,1.0,6.0,1.0,8.0,2.0,1.0,22.0,12.0,1.0,10.0,4.0,1.0,4.0,8.0,6.0,9.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2021,Canada,Canada,7c3asx73extld50awe557y3ft,A. Akinola,Forward,23,,2.0,10.0,,1.0,,2.0,,4.0,,2.0,,,,1.0,4.0,1.0,2.0,,,,4.0,11.0,1.0,3.0,,3.0,,3.0,37.0,3.0,,,3.0,6.0,1.0,1.0,2.0,,2.0,2.0,,7.0,5.0,1.0,2.0,,,,,2.0,,,0.0,0.0,0.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2021,Canada,Canada,acx78ftnm61hm01wpmme77hbe,T. Buchanan,Midfielder,12,6.0,74.0,10.0,11.0,2.0,1.0,5.0,6.0,36.0,7.0,8.0,3.0,37.0,,33.0,126.0,,27.0,20.0,1.0,6.0,125.0,277.0,91.0,24.0,12.0,67.0,33.0,44.0,435.0,27.0,25.0,2.0,61.0,146.0,5.0,5.0,28.0,16.0,20.0,5.0,3.0,146.0,126.0,5.0,20.0,3.0,9.0,3.0,6.0,54.0,40.0,7.0,0.0,1.0,0.0,1.0,9.0,,2.0,1.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,6.0,9.0,1.0,1.0,9.0,1.0,1.0,12.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2021,Canada,Canada,cdeomoi09osphftlezrqa7qol,L. Cavallini,Forward,9,4.0,28.0,10.0,8.0,2.0,2.0,4.0,6.0,12.0,1.0,6.0,3.0,18.0,3.0,7.0,41.0,2.0,10.0,5.0,,3.0,40.0,95.0,31.0,15.0,2.0,50.0,13.0,15.0,212.0,18.0,10.0,,33.0,51.0,1.0,2.0,21.0,5.0,7.0,4.0,1.0,53.0,43.0,1.0,10.0,14.0,1.0,3.0,17.0,12.0,32.0,2.0,0.0,0.0,0.0,3.0,5.0,,3.0,1.0,,,4.0,,,,1.0,,,,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2021,Canada,Canada,50hgwzmx3e9u4q8y8rryqmh62,T. Corbeanu,Forward,11,2.0,10.0,10.0,1.0,,,3.0,1.0,1.0,1.0,3.0,,4.0,,4.0,8.0,3.0,7.0,7.0,,,8.0,30.0,8.0,6.0,3.0,11.0,3.0,1.0,39.0,6.0,2.0,,10.0,12.0,1.0,,2.0,2.0,4.0,3.0,2.0,12.0,8.0,1.0,4.0,1.0,1.0,,1.0,2.0,5.0,1.0,1.0,0.0,0.0,,2.0,,3.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,3.0,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2021,Canada,Canada,6nmcuw8asxh6k3l5khx5atmfp,M. Crépeau,Goalkeeper,16,,29.0,10.0,,,1.0,5.0,,62.0,,,,1.0,28.0,,50.0,,22.0,54.0,1.0,,48.0,130.0,8.0,,,3.0,30.0,,450.0,2.0,,6.0,1.0,61.0,5.0,5.0,21.0,,,5.0,,98.0,70.0,5.0,28.0,,,2.0,2.0,23.0,1.0,,0.0,0.0,0.0,22.0,,,,,,2.0,,,,,,,1.0,,,,,,,,,15.0,1.0,1.0,3.0,3.0,9.0,1.0,1.0,2.0,4.0,9.0,29.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2021,Canada,Canada,cpmfjroqtibaahb1dr66pl2i1,S. Eustaquio,Midfielder,7,6.0,58.0,10.0,9.0,1.0,2.0,4.0,6.0,87.0,4.0,10.0,3.0,28.0,7.0,2.0,205.0,,41.0,88.0,1.0,6.0,196.0,329.0,135.0,19.0,5.0,57.0,33.0,33.0,344.0,23.0,3.0,9.0,47.0,236.0,4.0,4.0,71.0,1.0,28.0,4.0,3.0,250.0,215.0,4.0,35.0,6.0,,4.0,10.0,58.0,34.0,7.0,1.0,2.0,0.0,19.0,6.0,,4.0,1.0,7.0,2.0,3.0,,,1.0,1.0,3.0,8.0,1.0,,1.0,15.0,3.0,,1.0,,,,,2.0,,,,1.0,,,,,,,2.0,16.0,1.0,1.0,8.0,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2021,Canada,Canada,5y8srw7hc5nlu0efcq710if3d,L. Fraser,Midfielder,8,,17.0,10.0,3.0,,1.0,4.0,2.0,31.0,2.0,7.0,,3.0,6.0,,77.0,3.0,14.0,26.0,,3.0,69.0,115.0,47.0,9.0,3.0,12.0,12.0,13.0,123.0,9.0,,3.0,12.0,90.0,2.0,1.0,24.0,,8.0,4.0,,92.0,78.0,2.0,14.0,,,,,29.0,3.0,2.0,0.0,0.0,0.0,9.0,2.0,,4.0,,,,,,,,,,4.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2021,Canada,Canada,4y7p59unsumcfk5trk1naums5,D. Henry,Defender,15,1.0,21.0,10.0,8.0,,1.0,4.0,5.0,46.0,,6.0,1.0,8.0,10.0,4.0,66.0,2.0,14.0,48.0,1.0,5.0,61.0,117.0,21.0,8.0,1.0,23.0,10.0,4.0,199.0,13.0,,6.0,16.0,85.0,3.0,2.0,29.0,,10.0,4.0,,87.0,67.0,3.0,20.0,2.0,,5.0,7.0,6.0,10.0,,0.0,0.0,0.0,6.0,2.0,,1.0,,,5.0,,,,,,,10.0,,,,,,,1.0,1.0,4.0,,,1.0,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2021,Canada,Canada,wo91ycisyie6qno6vbkcxuj9,J. Hoilett,Forward,10,4.0,68.0,10.0,4.0,3.0,1.0,5.0,3.0,27.0,3.0,5.0,1.0,12.0,6.0,17.0,104.0,1.0,45.0,43.0,1.0,4.0,102.0,212.0,83.0,15.0,6.0,34.0,22.0,31.0,323.0,18.0,8.0,5.0,27.0,137.0,4.0,4.0,26.0,1.0,29.0,5.0,3.0,142.0,107.0,4.0,35.0,4.0,2.0,3.0,7.0,42.0,16.0,4.0,0.0,2.0,1.0,5.0,8.0,,1.0,2.0,3.0,,2.0,,,2.0,2.0,2.0,4.0,7.0,1.0,1.0,15.0,2.0,,,4.0,,,,,,,,,,,,,,,1.0,4.0,,,3.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
