liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off,Successful Passes Own Half,Backward Passes,Tackles Lost,Total Fouls Conceded,Ground Duels lost,PutThrough/Blocked Distribution Won,Time Played,Aerial Duels,Corners Won,Total Successful Passes ( Excl Crosses & Corners ) ,Total Losses Of Possession,Assists (Intentional),Times Tackled,Goal Assists,Goals Conceded Inside Box,Goals Conceded,Total Fouls Won,Blocks,Rightside Passes,Starts,Goals from Outside Box,Unsuccessful Passes Opposition Half,Successful Launches,Unsuccessful Passes Own Half,Duels,Total Touches In Opposition Box,Unsuccessful Short Passes,PutThrough/Blocked Distribution,Recoveries,Ground Duels won,Ground Duels,Index,Duels lost,Foul Attempted Tackle,Total Passes,Unsuccessful Dribbles,Total Tackles,Clean Sheets,Tackles Won,Shots On Target ( inc goals ),Blocked Shots,Unsuccessful Long Passes,Duels won,Successful Dribbles,Successful Open Play Passes,Leftside Passes,Total Shots,Goals Conceded Outside Box,Total Clearances,Key Passes (Attempt Assists),Open Play Passes,Touches,Aerial Duels lost,Forward Passes,Appearances,Successful Long Passes,Successful Short Passes,Aerial Duels won,Interceptions,Right Foot Goals,Successful Passes Opposition Half,Total Unsuccessful Passes ( Excl Crosses & Corners ),Home Goals,Away Goals,Winning Goal,Shots Off Target (inc woodwork),Saves Made from Outside Box,Unsuccessful Launches,Saves Made,Saves made - parried,Punches,Saves Made from Inside Box,GK Successful Distribution,GK Unsuccessful Distribution,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful lay-offs,Successful Lay-offs,Unsuccessful Corners into Box,Corners Taken (incl short corners),Attempts from Set Pieces,Throw Ins to Opposition Player,Successful Crosses & Corners,Throw Ins to Own Player,Successful Corners into Box,Goals from Inside Box,Headed Goals,Offsides,Catches,Drops,Penalties Faced,Penalties Saved,Saves from Penalty,Penalties Conceded,Saves made - caught,Clearances Off the Line,Through balls,Successful Crosses open play,Penalty Goals Conceded,Handballs conceded,Hit Woodwork,Second Goal Assists,Left Foot Goals,Penalties Taken,Foul Won Penalty,Penalty Goals
Concacaf_Olympic_Qualifying_Concacaf,2020 Tokyo,Dominican Republic Under 23,7f68rcq8e5qt3j43ejo5217je,A. Baroni,Goalkeeper,12.0,1.0,,,,,,,,11.0,,,,,,90.0,1.0,,18.0,17.0,,,,3.0,5.0,,,3.0,1.0,,10.0,2.0,6.0,1.0,,,,14.0,,,10.0,1.0,,34.0,,,,,,,16.0,,,6.0,5.0,,2.0,7.0,,11.0,50.0,1.0,26.0,1.0,11.0,7.0,,,,7.0,16.0,0.0,0.0,0.0,,,6.0,5.0,,3.0,5.0,8.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Olympic_Qualifying_Concacaf,2020 Tokyo,Dominican Republic Under 23,341l3axjs34vgae82i2pxqxre,D. Campana,Goalkeeper,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Olympic_Qualifying_Concacaf,2020 Tokyo,Dominican Republic Under 23,2a3ivo63c237e10hzfp3pud0q,J. de la Cruz,Defender,3.0,3.0,,,,,,,1.0,21.0,4.0,1.0,2.0,10.0,1.0,264.0,6.0,,27.0,25.0,,2.0,,10.0,12.0,,3.0,,3.0,,10.0,2.0,6.0,21.0,,10.0,2.0,4.0,5.0,15.0,10.0,14.0,1.0,42.0,2.0,4.0,,3.0,,,5.0,7.0,1.0,27.0,14.0,,2.0,13.0,,42.0,100.0,4.0,24.0,3.0,3.0,24.0,2.0,10.0,,6.0,15.0,0.0,0.0,0.0,,,3.0,,,,,,,1.0,1.0,,,,,,4.0,,9.0,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Olympic_Qualifying_Concacaf,2020 Tokyo,Dominican Republic Under 23,cdrx186lyxwsiz64se3oqg4id,J. Guzmán,Goalkeeper,1.0,2.0,,1.0,,,,,,14.0,,,1.0,1.0,,180.0,,,22.0,40.0,,,,8.0,8.0,,,,2.0,,35.0,1.0,3.0,2.0,,,,28.0,1.0,2.0,10.0,1.0,1.0,60.0,,,,,,,38.0,1.0,1.0,8.0,7.0,,,2.0,1.0,16.0,86.0,,53.0,2.0,13.0,9.0,,,,8.0,38.0,0.0,0.0,0.0,,1.0,3.0,9.0,1.0,,8.0,19.0,17.0,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,
Concacaf_Olympic_Qualifying_Concacaf,2020 Tokyo,Dominican Republic Under 23,22nujg34kwvuzqr31xnvm09ka,A. Jiménez,Defender,5.0,3.0,,,,,,,,36.0,2.0,2.0,2.0,4.0,2.0,270.0,6.0,,42.0,10.0,,,,11.0,13.0,1.0,3.0,6.0,3.0,,4.0,1.0,5.0,13.0,,6.0,2.0,6.0,3.0,7.0,10.0,5.0,1.0,51.0,,2.0,,,,,3.0,8.0,,42.0,22.0,,2.0,14.0,,50.0,81.0,1.0,21.0,3.0,2.0,40.0,5.0,5.0,,6.0,9.0,0.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Concacaf_Olympic_Qualifying_Concacaf,2020 Tokyo,Dominican Republic Under 23,5heptjnboaeyttkas0z9kbalm,G. Lavergne,Midfielder,8.0,3.0,,,,,,1.0,1.0,27.0,6.0,,3.0,9.0,3.0,187.0,2.0,,41.0,27.0,,,,7.0,7.0,,,18.0,2.0,,19.0,,5.0,13.0,,7.0,4.0,11.0,2.0,11.0,10.0,9.0,2.0,59.0,,2.0,,2.0,1.0,,11.0,4.0,,38.0,11.0,1.0,,,2.0,56.0,84.0,,24.0,3.0,2.0,39.0,2.0,6.0,,15.0,18.0,0.0,0.0,0.0,,,1.0,,,,,,,6.0,1.0,,,3.0,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Olympic_Qualifying_Concacaf,2020 Tokyo,Dominican Republic Under 23,evhupg7mozyts6ocnfpuwqkiy,B. López,Defender,4.0,3.0,,1.0,,,,,,35.0,5.0,1.0,4.0,9.0,1.0,270.0,3.0,,51.0,20.0,,1.0,,11.0,13.0,4.0,1.0,15.0,3.0,,12.0,,6.0,20.0,1.0,8.0,3.0,14.0,8.0,17.0,10.0,11.0,2.0,69.0,,4.0,,3.0,,,10.0,9.0,,50.0,4.0,1.0,2.0,9.0,,68.0,102.0,2.0,45.0,3.0,8.0,43.0,1.0,5.0,,16.0,18.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Olympic_Qualifying_Concacaf,2020 Tokyo,Dominican Republic Under 23,dy4pwkg433fw2qf5iu39bqyy2,K. Martínez,Midfielder,13.0,2.0,,1.0,,,,2.0,,10.0,5.0,1.0,2.0,4.0,,76.0,2.0,,10.0,5.0,,,,4.0,5.0,,,2.0,,,2.0,,3.0,7.0,,3.0,2.0,3.0,1.0,5.0,10.0,5.0,2.0,15.0,,1.0,,,,,2.0,2.0,,10.0,6.0,1.0,1.0,1.0,,15.0,20.0,1.0,2.0,2.0,,10.0,1.0,1.0,,,5.0,0.0,0.0,0.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Olympic_Qualifying_Concacaf,2020 Tokyo,Dominican Republic Under 23,e4td6n9n63se5rv54nmycqusq,S. Mañon,Defender,18.0,1.0,,,,,,1.0,,2.0,,,,,,7.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,10.0,,,2.0,,,,,,,,,,2.0,1.0,,,,,2.0,2.0,,1.0,1.0,,2.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Olympic_Qualifying_Concacaf,2020 Tokyo,Dominican Republic Under 23,dp7983jxahfts5x9cqpyetey,E. Japa,Forward,9.0,1.0,,,,,,1.0,,2.0,3.0,,1.0,1.0,,21.0,3.0,,2.0,3.0,,,,3.0,3.0,,,,,,,,1.0,4.0,,,,,,1.0,10.0,4.0,1.0,3.0,,,,,,,1.0,,,,,1.0,,,,,7.0,3.0,,1.0,,2.0,,,,,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
