liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Offsides,Time Played,Throw Ins to Own Player,Successful Lay-offs,Goals,Right Foot Goals,Open Play Passes,Corners Won,Times Tackled,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Yellow Cards,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Successful Long Passes,Successful Crosses open play,Total Fouls Won,Unsuccessful Dribbles,Duels,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Assists (Intentional),Ground Duels lost,Leftside Passes,Goals from Inside Box,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Goal Assists,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Winning Goal,Substitute On,Penalty Goals Conceded,Aerial Duels won,Total Clearances,Handballs conceded,Successful Launches,Unsuccessful Launches,Shots Off Target (inc woodwork),Blocks,Blocked Shots,Throw Ins to Opposition Player,Second Goal Assists,Hit Woodwork,Penalties Conceded,Total Red Cards,Red Cards - 2nd Yellow,Successful Corners into Box,Attempts from Set Pieces,Left Foot Goals,Goals from Outside Box,Saves Made,GK Successful Distribution,Crosses not Claimed,Punches,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,GK Unsuccessful Distribution,Foul Won Penalty,Penalties Taken,Penalty Goals,Goalkeeper Smother,Headed Goals,Unsuccessful lay-offs,Own Goal Scored,Penalties Saved,Saves from Penalty,Straight Red Cards,Last Man Tackle,Clearances Off the Line,Home Goals,Away Goals,Set Pieces Goals,Saves made - caught
Canada_Canadian_Premier_League,2020,Forge FC,7ehcrcdv82ib5fkpo3498gpgp,K. Awuah,Defender,6,21.0,1.0,842.0,98.0,,1.0,,356.0,5.0,19.0,67.0,1.0,155.0,1.0,26.0,6.0,1.0,8.0,168.0,110.0,22.0,78.0,368.0,,11.0,8.0,240.0,6.0,2.0,104.0,101.0,4.0,87.0,51.0,9.0,23.0,38.0,628.0,,11.0,6.0,75.0,168.0,8.0,10.0,54.0,2.0,24.0,1.0,11.0,6.0,97.0,7.0,21.0,11.0,,,35.0,32.0,,252.0,264.0,22.0,4.0,,,16.0,43.0,6.0,14.0,40.0,1.0,2.0,1.0,14.0,12.0,,6.0,12.0,,4.0,,10.0,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,0.0,,
Canada_Canadian_Premier_League,2020,Forge FC,cfffc2qdknupbftpqye1cbf1l,Mo Babouli,Midfielder,19,8.0,4.0,455.0,1.0,3.0,1.0,1.0,119.0,6.0,18.0,35.0,1.0,63.0,,7.0,5.0,,11.0,88.0,26.0,5.0,34.0,129.0,4.0,9.0,16.0,79.0,3.0,5.0,41.0,31.0,7.0,41.0,17.0,4.0,13.0,9.0,230.0,2.0,10.0,3.0,55.0,42.0,22.0,10.0,34.0,4.0,9.0,1.0,8.0,10.0,71.0,3.0,9.0,10.0,1.0,2.0,26.0,21.0,1.0,78.0,88.0,16.0,,2.0,,3.0,37.0,2.0,1.0,29.0,1.0,6.0,1.0,5.0,2.0,2.0,,3.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,0.0,1.0,,
Canada_Canadian_Premier_League,2020,Forge FC,2zedqkn15thv6wx5xmgv48gd1,K. Bekker,Midfielder,10,10.0,,879.0,4.0,4.0,3.0,1.0,375.0,9.0,9.0,88.0,7.0,176.0,1.0,23.0,8.0,1.0,9.0,154.0,131.0,13.0,71.0,394.0,5.0,14.0,4.0,269.0,8.0,9.0,94.0,105.0,12.0,108.0,58.0,11.0,19.0,28.0,556.0,34.0,11.0,11.0,70.0,130.0,13.0,10.0,40.0,5.0,31.0,,15.0,2.0,87.0,9.0,42.0,11.0,27.0,1.0,38.0,71.0,3.0,281.0,300.0,17.0,3.0,1.0,,6.0,47.0,7.0,11.0,32.0,1.0,,1.0,8.0,18.0,,5.0,5.0,4.0,2.0,5.0,,,1.0,,,,5.0,2.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,3.0,0.0,,
Canada_Canadian_Premier_League,2020,Forge FC,6twhs1y8bihm7vc9dib8hgezt,K. Çela,Defender,16,,,2.0,,,,,1.0,,1.0,1.0,,,1.0,,,,,2.0,,,1.0,1.0,,1.0,,,,,1.0,,,1.0,,,,,2.0,,2.0,1.0,2.0,,,10.0,,,,,,,2.0,,,2.0,,,2.0,,,,,,,,,,2.0,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Canada_Canadian_Premier_League,2020,Forge FC,6r8emgp7oeom6yyibdb4g77c9,D. Choinière,Midfielder,7,11.0,4.0,598.0,,3.0,1.0,,171.0,8.0,25.0,66.0,8.0,112.0,,8.0,6.0,1.0,1.0,89.0,34.0,7.0,26.0,172.0,5.0,6.0,11.0,131.0,5.0,4.0,34.0,30.0,4.0,40.0,31.0,6.0,16.0,5.0,303.0,,11.0,4.0,72.0,32.0,31.0,10.0,33.0,3.0,7.0,8.0,14.0,11.0,74.0,6.0,11.0,11.0,,1.0,40.0,44.0,1.0,137.0,138.0,2.0,,1.0,,5.0,41.0,2.0,3.0,32.0,0.0,5.0,2.0,1.0,3.0,,,3.0,1.0,,6.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,
Canada_Canadian_Premier_League,2020,Forge FC,c8gbyfp650fgai5782915ywa1,E. Cissé,Midfielder,8,4.0,1.0,539.0,18.0,,,,207.0,6.0,17.0,43.0,3.0,99.0,,9.0,8.0,1.0,4.0,82.0,74.0,17.0,34.0,213.0,1.0,10.0,12.0,163.0,6.0,5.0,43.0,28.0,3.0,41.0,45.0,6.0,14.0,7.0,356.0,2.0,8.0,4.0,74.0,67.0,13.0,10.0,46.0,3.0,7.0,2.0,12.0,10.0,83.0,7.0,5.0,8.0,1.0,,33.0,75.0,,165.0,170.0,9.0,1.0,,,12.0,37.0,5.0,4.0,41.0,0.0,2.0,1.0,5.0,9.0,,1.0,2.0,2.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Canada_Canadian_Premier_League,2020,Forge FC,bmibmsnkr8oa6ckm2y0g30d05,J. Dunstan,Defender,21,2.0,,254.0,11.0,,,,100.0,1.0,4.0,15.0,,29.0,,8.0,2.0,,5.0,43.0,51.0,4.0,17.0,105.0,,7.0,2.0,69.0,2.0,,25.0,26.0,1.0,17.0,6.0,2.0,3.0,10.0,166.0,,6.0,5.0,18.0,56.0,3.0,10.0,17.0,,11.0,,2.0,1.0,34.0,2.0,2.0,6.0,,,12.0,8.0,,75.0,80.0,16.0,1.0,,,3.0,17.0,1.0,6.0,6.0,0.0,4.0,,11.0,13.0,,,2.0,,1.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Canada_Canadian_Premier_League,2020,Forge FC,b84lif9t7gwlw9ou9izawvumt,D. Edgar,Defender,14,,,900.0,1.0,,,,456.0,1.0,,25.0,,132.0,4.0,57.0,1.0,1.0,7.0,95.0,263.0,8.0,35.0,487.0,,12.0,3.0,349.0,7.0,3.0,92.0,45.0,2.0,59.0,41.0,10.0,4.0,33.0,597.0,,10.0,3.0,27.0,241.0,6.0,10.0,32.0,2.0,46.0,,3.0,,52.0,8.0,,10.0,,,13.0,176.0,,371.0,395.0,25.0,5.0,,,5.0,20.0,3.0,14.0,14.0,0.0,,2.0,18.0,53.0,,5.0,27.0,1.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Canada_Canadian_Premier_League,2020,Forge FC,upib1k4jf41nogwoduyqpw4p,J. Grant,Defender,2,5.0,2.0,274.0,8.0,,,,76.0,2.0,7.0,21.0,,29.0,2.0,11.0,3.0,,6.0,50.0,18.0,1.0,19.0,77.0,4.0,15.0,5.0,44.0,1.0,2.0,30.0,6.0,2.0,30.0,18.0,4.0,7.0,5.0,139.0,,4.0,12.0,37.0,34.0,8.0,10.0,13.0,,3.0,,3.0,5.0,47.0,1.0,5.0,4.0,,,28.0,16.0,,47.0,47.0,10.0,,,,1.0,34.0,,7.0,9.0,0.0,,,4.0,6.0,,,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,0.0,,
Canada_Canadian_Premier_League,2020,Forge FC,cdaayu6d9xzn4gyn5jg5p6vl6,T. Henry,Goalkeeper,1,,,900.0,,,,,140.0,,,,,14.0,,40.0,,1.0,,45.0,207.0,,2.0,263.0,,,,191.0,7.0,,42.0,65.0,,29.0,79.0,10.0,,13.0,369.0,,10.0,,4.0,95.0,,10.0,12.0,,30.0,,6.0,,12.0,8.0,,10.0,,,,103.0,,120.0,221.0,8.0,5.0,,,,,,,4.0,0.0,,2.0,8.0,8.0,,10.0,20.0,,,,,,,,,,,,,,23.0,133.0,,4.0,,8.0,7.0,9.0,15.0,2.0,11.0,,,,1.0,,,,,,,,,0.0,0.0,,
