root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off,Unsuccessful Passes Own Half,Ground Duels won,Foul Attempted Tackle,Throw Ins to Opposition Player,Appearances,Index,Total Passes,Unsuccessful Crosses & Corners,Key Passes (Attempt Assists),Total Unsuccessful Passes ( Excl Crosses & Corners ),Blocked Shots,Total Tackles,Tackles Lost,Duels,PutThrough/Blocked Distribution,Duels won,Backward Passes,Unsuccessful Passes Opposition Half,Successful Open Play Passes,Tackles Won,Aerial Duels won,Unsuccessful Short Passes,Rightside Passes,Offsides,Time Played,Total Touches In Opposition Box,Aerial Duels lost,Total Losses Of Possession,Successful Short Passes,Open Play Passes,Total Fouls Conceded,Times Tackled,Corners Won,Unsuccessful Crosses open play,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Passes Opposition Half,Forward Passes,Successful Long Passes,Aerial Duels,Duels lost,Touches,Successful Passes Own Half,Clean Sheets,Blocks,Throw Ins to Own Player,Ground Duels,PutThrough/Blocked Distribution Won,Total Fouls Won,Leftside Passes,Unsuccessful Long Passes,Total Clearances,Starts,Recoveries,Ground Duels lost,Assists (Intentional),Goal Assists,Goals Conceded Inside Box,Goals Conceded,Unsuccessful Dribbles,Interceptions,Winning Goal,Saves Made from Inside Box,Catches,Saves Made,Saves Made from Outside Box,Successful Dribbles,Saves made - parried,Goal Kicks,GK Successful Distribution,GK Unsuccessful Distribution,Successful Launches,Unsuccessful Launches,Total Shots,Handballs conceded,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Unsuccessful lay-offs,Successful Crosses & Corners,Successful Crosses open play,Left Foot Goals,Goals from Inside Box,Home Goals,Away Goals,Through balls,Successful Lay-offs,Right Foot Goals,Successful Corners into Box,Foul Won Penalty,Penalties Taken,Attempts from Set Pieces,Penalty Goals,Unsuccessful Corners into Box,Corners Taken (incl short corners),Clearances Off the Line,Penalties Off Target,Headed Goals,Goalkeeper Smother,Saves made - caught,Second Goal Assists,Hit Woodwork,Goals Conceded Outside Box,Penalty Goals Conceded,Penalties Conceded,Penalties Faced,Punches,Drops,Goals from Outside Box,Own Goal Scored,Set Pieces Goals,Penalties Saved,Saves from Penalty,Last Man Tackle
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2022-2023,Costa Rica,Costa_Rica,bzhoqdnbyju70sgmdktkii6s5,Y. Salas,Midfielder,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2022-2023,Costa Rica,Costa_Rica,f16314ea0rlqw9nnpu8qewmp5,P. Sequeira,Goalkeeper,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2022-2023,Costa Rica,Costa_Rica,6lh9oi0lc0r5l5vt94sxrhu96,A. Suárez,Midfielder,0.0,2.0,1.0,,,,,1.0,1.0,,3.0,,,2.0,10.0,49.0,,,11.0,,,,11.0,1.0,3.0,9.0,11.0,38.0,,,7.0,11.0,,81.0,1.0,,18.0,36.0,49.0,1.0,5.0,,,38.0,26.0,10.0,2.0,,8.0,65.0,12.0,,,,11.0,1.0,1.0,19.0,4.0,,1.0,8.0,8.0,,,,,,,0.0,,,,,2.0,,,,,,,2.0,,1.0,1.0,,,,1.0,1.0,0.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2022-2023,Costa Rica,Costa_Rica,e776aom2ukv9rie14hxnqwu1g,G. Taylor,Defender,0.0,1.0,,,,,,,1.0,,8.0,,,1.0,10.0,10.0,1.0,,4.0,,7.0,3.0,13.0,,8.0,2.0,5.0,6.0,4.0,,3.0,1.0,,45.0,,,11.0,6.0,10.0,1.0,3.0,,1.0,6.0,3.0,5.0,,,5.0,37.0,3.0,,,6.0,13.0,,1.0,2.0,1.0,,1.0,3.0,5.0,,,1.0,1.0,2.0,1.0,0.0,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2022-2023,Costa Rica,Costa_Rica,cg2d8f7rgwhf8t8c3unaittjp,Y. Tejeda,Midfielder,0.0,3.0,,,,,,,1.0,5.0,17.0,3.0,,3.0,10.0,174.0,,2.0,24.0,1.0,11.0,4.0,31.0,2.0,19.0,16.0,19.0,149.0,7.0,2.0,17.0,41.0,,269.0,4.0,,34.0,136.0,173.0,5.0,3.0,,,150.0,88.0,49.0,14.0,2.0,12.0,222.0,62.0,1.0,2.0,,29.0,,4.0,68.0,7.0,2.0,3.0,18.0,12.0,,,2.0,2.0,1.0,2.0,0.0,,,,,2.0,,,,,,5.0,3.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2022-2023,Costa Rica,Costa_Rica,8243fpjmbs5kespadpl8a104p,G. Torres,Midfielder,13.0,2.0,,1.0,,,,1.0,1.0,2.0,4.0,,,2.0,10.0,38.0,2.0,1.0,7.0,1.0,1.0,,12.0,,4.0,7.0,7.0,31.0,1.0,,6.0,6.0,,102.0,3.0,,19.0,30.0,38.0,2.0,6.0,,1.0,31.0,19.0,7.0,1.0,,8.0,59.0,12.0,,,,12.0,,2.0,18.0,1.0,,1.0,5.0,8.0,,,1.0,1.0,,,0.0,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2022-2023,Costa Rica,Costa_Rica,cz51ia9ovw0adlfq56ld6cbu1,J. Vargas,Defender,0.0,2.0,,,,,,,,7.0,9.0,,,2.0,10.0,121.0,,,18.0,1.0,9.0,3.0,21.0,1.0,16.0,5.0,11.0,97.0,6.0,7.0,12.0,53.0,,180.0,4.0,4.0,21.0,92.0,115.0,1.0,,,,103.0,33.0,32.0,11.0,11.0,5.0,146.0,70.0,,1.0,,10.0,1.0,,31.0,6.0,5.0,2.0,10.0,1.0,,,3.0,3.0,,2.0,0.0,,,,,,,,,,2.0,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2022-2023,Costa Rica,Costa_Rica,9aoke98456yic2bon1igtmimt,J. Venegas,Midfielder,11.0,2.0,,,,,,1.0,1.0,2.0,7.0,1.0,,2.0,10.0,42.0,5.0,2.0,9.0,,3.0,2.0,13.0,1.0,8.0,12.0,12.0,32.0,1.0,1.0,4.0,12.0,,115.0,2.0,1.0,20.0,30.0,40.0,1.0,2.0,1.0,1.0,33.0,23.0,15.0,3.0,2.0,5.0,70.0,12.0,,,3.0,11.0,,4.0,3.0,5.0,1.0,1.0,6.0,4.0,1.0,1.0,1.0,1.0,2.0,,0.0,,,,,,,,,,,,1.0,,1.0,,,2.0,,,,,,1.0,,,1.0,,,,,3.0,4.0,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2022-2023,Costa Rica,Costa_Rica,deoif7y6l43fo1xcqt66oiq51,K. Waston,Defender,0.0,3.0,,,,,,,,14.0,8.0,,,3.0,10.0,176.0,,1.0,34.0,,2.0,1.0,33.0,2.0,21.0,6.0,20.0,133.0,1.0,13.0,27.0,39.0,,270.0,7.0,5.0,37.0,131.0,167.0,3.0,2.0,1.0,,142.0,49.0,63.0,11.0,18.0,12.0,218.0,93.0,,,6.0,15.0,2.0,4.0,68.0,7.0,9.0,3.0,11.0,7.0,,,4.0,4.0,1.0,7.0,0.0,,,,,2.0,,,,,1.0,3.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2022-2023,Costa Rica,Costa_Rica,cdrgzx1ujljsitv7hl0je3alm,R. Wilson,Forward,0.0,2.0,,,,,,2.0,,,1.0,,,2.0,10.0,11.0,,,2.0,,,,3.0,1.0,2.0,2.0,2.0,9.0,,1.0,2.0,3.0,,12.0,,,5.0,7.0,11.0,,1.0,,,9.0,3.0,2.0,2.0,1.0,1.0,16.0,6.0,,,,2.0,1.0,,4.0,,,,3.0,1.0,,,,,,,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2022-2023,Costa Rica,Costa_Rica,c5tcmq68njyhc1guy7dg7vutx,S. Zúñiga,Midfielder,0.0,2.0,,,,,,,,6.0,11.0,,3.0,2.0,10.0,115.0,5.0,4.0,24.0,,7.0,2.0,15.0,3.0,11.0,37.0,23.0,90.0,5.0,,15.0,48.0,,180.0,7.0,3.0,33.0,87.0,114.0,,,1.0,5.0,91.0,49.0,27.0,4.0,3.0,4.0,169.0,45.0,,,21.0,12.0,1.0,1.0,3.0,9.0,,2.0,17.0,1.0,1.0,1.0,2.0,2.0,,4.0,0.0,,,,,3.0,,,,,,5.0,1.0,,1.0,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
