liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Offsides,Time Played,Throw Ins to Own Player,Substitute On,Successful Lay-offs,Goals,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Yellow Cards,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Corners into Box,Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Throw Ins to Opposition Player,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Ground Duels,Goals from Outside Box,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Attempts from Set Pieces,Successful Long Passes,Successful Crosses open play,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Left Foot Goals,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Handballs conceded,Hit Woodwork,Assists (Intentional),Ground Duels lost,Leftside Passes,Goals from Inside Box,Penalties Taken,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Unsuccessful lay-offs,Goal Assists,Penalty Goals,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Successful Launches,Blocks,Right Foot Goals,Total Red Cards,Straight Red Cards,GK Successful Distribution,Headed Goals,GK Unsuccessful Distribution,Penalties Conceded,Clearances Off the Line,Saves Made,Punches,Goalkeeper Smother,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves made - caught,Set Pieces Goals,Other Goals,Own Goal Scored,Foul Won Penalty,Penalty Goals Conceded,Second Goal Assists,Red Cards - 2nd Yellow,Penalties Off Target,Last Man Tackle,Penalties Saved,Saves from Penalty,Crosses not Claimed,Home Goals,Away Goals,Winning Goal,Times Tackled
USA_MLS,2017,FC Dallas,6k22ppzw6wv0c4gskzxk28fyt,K. Acosta,Defender,23,11.0,,1895.0,5.0,3.0,24.0,3.0,799.0,19.0,114.0,18.0,410.0,19.0,2.0,50.0,15.0,22.0,1.0,23.0,294.0,262.0,41.0,132.0,836.0,3.0,24.0,11.0,601.0,26.0,37.0,182.0,13.0,223.0,24.0,183.0,12.0,,96.0,20.0,29.0,46.0,1162.0,51.0,23.0,10.0,144.0,,309.0,30.0,52.0,90.0,15.0,5.0,53.0,3.0,27.0,11.0,11.0,178.0,8.0,27.0,,47.0,23.0,31.0,2.0,2.0,2.0,65.0,190.0,3.0,,625.0,654.0,34.0,5.0,1.0,2.0,,4.0,27.0,88.0,14.0,18.0,79.0,3.0,5.0,3.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,
USA_MLS,2017,FC Dallas,83180uf8plty9hjlnxzqg9gph,T. Akindele,Forward,13,9.0,8.0,1511.0,1.0,14.0,24.0,4.0,451.0,6.0,136.0,6.0,237.0,5.0,3.0,8.0,23.0,9.0,2.0,42.0,233.0,114.0,17.0,101.0,454.0,9.0,22.0,14.0,330.0,21.0,20.0,109.0,,146.0,31.0,101.0,1.0,,74.0,15.0,37.0,17.0,726.0,1.0,29.0,10.0,119.0,1.0,109.0,59.0,98.0,74.0,11.0,,15.0,6.0,11.0,32.0,15.0,193.0,10.0,23.0,,9.0,29.0,,1.0,2.0,,77.0,63.0,3.0,,342.0,345.0,74.0,2.0,1.0,,,2.0,13.0,119.0,4.0,13.0,42.0,1.0,3.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2017,FC Dallas,1k3vd2f0e8r92fqkg5981y66t,M. Barrios,Forward,21,66.0,11.0,2566.0,30.0,6.0,21.0,3.0,729.0,50.0,212.0,16.0,451.0,5.0,5.0,19.0,15.0,23.0,4.0,23.0,435.0,139.0,37.0,159.0,752.0,9.0,29.0,36.0,552.0,38.0,41.0,178.0,7.0,109.0,51.0,239.0,19.0,3.0,112.0,28.0,51.0,25.0,1275.0,41.0,34.0,19.0,224.0,,192.0,164.0,62.0,110.0,18.0,,22.0,10.0,27.0,10.0,43.0,257.0,6.0,42.0,,86.0,34.0,20.0,3.0,1.0,10.0,124.0,239.0,3.0,,551.0,574.0,33.0,5.0,2.0,12.0,,2.0,25.0,147.0,12.0,15.0,100.0,4.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,,,,,,,,,,
USA_MLS,2017,FC Dallas,3ebyf23azgbktpf7dgwlphkvd,R. Cannon,Defender,2,,,1.0,,1.0,,,1.0,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,,1.0,,,1.0,1.0,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2017,FC Dallas,8trnw9hm1jmhbacabzpm5iqqd,C. Cermeño,Midfielder,5,1.0,,315.0,,5.0,5.0,,169.0,1.0,36.0,3.0,82.0,1.0,2.0,4.0,4.0,1.0,2.0,6.0,33.0,78.0,9.0,15.0,176.0,2.0,5.0,7.0,144.0,3.0,1.0,19.0,3.0,52.0,,12.0,,,23.0,3.0,6.0,8.0,232.0,3.0,8.0,4.0,39.0,,46.0,4.0,64.0,25.0,,,13.0,1.0,6.0,3.0,1.0,48.0,3.0,5.0,,1.0,8.0,,1.0,,,17.0,42.0,,,152.0,157.0,9.0,1.0,,,,1.0,7.0,23.0,2.0,3.0,22.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2017,FC Dallas,bux3qj934czxv2imllf9o6t3p,A. Chalá,Defender,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2017,FC Dallas,egv32cai8dzoconq0xug5d61h,C. Colmán,Forward,9,1.0,6.0,959.0,1.0,16.0,10.0,2.0,169.0,15.0,42.0,,87.0,1.0,1.0,3.0,6.0,16.0,1.0,36.0,135.0,22.0,6.0,63.0,175.0,9.0,14.0,7.0,105.0,12.0,31.0,66.0,,35.0,5.0,59.0,9.0,,20.0,10.0,10.0,8.0,334.0,,26.0,7.0,70.0,,54.0,69.0,24.0,61.0,15.0,,4.0,,14.0,38.0,10.0,144.0,3.0,13.0,,1.0,26.0,,1.0,2.0,,47.0,44.0,2.0,,104.0,109.0,74.0,,1.0,1.0,,,3.0,83.0,3.0,3.0,23.0,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
USA_MLS,2017,FC Dallas,7y2l1sdm56aj3n9y8ehbr7g7p,C. Craft,Forward,16,,,11.0,,1.0,,,2.0,,1.0,,,,,,,1.0,,,1.0,1.0,,1.0,2.0,,,,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,4.0,,1.0,,1.0,,1.0,1.0,42.0,2.0,,,,,1.0,1.0,,2.0,,1.0,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2017,FC Dallas,d5hgq9en54sht3iy363fe2imt,M. Díaz,Midfielder,10,6.0,1.0,1107.0,3.0,6.0,51.0,2.0,682.0,10.0,151.0,11.0,386.0,1.0,,29.0,14.0,9.0,4.0,9.0,261.0,208.0,16.0,123.0,735.0,10.0,8.0,12.0,542.0,20.0,18.0,152.0,11.0,184.0,25.0,165.0,3.0,,53.0,13.0,21.0,15.0,977.0,29.0,19.0,3.0,122.0,,270.0,30.0,49.0,67.0,9.0,5.0,41.0,1.0,38.0,1.0,14.0,132.0,,24.0,,28.0,19.0,14.0,1.0,,3.0,56.0,130.0,2.0,3.0,544.0,583.0,10.0,2.0,4.0,3.0,2.0,7.0,13.0,65.0,3.0,6.0,66.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,5.0,,,,,,,,,,
USA_MLS,2017,FC Dallas,5wttdjpftd57c2t5959sm2yg9,J. Ferreira,Forward,27,,,19.0,,1.0,,1.0,1.0,,,,,,,,2.0,,,,3.0,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,1.0,,,,,2.0,,6.0,,1.0,,2.0,,1.0,1.0,97.0,,1.0,,,,,,1.0,2.0,,1.0,,,1.0,,,,,2.0,,1.0,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2017,FC Dallas,15pxobn91cyrhdzpshwwmzjrp,M. Figueroa,Defender,31,21.0,1.0,2325.0,137.0,,4.0,3.0,1087.0,9.0,157.0,4.0,384.0,50.0,8.0,123.0,10.0,18.0,2.0,25.0,344.0,490.0,52.0,126.0,1119.0,1.0,20.0,10.0,754.0,31.0,24.0,249.0,,384.0,12.0,213.0,10.0,36.0,109.0,26.0,22.0,57.0,1649.0,,26.0,14.0,124.0,,490.0,31.0,55.0,119.0,6.0,4.0,116.0,4.0,21.0,38.0,5.0,187.0,87.0,33.0,2.0,21.0,26.0,,,,,43.0,88.0,3.0,,843.0,870.0,63.0,8.0,,,,,34.0,68.0,18.0,41.0,81.0,12.0,10.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,
USA_MLS,2017,FC Dallas,83fa3xeia5zzfl19tk08vy3f9,J. Gonzalez,Goalkeeper,1,,,2610.0,,,,,364.0,,,,91.0,83.0,4.0,239.0,,,3.0,,249.0,393.0,1.0,5.0,728.0,,,,321.0,37.0,,244.0,,138.0,,192.0,,,264.0,29.0,,52.0,979.0,,29.0,,6.0,,454.0,,52.0,7.0,,,163.0,,3.0,3.0,,9.0,22.0,40.0,,,29.0,,,,,2.0,136.0,,,297.0,484.0,3.0,9.0,,,,,,2.0,1.0,3.0,4.0,42.0,,,,,251.0,,104.0,,,75.0,9.0,2.0,3.0,10.0,32.0,31.0,43.0,1.0,3.0,,,,,1.0,,,,,,,,,,,
