liga,temporada,equipo,id,nombre,posicion,dorsal,Open Play Passes,Substitute On,Successful Open Play Passes,Successful Short Passes,Games Played,Successful Passes Opposition Half,Total Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Time Played,Forward Passes,Appearances,Index,Touches,Home Goals,Away Goals,Winning Goal,Duels lost,Ground Duels,Ground Duels won,Total Shots,Unsuccessful Short Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Unsuccessful Launches,Recoveries,Unsuccessful Long Passes,Clean Sheets,Times Tackled,Unsuccessful Passes Own Half,Total Touches In Opposition Box,Aerial Duels won,Blocks,Successful Passes Own Half,Goals Conceded Outside Box,Interceptions,Ground Duels lost,Total Clearances,Foul Attempted Tackle,Leftside Passes,Backward Passes,Rightside Passes,PutThrough/Blocked Distribution,Aerial Duels,Tackles Won,Unsuccessful Passes Opposition Half,Unsuccessful Dribbles,Duels,Goals Conceded,Successful Dribbles,Total Fouls Conceded,Goals Conceded Inside Box,Starts,Total Tackles,Shots Off Target (inc woodwork),Successful Long Passes,Duels won,Total Losses Of Possession,Total Fouls Won,PutThrough/Blocked Distribution Won,Shots On Target ( inc goals ),Blocked Shots,Yellow Cards,Offsides,Unsuccessful Crosses & Corners,Aerial Duels lost,Goals,Attempts from Set Pieces,Unsuccessful Crosses open play,Substitute Off,Goals from Inside Box,Tackles Lost,Key Passes (Attempt Assists),Left Foot Goals,GK Unsuccessful Distribution,Saves Made from Inside Box,Saves Made,GK Successful Distribution,Through balls,Corners Won,Goal Assists,Assists (Intentional),Successful Lay-offs,Throw Ins to Own Player,Right Foot Goals,Corners Taken (incl short corners),Goals from Outside Box,Unsuccessful Corners into Box,Second Goal Assists,Successful Launches,Successful Crosses & Corners,Successful Crosses open play,Foul Won Penalty,Handballs conceded,Successful Corners into Box,Penalties Taken,Penalty Goals,Throw Ins to Opposition Player,Saves made - parried,Punches,Catches,Goalkeeper Smother,Saves Made from Outside Box,Clearances Off the Line,Hit Woodwork,Penalty Goals Conceded,Drops,Penalties Faced,Penalties Conceded,Straight Red Cards,Total Red Cards,Unsuccessful lay-offs,Headed Goals
Concacaf_Leagues_Cup_2019_2022,2021,Club León,651jwekihhfyqu45vs89pnalm,A. León,Forward,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club León,7nb8wttu9vq5vyvc3idkuci51,Á. Mena,Midfielder,13,109,,94,93,3,80,112,96,262,22,3,10,165,2,1,0,8,20,14,5,16,16,,11,,,5,1,20,,,20,1,1,6,2,,40,41,9,3,2,2,21,2,22,3,3,1,2,3,3,1,3,14,35,8,,4,2,,1,6,2,3,,2,1,3,1,5,2,,,,,1,,4,2,,1,1,3,,2,,,4,3,1,1,1,1,1,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club León,36bbkyoy8zyyzsbos2ex0fzdh,J. Meneses,Midfielder,16,67,1,54,53,3,35,67,54,174,13,3,10,116,0,1,0,15,27,12,3,11,13,1,12,2,1,12,2,9,,,21,,,15,1,,13,15,26,5,,,17,3,27,1,8,1,1,2,1,1,1,12,38,3,2,2,1,,1,6,,1,,6,1,1,1,1,,,,,,1,2,,,,2,1,,,,1,,2,2,,,,,,1,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club León,bp7mod681lj9rrs92j10s6a51,L. Montes,Midfielder,10,45,2,38,37,2,23,48,41,51,8,2,10,62,0,0,0,2,8,7,,5,7,,2,2,,,,2,,,18,1,,1,,,13,12,15,4,1,1,8,,9,1,2,,,,2,,4,7,11,3,2,,,1,,1,1,,,,,,1,1,,,,,,2,1,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club León,avkum05konqr9c3roxgshia51,A. Mosquera,Defender,4,100,1,88,83,3,16,102,90,153,29,3,10,120,0,0,0,5,6,2,,7,12,2,6,5,,1,7,1,1,1,74,,2,4,4,2,40,18,15,1,2,,7,,8,2,,2,2,2,,,7,3,17,2,,,,,,2,1,,,2,1,,,,,,,,,,1,,,,4,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club León,s8szlcmrxn7t5leu5t2cnfje,S. Ormeño,Forward,14,3,1,3,3,1,2,3,3,31,1,1,10,6,1,0,0,4,3,,2,,,,1,,,,,2,,,1,,,3,,2,,1,1,,1,,,,4,,,3,,,,,,,1,,,2,,1,,,1,1,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club León,99vibsfn687alcszi6zz671ed,D. Ramírez,Midfielder,28,128,1,119,115,3,54,131,122,207,39,3,10,174,0,0,0,11,17,9,1,6,9,1,12,3,,3,5,2,,,68,1,,8,2,2,57,27,8,1,3,2,10,,20,2,5,5,1,2,3,1,7,9,23,1,1,,,,1,6,3,,,6,1,,1,,,,,,,,,,,,14,,,,,,3,,,,,,,,3,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club León,5lkbyrp4hjv4mx35y1xrt8bo4,J. Rangel,Midfielder,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club León,4qlsgfu3mc2xaav1y9bpvfsh5,I. Rodríguez,Midfielder,8,156,,136,132,3,62,163,143,238,40,3,10,198,0,0,0,13,22,14,1,16,20,1,10,4,,3,7,,4,1,81,1,4,8,3,1,57,18,48,4,9,4,13,1,31,3,2,4,2,3,5,,11,18,26,7,2,1,,,,,5,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club León,ayzzitkww58cz1w3b64f65a6t,O. Rodríguez,Defender,24,128,1,105,106,3,63,132,109,200,55,3,10,191,0,0,0,8,12,7,,19,23,3,8,4,,1,5,1,2,,50,1,5,5,3,2,4,25,48,3,5,3,26,1,17,2,2,3,1,2,4,,3,9,36,1,1,,,,,8,3,,,8,1,,1,1,,,,,,,2,,,,22,,,,,,,4,4,,,,,,2,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club León,anawtbdyrtndl7gvqs3kjxmtx,W. Tesillo,Defender,6,189,,158,141,3,76,198,167,246,79,3,10,234,0,0,0,7,16,11,,14,31,9,19,17,1,,13,,3,1,91,1,4,5,8,1,35,10,74,1,5,1,18,,21,3,1,2,2,3,6,,26,14,37,4,1,,,1,,,2,,,,1,,5,,,,,,,,,,,,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club León,epyyw0qm0q7uhhuo636u3skmi,Ó. Villa,Defender,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club León,2og95yaq7fksqizw0vajmx0wl,I. Vázquez,Goalkeeper,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club León,a8jwv607wxvqro9iytr0fijje,S. Zamora,Midfielder,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club León,abglqpynbrncplmvac3tj2lwq,J. Zamudio,Midfielder,32,1,1,1,1,1,1,1,1,2,,1,10,2,0,0,0,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club Santos Laguna,cs0ukx1l3r8kdyn8iu26qupyh,C. Acevedo,Goalkeeper,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club Santos Laguna,9txaaokrq6jn39otwm2omwdzp,D. Andrade,Midfielder,14,39,,28,27,1,19,39,28,90,20,1,10,63,0,0,0,2,9,7,1,8,11,1,13,3,1,2,3,,1,,9,,1,2,1,,2,3,14,,1,3,10,2,10,,1,,,1,4,1,1,8,19,2,,,,,,2,,,,2,,,1,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club Santos Laguna,21pcsi974pxn7yx4uf5w6sphw,O. Campos,Midfielder,190,36,,26,26,1,20,36,26,90,14,1,10,68,0,0,0,8,10,5,,7,10,3,3,3,,5,2,,1,,7,,2,5,1,,,6,16,3,4,1,10,2,14,1,4,,1,1,1,,,6,22,,,,,,,2,3,,,2,,,,1,,,,,,,2,,,,8,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club Santos Laguna,1s6iiyybed5a643wiv9x7ui5m,J. Carrillo,Midfielder,202,26,1,22,22,2,17,26,22,91,4,2,10,56,0,0,0,10,18,8,1,3,4,,9,1,,5,1,2,,1,6,,1,10,2,2,5,6,11,1,,1,6,3,18,1,3,2,1,1,2,1,,8,15,3,1,,1,,,3,,,,3,1,,1,1,,,,,,,2,,,,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club Santos Laguna,87gmnnxvwtr265s3efeziwrft,A. Cervantes,Midfielder,6,8,1,8,7,1,5,9,9,9,2,1,10,9,0,0,0,,,,,,,,,,,,,,,,4,,,,,,3,1,3,,,,,,,1,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
