liga,temporada,equipo,id,nombre,posicion,dorsal,Duels lost,Tackles Lost,Total Clearances,Aerial Duels won,Yellow Cards,Time Played,Unsuccessful Short Passes,Throw Ins to Own Player,Goals Conceded Outside Box,Assists (Intentional),Unsuccessful Dribbles,Forward Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Foul Attempted Tackle,Unsuccessful Passes Opposition Half,Tackles Won,Blocked Shots,Successful Passes Own Half,Substitute On,Key Passes (Attempt Assists),Goals Conceded Inside Box,Substitute Off,Total Fouls Won,Successful Crosses & Corners,Successful Dribbles,Recoveries,Overruns,Throw Ins to Opposition Player,Unsuccessful Long Passes,Shots Off Target (inc woodwork),Leftside Passes,Total Fouls Conceded,Goals Conceded,PutThrough/Blocked Distribution,Duels,Starts,Unsuccessful Launches,Through balls,Aerial Duels lost,Aerial Duels,Total Shots,Total Losses Of Possession,Successful Open Play Passes,Times Tackled,Ground Duels,Successful Crosses open play,Penalty Goals Conceded,Goal Assists,Appearances,Unsuccessful Passes Own Half,Unsuccessful Crosses & Corners,Total Touches In Opposition Box,Backward Passes,Penalties Conceded,Total Tackles,Touches,Interceptions,Successful Short Passes,Successful Passes Opposition Half,Successful Lay-offs,Successful Launches,Total Successful Passes ( Excl Crosses & Corners ) ,Unsuccessful lay-offs,Total Passes,Blocks,Open Play Passes,Duels won,Shots On Target ( inc goals ),Successful Long Passes,Ground Duels lost,Games Played,Rightside Passes,Index,PutThrough/Blocked Distribution Won,Unsuccessful Crosses open play,Ground Duels won,Corners Won,Winning Goal,Right Foot Goals,Goals,Offsides,Left Foot Goals,Hit Woodwork,Headed Goals,Goals from Inside Box,Clean Sheets,Home Goals,Away Goals,Total Red Cards,Goal Kicks,GK Successful Distribution,Straight Red Cards,Goals from Outside Box,Attempts from Set Pieces,Clearances Off the Line,Successful Corners into Box,Foul Won Penalty,Red Cards - 2nd Yellow,Set Pieces Goals,Unsuccessful Corners into Box,Corners Taken (incl short corners),Penalties Taken,Penalty Goals,Handballs conceded,Other Goals,Own Goal Scored,Punches,Saves made - parried,Saves Made,GK Unsuccessful Distribution,Catches,Saves Made from Outside Box,Saves Made from Inside Box,Penalties Faced,Drops,Goalkeeper Smother,Saves made - caught,Last Player Tackle,Second Goal Assists,Penalties Saved,Saves from Penalty,Penalties Off Target,Crosses not Claimed
USA_USL_League_One,2024,Northern Colorado Hailstorm FC,ccrgp77cn1om8mx6sfz0ig6c4,M. Clarke,Midfielder,47,2.0,,1.0,2.0,,41.0,3.0,1.0,,,,5.0,5.0,,10.0,1.0,1.0,6.0,3.0,,,,1.0,1.0,1.0,1.0,,1.0,2.0,,7.0,,,4.0,7.0,,1.0,,1.0,3.0,1.0,15.0,12.0,,4.0,,,,3.0,,5.0,3.0,6.0,,1.0,43.0,2.0,15.0,10.0,,,15.0,,20.0,,17.0,5.0,1.0,,1.0,3.0,2.0,10.0,3.0,5.0,3.0,,0.0,1.0,1.0,,,,,1.0,,1.0,0.0,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2024,Northern Colorado Hailstorm FC,bzk7l6u5bvun1zt11ouvzp7ft,E. Delgado,Goalkeeper,1,2.0,,17.0,4.0,3.0,2067.0,2.0,,2.0,,,308.0,135.0,,116.0,,,401.0,,1.0,19.0,1.0,5.0,,,161.0,,,133.0,,167.0,2.0,21.0,,10.0,23.0,67.0,,1.0,5.0,,136.0,316.0,,5.0,,3.0,,23.0,19.0,,,,,,791.0,,359.0,78.0,,39.0,479.0,,614.0,,374.0,8.0,,120.0,1.0,23.0,139.0,10.0,,,4.0,,0.0,,,,,,,,9.0,,,,166.0,217.0,,,,,,,,,,,,,,,,8.0,19.0,47.0,42.0,13.0,22.0,25.0,3.0,1.0,1.0,2.0,,,,,,
USA_USL_League_One,2024,Northern Colorado Hailstorm FC,35gw2u5bmazcn9vfiti4puy21,J. Dietrich,Midfielder,6,40.0,9.0,6.0,3.0,4.0,1000.0,39.0,11.0,,,10.0,131.0,53.0,7.0,50.0,15.0,3.0,215.0,4.0,7.0,7.0,13.0,18.0,4.0,10.0,56.0,,,14.0,11.0,130.0,14.0,7.0,18.0,95.0,13.0,7.0,1.0,3.0,6.0,17.0,95.0,431.0,17.0,89.0,2.0,,,17.0,14.0,11.0,16.0,108.0,,24.0,671.0,8.0,423.0,243.0,14.0,1.0,454.0,,507.0,2.0,484.0,55.0,6.0,31.0,37.0,17.0,138.0,10.0,8.0,7.0,52.0,4.0,0.0,,,,,1.0,,,,,,,,,,,1.0,,2.0,1.0,,,3.0,5.0,,,1.0,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2024,Northern Colorado Hailstorm FC,7kwhnmzzskj1g5uv6d17xco6i,B. Evans,Defender,2,34.0,9.0,78.0,34.0,2.0,1598.0,53.0,15.0,2.0,,,387.0,157.0,5.0,110.0,19.0,,522.0,2.0,7.0,10.0,1.0,4.0,,2.0,50.0,,10.0,104.0,8.0,229.0,11.0,12.0,18.0,102.0,18.0,57.0,1.0,18.0,52.0,9.0,178.0,796.0,1.0,50.0,,1.0,,20.0,52.0,5.0,10.0,58.0,,28.0,1176.0,9.0,701.0,284.0,,23.0,806.0,,963.0,11.0,950.0,68.0,1.0,105.0,16.0,20.0,289.0,10.0,13.0,5.0,34.0,3.0,0.0,,,1.0,,,,,8.0,,,,4.0,4.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
USA_USL_League_One,2024,Northern Colorado Hailstorm FC,7i1e818kjeok1iluvmq4z32z9,J. Fenwick,Defender,5,26.0,3.0,31.0,23.0,1.0,1042.0,44.0,18.0,,,,242.0,114.0,5.0,92.0,2.0,1.0,357.0,1.0,4.0,13.0,1.0,7.0,4.0,,25.0,,3.0,70.0,5.0,84.0,11.0,13.0,6.0,61.0,12.0,34.0,,13.0,36.0,5.0,124.0,515.0,,25.0,4.0,3.0,,13.0,24.0,2.0,13.0,55.0,1.0,5.0,773.0,17.0,474.0,189.0,,9.0,542.0,,656.0,5.0,626.0,35.0,,68.0,13.0,13.0,275.0,10.0,2.0,2.0,12.0,,0.0,,,,,,,,3.0,,,,12.0,12.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2024,Northern Colorado Hailstorm FC,bh3an1jmbqxwmf2a41u9p4ftg,David García,Defender,4,67.0,10.0,90.0,57.0,3.0,1845.0,73.0,8.0,2.0,1.0,2.0,518.0,175.0,2.0,130.0,15.0,2.0,616.0,1.0,5.0,17.0,,14.0,,2.0,73.0,,,102.0,12.0,429.0,13.0,19.0,7.0,165.0,20.0,37.0,6.0,42.0,99.0,20.0,195.0,959.0,5.0,66.0,,3.0,2.0,21.0,48.0,3.0,32.0,48.0,,25.0,1407.0,26.0,850.0,369.0,,9.0,985.0,,1160.0,15.0,1130.0,98.0,8.0,135.0,25.0,21.0,165.0,10.0,1.0,3.0,41.0,3.0,2.0,,2.0,,,,2.0,2.0,8.0,1.0,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2024,Northern Colorado Hailstorm FC,8udr4ta0orskmt6v6z491wu8k,R. Gill,Midfielder,7,40.0,4.0,,,1.0,491.0,24.0,7.0,1.0,2.0,16.0,39.0,35.0,9.0,52.0,8.0,5.0,18.0,9.0,12.0,3.0,6.0,10.0,7.0,9.0,26.0,,1.0,11.0,4.0,28.0,9.0,4.0,18.0,71.0,5.0,5.0,,3.0,3.0,10.0,95.0,82.0,22.0,68.0,6.0,,3.0,14.0,6.0,23.0,41.0,29.0,,12.0,261.0,3.0,80.0,72.0,7.0,,83.0,,118.0,,117.0,31.0,6.0,3.0,37.0,14.0,22.0,10.0,7.0,20.0,31.0,7.0,0.0,1.0,2.0,,1.0,1.0,,1.0,,2.0,0.0,,,,,1.0,,,1.0,1.0,,,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2024,Northern Colorado Hailstorm FC,eokcgp51j8ukeclqxis10b2ms,C. Gozdieski,Midfielder,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2024,Northern Colorado Hailstorm FC,4zk384iwrvinp38k34hc10q1h,M. Hernández,Midfielder,11,41.0,8.0,6.0,3.0,5.0,540.0,27.0,9.0,,2.0,5.0,53.0,38.0,10.0,58.0,13.0,6.0,42.0,17.0,13.0,7.0,3.0,9.0,7.0,3.0,23.0,1.0,,11.0,7.0,37.0,14.0,7.0,17.0,77.0,3.0,5.0,1.0,13.0,16.0,13.0,92.0,132.0,10.0,61.0,6.0,1.0,2.0,20.0,6.0,26.0,27.0,43.0,,21.0,326.0,6.0,131.0,98.0,2.0,1.0,133.0,,171.0,,170.0,36.0,6.0,2.0,28.0,20.0,38.0,10.0,7.0,24.0,33.0,9.0,1.0,,3.0,1.0,3.0,,,2.0,,2.0,1.0,,,,,1.0,1.0,,1.0,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2024,Northern Colorado Hailstorm FC,7cnscodi0dspjmpgqvr8rxr3e,E. Hoard,Forward,20,147.0,2.0,9.0,39.0,3.0,1742.0,81.0,1.0,2.0,,33.0,79.0,91.0,7.0,92.0,2.0,9.0,62.0,2.0,19.0,14.0,8.0,27.0,6.0,27.0,36.0,6.0,,10.0,14.0,60.0,34.0,16.0,18.0,243.0,20.0,1.0,3.0,58.0,97.0,37.0,218.0,170.0,54.0,146.0,6.0,1.0,2.0,22.0,5.0,6.0,113.0,92.0,,4.0,590.0,,198.0,147.0,17.0,1.0,203.0,5.0,294.0,3.0,259.0,96.0,23.0,5.0,89.0,22.0,63.0,10.0,8.0,6.0,57.0,17.0,2.0,2.0,6.0,13.0,1.0,4.0,3.0,6.0,6.0,3.0,3.0,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,
USA_USL_League_One,2024,Northern Colorado Hailstorm FC,5y3ffas67ufbxhtmjmbq3e9xx,J. Keegan,Forward,23,33.0,5.0,4.0,5.0,,724.0,33.0,5.0,1.0,1.0,4.0,51.0,44.0,4.0,50.0,4.0,4.0,37.0,16.0,12.0,12.0,6.0,5.0,3.0,3.0,26.0,,,11.0,5.0,29.0,5.0,13.0,15.0,55.0,6.0,5.0,,11.0,16.0,12.0,83.0,137.0,14.0,39.0,2.0,3.0,1.0,22.0,9.0,15.0,35.0,65.0,,9.0,291.0,,143.0,113.0,6.0,1.0,147.0,2.0,191.0,,181.0,22.0,7.0,4.0,22.0,22.0,46.0,10.0,5.0,15.0,17.0,7.0,1.0,2.0,2.0,1.0,,,,2.0,,2.0,0.0,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2024,Northern Colorado Hailstorm FC,c4v0l6nd0hdzjk5aezddb755h,B. King,Forward,19,41.0,6.0,5.0,2.0,1.0,1173.0,39.0,11.0,2.0,1.0,10.0,102.0,51.0,4.0,79.0,9.0,5.0,107.0,3.0,25.0,8.0,10.0,14.0,9.0,11.0,54.0,,,12.0,11.0,58.0,8.0,10.0,16.0,83.0,14.0,3.0,2.0,6.0,8.0,21.0,138.0,326.0,19.0,75.0,9.0,,1.0,17.0,6.0,34.0,53.0,99.0,,15.0,591.0,3.0,307.0,230.0,5.0,,328.0,1.0,379.0,,377.0,42.0,10.0,21.0,35.0,17.0,120.0,10.0,7.0,31.0,40.0,15.0,2.0,2.0,4.0,3.0,2.0,2.0,,3.0,2.0,2.0,2.0,,,,,1.0,,,,,,,3.0,4.0,,,1.0,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2024,Northern Colorado Hailstorm FC,ek2k6sagi13lj3is2n5212p5h,E. Kwakwa,Midfielder,8,46.0,3.0,9.0,8.0,3.0,704.0,30.0,1.0,1.0,,5.0,131.0,51.0,14.0,38.0,8.0,,154.0,9.0,2.0,8.0,8.0,6.0,2.0,11.0,56.0,2.0,,21.0,2.0,74.0,20.0,9.0,7.0,82.0,9.0,6.0,1.0,6.0,14.0,4.0,69.0,279.0,12.0,68.0,2.0,2.0,,18.0,13.0,,3.0,50.0,,11.0,435.0,8.0,264.0,139.0,8.0,3.0,291.0,,342.0,1.0,330.0,36.0,2.0,27.0,40.0,18.0,87.0,10.0,5.0,,28.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2024,Northern Colorado Hailstorm FC,9n8idci7b4kq83rbepum6ub8q,P. Langlois,Midfielder,15,63.0,13.0,19.0,22.0,3.0,1674.0,62.0,1.0,2.0,,5.0,214.0,94.0,12.0,67.0,15.0,3.0,286.0,3.0,9.0,14.0,7.0,5.0,1.0,2.0,70.0,1.0,,32.0,5.0,205.0,20.0,16.0,18.0,120.0,19.0,15.0,1.0,21.0,43.0,8.0,127.0,598.0,11.0,77.0,1.0,2.0,1.0,22.0,30.0,3.0,12.0,88.0,,28.0,878.0,26.0,552.0,321.0,6.0,4.0,606.0,1.0,700.0,4.0,692.0,57.0,3.0,54.0,42.0,22.0,193.0,10.0,9.0,3.0,35.0,3.0,0.0,1.0,1.0,,,,,1.0,7.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2024,Northern Colorado Hailstorm FC,a15ecw8anfitp7u6by6rae7ai,I. Martínez,Midfielder,30,62.0,6.0,14.0,8.0,3.0,1519.0,64.0,7.0,2.0,4.0,12.0,175.0,92.0,16.0,141.0,18.0,6.0,144.0,3.0,47.0,11.0,14.0,22.0,40.0,5.0,75.0,,,28.0,8.0,119.0,22.0,13.0,16.0,120.0,18.0,12.0,2.0,10.0,18.0,14.0,190.0,406.0,19.0,102.0,4.0,2.0,4.0,21.0,10.0,59.0,23.0,110.0,1.0,24.0,811.0,18.0,390.0,332.0,7.0,2.0,436.0,,528.0,3.0,490.0,58.0,6.0,46.0,52.0,21.0,124.0,10.0,7.0,13.0,50.0,7.0,1.0,,1.0,1.0,1.0,,,1.0,2.0,1.0,0.0,,,,,,2.0,,30.0,,,,32.0,72.0,,,1.0,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2024,Northern Colorado Hailstorm FC,3okk9awycgy7qkpa4th7fab8q,D. Norman,Midfielder,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
