liga,temporada,equipo,id,nombre,posicion,dorsal,Time Played,Goals Conceded Inside Box,Starts,Appearances,Index,Goals Conceded,Games Played,Substitute Off,Yellow Cards,Substitute On,Goals,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Open Play Passes,Successful Passes Opposition Half,Aerial Duels lost,Total Passes,Touches,Total Touches In Opposition Box,Successful Long Passes,Duels,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Duels lost,Saves Made,GK Successful Distribution,Unsuccessful Launches,Unsuccessful Long Passes,Total Losses Of Possession,Successful Passes Own Half,Unsuccessful Short Passes,Successful Short Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Recoveries,Unsuccessful Passes Own Half,Catches,Forward Passes,Saves Made from Outside Box,Saves made - parried,Total Clearances,Saves Made from Inside Box,Penalties Faced,Saves made - caught,GK Unsuccessful Distribution,Throw Ins to Own Player,Backward Passes,Interceptions,Penalties Conceded,Successful Launches,Corners Won,Total Tackles,Total Fouls Conceded,Foul Attempted Tackle,Ground Duels,Duels won,Total Fouls Won,Aerial Duels won,Ground Duels lost,Tackles Won,Ground Duels won,Unsuccessful Crosses open play,Unsuccessful Crosses & Corners,Tackles Lost,PutThrough/Blocked Distribution,Blocks,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Total Shots,Handballs conceded,Successful Crosses & Corners,Successful Corners into Box,Blocked Shots,Corners Taken (incl short corners),Shots On Target ( inc goals ),Unsuccessful Corners into Box,Attempts from Set Pieces,Successful Crosses open play,Successful Dribbles,Throw Ins to Opposition Player,Successful Lay-offs,Right Foot Goals,Unsuccessful Dribbles,Goals from Inside Box,Penalties Taken,Penalty Goals,Hit Woodwork,Foul Won Penalty,Offsides,Through balls,Goals Conceded Outside Box,Assists (Intentional),Goal Assists,Unsuccessful lay-offs,Punches,Drops,Headed Goals,Left Foot Goals,Clean Sheets,Goals from Outside Box,Penalties Off Target,Goalkeeper Smother,Clearances Off the Line,Set Pieces Goals,Times Tackled,Home Goals,Away Goals,Winning Goal,Goal Kicks,Second Goal Assists,Own Goal Scored,Other Goals,Last Man Tackle
USA_US_Open_Cup,2017,Houston Dynamo FC,cfucb8do9rkxdk9381cinmqd,J. Anibaba,Defender,2.0,210.0,2.0,2.0,2.0,10.0,4.0,2.0,,,,,,,,139.0,23.0,1.0,140.0,162.0,2.0,7.0,14.0,57.0,118.0,119.0,6.0,6.0,,,3.0,10.0,22.0,97.0,11.0,112.0,21.0,26.0,,14.0,13.0,7.0,,52.0,,,4.0,,,,,1.0,5.0,7.0,,,1.0,2.0,4.0,3.0,8.0,8.0,2.0,5.0,5.0,2.0,3.0,,,,1.0,3.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Houston Dynamo FC,58t051kyiko3imm429rqsn5rd,E. Bird,Midfielder,35.0,201.0,1.0,2.0,2.0,10.0,3.0,2.0,1.0,2.0,,,,,,88.0,37.0,1.0,89.0,113.0,3.0,1.0,23.0,30.0,73.0,74.0,1.0,17.0,,,1.0,6.0,23.0,37.0,9.0,73.0,15.0,20.0,3.0,16.0,11.0,,,24.0,,,4.0,,,,,1.0,15.0,1.0,,,,6.0,8.0,6.0,22.0,6.0,,,16.0,5.0,6.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Houston Dynamo FC,1612zaoj1lx3v08ko4tdl1vxl,C. Brown,Goalkeeper,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Houston Dynamo FC,tyov0w4vvjp4v8w9rw4fl9zp,Alex,Midfielder,14.0,68.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,,,,,,,25.0,10.0,,26.0,35.0,,,7.0,7.0,20.0,21.0,,5.0,,,,2.0,9.0,11.0,3.0,21.0,5.0,7.0,,5.0,3.0,,,6.0,,,,,,,,,6.0,,,,1.0,1.0,2.0,1.0,7.0,2.0,,,5.0,1.0,2.0,,,,1.0,,1.0,2.0,2.0,,,,,,,,,,1.0,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Houston Dynamo FC,79xw5l1zq2huxdmeod9t19nmd,J. Escalante,Midfielder,23.0,39.0,,,1.0,10.0,,1.0,,,1.0,,,,,14.0,6.0,,14.0,25.0,2.0,,1.0,,7.0,7.0,,1.0,,,1.0,1.0,13.0,2.0,6.0,7.0,7.0,7.0,2.0,10.0,5.0,2.0,,1.0,,,,,,,,1.0,6.0,,,,1.0,,2.0,1.0,1.0,,,,1.0,,,3.0,5.0,,3.0,,3.0,,,1.0,1.0,,,2.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Houston Dynamo FC,bh2no1aqn7l1wlpj8n2dz0yc5,K. Garcia,Defender,16.0,210.0,2.0,2.0,2.0,10.0,4.0,2.0,,,,,,,,80.0,28.0,2.0,83.0,132.0,3.0,2.0,19.0,37.0,69.0,72.0,6.0,8.0,,,2.0,2.0,25.0,46.0,9.0,70.0,11.0,1.0,2.0,11.0,11.0,5.0,,25.0,,,2.0,,,,,17.0,20.0,4.0,,,1.0,6.0,3.0,1.0,13.0,11.0,1.0,4.0,6.0,5.0,7.0,5.0,5.0,1.0,1.0,,,1.0,1.0,,2.0,,,,,,,2.0,,3.0,1.0,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Houston Dynamo FC,15kop7o6luu9ppzl283ixra39,B. García,Midfielder,27.0,28.0,1.0,,1.0,10.0,1.0,1.0,,,1.0,,,,,17.0,13.0,,17.0,21.0,,1.0,3.0,3.0,14.0,14.0,1.0,2.0,,,,,5.0,1.0,3.0,13.0,3.0,5.0,,3.0,,,,8.0,,,,,,,,,1.0,,,,,,2.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Houston Dynamo FC,4e47ixpbc8x9qzn7l3aeej0tl,K. Greene,Defender,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Houston Dynamo FC,9r5qssmwmiynijvqk1kvfdwix,J. Holland,Midfielder,8.0,90.0,1.0,1.0,2.0,10.0,3.0,2.0,1.0,,1.0,,,,,49.0,38.0,1.0,51.0,65.0,4.0,1.0,8.0,15.0,43.0,45.0,3.0,3.0,,,,,12.0,7.0,6.0,44.0,6.0,15.0,3.0,8.0,5.0,,,13.0,,,1.0,,,,,,8.0,1.0,,,1.0,,,,5.0,5.0,2.0,2.0,2.0,,3.0,2.0,2.0,,1.0,,1.0,,2.0,,,,,,2.0,,,,1.0,,3.0,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Houston Dynamo FC,bkw72tpb6r3oj8dni47gp0e7d,T. Hunter,Defender,26.0,210.0,2.0,2.0,2.0,10.0,4.0,2.0,,,,,,,,133.0,26.0,1.0,135.0,154.0,,10.0,12.0,39.0,122.0,124.0,3.0,3.0,,,1.0,4.0,11.0,98.0,7.0,114.0,11.0,56.0,,8.0,8.0,3.0,,38.0,,,5.0,,,,,1.0,2.0,4.0,,2.0,,5.0,,,9.0,9.0,1.0,2.0,2.0,4.0,7.0,,,1.0,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,
