liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Throw Ins to Own Player,Substitute On,Successful Lay-offs,Successful Launches,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Attempts from Set Pieces,Successful Long Passes,Successful Crosses open play,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Hit Woodwork,Assists (Intentional),Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Goal Assists,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Throw Ins to Opposition Player,Offsides,Goals,Right Foot Goals,Yellow Cards,Successful Corners into Box,Left Foot Goals,Foul Won Penalty,Handballs conceded,Goals from Inside Box,Penalties Taken,Penalty Goals,Penalties Conceded,Total Red Cards,Straight Red Cards,Unsuccessful lay-offs,Headed Goals,Saves Made,GK Successful Distribution,Punches,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves made - caught,GK Unsuccessful Distribution,Clearances Off the Line,Penalty Goals Conceded,Winning Goal,Times Tackled,Overruns,Own Goal Scored,Second Goal Assists,Home Goals,Away Goals,Saves from Penalty,Penalties Saved,Goal Kicks,Goals from Outside Box,Goalkeeper Smother,Crosses not Claimed,Red Cards - 2nd Yellow,Set Pieces Goals,Last Player Tackle,Penalties Off Target,Other Goals
Mexico_Liga_MX,2018-2019,Club Atlético Morelia,al24bb2oqh535ay4zcnmdv5xx,R. Millar,Midfielder,20,3.0,1325.0,15.0,,6.0,2.0,815.0,3.0,118.0,,457.0,1.0,7.0,10.0,9.0,2.0,15.0,154.0,286.0,27.0,96.0,846.0,8.0,18.0,9.0,702.0,22.0,11.0,103.0,193.0,12.0,86.0,2.0,84.0,16.0,18.0,20.0,1038.0,,16.0,13.0,5.0,112.0,296.0,22.0,10.0,77.0,2.0,,41.0,,11.0,30.0,7.0,157.0,21.0,24.0,3.0,16.0,,,,65.0,239.0,712.0,743.0,45.0,2.0,,,19.0,80.0,8.0,16.0,47.0,,1.0,1.0,,2.0,,1.0,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,0.0,26.0,,,,0.0,1.0,,,,1.0,,,,,,,
Mexico_Liga_MX,2018-2019,Club Atlético Morelia,dt88ve9zcyhrgljysrb21hmfp,M. Osuna,Midfielder,8,6.0,192.0,15.0,1.0,,,92.0,,12.0,1.0,35.0,1.0,6.0,2.0,1.0,,1.0,26.0,48.0,2.0,7.0,95.0,,4.0,,73.0,3.0,1.0,13.0,3.0,1.0,18.0,,15.0,2.0,3.0,1.0,148.0,,3.0,3.0,,13.0,39.0,3.0,10.0,3.0,,,9.0,1.0,,1.0,1.0,15.0,10.0,3.0,6.0,3.0,,,,11.0,41.0,80.0,82.0,2.0,1.0,,,1.0,12.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2018-2019,Club Atlético Morelia,32d1wbtc1fdy41cj1ky302b55,S. Reyes,Midfielder,14,4.0,67.0,2.0,1.0,,1.0,21.0,3.0,7.0,,12.0,1.0,2.0,,,,1.0,17.0,4.0,,3.0,21.0,1.0,,,14.0,1.0,,5.0,8.0,1.0,8.0,,1.0,1.0,2.0,1.0,37.0,,2.0,,,4.0,6.0,,10.0,1.0,,,2.0,,,1.0,2.0,6.0,,1.0,4.0,2.0,,,,4.0,,16.0,16.0,2.0,,,,,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2018-2019,Club Atlético Morelia,62hgf13it1y2bhucfxl7bmdhx,A. Rocha,Midfielder,26,1.0,1383.0,4.0,,3.0,1.0,730.0,5.0,61.0,2.0,389.0,9.0,34.0,7.0,3.0,2.0,12.0,130.0,284.0,38.0,56.0,761.0,2.0,18.0,10.0,592.0,22.0,5.0,90.0,270.0,7.0,75.0,6.0,116.0,16.0,11.0,16.0,941.0,,16.0,13.0,3.0,121.0,243.0,2.0,10.0,75.0,2.0,,79.0,2.0,17.0,10.0,4.0,143.0,13.0,24.0,1.0,16.0,,1.0,,56.0,187.0,644.0,671.0,22.0,1.0,,1.0,24.0,68.0,14.0,15.0,65.0,1.0,,,,5.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,0.0,19.0,1.0,,,,,,,,,,,1.0,,,,
Mexico_Liga_MX,2018-2019,Club Atlético Morelia,4qehaq7w29k1510e00jbcwgr9,R. Sandoval,Forward,7,14.0,752.0,2.0,,3.0,,251.0,7.0,59.0,5.0,133.0,2.0,7.0,4.0,8.0,,3.0,125.0,76.0,11.0,42.0,253.0,8.0,13.0,14.0,193.0,10.0,15.0,49.0,84.0,10.0,54.0,5.0,44.0,10.0,11.0,9.0,419.0,,10.0,9.0,,93.0,52.0,25.0,10.0,45.0,7.0,,11.0,5.0,15.0,5.0,9.0,101.0,3.0,10.0,14.0,10.0,,,1.0,53.0,58.0,202.0,204.0,8.0,1.0,1.0,1.0,9.0,56.0,2.0,6.0,40.0,,,2.0,1.0,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,0.0,36.0,3.0,,,1.0,1.0,,,,1.0,,,,,,,
Mexico_Liga_MX,2018-2019,Club Atlético Morelia,6pls7k4zl6it29szg6iemhiad,M. Sansores,Forward,27,4.0,721.0,1.0,5.0,4.0,,199.0,9.0,55.0,,107.0,1.0,3.0,5.0,6.0,3.0,39.0,104.0,47.0,15.0,54.0,211.0,,13.0,3.0,151.0,12.0,11.0,57.0,72.0,6.0,59.0,5.0,16.0,7.0,12.0,2.0,346.0,,12.0,7.0,1.0,75.0,41.0,31.0,10.0,67.0,5.0,,3.0,,21.0,28.0,7.0,142.0,5.0,15.0,4.0,12.0,,,,36.0,43.0,143.0,154.0,67.0,1.0,,,9.0,75.0,6.0,4.0,39.0,,7.0,5.0,1.0,1.0,,1.0,1.0,1.0,4.0,1.0,1.0,,,,1.0,3.0,,,,,,,,,,,,,1.0,2.0,24.0,1.0,,,2.0,3.0,,,,1.0,,,,,,,
Mexico_Liga_MX,2018-2019,Club Atlético Morelia,auudl8h3g7rqlxoiky2r6jxzp,S. Sosa,Goalkeeper,13,,1530.0,,,,41.0,145.0,,,,83.0,49.0,140.0,,,3.0,,150.0,158.0,2.0,2.0,383.0,,,,106.0,23.0,,142.0,54.0,1.0,114.0,,153.0,17.0,1.0,28.0,578.0,,17.0,,,5.0,285.0,,10.0,7.0,,,135.0,,1.0,4.0,,9.0,22.0,26.0,,17.0,,,,2.0,44.0,106.0,241.0,4.0,3.0,,,2.0,2.0,,,3.0,,,,,2.0,,,,,,,,,,,,,80.0,167.0,7.0,1.0,4.0,37.0,21.0,42.0,1.0,5.0,71.0,,1.0,0.0,,,,,,,,,158.0,,2.0,1.0,,,,,
Mexico_Liga_MX,2018-2019,Club Atlético Morelia,157xlupetqh45uxkfclfcpffu,M. Trejo,Defender,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2018-2019,Club Atlético Morelia,88maz9omq02aa5tcvk6wze21h,J. Valadéz,Defender,4,,654.0,1.0,2.0,,5.0,219.0,3.0,6.0,,52.0,14.0,24.0,6.0,,1.0,14.0,54.0,119.0,13.0,28.0,223.0,,9.0,,161.0,9.0,,52.0,56.0,,31.0,1.0,19.0,7.0,12.0,21.0,304.0,,9.0,4.0,13.0,28.0,114.0,1.0,10.0,30.0,,,10.0,,5.0,12.0,,54.0,25.0,10.0,,9.0,,,,10.0,47.0,170.0,171.0,26.0,2.0,,,5.0,24.0,8.0,7.0,18.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,1.0,,,,,,,,
Mexico_Liga_MX,2018-2019,Club Atlético Morelia,c94pw47zvf1kyaj4h7oreon2t,D. Valdés,Midfielder,10,7.0,1017.0,2.0,6.0,14.0,,497.0,10.0,96.0,9.0,310.0,3.0,17.0,7.0,10.0,1.0,18.0,155.0,137.0,24.0,59.0,514.0,3.0,16.0,6.0,400.0,17.0,22.0,76.0,160.0,18.0,100.0,8.0,52.0,10.0,14.0,10.0,717.0,27.0,16.0,12.0,,99.0,127.0,20.0,10.0,58.0,12.0,3.0,38.0,1.0,18.0,11.0,6.0,128.0,5.0,18.0,34.0,16.0,21.0,1.0,2.0,52.0,131.0,422.0,438.0,29.0,,3.0,2.0,15.0,70.0,9.0,11.0,47.0,,2.0,2.0,2.0,4.0,5.0,,1.0,,1.0,1.0,1.0,,,,2.0,,,,,,,,,,,,,,1.0,1.0,22.0,1.0,,1.0,2.0,0.0,,,,1.0,,,,,,,
Mexico_Liga_MX,2018-2019,Club Atlético Morelia,4rp06cf9n8lvit3932bh6jq39,S. Vegas,Defender,6,13.0,634.0,50.0,1.0,,,179.0,5.0,21.0,,71.0,19.0,29.0,4.0,4.0,1.0,12.0,96.0,57.0,12.0,30.0,187.0,,11.0,6.0,115.0,9.0,12.0,59.0,50.0,2.0,57.0,2.0,29.0,7.0,10.0,15.0,372.0,,8.0,4.0,4.0,50.0,105.0,8.0,10.0,34.0,8.0,4.0,13.0,,8.0,9.0,1.0,71.0,23.0,10.0,13.0,8.0,,,,25.0,11.0,120.0,128.0,21.0,1.0,,,7.0,37.0,5.0,8.0,25.0,13.0,,4.0,,1.0,,2.0,,,2.0,,,1.0,1.0,1.0,,2.0,,,,,,,,,,,,1.0,1.0,2.0,6.0,1.0,,,1.0,3.0,,,,2.0,,,,1.0,,,
Mexico_Liga_MX,2018-2019,Club Atlético Morelia,54imt0lkrhtkk0a474yj0gafp,E. Velarde,Defender,2,11.0,748.0,55.0,1.0,1.0,,240.0,1.0,28.0,2.0,111.0,10.0,22.0,3.0,,2.0,8.0,89.0,84.0,17.0,29.0,244.0,1.0,9.0,4.0,179.0,11.0,,51.0,85.0,5.0,47.0,,31.0,8.0,10.0,16.0,415.0,1.0,9.0,7.0,,49.0,118.0,6.0,10.0,39.0,,,14.0,2.0,7.0,11.0,5.0,68.0,14.0,13.0,12.0,9.0,1.0,,,21.0,13.0,189.0,193.0,19.0,1.0,1.0,,13.0,29.0,4.0,20.0,28.0,10.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,7.0,3.0,,,,,,,,,,,,,,,
Mexico_Liga_MX,2018-2019,Club Atlético Morelia,c0toedjf4oq2gbg2ellf7ty39,R. Vilchis,Midfielder,12,35.0,668.0,2.0,4.0,,,148.0,13.0,41.0,23.0,93.0,3.0,3.0,2.0,8.0,1.0,6.0,132.0,55.0,8.0,22.0,150.0,6.0,13.0,6.0,123.0,7.0,12.0,25.0,52.0,21.0,71.0,4.0,32.0,8.0,17.0,10.0,352.0,33.0,12.0,7.0,1.0,79.0,26.0,16.0,10.0,31.0,4.0,2.0,2.0,7.0,15.0,3.0,13.0,88.0,5.0,8.0,56.0,12.0,19.0,,3.0,51.0,31.0,123.0,125.0,9.0,1.0,3.0,,5.0,57.0,3.0,5.0,28.0,,,,,,13.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,0.0,33.0,1.0,,,,,,,,,,,,,,,
Mexico_Liga_MX,2018-2019,Club Atlético Morelia,3joovw2f31i5i94cl89dwyy1h,J. Zárate,Midfielder,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2018-2019,Club Atlético Morelia,37c4a5stczm4bqh42lxentped,Í. Ávila,Forward,11,4.0,852.0,,3.0,13.0,,242.0,5.0,85.0,2.0,153.0,,4.0,9.0,9.0,2.0,26.0,124.0,56.0,12.0,54.0,265.0,7.0,11.0,6.0,204.0,14.0,15.0,58.0,73.0,15.0,53.0,6.0,28.0,10.0,19.0,9.0,415.0,,13.0,8.0,1.0,76.0,51.0,36.0,10.0,50.0,6.0,,3.0,2.0,16.0,18.0,3.0,120.0,2.0,16.0,4.0,13.0,,1.0,,44.0,56.0,185.0,207.0,44.0,1.0,1.0,,10.0,70.0,2.0,4.0,32.0,,7.0,2.0,1.0,,,,,1.0,2.0,,,,,,2.0,1.0,,,,,,,,,,,,,,1.0,32.0,,,,1.0,1.0,,,,,,,,,,,
