liga,temporada,equipo,id,nombre,posicion,dorsal,Successful Short Passes,Successful Launches,Goals Conceded,Goal Kicks,Games Played,Saves Made from Inside Box,Appearances,Starts,Unsuccessful Passes Own Half,Successful Long Passes,Total Losses Of Possession,GK Unsuccessful Distribution,Time Played,Successful Passes Opposition Half,Forward Passes,Unsuccessful Long Passes,Total Clearances,Goals Conceded Outside Box,Saves Made,Duels won,Open Play Passes,Successful Open Play Passes,Recoveries,Rightside Passes,Touches,Index,Total Successful Passes ( Excl Crosses & Corners ) ,Duels,Ground Duels won,Unsuccessful Passes Opposition Half,Successful Passes Own Half,Total Unsuccessful Passes ( Excl Crosses & Corners ),GK Successful Distribution,Total Passes,Goalkeeper Smother,Leftside Passes,Goals Conceded Inside Box,Ground Duels,Saves Made from Outside Box,Winning Goal,Duels lost,Aerial Duels lost,Unsuccessful Launches,Penalties Conceded,Foul Attempted Tackle,Unsuccessful Short Passes,PutThrough/Blocked Distribution,Aerial Duels,Yellow Cards,Interceptions,Throw Ins to Own Player,Total Fouls Conceded,Total Fouls Won,Throw Ins to Opposition Player,Backward Passes,Penalty Goals Conceded,Ground Duels lost,Handballs conceded,Substitute Off,PutThrough/Blocked Distribution Won,Times Tackled,Own Goal Scored,Blocks,Goals,Aerial Duels won,Total Shots,Unsuccessful Crosses & Corners,Blocked Shots,Successful Dribbles,Right Foot Goals,Unsuccessful Dribbles,Total Touches In Opposition Box,Unsuccessful Crosses open play,Shots On Target ( inc goals ),Key Passes (Attempt Assists),Goals from Outside Box,Home Goals,Away Goals,Corners Taken (incl short corners),Total Tackles,Substitute On,Successful Corners into Box,Attempts from Set Pieces,Successful Crosses & Corners,Tackles Won,Corners Won,Saves made - parried,Penalties Faced,Successful Crosses open play,Tackles Lost,Overruns,Shots Off Target (inc woodwork),Successful Lay-offs,Offsides,Goals from Inside Box,Unsuccessful lay-offs,Headed Goals,Catches,Punches,Through balls,Penalty Goals,Left Foot Goals,Penalties Taken,Assists (Intentional),Goal Assists,Foul Won Penalty,Unsuccessful Corners into Box,Clean Sheets,Hit Woodwork,Last Player Tackle,Second Goal Assists,Drops,Straight Red Cards,Total Red Cards,Saves made - caught
Concacaf_Concacaf_Gold_Cup_Qualification,2025 USA - Canada,Belize,5n0ixpxtyucga7tudfbabi9zo,B. Anderson,Goalkeeper,0,2.0,1.0,6.0,6.0,1.0,2.0,1.0,1.0,3.0,5.0,6.0,3.0,90.0,5.0,11.0,6.0,1.0,2.0,5.0,1.0,1.0,1.0,7.0,1.0,20.0,10.0,7.0,1.0,1.0,3.0,2.0,6.0,3.0,13.0,1.0,1.0,4.0,1.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup_Qualification,2025 USA - Canada,Belize,702uv8c9cs2pdkq4zq1x1k63t,N. Anderson,Defender,3,9.0,1.0,9.0,1.0,2.0,,2.0,2.0,3.0,4.0,17.0,1.0,154.0,5.0,12.0,6.0,6.0,2.0,,1.0,17.0,13.0,1.0,,49.0,10.0,13.0,3.0,1.0,7.0,8.0,10.0,,23.0,,9.0,7.0,2.0,,0.0,2.0,1.0,3.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,5.0,2.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup_Qualification,2025 USA - Canada,Belize,dewe4l7wylak8hn5n4sln6vze,D. Arzú,Defender,23,2.0,,5.0,,2.0,,2.0,2.0,,,6.0,,81.0,,7.0,4.0,5.0,1.0,,1.0,7.0,2.0,1.0,,19.0,10.0,2.0,4.0,1.0,5.0,2.0,5.0,,7.0,,,4.0,4.0,,0.0,3.0,,3.0,,1.0,1.0,,,,,2.0,1.0,1.0,,,,3.0,,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup_Qualification,2025 USA - Canada,Belize,6kxgw84qqljiwhfxbbphccudx,C. Bernárdez,Forward,18,23.0,,13.0,,2.0,,2.0,2.0,,,22.0,,169.0,6.0,6.0,,2.0,2.0,,19.0,16.0,10.0,1.0,8.0,62.0,10.0,23.0,42.0,7.0,7.0,17.0,6.0,,29.0,,,11.0,21.0,,0.0,23.0,9.0,,,,6.0,1.0,21.0,,,,5.0,6.0,,15.0,1.0,14.0,1.0,1.0,1.0,9.0,,,1.0,12.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup_Qualification,2025 USA - Canada,Belize,b3v3b73dz9tdrqeq0sztg9h0q,A. Cappello,Forward,10,8.0,,7.0,,2.0,,2.0,1.0,3.0,1.0,19.0,,121.0,8.0,4.0,1.0,2.0,1.0,,8.0,13.0,8.0,5.0,1.0,42.0,10.0,9.0,19.0,7.0,5.0,2.0,5.0,,14.0,,6.0,6.0,18.0,,0.0,11.0,,,,2.0,4.0,,1.0,1.0,,1.0,3.0,4.0,,3.0,1.0,11.0,,1.0,,6.0,,,,1.0,1.0,3.0,1.0,2.0,,3.0,1.0,1.0,1.0,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup_Qualification,2025 USA - Canada,Belize,f4nld43ykhbg7wjffd48my5g4,I. Castillo,Goalkeeper,12,3.0,,7.0,2.0,1.0,3.0,1.0,1.0,,,4.0,,90.0,,6.0,4.0,1.0,,5.0,,1.0,1.0,5.0,,14.0,10.0,3.0,1.0,,4.0,3.0,4.0,3.0,7.0,,1.0,7.0,1.0,2.0,0.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup_Qualification,2025 USA - Canada,Belize,ebn3iqrxz1g48ntdyzdetcnbo,D. Daniels,Forward,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup_Qualification,2025 USA - Canada,Belize,9vdad1g5twl38p759ikvzh2j8,S. Flowers,Defender,34,3.0,,6.0,,1.0,,1.0,,2.0,,6.0,,60.0,2.0,2.0,1.0,6.0,,,2.0,6.0,3.0,1.0,3.0,24.0,10.0,3.0,5.0,2.0,2.0,2.0,3.0,,6.0,,,6.0,4.0,,0.0,3.0,1.0,,,,2.0,1.0,1.0,,2.0,3.0,,,,1.0,1.0,2.0,,,,2.0,,,,,,1.0,,,,1.0,,1.0,,,,,,,2.0,1.0,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup_Qualification,2025 USA - Canada,Belize,are7q9rrl8qayke03spj495w4,S. Gentle,Forward,38,1.0,,2.0,,1.0,,1.0,,,,1.0,,14.0,,,,,,,,1.0,1.0,,,2.0,10.0,1.0,2.0,,,1.0,,,1.0,,1.0,2.0,2.0,,0.0,2.0,,,,,,,,,,,1.0,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup_Qualification,2025 USA - Canada,Belize,cfscmlqrlkr3o8xoyq1aarevo,Jaylen Lennan,Defender,4,3.0,,8.0,,2.0,,2.0,1.0,1.0,,8.0,,71.0,1.0,5.0,1.0,1.0,1.0,,,7.0,3.0,1.0,,17.0,10.0,3.0,1.0,,4.0,2.0,5.0,,8.0,,2.0,7.0,1.0,,0.0,1.0,,,,,4.0,1.0,,,1.0,3.0,,,2.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
