liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off,Appearances,Leftside Passes,Total Passes,Unsuccessful Short Passes,Total Losses Of Possession,Forward Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Open Play Passes,Rightside Passes,Successful Passes Own Half,Unsuccessful Long Passes,Open Play Passes,Starts,Total Successful Passes ( Excl Crosses & Corners ) ,Time Played,Saves Made from Inside Box,Total Clearances,Touches,Index,Penalties Faced,Punches,Recoveries,Unsuccessful Passes Own Half,Goals Conceded,Saves Made from Outside Box,Successful Short Passes,Goals Conceded Inside Box,Saves Made,Unsuccessful Passes Opposition Half,GK Successful Distribution,Unsuccessful Launches,Penalty Goals Conceded,Saves made - parried,Home Goals,Away Goals,Winning Goal,Total Tackles,Foul Attempted Tackle,Ground Duels,Duels,Successful Passes Opposition Half,Times Tackled,Unsuccessful Dribbles,PutThrough/Blocked Distribution Won,Duels won,Ground Duels won,Duels lost,Successful Dribbles,Tackles Won,Total Fouls Won,Total Fouls Conceded,Ground Duels lost,Backward Passes,PutThrough/Blocked Distribution,Successful Long Passes,Aerial Duels,Interceptions,Aerial Duels lost,Throw Ins to Own Player,Aerial Duels won,Handballs conceded,Unsuccessful lay-offs,Throw Ins to Opposition Player,Tackles Lost,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Total Touches In Opposition Box,Successful Launches,Blocks,Penalties Conceded,Offsides,Blocked Shots,Key Passes (Attempt Assists),Right Foot Goals,Total Shots,Shots On Target ( inc goals ),Goals from Inside Box,GK Unsuccessful Distribution,Successful Crosses & Corners,Successful Lay-offs,Successful Crosses open play,Shots Off Target (inc woodwork),Goals from Outside Box,Assists (Intentional),Attempts from Set Pieces,Corners Won,Left Foot Goals,Overruns,Goal Assists,Clean Sheets,Goalkeeper Smother,Saves made - caught,Goal Kicks,Drops,Catches,Unsuccessful Corners into Box,Corners Taken (incl short corners),Headed Goals,Hit Woodwork,Foul Won Penalty,Successful Corners into Box,Penalties Taken,Penalty Goals,Through balls,Second Goal Assists,Saves from Penalty,Penalties Saved,Goals Conceded Outside Box,Own Goal Scored,Clearances Off the Line,Penalties Off Target,Set Pieces Goals
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Jamaica,3c7vnmec038bhz5rq36ywi2fp,M. Antonio,Forward,0.0,6.0,3.0,,,,,1.0,3.0,6.0,21.0,79.0,30.0,67.0,14.0,33.0,39.0,26.0,19.0,3.0,71.0,5.0,46.0,395.0,,1.0,154.0,51.0,,,7.0,5.0,7.0,,43.0,6.0,,29.0,,1.0,,,1.0,2.0,0.0,4.0,3.0,38.0,60.0,29.0,12.0,6.0,,24.0,20.0,36.0,5.0,2.0,11.0,6.0,18.0,18.0,4.0,3.0,22.0,,18.0,1.0,4.0,1.0,1.0,,2.0,1.0,1.0,22.0,,,,1.0,3.0,2.0,2.0,7.0,4.0,2.0,,2.0,1.0,2.0,3.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Jamaica,4jyrztlaueae7eg18kuvxa489,L. Bailey,Forward,0.0,4.0,1.0,2.0,,,,,2.0,4.0,36.0,93.0,22.0,69.0,20.0,29.0,61.0,13.0,18.0,7.0,89.0,4.0,64.0,356.0,,,185.0,31.0,,,21.0,4.0,3.0,,57.0,3.0,,38.0,,,1.0,,1.0,0.0,0.0,1.0,4.0,30.0,38.0,52.0,6.0,3.0,3.0,19.0,17.0,19.0,7.0,1.0,9.0,6.0,13.0,24.0,4.0,7.0,8.0,1.0,6.0,5.0,2.0,,,1.0,,13.0,3.0,12.0,,,,3.0,6.0,8.0,,4.0,1.0,1.0,,6.0,,2.0,3.0,,,3.0,7.0,1.0,,,,,,,,,8.0,14.0,,,,5.0,1.0,1.0,,1.0,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Jamaica,8eq6usenz9whrzff68slytxhx,D. Barnes,Goalkeeper,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Jamaica,vii7iwznqiwigznyp13a6505,A. Blake,Goalkeeper,0.0,14.0,,,,,,,,14.0,41.0,394.0,4.0,185.0,301.0,183.0,121.0,52.0,138.0,179.0,194.0,14.0,211.0,1260.0,30.0,12.0,540.0,62.0,3.0,3.0,141.0,31.0,22.0,21.0,117.0,20.0,52.0,152.0,136.0,64.0,1.0,11.0,0.0,0.0,0.0,,,2.0,6.0,73.0,,,,5.0,2.0,1.0,1.0,,2.0,,,,,94.0,4.0,,1.0,,3.0,,1.0,,,,,,25.0,,,,,,,,,,72.0,,,,,,,,,,,,2.0,1.0,3.0,,3.0,9.0,,,,,,,,,,,2.0,2.0,2.0,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Jamaica,2fyga1shd4mwcn90mze2pe4tl,J. Brown,Defender,0.0,9.0,,2.0,,,,3.0,2.0,9.0,55.0,159.0,32.0,82.0,71.0,45.0,111.0,1.0,56.0,13.0,156.0,6.0,114.0,507.0,,13.0,288.0,86.0,,,26.0,13.0,9.0,,107.0,9.0,,47.0,,9.0,,,0.0,0.0,0.0,14.0,9.0,41.0,55.0,63.0,3.0,,6.0,26.0,18.0,29.0,1.0,9.0,3.0,14.0,23.0,32.0,13.0,7.0,14.0,13.0,6.0,26.0,8.0,1.0,,15.0,5.0,15.0,15.0,1.0,,2.0,,1.0,,2.0,,,,,,5.0,,5.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Jamaica,bvmqiuxeyjf68mz3jbm6i295h,C. Burke,Forward,0.0,5.0,,2.0,,,,1.0,3.0,5.0,18.0,56.0,19.0,43.0,20.0,23.0,32.0,8.0,12.0,4.0,55.0,4.0,33.0,310.0,,,112.0,17.0,,,9.0,2.0,7.0,,30.0,5.0,,24.0,,1.0,,,0.0,0.0,0.0,5.0,7.0,36.0,54.0,21.0,8.0,6.0,3.0,21.0,13.0,33.0,3.0,4.0,6.0,12.0,23.0,10.0,7.0,3.0,18.0,4.0,10.0,2.0,8.0,1.0,,,1.0,3.0,3.0,16.0,,,,1.0,,1.0,,4.0,2.0,,,,2.0,,2.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Jamaica,ag40mk09zc8tzbkr7dnnqumay,N. Campbell,Forward,0.0,1.0,,,,,,,1.0,1.0,1.0,9.0,2.0,6.0,1.0,2.0,7.0,6.0,7.0,,9.0,1.0,7.0,62.0,,,18.0,15.0,,,5.0,1.0,1.0,,7.0,,,1.0,,,,,0.0,0.0,0.0,1.0,1.0,6.0,6.0,,3.0,2.0,,2.0,2.0,4.0,1.0,1.0,,1.0,4.0,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Jamaica,ch8dgambei1xbzmikkglg3c9h,B. De Cordova-Reid,Forward,0.0,8.0,,,,,,1.0,6.0,8.0,33.0,126.0,24.0,59.0,35.0,31.0,94.0,19.0,34.0,7.0,123.0,7.0,95.0,513.0,,,195.0,45.0,,,18.0,7.0,9.0,,92.0,8.0,,27.0,,2.0,,,0.0,0.0,0.0,4.0,2.0,31.0,43.0,67.0,9.0,6.0,2.0,15.0,13.0,28.0,2.0,1.0,7.0,4.0,18.0,39.0,6.0,3.0,12.0,1.0,10.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,8.0,,2.0,,,,8.0,,3.0,1.0,,,6.0,2.0,3.0,2.0,,1.0,,1.0,,,1.0,,,,,,,,3.0,,,,3.0,,,2.0,,,,1.0,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Jamaica,7kmpjqdb6qs927qv3d9naw3qh,J. East,Forward,0.0,6.0,,,,,,6.0,,6.0,5.0,26.0,1.0,13.0,6.0,1.0,24.0,8.0,7.0,,25.0,,25.0,118.0,,1.0,50.0,23.0,,,4.0,,2.0,,25.0,2.0,,2.0,,,,,0.0,0.0,0.0,,1.0,15.0,19.0,18.0,7.0,3.0,2.0,5.0,4.0,14.0,1.0,,3.0,2.0,11.0,7.0,3.0,,4.0,2.0,3.0,,1.0,,,,,1.0,1.0,5.0,,,,2.0,,2.0,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Jamaica,ctly31kk772nia6is9ul9ar4l,O. Fisher,Defender,0.0,5.0,1.0,1.0,,,,2.0,,5.0,18.0,75.0,18.0,56.0,33.0,30.0,44.0,5.0,24.0,12.0,74.0,3.0,45.0,282.0,,3.0,163.0,100.0,,,16.0,14.0,2.0,,43.0,2.0,,22.0,,4.0,,,0.0,1.0,0.0,11.0,3.0,35.0,42.0,21.0,3.0,2.0,1.0,21.0,20.0,21.0,3.0,7.0,6.0,5.0,15.0,19.0,3.0,2.0,7.0,9.0,6.0,22.0,1.0,,,13.0,4.0,6.0,6.0,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
