liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off,Forward Passes,Unsuccessful Passes Opposition Half,Total Unsuccessful Passes ( Excl Crosses & Corners ),Time Played,Successful Short Passes,Unsuccessful Passes Own Half,Duels,Touches,Duels won,Corners Won,Unsuccessful Long Passes,Successful Passes Opposition Half,Ground Duels won,Times Tackled,Duels lost,Recoveries,Unsuccessful Short Passes,Total Tackles,Tackles Won,Total Passes,Leftside Passes,Ground Duels,Throw Ins to Own Player,Ground Duels lost,Total Losses Of Possession,Index,Total Successful Passes ( Excl Crosses & Corners ) ,Appearances,Home Goals,Away Goals,Winning Goal,Aerial Duels lost,Shots On Target ( inc goals ),Foul Won Penalty,Successful Lay-offs,Unsuccessful Crosses open play,Successful Passes Own Half,Unsuccessful Crosses & Corners,Unsuccessful Dribbles,Successful Open Play Passes,Goals Conceded,Right Foot Goals,Rightside Passes,Unsuccessful lay-offs,Interceptions,Offsides,Successful Dribbles,Shots Off Target (inc woodwork),Penalty Goals Conceded,Goals from Inside Box,Total Fouls Won,Goals Conceded Inside Box,Open Play Passes,Through balls,Starts,Aerial Duels won,Blocked Shots,Key Passes (Attempt Assists),Goals Conceded Outside Box,Total Shots,Successful Long Passes,Total Clearances,Total Fouls Conceded,Backward Passes,Aerial Duels,Handballs conceded,Attempts from Set Pieces,Successful Crosses & Corners,Corners Taken (incl short corners),Unsuccessful Launches,Second Goal Assists,Successful Crosses open play,Penalties Taken,Throw Ins to Opposition Player,Penalty Goals,Tackles Lost,Headed Goals,Goals from Outside Box,Left Foot Goals,Clean Sheets,Successful Launches,Blocks,Goal Assists,Assists (Intentional),Hit Woodwork,Total Touches In Opposition Box,Unsuccessful Corners into Box,Penalties Conceded,Successful Corners into Box,Set Pieces Goals,Last Man Tackle,Own Goal Scored,Catches,Saves made - parried,Goalkeeper Smother,Saves Made from Outside Box,GK Successful Distribution,GK Unsuccessful Distribution,Drops,Saves Made from Inside Box,Saves Made,Crosses not Claimed,Punches,Penalties Faced,Saves made - caught,Clearances Off the Line,Penalties Off Target,Other Goals,Saves from Penalty,Penalties Saved
USA_MLS,2011,Colorado Rapids,4hef39fs691onh35ici6bgv6d,R. LaBauex,Midfielder,16.0,13.0,,3.0,,,,8.0,5.0,36.0,23.0,25.0,409.0,85.0,5.0,52.0,174.0,23.0,3.0,3.0,50.0,23.0,18.0,29.0,18.0,22.0,8.0,8.0,112.0,21.0,47.0,3.0,24.0,60.0,10.0,87.0,13.0,0.0,0.0,0.0,5.0,1.0,,2.0,3.0,39.0,3.0,2.0,,9.0,,24.0,2.0,,3.0,1.0,2.0,1.0,,14.0,8.0,,1.0,5.0,,,4.0,1.0,3.0,2.0,,6.0,31.0,5.0,,,2.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,Colorado Rapids,29yzbetu0kz3siy9prkcesno5,J. Larentowicz,Midfielder,4.0,37.0,7.0,5.0,,,,,1.0,643.0,297.0,359.0,3321.0,1413.0,77.0,261.0,2418.0,145.0,14.0,90.0,771.0,103.0,39.0,116.0,196.0,269.0,64.0,53.0,2006.0,474.0,202.0,8.0,99.0,496.0,51.0,1647.0,37.0,2.0,5.0,1.0,17.0,17.0,,25.0,11.0,881.0,15.0,3.0,43.0,44.0,4.0,603.0,2.0,55.0,,1.0,11.0,3.0,3.0,38.0,35.0,53.0,8.0,37.0,42.0,13.0,27.0,9.0,28.0,234.0,61.0,49.0,286.0,59.0,2.0,8.0,5.0,1.0,36.0,,3.0,1.0,1.0,,11.0,1.0,4.0,2.0,9.0,11.0,8.0,1.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,Colorado Rapids,d8m1e95jk709yupvtkq5rl6tx,T. Marshall,Defender,34.0,28.0,,4.0,1.0,1.0,,4.0,2.0,492.0,151.0,225.0,2198.0,648.0,74.0,128.0,1330.0,84.0,,100.0,206.0,59.0,2.0,44.0,127.0,125.0,42.0,32.0,1041.0,277.0,93.0,6.0,34.0,301.0,85.0,816.0,28.0,0.0,0.0,0.0,10.0,,,2.0,,610.0,,,20.0,28.0,,246.0,,48.0,,3.0,6.0,1.0,,14.0,21.0,30.0,,24.0,25.0,1.0,4.0,7.0,6.0,168.0,137.0,25.0,26.0,35.0,1.0,,,,85.0,,,,1.0,,10.0,,,,6.0,29.0,13.0,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,Colorado Rapids,8cz8jgwyomtfppxlgxaxjkyxh,P. Mastroeni,Midfielder,25.0,30.0,1.0,6.0,,,,,10.0,459.0,193.0,224.0,2517.0,1099.0,44.0,151.0,1749.0,82.0,10.0,52.0,592.0,77.0,30.0,69.0,196.0,172.0,34.0,25.0,1480.0,353.0,138.0,16.0,61.0,317.0,49.0,1256.0,30.0,0.0,1.0,0.0,8.0,1.0,1.0,41.0,13.0,670.0,13.0,3.0,,32.0,,434.0,4.0,52.0,1.0,4.0,7.0,2.0,1.0,39.0,25.0,,9.0,30.0,5.0,4.0,25.0,7.0,8.0,157.0,21.0,28.0,234.0,13.0,4.0,,6.0,,26.0,1.0,6.0,,1.0,,9.0,,,1.0,6.0,9.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,Colorado Rapids,dkbz951l9u6th48yiv7qqdmfp,D. Moor,Defender,3.0,34.0,4.0,8.0,,,,,1.0,799.0,236.0,305.0,3029.0,1106.0,87.0,192.0,2164.0,130.0,6.0,90.0,423.0,82.0,7.0,62.0,141.0,215.0,44.0,30.0,1583.0,211.0,118.0,111.0,36.0,475.0,56.0,1278.0,34.0,2.0,2.0,2.0,26.0,9.0,,1.0,17.0,862.0,18.0,2.0,31.0,41.0,1.0,489.0,,59.0,3.0,1.0,18.0,3.0,4.0,37.0,34.0,42.0,4.0,34.0,48.0,2.0,11.0,7.0,27.0,172.0,197.0,22.0,84.0,74.0,1.0,,7.0,1.0,62.0,1.0,7.0,,38.0,,14.0,1.0,,2.0,9.0,27.0,16.0,,,,,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,
USA_MLS,2011,Colorado Rapids,4qss966f9lver5rp965jlrob9,B. Mullan,Defender,11.0,25.0,1.0,5.0,1.0,1.0,,3.0,7.0,243.0,237.0,216.0,1935.0,459.0,29.0,232.0,1073.0,113.0,10.0,34.0,286.0,103.0,50.0,119.0,103.0,182.0,55.0,45.0,697.0,180.0,203.0,45.0,100.0,360.0,31.0,481.0,25.0,1.0,0.0,1.0,19.0,4.0,,21.0,50.0,209.0,50.0,12.0,21.0,25.0,1.0,107.0,4.0,36.0,2.0,8.0,7.0,1.0,,40.0,19.0,30.0,12.0,22.0,10.0,4.0,21.0,6.0,11.0,22.0,11.0,41.0,167.0,29.0,1.0,,14.0,1.0,15.0,1.0,14.0,,5.0,,10.0,,1.0,,4.0,3.0,3.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,Colorado Rapids,dys5amseelexajp5gn82b3fmd,J. Nane,Midfielder,5.0,11.0,,1.0,,,,8.0,3.0,60.0,40.0,47.0,364.0,118.0,8.0,42.0,242.0,20.0,,3.0,52.0,15.0,9.0,22.0,33.0,44.0,10.0,8.0,178.0,47.0,31.0,,16.0,69.0,10.0,131.0,11.0,0.0,0.0,0.0,6.0,1.0,,6.0,1.0,79.0,1.0,2.0,,8.0,,36.0,,9.0,,1.0,1.0,,,4.0,7.0,,2.0,3.0,5.0,,3.0,1.0,2.0,13.0,7.0,8.0,35.0,11.0,2.0,,,,4.0,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,Colorado Rapids,3p9ibyf2pev3pc5ei3g950bth,Sanna Nyassi,Midfielder,23.0,29.0,5.0,6.0,,,,9.0,8.0,166.0,245.0,143.0,1855.0,414.0,32.0,234.0,1129.0,87.0,32.0,21.0,315.0,83.0,96.0,147.0,87.0,122.0,28.0,21.0,579.0,148.0,214.0,35.0,131.0,439.0,100.0,436.0,29.0,3.0,2.0,1.0,16.0,27.0,1.0,27.0,56.0,155.0,134.0,31.0,5.0,27.0,4.0,123.0,,19.0,14.0,20.0,29.0,2.0,5.0,35.0,22.0,6.0,8.0,20.0,4.0,12.0,40.0,5.0,56.0,22.0,4.0,30.0,142.0,20.0,1.0,5.0,34.0,83.0,14.0,1.0,9.0,,6.0,,7.0,,,1.0,2.0,2.0,2.0,4.0,4.0,2.0,1.0,61.0,,20.0,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,Colorado Rapids,4q1whce26o2q8hcr8hzkzexn9,S. Palguta,Defender,29.0,11.0,2.0,1.0,,,,5.0,1.0,165.0,65.0,97.0,671.0,219.0,35.0,24.0,458.0,14.0,2.0,37.0,75.0,6.0,1.0,10.0,16.0,60.0,5.0,4.0,355.0,40.0,13.0,25.0,7.0,131.0,10.0,258.0,11.0,1.0,1.0,2.0,3.0,2.0,,,3.0,185.0,3.0,,,11.0,,125.0,,8.0,,,2.0,1.0,2.0,1.0,9.0,,,6.0,8.0,,2.0,2.0,4.0,39.0,33.0,6.0,25.0,11.0,1.0,,2.0,,29.0,,2.0,,8.0,,1.0,,,2.0,2.0,7.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,Colorado Rapids,d42v7jbh2pubg8yz893f1fr9x,M. Pickens,Goalkeeper,99.0,37.0,,2.0,,,,,,433.0,209.0,251.0,3330.0,175.0,42.0,10.0,1339.0,7.0,,233.0,88.0,7.0,,3.0,331.0,18.0,1.0,,561.0,72.0,10.0,,3.0,440.0,52.0,310.0,37.0,0.0,0.0,0.0,,,,,,222.0,,,3.0,45.0,,56.0,,,,,,3.0,,5.0,36.0,10.0,,37.0,,,2.0,9.0,,135.0,39.0,,,,,,,,184.0,,,,,,1.0,,,,9.0,77.0,,,,,,,,,,,,27.0,29.0,1.0,38.0,361.0,186.0,4.0,48.0,88.0,3.0,25.0,3.0,10.0,,,,,
USA_MLS,2011,Colorado Rapids,5fmikfjh8h1op11gl62i8ngt1,J. Smith,Midfielder,20.0,21.0,3.0,,,,,2.0,7.0,204.0,206.0,164.0,1593.0,416.0,26.0,142.0,955.0,62.0,8.0,40.0,306.0,57.0,51.0,80.0,81.0,124.0,28.0,21.0,633.0,121.0,128.0,16.0,71.0,325.0,46.0,469.0,21.0,2.0,1.0,1.0,9.0,15.0,,25.0,23.0,202.0,68.0,13.0,26.0,17.0,2.0,181.0,4.0,8.0,,8.0,12.0,1.0,1.0,21.0,12.0,39.0,12.0,19.0,5.0,6.0,27.0,5.0,27.0,53.0,10.0,13.0,127.0,14.0,,3.0,39.0,51.0,19.0,,7.0,,4.0,,7.0,1.0,2.0,,3.0,2.0,1.0,4.0,4.0,1.0,1.0,27.0,,22.0,1.0,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,Colorado Rapids,6inkhrm7w35txnp4mqdl94vdh,W. Thompson,Midfielder,15.0,34.0,3.0,4.0,,,,10.0,9.0,195.0,139.0,142.0,2137.0,621.0,36.0,185.0,1111.0,90.0,5.0,12.0,348.0,83.0,53.0,95.0,137.0,130.0,36.0,27.0,787.0,177.0,174.0,40.0,91.0,280.0,100.0,645.0,34.0,1.0,2.0,2.0,4.0,9.0,,18.0,24.0,302.0,33.0,16.0,30.0,29.0,3.0,200.0,3.0,29.0,2.0,5.0,9.0,2.0,2.0,42.0,24.0,38.0,5.0,24.0,7.0,5.0,10.0,5.0,18.0,24.0,16.0,33.0,215.0,11.0,5.0,,5.0,13.0,12.0,,1.0,,5.0,,9.0,,1.0,,2.0,3.0,4.0,3.0,2.0,,,9.0,,4.0,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,Colorado Rapids,iw1rbo6x4s0vndn4sp3rendh,A. Wallace,Defender,6.0,10.0,,3.0,,,,2.0,2.0,156.0,58.0,82.0,719.0,255.0,32.0,53.0,528.0,33.0,,23.0,116.0,32.0,8.0,20.0,27.0,59.0,23.0,19.0,359.0,7.0,49.0,49.0,17.0,138.0,38.0,277.0,10.0,0.0,0.0,0.0,3.0,,,,7.0,164.0,8.0,2.0,,9.0,,137.0,,9.0,,4.0,4.0,,,5.0,6.0,,,8.0,1.0,,1.0,3.0,4.0,22.0,27.0,7.0,59.0,4.0,,1.0,3.0,,23.0,,3.0,,15.0,,4.0,,,,2.0,5.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,Colorado Rapids,cvuyu9pry83mccugncwz99kgl,M. Wynne,Defender,22.0,32.0,,2.0,,,,1.0,,578.0,171.0,245.0,2797.0,886.0,84.0,183.0,1708.0,126.0,4.0,77.0,236.0,106.0,12.0,57.0,151.0,168.0,85.0,69.0,1257.0,423.0,147.0,21.0,41.0,390.0,48.0,1012.0,32.0,0.0,0.0,0.0,16.0,,,,9.0,777.0,10.0,4.0,12.0,35.0,,173.0,,50.0,,3.0,1.0,3.0,,18.0,30.0,18.0,1.0,31.0,20.0,,5.0,5.0,1.0,126.0,175.0,20.0,83.0,36.0,,,1.0,1.0,91.0,2.0,1.0,,18.0,,16.0,,,,8.0,18.0,13.0,,,,,1.0,,,,5.0,,,,,,,,,,,,,,,,,,,
