root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Throw Ins to Own Player,Ground Duels,Aerial Duels won,Unsuccessful Passes Opposition Half,Attempts from Set Pieces,Aerial Duels,Blocks,Goals Conceded Outside Box,Duels,Shots On Target ( inc goals ),Index,Unsuccessful Passes Own Half,Total Tackles,Tackles Won,Total Losses Of Possession,Tackles Lost,Appearances,Starts,Times Tackled,Goals Conceded,Backward Passes,Interceptions,Unsuccessful Short Passes,Leftside Passes,Duels won,Ground Duels lost,Successful Dribbles,Rightside Passes,Total Passes,Successful Passes Opposition Half,Games Played,Total Successful Passes ( Excl Crosses & Corners ) ,Ground Duels won,Duels lost,Unsuccessful Launches,Penalty Goals Conceded,Successful Long Passes,Touches,Successful Short Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Aerial Duels lost,Forward Passes,Total Shots,Successful Launches,Open Play Passes,Throw Ins to Opposition Player,Successful Open Play Passes,Unsuccessful Crosses & Corners,Goals Conceded Inside Box,Time Played,Unsuccessful Long Passes,Total Clearances,Successful Passes Own Half,Recoveries,Total Fouls Won,Winning Goal,Successful Crosses & Corners,Unsuccessful Dribbles,Total Fouls Conceded,Substitute On,Key Passes (Attempt Assists),Foul Attempted Tackle,Clearances Off the Line,Yellow Cards,Substitute Off,PutThrough/Blocked Distribution,Total Touches In Opposition Box,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals from Outside Box,Successful Crosses open play,Goals,Successful Lay-offs,Left Foot Goals,Blocked Shots,Home Goals,Away Goals,Penalties Conceded,Corners Taken (incl short corners),Unsuccessful Corners into Box,Unsuccessful Crosses open play,Saves Made,Penalties Faced,GK Successful Distribution,Saves made - parried,GK Unsuccessful Distribution,Catches,Saves Made from Outside Box,Goal Kicks,Penalties Saved,Saves Made from Inside Box,Saves from Penalty,Drops,Corners Won,Goal Assists,Offsides,Unsuccessful lay-offs,Assists (Intentional),Straight Red Cards,Total Red Cards,Crosses not Claimed,Clean Sheets,Saves made - caught,Punches,Foul Won Penalty,Penalties Taken,Right Foot Goals,Goals from Inside Box,Penalty Goals,Successful Corners into Box,Second Goal Assists,Through balls,Handballs conceded,Headed Goals,Set Pieces Goals,Hit Woodwork,Last Man Tackle,Own Goal Scored,Goalkeeper Smother,Red Cards - 2nd Yellow,Other Goals
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Panama Under 17,Panama_Under_17,atyzdcrx8bxisxh384ag1efbo,A. Marta,Midfielder,21,,2.0,,4.0,,,,1.0,2.0,,10.0,1.0,,,7.0,,2.0,,1.0,3.0,4.0,,2.0,5.0,1.0,1.0,1.0,1.0,16.0,4.0,2.0,12.0,1.0,1.0,1.0,,1.0,22.0,11.0,4.0,,6.0,,1.0,16.0,,12.0,1.0,2.0,41.0,2.0,,8.0,2.0,,0.0,,,,2.0,,,,,,1.0,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Panama Under 17,Panama_Under_17,9pfn96ycoxe5dakd4zdon8y6s,L. Mendoza,Forward,8,,15.0,,10.0,,5.0,,,20.0,1.0,10.0,,2.0,2.0,19.0,,4.0,1.0,4.0,2.0,2.0,,9.0,9.0,5.0,10.0,1.0,7.0,22.0,9.0,4.0,12.0,5.0,15.0,1.0,,,47.0,12.0,10.0,5.0,4.0,1.0,,21.0,,12.0,,2.0,156.0,1.0,2.0,3.0,6.0,2.0,0.0,,1.0,2.0,3.0,,1.0,,1.0,1.0,1.0,8.0,1.0,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Panama Under 17,Panama_Under_17,63sc03yki4fidjb396h5yexas,É. Moreno,Forward,10,1.0,33.0,2.0,37.0,1.0,7.0,,,40.0,,10.0,4.0,6.0,4.0,64.0,2.0,5.0,5.0,10.0,1.0,23.0,3.0,16.0,30.0,15.0,20.0,6.0,15.0,99.0,57.0,5.0,74.0,13.0,25.0,1.0,,3.0,186.0,71.0,25.0,5.0,31.0,5.0,,91.0,,68.0,16.0,1.0,352.0,9.0,,28.0,22.0,1.0,0.0,11.0,5.0,7.0,,9.0,3.0,,,4.0,7.0,15.0,6.0,5.0,,1.0,,,,4.0,,,,19.0,11.0,4.0,,,,,,,,,,,,,3.0,2.0,,,2.0,,,,,,,,,,,,7.0,,,,,,1.0,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Panama Under 17,Panama_Under_17,d69iwsv31o1jtoe9rtk2vyeqc,J. Nereida,Defender,2,31.0,19.0,4.0,58.0,,6.0,2.0,1.0,25.0,,10.0,24.0,8.0,5.0,115.0,3.0,5.0,5.0,1.0,7.0,14.0,11.0,37.0,72.0,19.0,4.0,3.0,25.0,236.0,73.0,5.0,160.0,15.0,6.0,25.0,,14.0,352.0,146.0,76.0,2.0,125.0,,4.0,230.0,25.0,156.0,6.0,6.0,450.0,39.0,13.0,89.0,24.0,4.0,0.0,2.0,1.0,1.0,,4.0,1.0,,,,7.0,,1.0,,,1.0,,,,,,,,,,5.0,,,,,,,,,,,,,2.0,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Panama Under 17,Panama_Under_17,9cq0lzin41gzqm74b1pz5g07o,J. Pierre,Defender,3,2.0,18.0,1.0,8.0,,2.0,,1.0,20.0,1.0,10.0,8.0,8.0,5.0,19.0,3.0,6.0,,3.0,3.0,1.0,2.0,14.0,6.0,11.0,8.0,2.0,8.0,33.0,10.0,6.0,18.0,10.0,9.0,1.0,,3.0,56.0,15.0,15.0,1.0,18.0,1.0,1.0,32.0,,17.0,1.0,2.0,101.0,1.0,2.0,8.0,6.0,,1.0,,1.0,3.0,6.0,,3.0,,1.0,,1.0,,,,1.0,,1.0,,,,1.0,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Panama Under 17,Panama_Under_17,3149ob0ryqhoqssrh5aitmnmc,J. Rodríguez,Forward,9,,16.0,5.0,16.0,,7.0,,,23.0,4.0,10.0,1.0,5.0,4.0,30.0,1.0,3.0,3.0,5.0,1.0,4.0,,15.0,8.0,13.0,8.0,2.0,13.0,39.0,17.0,3.0,22.0,8.0,10.0,,,3.0,76.0,19.0,17.0,2.0,14.0,7.0,,37.0,,20.0,,1.0,190.0,2.0,2.0,6.0,6.0,1.0,0.0,1.0,1.0,2.0,,2.0,2.0,,,3.0,3.0,11.0,2.0,3.0,,1.0,,3.0,,2.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Panama Under 17,Panama_Under_17,5gsbcs8gy1blb5un1b8d573f8,M. Romero,Goalkeeper,1,,,3.0,19.0,,3.0,,1.0,3.0,,10.0,7.0,,,27.0,,6.0,6.0,,7.0,,,2.0,20.0,3.0,,,37.0,103.0,16.0,6.0,77.0,,,3.0,,20.0,138.0,57.0,26.0,,46.0,,2.0,44.0,,32.0,,6.0,540.0,24.0,2.0,61.0,34.0,,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,10.0,1.0,49.0,2.0,10.0,4.0,3.0,43.0,1.0,7.0,1.0,1.0,,,,,,,,,3.0,,2.0,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Panama Under 17,Panama_Under_17,2j4wg6k3uplcjc7l7ikvkkhlg,A. Ryce,Midfielder,6,,49.0,7.0,36.0,,11.0,,,60.0,1.0,10.0,9.0,17.0,13.0,64.0,4.0,6.0,6.0,9.0,4.0,35.0,11.0,30.0,53.0,32.0,24.0,3.0,45.0,184.0,65.0,6.0,141.0,25.0,28.0,6.0,,13.0,264.0,128.0,43.0,4.0,51.0,5.0,1.0,178.0,,135.0,2.0,4.0,456.0,13.0,3.0,76.0,34.0,5.0,0.0,,1.0,10.0,,2.0,6.0,,,4.0,9.0,4.0,6.0,4.0,,,1.0,,,4.0,0.0,1.0,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Panama Under 17,Panama_Under_17,e3j999xiucwg45a6lqzocmpec,H. Ríos,Defender,18,,22.0,3.0,12.0,,8.0,,1.0,30.0,1.0,10.0,1.0,3.0,1.0,31.0,2.0,5.0,2.0,6.0,4.0,11.0,,9.0,9.0,9.0,16.0,,6.0,39.0,18.0,5.0,28.0,6.0,21.0,,,1.0,74.0,27.0,11.0,5.0,13.0,1.0,,35.0,,24.0,2.0,3.0,222.0,2.0,1.0,11.0,8.0,3.0,1.0,1.0,2.0,9.0,3.0,1.0,6.0,,,2.0,2.0,9.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,2.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Panama Under 17,Panama_Under_17,drfjxbgl1m51t2canel5bm904,K. Tovares,Midfielder,19,11.0,41.0,4.0,28.0,,5.0,,,46.0,4.0,10.0,2.0,7.0,4.0,55.0,3.0,5.0,3.0,16.0,1.0,14.0,5.0,20.0,27.0,22.0,23.0,3.0,3.0,77.0,44.0,5.0,54.0,18.0,24.0,1.0,,1.0,164.0,53.0,23.0,1.0,33.0,8.0,,73.0,1.0,51.0,7.0,1.0,257.0,3.0,3.0,11.0,17.0,8.0,0.0,1.0,7.0,6.0,2.0,3.0,3.0,,1.0,1.0,7.0,13.0,4.0,4.0,,,,1.0,,1.0,,,,5.0,3.0,4.0,,,,,,,,,,,,,3.0,2.0,,,1.0,,,,2.0,,,,,,,,1.0,,,2.0,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Panama Under 17,Panama_Under_17,8yagke9osmuc6ihbqx5n57hn8,K. Walder,Midfielder,7,2.0,44.0,13.0,31.0,,18.0,,1.0,62.0,11.0,10.0,3.0,3.0,,62.0,3.0,6.0,5.0,14.0,6.0,12.0,,29.0,19.0,32.0,25.0,1.0,21.0,75.0,38.0,6.0,45.0,19.0,30.0,1.0,,1.0,153.0,44.0,30.0,5.0,23.0,16.0,,71.0,,41.0,4.0,5.0,456.0,1.0,1.0,8.0,10.0,15.0,2.0,1.0,5.0,8.0,1.0,6.0,3.0,,1.0,3.0,5.0,31.0,2.0,5.0,,1.0,4.0,3.0,,1.0,2.0,2.0,,,,4.0,,,,,,,,,,,,,9.0,1.0,6.0,,1.0,,,,,,,1.0,,2.0,4.0,,,,1.0,1.0,2.0,,,,,,,
