root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Throw Ins to Own Player,Ground Duels,Aerial Duels won,Unsuccessful Passes Opposition Half,Attempts from Set Pieces,Aerial Duels,Blocks,Goals Conceded Outside Box,Duels,Shots On Target ( inc goals ),Index,Unsuccessful Passes Own Half,Total Tackles,Tackles Won,Total Losses Of Possession,Tackles Lost,Appearances,Starts,Times Tackled,Goals Conceded,Backward Passes,Interceptions,Unsuccessful Short Passes,Leftside Passes,Duels won,Ground Duels lost,Successful Dribbles,Rightside Passes,Total Passes,Successful Passes Opposition Half,Games Played,Total Successful Passes ( Excl Crosses & Corners ) ,Ground Duels won,Duels lost,Unsuccessful Launches,Penalty Goals Conceded,Successful Long Passes,Touches,Successful Short Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Aerial Duels lost,Forward Passes,Total Shots,Successful Launches,Open Play Passes,Throw Ins to Opposition Player,Successful Open Play Passes,Unsuccessful Crosses & Corners,Goals Conceded Inside Box,Time Played,Unsuccessful Long Passes,Total Clearances,Successful Passes Own Half,Recoveries,Total Fouls Won,Winning Goal,Successful Crosses & Corners,Unsuccessful Dribbles,Total Fouls Conceded,Substitute On,Key Passes (Attempt Assists),Foul Attempted Tackle,Clearances Off the Line,Yellow Cards,Substitute Off,PutThrough/Blocked Distribution,Total Touches In Opposition Box,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals from Outside Box,Successful Crosses open play,Goals,Successful Lay-offs,Left Foot Goals,Blocked Shots,Home Goals,Away Goals,Penalties Conceded,Corners Taken (incl short corners),Unsuccessful Corners into Box,Unsuccessful Crosses open play,Saves Made,Penalties Faced,GK Successful Distribution,Saves made - parried,GK Unsuccessful Distribution,Catches,Saves Made from Outside Box,Goal Kicks,Penalties Saved,Saves Made from Inside Box,Saves from Penalty,Drops,Corners Won,Goal Assists,Offsides,Unsuccessful lay-offs,Assists (Intentional),Straight Red Cards,Total Red Cards,Crosses not Claimed,Clean Sheets,Saves made - caught,Punches,Foul Won Penalty,Penalties Taken,Right Foot Goals,Goals from Inside Box,Penalty Goals,Successful Corners into Box,Second Goal Assists,Through balls,Handballs conceded,Headed Goals,Set Pieces Goals,Hit Woodwork,Last Man Tackle,Own Goal Scored,Goalkeeper Smother,Red Cards - 2nd Yellow,Other Goals
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Jamaica Under 17,Jamaica_Under_17,72sxvu7dgrgv7lprced7hmvis,R. Barrett,Defender,8,,31.0,,51.0,1.0,2.0,1.0,2.0,33.0,2.0,10.0,14.0,11.0,8.0,86.0,3.0,4.0,3.0,6.0,8.0,10.0,5.0,30.0,26.0,16.0,15.0,3.0,20.0,121.0,41.0,4.0,65.0,16.0,17.0,12.0,,11.0,197.0,54.0,56.0,2.0,65.0,6.0,2.0,116.0,,62.0,9.0,6.0,297.0,26.0,6.0,29.0,39.0,2.0,0.0,5.0,,5.0,1.0,4.0,2.0,,1.0,1.0,4.0,5.0,1.0,4.0,2.0,1.0,2.0,,2.0,1.0,1.0,1.0,,7.0,4.0,3.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Jamaica Under 17,Jamaica_Under_17,bp0a3bvzsxokh4nu3bq96yx3o,J. Bell,Midfielder,10,3.0,44.0,4.0,23.0,,5.0,,2.0,49.0,4.0,10.0,3.0,7.0,4.0,60.0,3.0,4.0,4.0,17.0,3.0,21.0,,20.0,18.0,23.0,25.0,1.0,24.0,95.0,54.0,4.0,71.0,19.0,26.0,1.0,,3.0,180.0,68.0,24.0,1.0,32.0,6.0,1.0,89.0,2.0,66.0,2.0,1.0,312.0,4.0,3.0,22.0,17.0,11.0,0.0,5.0,8.0,5.0,,4.0,2.0,,,4.0,3.0,14.0,3.0,2.0,,2.0,1.0,,,3.0,1.0,0.0,,6.0,2.0,,,,,,,,,,,,,,4.0,2.0,2.0,,2.0,,,,,,,,,1.0,1.0,,3.0,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Jamaica Under 17,Jamaica_Under_17,cefb3xpf94kmg4rk0v1mkk2l0,B. Bent,Forward,18,4.0,12.0,2.0,13.0,,2.0,,,14.0,,10.0,,4.0,3.0,17.0,1.0,2.0,1.0,3.0,3.0,4.0,,5.0,,7.0,7.0,,7.0,26.0,11.0,2.0,18.0,5.0,7.0,3.0,,1.0,50.0,17.0,8.0,,15.0,,1.0,25.0,,17.0,5.0,3.0,99.0,3.0,2.0,9.0,3.0,1.0,0.0,2.0,,3.0,1.0,1.0,3.0,,,,,,,,,2.0,,,,,,,,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Jamaica Under 17,Jamaica_Under_17,255b18ed9fwwe8lx1o6ro5qs,N. Bolt-Barrett,Defender,11,16.0,27.0,1.0,16.0,,3.0,,2.0,30.0,2.0,10.0,3.0,4.0,3.0,32.0,1.0,3.0,3.0,6.0,3.0,14.0,1.0,9.0,3.0,16.0,12.0,3.0,6.0,51.0,25.0,3.0,37.0,15.0,14.0,1.0,,6.0,117.0,31.0,14.0,2.0,28.0,3.0,3.0,51.0,2.0,37.0,5.0,1.0,223.0,5.0,3.0,13.0,7.0,8.0,0.0,1.0,2.0,4.0,,2.0,1.0,,1.0,1.0,5.0,6.0,4.0,1.0,,1.0,,,,1.0,,,,,,5.0,,,,,,,,,,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Jamaica Under 17,Jamaica_Under_17,92q21efugugty1g7denrxdqtw,D. Cohen,Forward,17,,17.0,,11.0,,2.0,1.0,,19.0,,10.0,2.0,4.0,3.0,23.0,1.0,3.0,2.0,7.0,,13.0,,8.0,7.0,7.0,10.0,1.0,11.0,42.0,18.0,3.0,30.0,7.0,12.0,,,,70.0,30.0,12.0,2.0,11.0,1.0,,42.0,,30.0,1.0,,119.0,4.0,,14.0,7.0,2.0,0.0,2.0,3.0,1.0,1.0,1.0,,,,2.0,1.0,5.0,1.0,1.0,,2.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Jamaica Under 17,Jamaica_Under_17,c60f5bse9v2om4lepu5vb5zo,A. Dixon,Defender,5,,7.0,4.0,12.0,,7.0,1.0,2.0,14.0,,10.0,9.0,5.0,4.0,23.0,1.0,4.0,4.0,,8.0,1.0,2.0,10.0,28.0,9.0,2.0,,26.0,87.0,14.0,4.0,66.0,5.0,5.0,6.0,,11.0,125.0,55.0,21.0,3.0,32.0,,1.0,82.0,,63.0,,6.0,360.0,11.0,23.0,53.0,11.0,,0.0,1.0,,2.0,,2.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Jamaica Under 17,Jamaica_Under_17,c3wh2xzk3b2pj3lvyszvcxyqc,A. Gooden,Defender,4,1.0,7.0,1.0,7.0,2.0,1.0,2.0,,8.0,1.0,10.0,7.0,2.0,,19.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,5.0,8.0,4.0,4.0,,2.0,33.0,9.0,2.0,20.0,3.0,4.0,2.0,,7.0,53.0,13.0,13.0,,22.0,2.0,1.0,29.0,1.0,18.0,1.0,1.0,85.0,8.0,2.0,11.0,2.0,1.0,0.0,,,2.0,1.0,,1.0,,,,,,,1.0,1.0,,1.0,,,,0.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,,1.0,,,,,1.0,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Jamaica Under 17,Jamaica_Under_17,ax2y5fvc4dzwn4qkxrfutapsk,A. Gordon,Forward,19,1.0,20.0,3.0,18.0,,5.0,,2.0,25.0,4.0,10.0,1.0,2.0,2.0,37.0,,4.0,2.0,6.0,6.0,22.0,1.0,11.0,7.0,12.0,11.0,,9.0,46.0,23.0,4.0,33.0,9.0,13.0,1.0,,1.0,94.0,32.0,13.0,2.0,8.0,6.0,,46.0,,33.0,6.0,4.0,233.0,2.0,,10.0,9.0,7.0,1.0,,2.0,4.0,2.0,,1.0,,,1.0,5.0,16.0,2.0,2.0,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,6.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Jamaica Under 17,Jamaica_Under_17,b2ubf85td47silxgw4trnwl5g,J. Grant,Goalkeeper,13,,,,18.0,,,,1.0,,,10.0,4.0,,,24.0,,2.0,2.0,,4.0,,,,2.0,,,,3.0,36.0,6.0,2.0,14.0,,,2.0,,8.0,61.0,6.0,22.0,,31.0,,1.0,2.0,,1.0,,3.0,180.0,22.0,5.0,8.0,17.0,,0.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,10.0,1.0,15.0,2.0,13.0,,6.0,21.0,1.0,4.0,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Jamaica Under 17,Jamaica_Under_17,99eikovcvh8l7wzjpiz7x6t5g,D. John,Midfielder,7,,6.0,,5.0,,1.0,,,7.0,,10.0,,2.0,1.0,8.0,1.0,3.0,,1.0,2.0,3.0,,3.0,2.0,2.0,4.0,,4.0,11.0,5.0,3.0,7.0,2.0,5.0,,,,17.0,7.0,4.0,1.0,2.0,,,10.0,,6.0,1.0,2.0,27.0,1.0,,2.0,3.0,,0.0,,1.0,3.0,3.0,,3.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
