root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Total Touches In Opposition Box,Unsuccessful Launches,Ground Duels,Total Successful Passes ( Excl Crosses & Corners ) ,Total Passes,Substitute On,Unsuccessful Crosses & Corners,Open Play Passes,Total Tackles,Goals Conceded,Successful Dribbles,Successful Crosses open play,Index,Successful Open Play Passes,Rightside Passes,Shots On Target ( inc goals ),Time Played,PutThrough/Blocked Distribution Won,Ground Duels won,Throw Ins to Opposition Player,Foul Attempted Tackle,Successful Passes Opposition Half,Total Losses Of Possession,Duels,Times Tackled,Forward Passes,Tackles Lost,Unsuccessful Short Passes,Leftside Passes,Unsuccessful lay-offs,Duels lost,Tackles Won,Touches,Unsuccessful Passes Own Half,Shots Off Target (inc woodwork),Total Unsuccessful Passes ( Excl Crosses & Corners ),Total Shots,Appearances,Total Fouls Won,Starts,Unsuccessful Long Passes,Throw Ins to Own Player,Successful Launches,Unsuccessful Dribbles,PutThrough/Blocked Distribution,Unsuccessful Crosses open play,Hit Woodwork,Goals Conceded Inside Box,Games Played,Duels won,Unsuccessful Passes Opposition Half,Substitute Off,Successful Long Passes,Successful Lay-offs,Total Clearances,Successful Short Passes,Successful Crosses & Corners,Goals Conceded Outside Box,Aerial Duels lost,Aerial Duels won,Recoveries,Ground Duels lost,Aerial Duels,Total Fouls Conceded,Backward Passes,Overruns,Corners Won,Successful Passes Own Half,Winning Goal,Offsides,Red Cards - 2nd Yellow,Total Red Cards,Key Passes (Attempt Assists),Through balls,Goal Kicks,GK Successful Distribution,Interceptions,Yellow Cards,Second Goal Assists,Successful Corners into Box,Corners Taken (incl short corners),Blocked Shots,Handballs conceded,Clean Sheets,Unsuccessful Corners into Box,Goal Assists,Goals,Assists (Intentional),Goals from Inside Box,Penalty Goals,Left Foot Goals,Penalties Taken,Home Goals,Away Goals,Blocks,Attempts from Set Pieces,Foul Won Penalty,Straight Red Cards,Right Foot Goals,Last Player Tackle,Clearances Off the Line,Goals from Outside Box,Headed Goals,Saves made - parried,Saves Made from Outside Box,Saves made - caught,Drops,Catches,Saves Made from Inside Box,Saves Made,GK Unsuccessful Distribution,Crosses not Claimed,Punches,Set Pieces Goals,Goalkeeper Smother,Penalties Conceded,Penalties Saved,Saves from Penalty,Penalties Faced,Penalty Goals Conceded,Other Goals,Own Goal Scored
testeo_ligas_norteamerica,USA_USL_Cup,2024,Union Omaha,Union_Omaha,6lob2tu6fjwv5kwkx1e1288ut,M. Jérôme,Defender,2,,19.0,13.0,168.0,215.0,,1.0,199.0,6.0,5.0,,,10.0,154.0,13.0,,341.0,2.0,8.0,,2.0,51.0,52.0,22.0,,101.0,1.0,14.0,72.0,,6.0,5.0,243.0,14.0,,47.0,,5.0,3.0,5.0,33.0,1.0,5.0,,6.0,1.0,,3.0,5.0,16.0,34.0,1.0,38.0,,7.0,130.0,,2.0,1.0,8.0,18.0,5.0,9.0,3.0,29.0,,2.0,117.0,0.0,,,1.0,3.0,,,,1.0,,,,,,,,,,,,,,,,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,
testeo_ligas_norteamerica,USA_USL_Cup,2024,Union Omaha,Union_Omaha,6cnor5fkcimp64kmyhgn9ctn8,B. Knapp,Midfielder,15,4.0,10.0,43.0,218.0,278.0,2.0,3.0,278.0,15.0,12.0,1.0,,10.0,218.0,58.0,2.0,641.0,10.0,21.0,4.0,4.0,122.0,84.0,71.0,6.0,97.0,7.0,40.0,80.0,,38.0,8.0,395.0,21.0,3.0,60.0,5.0,9.0,5.0,7.0,20.0,18.0,3.0,,13.0,3.0,,8.0,9.0,33.0,42.0,1.0,9.0,6.0,11.0,209.0,,4.0,16.0,12.0,30.0,22.0,28.0,6.0,43.0,2.0,1.0,96.0,0.0,1.0,,,4.0,1.0,,,7.0,1.0,,,,2.0,,2.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_USL_Cup,2024,Union Omaha,Union_Omaha,2w25x6xhv4fj1odj1130gcwrt,L. Kunga,Forward,70,25.0,1.0,60.0,91.0,122.0,6.0,2.0,121.0,5.0,8.0,15.0,1.0,10.0,90.0,14.0,5.0,397.0,,25.0,,4.0,59.0,73.0,67.0,24.0,30.0,1.0,29.0,54.0,1.0,41.0,4.0,213.0,3.0,4.0,31.0,9.0,9.0,5.0,3.0,2.0,,,14.0,7.0,2.0,,5.0,9.0,26.0,30.0,2.0,4.0,3.0,1.0,87.0,1.0,3.0,6.0,1.0,17.0,35.0,7.0,8.0,24.0,3.0,6.0,33.0,1.0,1.0,,,10.0,3.0,,,2.0,3.0,,,,3.0,1.0,,,1.0,2.0,,2.0,,2.0,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_USL_Cup,2024,Union Omaha,Union_Omaha,8q1x8z8d3c04jymsfc73o1qll,W. Lapsley,Goalkeeper,36,,21.0,5.0,118.0,151.0,,,76.0,,9.0,1.0,,10.0,62.0,39.0,,540.0,,5.0,,,13.0,34.0,6.0,,70.0,,,42.0,,,,247.0,7.0,,33.0,,6.0,4.0,6.0,33.0,,9.0,,,,,6.0,6.0,6.0,26.0,,25.0,,2.0,93.0,,3.0,,1.0,76.0,,1.0,,,,,105.0,0.0,,,,,,46.0,89.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,6.0,10.0,1.0,1.0,7.0,20.0,31.0,6.0,,,,1.0,,,,,,,
testeo_ligas_norteamerica,USA_USL_Cup,2024,Union Omaha,Union_Omaha,6sqbbasqmtyfmsrp0ba64xxp1,Z. Lewis,Forward,11,4.0,1.0,18.0,84.0,108.0,2.0,4.0,103.0,6.0,6.0,2.0,,10.0,79.0,19.0,1.0,352.0,5.0,9.0,,2.0,54.0,38.0,19.0,1.0,29.0,2.0,20.0,28.0,,9.0,4.0,158.0,4.0,2.0,24.0,3.0,7.0,1.0,5.0,4.0,1.0,,,8.0,2.0,,4.0,7.0,10.0,24.0,4.0,8.0,7.0,2.0,76.0,5.0,2.0,,1.0,13.0,9.0,1.0,5.0,32.0,,1.0,35.0,0.0,,,,7.0,2.0,,,1.0,,,3.0,4.0,5.0,,1.0,1.0,,1.0,,1.0,,1.0,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_USL_Cup,2024,Union Omaha,Union_Omaha,2nu3jw4piu1qnqha0kdq8nzai,B. Malone,Defender,3,6.0,8.0,36.0,208.0,246.0,2.0,,234.0,6.0,11.0,6.0,1.0,10.0,197.0,58.0,2.0,523.0,5.0,17.0,,,83.0,51.0,48.0,9.0,103.0,1.0,24.0,48.0,,25.0,5.0,334.0,8.0,,38.0,2.0,8.0,5.0,6.0,14.0,5.0,,8.0,8.0,,,8.0,8.0,23.0,30.0,2.0,6.0,3.0,15.0,202.0,1.0,3.0,6.0,6.0,15.0,19.0,12.0,5.0,37.0,,1.0,126.0,0.0,,,,2.0,,,,12.0,1.0,,,,2.0,,,,1.0,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0
testeo_ligas_norteamerica,USA_USL_Cup,2024,Union Omaha,Union_Omaha,9yjbv9btx4yhvugbr6e45asyc,L. Mastrantonio,Defender,4,3.0,30.0,28.0,354.0,423.0,,,404.0,10.0,12.0,1.0,,10.0,337.0,80.0,,734.0,5.0,15.0,,2.0,80.0,74.0,58.0,2.0,187.0,,27.0,148.0,,20.0,10.0,507.0,28.0,4.0,69.0,4.0,9.0,4.0,9.0,42.0,,8.0,,10.0,,1.0,9.0,9.0,38.0,41.0,2.0,38.0,,32.0,316.0,,3.0,7.0,23.0,23.0,13.0,30.0,7.0,8.0,1.0,,274.0,0.0,,,,2.0,,,,14.0,2.0,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
testeo_ligas_norteamerica,USA_USL_Cup,2024,Union Omaha,Union_Omaha,14m1w9eageg8zqy784etxzso9,M. Milanese,Defender,5,4.0,16.0,35.0,223.0,271.0,2.0,2.0,260.0,12.0,10.0,2.0,1.0,10.0,217.0,85.0,,468.0,1.0,18.0,,4.0,75.0,59.0,42.0,5.0,114.0,4.0,19.0,46.0,,21.0,8.0,341.0,16.0,2.0,48.0,2.0,6.0,4.0,4.0,29.0,7.0,5.0,1.0,3.0,2.0,,8.0,6.0,21.0,34.0,,26.0,,11.0,197.0,1.0,2.0,4.0,3.0,19.0,17.0,7.0,5.0,26.0,1.0,,149.0,0.0,,,,2.0,,,,11.0,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0
testeo_ligas_norteamerica,USA_USL_Cup,2024,Union Omaha,Union_Omaha,6bak5fjfgdw2vvnswrmlqukfd,N. Nortey,Midfielder,8,1.0,3.0,30.0,182.0,224.0,4.0,2.0,213.0,6.0,8.0,2.0,,10.0,173.0,58.0,2.0,406.0,5.0,11.0,,4.0,88.0,60.0,37.0,7.0,62.0,2.0,29.0,68.0,,23.0,4.0,282.0,13.0,3.0,42.0,5.0,9.0,3.0,5.0,13.0,1.0,1.0,1.0,7.0,,,7.0,9.0,14.0,31.0,5.0,15.0,7.0,4.0,167.0,,1.0,4.0,3.0,25.0,19.0,7.0,7.0,36.0,1.0,2.0,94.0,0.0,,,,2.0,1.0,,,4.0,2.0,,,2.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_USL_Cup,2024,Union Omaha,Union_Omaha,ef7ozqlfiyffy3vi397qitd9m,R. Nuhu,Goalkeeper,24,,6.0,,58.0,72.0,,,30.0,,6.0,,,10.0,25.0,17.0,,270.0,,,,,12.0,14.0,1.0,,40.0,,1.0,15.0,,,,104.0,2.0,,14.0,,3.0,,3.0,13.0,,3.0,,,,,5.0,3.0,1.0,12.0,,21.0,,6.0,37.0,,1.0,,1.0,28.0,,1.0,,,,,46.0,0.0,,,,,,28.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,3.0,4.0,8.0,5.0,,,,,,,,1.0,1.0,,
testeo_ligas_norteamerica,USA_USL_Cup,2024,Union Omaha,Union_Omaha,gqwm9a2a8wdrj3uws09yj0tl,C. Ostrem,Defender,0,3.0,4.0,11.0,42.0,60.0,,8.0,59.0,4.0,2.0,1.0,5.0,10.0,41.0,22.0,,159.0,1.0,5.0,3.0,3.0,27.0,32.0,12.0,2.0,23.0,2.0,13.0,1.0,,7.0,2.0,106.0,3.0,3.0,18.0,3.0,2.0,,2.0,5.0,10.0,,2.0,4.0,7.0,,1.0,2.0,5.0,23.0,1.0,2.0,,2.0,40.0,6.0,1.0,1.0,,8.0,6.0,1.0,3.0,14.0,,3.0,21.0,0.0,,,,3.0,,,,3.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_USL_Cup,2024,Union Omaha,Union_Omaha,3r8kdyekjq8k2owd0bh0wntg5,Victor PC,Midfielder,6,,,9.0,108.0,117.0,1.0,10.0,114.0,2.0,3.0,1.0,,10.0,105.0,34.0,1.0,203.0,1.0,8.0,,,54.0,20.0,10.0,,28.0,,8.0,37.0,,2.0,2.0,155.0,1.0,1.0,9.0,2.0,3.0,5.0,2.0,1.0,,3.0,,2.0,,,1.0,3.0,8.0,18.0,,8.0,3.0,5.0,100.0,3.0,2.0,1.0,,20.0,1.0,1.0,,18.0,,4.0,57.0,0.0,,,,4.0,1.0,,,3.0,,,3.0,9.0,,,,6.0,1.0,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
testeo_ligas_norteamerica,USA_USL_Cup,2024,Union Omaha,Union_Omaha,2ijhxcgr8wqnb8ovss9064jmy,W. Perkins,Defender,22,,2.0,13.0,73.0,85.0,1.0,6.0,84.0,2.0,3.0,,1.0,10.0,72.0,1.0,,200.0,2.0,5.0,4.0,2.0,33.0,28.0,15.0,3.0,33.0,,8.0,28.0,,9.0,2.0,129.0,6.0,,12.0,,3.0,3.0,2.0,4.0,12.0,,1.0,4.0,6.0,,2.0,3.0,6.0,12.0,1.0,3.0,,3.0,70.0,1.0,1.0,1.0,1.0,9.0,8.0,2.0,3.0,23.0,,1.0,41.0,0.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_USL_Cup,2024,Union Omaha,Union_Omaha,5sphos4tiokzmv1iqqsa1invu,M. Rodríguez,Forward,99,30.0,,37.0,55.0,83.0,4.0,4.0,77.0,2.0,12.0,9.0,3.0,10.0,49.0,27.0,8.0,485.0,3.0,19.0,,1.0,46.0,57.0,56.0,13.0,22.0,,22.0,14.0,,33.0,2.0,164.0,4.0,7.0,28.0,15.0,9.0,8.0,5.0,6.0,,,5.0,8.0,3.0,,9.0,9.0,23.0,28.0,2.0,2.0,3.0,1.0,53.0,3.0,3.0,15.0,4.0,14.0,18.0,19.0,4.0,20.0,,2.0,12.0,0.0,1.0,,,8.0,1.0,,,,1.0,,,2.0,2.0,,,1.0,1.0,4.0,1.0,4.0,,,,3.0,1.0,1.0,1.0,1.0,,3.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,
testeo_ligas_norteamerica,USA_USL_Cup,2024,Union Omaha,Union_Omaha,6ge4wgnjmai5596imt97hev6y,M. Schneider,Midfielder,23,,1.0,11.0,47.0,55.0,2.0,4.0,51.0,4.0,2.0,,,10.0,43.0,14.0,,125.0,,6.0,,4.0,31.0,13.0,14.0,,20.0,1.0,6.0,12.0,,6.0,3.0,76.0,2.0,1.0,8.0,1.0,3.0,2.0,1.0,2.0,1.0,,,,1.0,,2.0,3.0,8.0,10.0,1.0,2.0,,1.0,45.0,3.0,,1.0,2.0,1.0,5.0,3.0,5.0,9.0,,,19.0,0.0,,,1.0,1.0,,,,3.0,1.0,,3.0,4.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
