liga,temporada,equipo,id,nombre,posicion,dorsal,Time Played,Substitute On,Appearances,Index,Games Played,Yellow Cards,Substitute Off,Goals Conceded Inside Box,Starts,Goals Conceded,Clean Sheets,Goals,Right Foot Goals,Open Play Passes,Successful Passes Opposition Half,Total Passes,Successful Short Passes,Total Shots,Touches,Total Touches In Opposition Box,Shots On Target ( inc goals ),Assists (Intentional),Leftside Passes,Goals from Inside Box,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Goal Assists,Successful Crosses & Corners,Successful Crosses open play,Total Red Cards,Straight Red Cards,Headed Goals,Forward Passes,Unsuccessful Crosses open play,Throw Ins to Own Player,Successful Lay-offs,Corners Won,Backward Passes,Unsuccessful Long Passes,Shots Off Target (inc woodwork),Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Fouls Conceded,Successful Dribbles,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Recoveries,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Ground Duels,Duels won,Successful Long Passes,Total Fouls Won,Unsuccessful Dribbles,Duels,Left Foot Goals,Unsuccessful Crosses & Corners,Handballs conceded,Ground Duels lost,Tackles Won,Duels lost,Tackles Lost,Ground Duels won,Successful Launches,PutThrough/Blocked Distribution Won,Aerial Duels lost,Set Pieces Goals,Goals from Outside Box,Attempts from Set Pieces,Aerial Duels won,Total Clearances,Aerial Duels,Unsuccessful lay-offs,Offsides,Unsuccessful Launches,Foul Attempted Tackle,Blocks,Interceptions,Corners Taken (incl short corners),Unsuccessful Corners into Box,Saves Made,GK Successful Distribution,Catches,Saves Made from Inside Box,Penalties Conceded,Throw Ins to Opposition Player,Penalties Off Target,Penalties Taken,Successful Corners into Box,Punches,Saves Made from Outside Box,Saves made - parried,Penalties Faced,GK Unsuccessful Distribution,Own Goal Scored,Goals Conceded Outside Box,Penalties Saved,Saves from Penalty,Clearances Off the Line,Hit Woodwork,Red Cards - 2nd Yellow,Foul Won Penalty,Penalty Goals,Goalkeeper Smother,Through balls,Saves made - caught,Drops
Concacaf_Concacaf_U17,2017 Panama,Cuba Under 17,1atjjnva7034h8re8obnsj6qx,M. Coll,Defender,3,450.0,,5.0,10.0,5.0,,,16.0,5.0,18.0,,,,84.0,9.0,88.0,53.0,2.0,128.0,1.0,1.0,,24.0,,55.0,57.0,,,,,,,40.0,,,1.0,,2.0,16.0,1.0,31.0,48.0,2.0,15.0,1.0,,31.0,22.0,,19.0,,13.0,1.0,12.0,10.0,9.0,4.0,2.0,,20.0,,,,6.0,2.0,11.0,,4.0,2.0,1.0,5.0,,,1.0,5.0,17.0,10.0,,,7.0,1.0,3.0,9.0,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,
Concacaf_Concacaf_U17,2017 Panama,Cuba Under 17,bdqoavfc1egnrbfljrigyqy21,M. Cruz,Forward,19,144.0,2.0,3.0,10.0,3.0,,,6.0,1.0,8.0,,1.0,,22.0,5.0,24.0,15.0,2.0,46.0,2.0,2.0,1.0,4.0,1.0,13.0,15.0,2.0,1.0,1.0,,,,12.0,1.0,,1.0,,5.0,2.0,,13.0,11.0,1.0,7.0,2.0,1.0,9.0,3.0,,6.0,,4.0,1.0,4.0,13.0,13.0,,6.0,1.0,23.0,1.0,1.0,,7.0,1.0,10.0,,6.0,,,3.0,,,,7.0,4.0,10.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
Concacaf_Concacaf_U17,2017 Panama,Cuba Under 17,3slkrz806gvjen86rhartzieh,D. Echeverria,Goalkeeper,1,450.0,,5.0,10.0,5.0,,,16.0,5.0,18.0,,,,26.0,10.0,80.0,15.0,,117.0,,,,8.0,,16.0,33.0,,,,,,,64.0,,,,,,47.0,,48.0,23.0,1.0,,,,47.0,8.0,,29.0,,27.0,,18.0,1.0,2.0,18.0,1.0,,2.0,,,,,1.0,,,1.0,5.0,,,,,,1.0,3.0,1.0,,,12.0,,,2.0,,,19.0,19.0,2.0,12.0,,,,,,3.0,7.0,5.0,1.0,23.0,,2.0,1.0,1.0,,,,,,,,,
Concacaf_Concacaf_U17,2017 Panama,Cuba Under 17,6v01v59k36zdru896ewmxmyg9,K. Espino,Defender,15,450.0,,5.0,10.0,5.0,2.0,,16.0,5.0,18.0,,,,79.0,11.0,97.0,43.0,1.0,129.0,,,,22.0,,50.0,56.0,,,,,,,53.0,,,,,6.0,26.0,1.0,41.0,45.0,6.0,15.0,6.0,,41.0,16.0,1.0,29.0,,9.0,1.0,12.0,14.0,6.0,13.0,,,14.0,,,,8.0,3.0,8.0,3.0,6.0,4.0,,,,,1.0,,11.0,,,,11.0,6.0,2.0,10.0,,,,,,,1.0,,,,,,,,,,,2.0,,,1.0,,,,,,,,
Concacaf_Concacaf_U17,2017 Panama,Cuba Under 17,bykqoa757j31z3vw5022d8kx5,A. Godoy,Goalkeeper,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_U17,2017 Panama,Cuba Under 17,d3hmr8ewcvztyqr95ceynj27d,C. Ibarra,Midfielder,14,315.0,,4.0,10.0,4.0,1.0,1.0,10.0,4.0,12.0,,,,25.0,10.0,30.0,12.0,,54.0,1.0,,,5.0,,11.0,15.0,,,,,,,19.0,,,1.0,,1.0,4.0,,23.0,5.0,3.0,11.0,7.0,3.0,15.0,5.0,2.0,10.0,1.0,7.0,,5.0,22.0,10.0,3.0,4.0,4.0,26.0,,,,12.0,2.0,16.0,1.0,10.0,,,4.0,,,,,2.0,4.0,,,2.0,5.0,1.0,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,
Concacaf_Concacaf_U17,2017 Panama,Cuba Under 17,ejks2s6abp0y7e54m85zh0dex,D. López,Defender,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_U17,2017 Panama,Cuba Under 17,68m0q0so3q4hpwxw6jc8a8dl,R. Luis Lopez,Defender,4,153.0,1.0,3.0,10.0,3.0,,2.0,5.0,2.0,7.0,,,,36.0,5.0,36.0,24.0,,68.0,,,,2.0,,26.0,26.0,,,,,,,16.0,,7.0,,,5.0,2.0,,19.0,21.0,2.0,8.0,4.0,3.0,10.0,13.0,,4.0,,8.0,,6.0,19.0,9.0,2.0,4.0,2.0,20.0,,,,10.0,1.0,11.0,1.0,9.0,,,1.0,,,,,4.0,1.0,,,2.0,2.0,,2.0,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,
Concacaf_Concacaf_U17,2017 Panama,Cuba Under 17,33kmq90gype28pn82at3a8nvt,C. Molina,Midfielder,8,254.0,2.0,5.0,10.0,5.0,1.0,1.0,8.0,3.0,10.0,,,,53.0,10.0,54.0,38.0,,85.0,,,,12.0,,38.0,39.0,,,,,,,17.0,,,,,11.0,5.0,,25.0,29.0,8.0,10.0,4.0,,15.0,14.0,,12.0,,7.0,5.0,3.0,26.0,16.0,1.0,5.0,1.0,32.0,,,,13.0,7.0,16.0,1.0,13.0,,3.0,3.0,,,,3.0,1.0,6.0,,,2.0,4.0,1.0,3.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
Concacaf_Concacaf_U17,2017 Panama,Cuba Under 17,apzke9bbcp0sqnaz4dbljve95,A. Medina,Goalkeeper,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
