liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Substitute On,Successful Lay-offs,Successful Launches,Goals,Right Foot Goals,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Yellow Cards,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Corners into Box,Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Successful Long Passes,Successful Crosses open play,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Assists (Intentional),Ground Duels lost,Leftside Passes,Goals from Inside Box,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Goal Assists,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Throw Ins to Own Player,Throw Ins to Opposition Player,Offsides,Goals from Outside Box,Attempts from Set Pieces,Left Foot Goals,Headed Goals,Handballs conceded,Hit Woodwork,Penalties Taken,Penalty Goals,GK Successful Distribution,Total Red Cards,Red Cards - 2nd Yellow,Penalties Conceded,Unsuccessful lay-offs,Saves Made,Crosses not Claimed,Punches,Goalkeeper Smother,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves made - caught,GK Unsuccessful Distribution,Own Goal Scored,Clearances Off the Line,Straight Red Cards,Penalties Saved,Saves from Penalty,Set Pieces Goals,Foul Won Penalty,Last Man Tackle,Second Goal Assists,Penalties Off Target,Times Tackled,Penalty Goals Conceded,Home Goals,Away Goals,Winning Goal,Overruns,Goal Kicks,Other Goals
Mexico_Liga_MX,2016-2017,Club Universidad Nacional,e520dczad13w2nixv7z0sxwx5,A. Acosta,Midfielder,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2016-2017,Club Universidad Nacional,9huan6xgicwq30iix8q59aehh,G. Alcoba,Defender,3,2.0,1147.0,,1.0,6.0,,,572.0,3.0,43.0,1.0,147.0,34.0,4.0,79.0,1.0,4.0,5.0,21.0,145.0,326.0,17.0,59.0,610.0,3.0,17.0,3.0,400.0,16.0,7.0,138.0,,51.0,4.0,110.0,1.0,44.0,14.0,4.0,30.0,778.0,,14.0,8.0,7.0,61.0,246.0,16.0,10.0,68.0,3.0,72.0,1.0,20.0,29.0,2.0,111.0,56.0,21.0,2.0,14.0,,,22.0,270.0,,438.0,472.0,50.0,2.0,1.0,,12.0,43.0,5.0,33.0,39.0,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2016-2017,Club Universidad Nacional,78pcv2eroi0wl22dv207ufidx,P. Barrera,Forward,8,45.0,945.0,,2.0,,2.0,2.0,243.0,16.0,65.0,9.0,126.0,1.0,2.0,10.0,7.0,6.0,6.0,7.0,184.0,66.0,8.0,50.0,243.0,5.0,6.0,26.0,172.0,10.0,15.0,60.0,,18.0,10.0,101.0,6.0,50.0,11.0,16.0,5.0,479.0,1.0,11.0,3.0,1.0,105.0,66.0,28.0,10.0,52.0,9.0,11.0,9.0,14.0,4.0,24.0,116.0,6.0,16.0,46.0,11.0,1.0,2.0,57.0,94.0,2.0,183.0,183.0,11.0,1.0,3.0,3.0,6.0,64.0,2.0,6.0,48.0,2.0,,2.0,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2016-2017,Club Universidad Nacional,elj31ne1p2670oh8599ojyhnt,D. Barrón,Midfielder,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2016-2017,Club Universidad Nacional,2um6tj55ickc9o3dpfmbiu28l,M. Britos,Forward,20,4.0,911.0,4.0,9.0,,3.0,1.0,203.0,7.0,60.0,1.0,110.0,1.0,,4.0,5.0,14.0,3.0,25.0,93.0,56.0,5.0,53.0,222.0,2.0,11.0,1.0,165.0,20.0,25.0,57.0,,67.0,8.0,55.0,4.0,24.0,9.0,8.0,6.0,337.0,,13.0,5.0,,43.0,48.0,55.0,10.0,46.0,11.0,,1.0,16.0,25.0,1.0,93.0,7.0,23.0,4.0,13.0,,,22.0,47.0,3.0,146.0,165.0,50.0,,,,4.0,47.0,1.0,3.0,21.0,2.0,,4.0,,,1.0,1.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2016-2017,Club Universidad Nacional,bmjt6z99hy98ov718aiwfaaxh,N. Castillo,Forward,30,3.0,932.0,1.0,9.0,,8.0,7.0,98.0,8.0,48.0,1.0,59.0,,2.0,5.0,3.0,17.0,5.0,11.0,78.0,33.0,4.0,27.0,123.0,1.0,28.0,6.0,87.0,13.0,35.0,32.0,,30.0,9.0,32.0,10.0,14.0,10.0,7.0,3.0,257.0,,11.0,9.0,3.0,69.0,18.0,53.0,10.0,30.0,18.0,4.0,1.0,11.0,9.0,2.0,89.0,4.0,18.0,3.0,11.0,,1.0,48.0,27.0,7.0,69.0,91.0,20.0,,2.0,,2.0,59.0,2.0,2.0,21.0,2.0,,9.0,1.0,6.0,,1.0,4.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Mexico_Liga_MX,2016-2017,Club Universidad Nacional,3j5itq7h2505o5p3f4hq49cr9,A. Castro,Midfielder,21,,184.0,2.0,,1.0,,,81.0,,11.0,,15.0,4.0,,13.0,,,,2.0,19.0,51.0,5.0,5.0,84.0,1.0,3.0,1.0,58.0,2.0,,18.0,,17.0,1.0,11.0,,5.0,2.0,,7.0,117.0,,4.0,3.0,2.0,10.0,28.0,,10.0,11.0,,8.0,,1.0,4.0,,16.0,9.0,2.0,,4.0,,,3.0,28.0,,63.0,66.0,6.0,,,,5.0,5.0,,8.0,7.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2016-2017,Club Universidad Nacional,bijkyq3dfwpy22qabssbvkic5,J. Cortés,Forward,7,16.0,1411.0,2.0,22.0,1.0,,,541.0,14.0,121.0,26.0,334.0,6.0,2.0,19.0,4.0,10.0,5.0,19.0,205.0,177.0,27.0,76.0,580.0,,15.0,19.0,448.0,24.0,19.0,95.0,16.0,129.0,38.0,127.0,3.0,84.0,15.0,11.0,18.0,869.0,54.0,17.0,7.0,,120.0,137.0,16.0,10.0,70.0,9.0,37.0,7.0,16.0,8.0,10.0,147.0,5.0,29.0,50.0,17.0,28.0,1.0,58.0,193.0,,457.0,485.0,27.0,2.0,1.0,3.0,20.0,77.0,7.0,10.0,62.0,33.0,16.0,1.0,,3.0,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2016-2017,Club Universidad Nacional,4q5x3pior6zgx5sw0531hz089,J. Escamilla,Midfielder,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2016-2017,Club Universidad Nacional,c7t3jjwtrw1qrpr6a4nvdxat,K. Escamilla,Midfielder,6,3.0,497.0,3.0,4.0,,,,187.0,3.0,46.0,1.0,106.0,2.0,1.0,8.0,6.0,1.0,2.0,11.0,51.0,53.0,10.0,21.0,187.0,6.0,13.0,2.0,148.0,4.0,7.0,29.0,,51.0,5.0,29.0,4.0,22.0,7.0,7.0,3.0,265.0,,10.0,9.0,1.0,44.0,42.0,7.0,10.0,21.0,6.0,10.0,1.0,3.0,6.0,3.0,61.0,5.0,6.0,3.0,10.0,,,29.0,48.0,,158.0,158.0,17.0,1.0,,1.0,6.0,40.0,4.0,8.0,15.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
