liga,temporada,equipo,id,nombre,posicion,dorsal,Goal Assists,Ground Duels lost,Index,Handballs conceded,Aerial Duels lost,Corners Taken (incl short corners),Penalties Taken,Goals from Inside Box,Substitute Off,Left Foot Goals,Total Touches In Opposition Box,Successful Short Passes,Tackles Lost,Appearances,Successful Open Play Passes,Open Play Passes,Corners Won,Total Shots,Duels won,Ground Duels,Key Passes (Attempt Assists),Rightside Passes,Unsuccessful Dribbles,Leftside Passes,Time Played,Unsuccessful Long Passes,Unsuccessful Short Passes,Games Played,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Successful Dribbles,Times Tackled,Goals from Outside Box,Right Foot Goals,Hit Woodwork,Total Unsuccessful Passes ( Excl Crosses & Corners ),Duels lost,Aerial Duels,Total Tackles,Total Clearances,Foul Attempted Tackle,Successful Launches,Aerial Duels won,Ground Duels won,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Passes Opposition Half,Tackles Won,Blocked Shots,Unsuccessful Crosses & Corners,Successful Long Passes,PutThrough/Blocked Distribution,Total Fouls Won,Unsuccessful lay-offs,Shots On Target ( inc goals ),Backward Passes,Through balls,Goals,Unsuccessful Corners into Box,Forward Passes,Successful Passes Own Half,Successful Lay-offs,Duels,Penalty Goals,Touches,Unsuccessful Crosses open play,Yellow Cards,Unsuccessful Passes Own Half,Penalty Goals Conceded,Successful Crosses & Corners,Total Losses Of Possession,Successful Crosses open play,Unsuccessful Passes Opposition Half,Total Fouls Conceded,Goals Conceded,Goals Conceded Inside Box,Starts,Recoveries,Substitute On,Clean Sheets,Offsides,Assists (Intentional),Interceptions,Total Passes,Goals Conceded Outside Box,Home Goals,Away Goals,Winning Goal,Unsuccessful Launches,Throw Ins to Opposition Player,Blocks,Throw Ins to Own Player,GK Successful Distribution,Headed Goals,Penalties Conceded,Clearances Off the Line,Second Goal Assists,Foul Won Penalty,Penalties Saved,Saves Made from Inside Box,Punches,Penalties Faced,Catches,Saves from Penalty,Drops,Crosses not Claimed,Saves made - parried,Saves made - caught,Saves Made,GK Unsuccessful Distribution,Goalkeeper Smother,Saves Made from Outside Box,Attempts from Set Pieces,Successful Corners into Box,Red Cards - 2nd Yellow,Total Red Cards,Last Man Tackle,Set Pieces Goals,Straight Red Cards,Own Goal Scored,Penalties Off Target
Mexico_Liga_MX,2015-2016,CF América,14bw0a2azjioiorlbhhhbul05,P. Aguilar,Defender,12,1.0,38.0,10.0,2.0,31.0,,,3.0,1.0,,,380.0,6.0,17.0,408.0,481.0,3.0,18.0,75.0,86.0,3.0,155.0,,149.0,1496.0,41.0,36.0,17.0,10.0,12.0,3.0,,,,1.0,77.0,69.0,58.0,34.0,77.0,17.0,6.0,27.0,48.0,421.0,85.0,28.0,1.0,1.0,41.0,14.0,11.0,,6.0,18.0,,3.0,,176.0,336.0,1.0,144.0,,763.0,1.0,9.0,27.0,,,111.0,,51.0,39.0,17.0,13.0,17.0,43.0,,6.0,1.0,1.0,60.0,498.0,4.0,,,,20.0,1.0,17.0,5.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,
Mexico_Liga_MX,2015-2016,CF América,9l8qfxmpixwldis1pfua1fs2d,P. Aguilar,Defender,22,3.0,30.0,10.0,1.0,15.0,,,1.0,1.0,,,307.0,10.0,13.0,326.0,409.0,5.0,12.0,83.0,82.0,12.0,25.0,6.0,158.0,1164.0,23.0,62.0,13.0,11.0,5.0,7.0,,,,,85.0,45.0,46.0,31.0,32.0,7.0,2.0,31.0,52.0,330.0,195.0,21.0,1.0,14.0,23.0,22.0,17.0,,7.0,68.0,,1.0,,164.0,138.0,2.0,128.0,,696.0,14.0,2.0,21.0,,3.0,139.0,3.0,78.0,10.0,18.0,13.0,13.0,49.0,,3.0,3.0,2.0,22.0,415.0,5.0,,,,11.0,9.0,4.0,88.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2015-2016,CF América,dx0sxtnwt47os8e6vymenhoet,V. Alvarado,Defender,17,,12.0,10.0,,4.0,,,,1.0,,,135.0,2.0,6.0,134.0,175.0,,,23.0,27.0,3.0,6.0,1.0,78.0,434.0,13.0,28.0,6.0,,,3.0,,,,,41.0,16.0,12.0,12.0,9.0,2.0,1.0,8.0,15.0,138.0,69.0,10.0,,1.0,3.0,7.0,,,,19.0,1.0,,,76.0,69.0,,39.0,,277.0,1.0,1.0,15.0,,,59.0,,27.0,4.0,8.0,6.0,5.0,9.0,1.0,2.0,,,10.0,179.0,2.0,,,,8.0,9.0,1.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
Mexico_Liga_MX,2015-2016,CF América,daycar7otzfqiei5wk8rmd0b9,A. Andrade,Midfielder,8,3.0,105.0,10.0,3.0,10.0,2.0,1.0,2.0,9.0,,,531.0,3.0,19.0,567.0,674.0,14.0,24.0,84.0,186.0,18.0,180.0,38.0,219.0,1353.0,20.0,87.0,19.0,16.0,14.0,41.0,,,2.0,,107.0,115.0,13.0,23.0,7.0,23.0,1.0,3.0,81.0,573.0,368.0,20.0,8.0,13.0,42.0,33.0,17.0,,10.0,119.0,3.0,2.0,1.0,162.0,212.0,6.0,199.0,1.0,1006.0,12.0,5.0,16.0,,7.0,237.0,6.0,104.0,33.0,20.0,13.0,15.0,76.0,4.0,,1.0,3.0,18.0,680.0,7.0,,,,5.0,,2.0,8.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,
Mexico_Liga_MX,2015-2016,CF América,2cfx91xbtxd0t0loo83huz1lh,M. Arroyo,Forward,11,1.0,48.0,10.0,3.0,5.0,10.0,1.0,1.0,4.0,,,386.0,2.0,17.0,396.0,466.0,13.0,26.0,52.0,95.0,13.0,227.0,20.0,44.0,878.0,16.0,55.0,17.0,4.0,16.0,24.0,,2.0,3.0,1.0,71.0,53.0,10.0,7.0,3.0,9.0,1.0,5.0,47.0,406.0,279.0,5.0,10.0,15.0,20.0,11.0,16.0,1.0,10.0,89.0,2.0,3.0,5.0,117.0,129.0,5.0,105.0,1.0,674.0,10.0,4.0,13.0,,2.0,150.0,1.0,73.0,18.0,9.0,6.0,9.0,41.0,8.0,1.0,2.0,1.0,5.0,477.0,3.0,,,,6.0,1.0,1.0,8.0,,,,,,,,,,,,,,,,,,,,,13.0,2.0,,1.0,,2.0,1.0,,
Mexico_Liga_MX,2015-2016,CF América,d05jqknpj4nbxaw1ehvnxh5ud,D. Benedetto,Forward,9,2.0,29.0,10.0,,7.0,,,1.0,4.0,1.0,,101.0,,16.0,99.0,135.0,3.0,22.0,22.0,46.0,7.0,43.0,9.0,22.0,669.0,6.0,30.0,16.0,2.0,17.0,7.0,,,,,36.0,36.0,12.0,3.0,5.0,6.0,,5.0,17.0,108.0,78.0,3.0,7.0,7.0,7.0,5.0,7.0,2.0,5.0,40.0,2.0,1.0,,39.0,30.0,10.0,58.0,,259.0,7.0,3.0,6.0,,,78.0,,37.0,10.0,9.0,6.0,7.0,13.0,9.0,1.0,3.0,1.0,7.0,144.0,3.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Mexico_Liga_MX,2015-2016,CF América,cqwtmx1xc15anoak8iczle2fp,C. Blanco,Forward,100,,4.0,10.0,,,1.0,,,1.0,,,17.0,1.0,1.0,17.0,19.0,,1.0,3.0,6.0,3.0,7.0,2.0,4.0,38.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,2.0,4.0,1.0,1.0,,1.0,,1.0,2.0,17.0,16.0,,1.0,2.0,,,,,,2.0,,,1.0,6.0,1.0,,7.0,,34.0,,,,,,11.0,,4.0,1.0,,,1.0,1.0,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2015-2016,CF América,av5uo0p5jq933l06f12zt9mtx,G. Burón,Defender,3,,3.0,10.0,,1.0,,,,1.0,,,93.0,2.0,3.0,93.0,110.0,1.0,,11.0,13.0,3.0,6.0,,40.0,264.0,5.0,12.0,3.0,2.0,,2.0,,,,,17.0,4.0,2.0,5.0,8.0,1.0,1.0,1.0,10.0,96.0,50.0,3.0,,4.0,3.0,5.0,3.0,,,23.0,,,,44.0,48.0,,15.0,,175.0,4.0,,12.0,,2.0,27.0,2.0,9.0,1.0,1.0,1.0,3.0,8.0,,2.0,,,8.0,113.0,,,,,4.0,1.0,1.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2015-2016,CF América,binlfixspmuzid9947vx0xsyd,William,Midfielder,7,,49.0,10.0,,6.0,,,,2.0,1.0,,354.0,17.0,17.0,377.0,434.0,4.0,10.0,73.0,116.0,3.0,120.0,7.0,130.0,1057.0,13.0,44.0,17.0,16.0,5.0,9.0,,1.0,,,57.0,55.0,12.0,47.0,17.0,20.0,1.0,6.0,67.0,384.0,181.0,30.0,5.0,4.0,30.0,28.0,11.0,,5.0,59.0,,1.0,,132.0,203.0,1.0,128.0,,629.0,4.0,2.0,22.0,,,93.0,,39.0,24.0,16.0,13.0,10.0,61.0,7.0,2.0,,,17.0,441.0,3.0,,,,6.0,,3.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,
Mexico_Liga_MX,2015-2016,CF América,e5fjov7uu4d5wbbdo7uayn5cl,J. Guerrero,Defender,21,,38.0,10.0,1.0,5.0,,,,8.0,,,416.0,11.0,20.0,432.0,497.0,,1.0,48.0,78.0,9.0,129.0,1.0,158.0,1210.0,20.0,45.0,20.0,14.0,,2.0,,1.0,1.0,,65.0,43.0,13.0,27.0,13.0,10.0,4.0,8.0,40.0,443.0,208.0,16.0,2.0,,27.0,20.0,11.0,,1.0,51.0,,1.0,,170.0,235.0,1.0,91.0,,648.0,,3.0,24.0,,,75.0,,41.0,17.0,18.0,13.0,16.0,47.0,4.0,4.0,,,41.0,508.0,5.0,,,,13.0,,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2015-2016,CF América,am6blpv9h0wzsn8rjv1q0zpp1,A. Díaz,Midfielder,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2015-2016,CF América,5ot0lp51oh0zuxmuiah55b7px,P. Goltz,Defender,2,1.0,36.0,10.0,,13.0,,,1.0,1.0,,,491.0,11.0,18.0,521.0,620.0,,10.0,91.0,96.0,4.0,81.0,1.0,216.0,1531.0,54.0,46.0,18.0,6.0,6.0,3.0,,,,1.0,100.0,49.0,44.0,42.0,61.0,17.0,10.0,31.0,60.0,547.0,183.0,31.0,,3.0,56.0,15.0,18.0,,4.0,40.0,,1.0,,310.0,364.0,,140.0,,890.0,3.0,4.0,40.0,,,127.0,,63.0,22.0,21.0,14.0,18.0,46.0,,6.0,,,56.0,647.0,7.0,,,,34.0,,5.0,6.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,2.0,,,2.0,,,2.0,,
Mexico_Liga_MX,2015-2016,CF América,8hvgcyrjla6crn2toiqflxn85,H. González,Goalkeeper,1,,1.0,10.0,,,,,,,,,116.0,,14.0,76.0,110.0,,,3.0,1.0,2.0,47.0,,49.0,1246.0,104.0,,14.0,,,,,,,,104.0,1.0,3.0,,12.0,1.0,12.0,3.0,,188.0,37.0,,,,72.0,,,,,1.0,,,,195.0,151.0,,4.0,,457.0,,1.0,16.0,,,113.0,,88.0,1.0,17.0,13.0,13.0,135.0,1.0,3.0,,,1.0,292.0,4.0,,,,42.0,,,,170.0,,1.0,,,,1.0,21.0,4.0,,9.0,1.0,1.0,,13.0,2.0,40.0,55.0,1.0,18.0,,,,,,,,,
Mexico_Liga_MX,2015-2016,CF América,dh9uepuoe9cudkwnspfq3v4r9,J. Güémez,Midfielder,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2015-2016,CF América,awvcgvombgp6p551d4lddbcgl,J. León,Goalkeeper,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
