liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Assists (Intentional),Backward Passes,Blocked Shots,Blocks,Carries,Clean Sheets,Corners Taken (incl short corners),Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Games Played,Goal Assists,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Ground Duels,Ground Duels lost,Ground Duels won,Handballs conceded,Interceptions,Key Passes (Attempt Assists),Leftside Passes,Offsides,Open Play Passes,Overruns,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Rightside Passes,Shots Created,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Substitute Off,Successful Corners into Box,Successful Crosses & Corners,Successful Crosses open play,Successful Dribbles,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Through balls,Throw Ins to Opposition Player,Throw Ins to Own Player,Time Played,Times Tackled,Total Big Chances Created,Total Big Chances Missed,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Corners into Box,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Winning Goal,Substitute On,Yellow Cards,Attempts from Set Pieces,Clearances Off the Line,GK Successful Distribution,Goal Kicks,Successful Launches,Total Big Chances Saved,Penalties Conceded,Second Goal Assists,Goals,Goals Openplay,Goals from Inside Box,Goals from Outside Box,Right Foot Goals,Home Goals,Away Goals,Unsuccessful lay-offs,Last Player Tackle,Catches,Crosses not Claimed,Drops,GK Unsuccessful Distribution,Goalkeeper Smother,Penalties Faced,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - parried,Hit Woodwork,Total Big Chances Scored,Left Foot Goals,Direct Setpiece Goals,Set Pieces Goals,Headed Goals,Penalty Goals Conceded,Straight Red Cards,Total Red Cards,Own Goal Scored,Other Goals,Penalties Taken,Penalty Goals,Foul Won Penalty,Saves made - caught,Red Cards - 2nd Yellow,Penalties Saved,Saves from Penalty,Penalties Off Target
USA_MLS,2026,Colorado Rapids,42eyoeidtcnf2l4eag73qp36y,P. Aaronson,Midfielder,10,15.0,10.0,5.0,14.0,2.0,93.0,4.0,,149.0,1.0,31.0,11.0,113.0,59.0,54.0,249.0,82.0,10.0,14.0,3.0,20.0,16.0,4.0,98.0,49.0,49.0,,15.0,21.0,80.0,2.0,327.0,1.0,82.0,20.0,10.0,38.0,89.0,24.0,8.0,9.0,12.0,6.0,9.0,14.0,3.0,8.0,19.0,10.0,268.0,192.0,106.0,274.0,11.0,12.0,2.0,1.0,2.0,1079.0,25.0,5.0,1.0,9.0,20.0,18.0,154.0,344.0,17.0,284.0,23.0,22.0,60.0,579.0,19.0,44.0,20.0,19.0,5.0,11.0,91.0,13.0,49.0,0.0,2.0,,5.0,,,,,,,1.0,3.0,2.0,2.0,1.0,2.0,0.0,3.0,2.0,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,,1.0,,,,,,,1.0,,,,,
USA_MLS,2026,Colorado Rapids,3p7l8nat5o6ry2pmm8hgfnmui,J. Atencio,Midfielder,12,9.0,4.0,5.0,11.0,,92.0,,1.0,94.0,1.0,,,57.0,32.0,25.0,71.0,138.0,8.0,11.0,,11.0,10.0,1.0,48.0,28.0,20.0,,10.0,4.0,140.0,,460.0,,36.0,14.0,9.0,28.0,107.0,4.0,1.0,2.0,8.0,5.0,,1.0,1.0,2.0,9.0,13.0,403.0,172.0,249.0,407.0,6.0,8.0,,,,700.0,8.0,,,11.0,14.0,4.0,74.0,477.0,3.0,420.0,14.0,9.0,57.0,569.0,,2.0,2.0,5.0,4.0,12.0,46.0,13.0,45.0,0.0,3.0,6.0,,,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
USA_MLS,2026,Colorado Rapids,1o5qnb5ktq4u6t11lj3fqntg,A. Beaudry,Goalkeeper,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2026,Colorado Rapids,7vhhtm49u9nzdpc9d60empxxw,Z. Campagnolo,Goalkeeper,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2026,Colorado Rapids,3ebyf23azgbktpf7dgwlphkvd,R. Cannon,Defender,4,2.0,1.0,1.0,5.0,,20.0,,2.0,16.0,1.0,,2.0,18.0,7.0,11.0,27.0,31.0,3.0,5.0,,2.0,2.0,,16.0,6.0,10.0,1.0,4.0,1.0,36.0,,87.0,,12.0,1.0,1.0,6.0,5.0,1.0,,1.0,3.0,2.0,,1.0,1.0,1.0,3.0,2.0,79.0,29.0,56.0,82.0,2.0,3.0,,,19.0,226.0,2.0,,,7.0,5.0,4.0,15.0,92.0,1.0,84.0,5.0,6.0,8.0,149.0,,1.0,1.0,1.0,2.0,3.0,7.0,2.0,5.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2026,Colorado Rapids,d3gmzmf34c6o8vzngnf7ishlg,N. Cobb,Defender,24,12.0,7.0,5.0,7.0,,9.0,,2.0,61.0,1.0,,,23.0,12.0,11.0,13.0,65.0,,7.0,,6.0,5.0,1.0,11.0,5.0,6.0,,3.0,1.0,117.0,,232.0,1.0,27.0,6.0,5.0,12.0,54.0,1.0,1.0,,2.0,,,,,,,12.0,208.0,83.0,138.0,209.0,1.0,4.0,,,6.0,288.0,,,,18.0,5.0,1.0,27.0,245.0,1.0,221.0,5.0,4.0,24.0,296.0,,,,,4.0,10.0,17.0,7.0,14.0,0.0,5.0,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2026,Colorado Rapids,7dwa4xpmvtq0nl77qr3vfor8,J. De Coteau,Defender,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2026,Colorado Rapids,cqrocf05m5k1v9jahrzb1e9sk,M. Diop,Forward,26,,,,2.0,,1.0,,,1.0,,,,2.0,2.0,,7.0,,,2.0,,1.0,1.0,,2.0,2.0,,,,,4.0,,5.0,,,2.0,,,,,1.0,,,,,,,,1.0,,4.0,4.0,,4.0,,,,,,17.0,2.0,,,,,,6.0,5.0,1.0,4.0,,2.0,1.0,11.0,,1.0,1.0,1.0,,,2.0,,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2026,Colorado Rapids,efmny1f7zzlxe9u2xoia43tw4,A. Fadal,Midfielder,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2026,Colorado Rapids,6kfmf44wdx1btf9mwqdmo36z8,W. Frederick,Midfielder,13,15.0,9.0,6.0,12.0,1.0,69.0,2.0,1.0,89.0,2.0,,2.0,95.0,50.0,45.0,121.0,73.0,4.0,12.0,2.0,17.0,14.0,3.0,80.0,41.0,39.0,,13.0,2.0,78.0,1.0,291.0,4.0,47.0,21.0,10.0,29.0,84.0,4.0,4.0,2.0,9.0,1.0,,1.0,1.0,9.0,17.0,4.0,249.0,124.0,138.0,257.0,5.0,7.0,,3.0,12.0,867.0,24.0,1.0,,13.0,7.0,18.0,95.0,304.0,6.0,261.0,12.0,15.0,43.0,479.0,,4.0,4.0,16.0,1.0,5.0,30.0,17.0,38.0,1.0,3.0,1.0,,,,,1.0,,,2.0,2.0,,2.0,,2.0,0.0,2.0,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,
