liga,temporada,equipo,id,nombre,posicion,dorsal,PutThrough/Blocked Distribution,Successful Lay-offs,Successful Passes Own Half,Starts,Successful Short Passes,Touches,Total Fouls Conceded,Duels won,Duels lost,Tackles Won,Total Tackles,Total Unsuccessful Passes ( Excl Crosses & Corners ),Shots Off Target (inc woodwork),Interceptions,Shots On Target ( inc goals ),Successful Long Passes,PutThrough/Blocked Distribution Won,Unsuccessful Passes Own Half,Total Clearances,Goals,Successful Crosses open play,Total Losses Of Possession,Substitute Off,Offsides,Aerial Duels won,Clean Sheets,Blocked Shots,Goals from Inside Box,Unsuccessful Crosses & Corners,Ground Duels won,Backward Passes,Tackles Lost,Handballs conceded,Total Successful Passes ( Excl Crosses & Corners ) ,Unsuccessful Dribbles,Total Shots,Unsuccessful Passes Opposition Half,Goals Conceded Outside Box,Aerial Duels lost,Successful Passes Opposition Half,Unsuccessful lay-offs,Throw Ins to Own Player,Leftside Passes,Goals Conceded Inside Box,Key Passes (Attempt Assists),Goals Conceded,Total Touches In Opposition Box,Unsuccessful Crosses open play,Appearances,Blocks,GK Successful Distribution,Yellow Cards,Open Play Passes,Times Tackled,Ground Duels lost,Right Foot Goals,Rightside Passes,Unsuccessful Long Passes,Forward Passes,Successful Crosses & Corners,Successful Dribbles,Unsuccessful Launches,Successful Open Play Passes,Headed Goals,Time Played,Goal Kicks,Duels,Recoveries,Unsuccessful Short Passes,Substitute On,Total Fouls Won,Foul Attempted Tackle,Total Passes,Corners Won,Games Played,Penalty Goals Conceded,Index,Aerial Duels,Ground Duels,Home Goals,Away Goals,Winning Goal,Foul Won Penalty,Throw Ins to Opposition Player,Total Red Cards,Red Cards - 2nd Yellow,Successful Launches,Straight Red Cards,Overruns,Hit Woodwork,Penalties Conceded,Attempts from Set Pieces,Corners Taken (incl short corners),Unsuccessful Corners into Box,Successful Corners into Box,Assists (Intentional),Goal Assists,Goals from Outside Box,Penalties Faced,Saves Made,Catches,Saves Made from Inside Box,GK Unsuccessful Distribution,Saves Made from Outside Box,Left Foot Goals,Through balls,Last Player Tackle,Second Goal Assists,Penalties Taken,Penalty Goals,Goalkeeper Smother,Saves from Penalty,Penalties Saved,Saves made - parried,Punches,Drops,Clearances Off the Line,Own Goal Scored,Saves made - caught,Crosses not Claimed,Penalties Off Target,Set Pieces Goals
Mexico_Liga_MX,2024-2025,Atlético de San Luis,3equc198ccdse2w40j67kovdh,F. Boli,Forward,0,5.0,3.0,47.0,9.0,100.0,288.0,4.0,40.0,63.0,1.0,6.0,22.0,18.0,3.0,13.0,2.0,2.0,3.0,6.0,4.0,,93.0,8.0,7.0,10.0,,4.0,4.0,,30.0,39.0,5.0,1.0,102.0,21.0,31.0,19.0,2.0,18.0,55.0,,,28.0,12.0,4.0,14.0,59.0,,14.0,,,1.0,103.0,40.0,45.0,3.0,39.0,1.0,18.0,,6.0,,82.0,1.0,816.0,,103.0,33.0,21.0,5.0,18.0,1.0,124.0,5.0,14.0,1.0,10.0,28.0,75.0,3.0,1.0,0.0,,,,,,,3.0,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
Mexico_Liga_MX,2024-2025,Atlético de San Luis,72cwohn97yrl4pdiibvkfqgpg,L. Cañamar,Midfielder,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2024-2025,Atlético de San Luis,ctiesvd76yq85nbnwfxvll39x,R. Chávez,Defender,5,34.0,,264.0,17.0,521.0,1159.0,28.0,82.0,73.0,17.0,32.0,129.0,8.0,24.0,5.0,50.0,15.0,45.0,46.0,2.0,21.0,240.0,5.0,4.0,23.0,4.0,5.0,1.0,38.0,59.0,151.0,15.0,3.0,571.0,12.0,13.0,122.0,4.0,17.0,328.0,,124.0,306.0,15.0,12.0,19.0,40.0,38.0,21.0,7.0,,3.0,688.0,21.0,56.0,,28.0,29.0,215.0,21.0,12.0,18.0,559.0,1.0,1589.0,,155.0,49.0,100.0,4.0,15.0,14.0,700.0,7.0,21.0,1.0,10.0,40.0,115.0,2.0,0.0,2.0,,23.0,,,8.0,,3.0,,,,,,,2.0,2.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2024-2025,Atlético de San Luis,5av0x4no7v8epor7wm4ss371m,A. Cruz,Defender,18,31.0,2.0,423.0,17.0,611.0,1089.0,3.0,73.0,39.0,16.0,26.0,153.0,2.0,13.0,,61.0,9.0,65.0,51.0,,8.0,201.0,3.0,1.0,29.0,4.0,1.0,,9.0,44.0,94.0,10.0,,672.0,5.0,2.0,97.0,4.0,18.0,257.0,,55.0,129.0,17.0,9.0,21.0,2.0,9.0,18.0,4.0,,1.0,793.0,11.0,21.0,,236.0,74.0,366.0,8.0,2.0,33.0,646.0,,1504.0,,112.0,72.0,79.0,1.0,16.0,,825.0,,18.0,1.0,10.0,47.0,65.0,,,0.0,,13.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
Mexico_Liga_MX,2024-2025,Atlético de San Luis,evk0esdocrzt5zxqmv4ostdcl,J. Damm,Midfielder,25,1.0,,6.0,,15.0,22.0,,4.0,,2.0,2.0,1.0,,,,,1.0,,,,,2.0,,,,,,,1.0,4.0,6.0,,,15.0,,,2.0,,,9.0,,,7.0,,1.0,,,,1.0,,,,16.0,,,,,,3.0,,2.0,,15.0,,24.0,,4.0,1.0,1.0,1.0,,,16.0,,1.0,,10.0,,4.0,,,0.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2024-2025,Atlético de San Luis,dmqmxkyprphad4zlbcv0igcet,J. Domínguez,Defender,4,6.0,,541.0,16.0,727.0,983.0,10.0,40.0,32.0,7.0,13.0,89.0,2.0,18.0,2.0,38.0,5.0,28.0,42.0,,,100.0,5.0,,20.0,2.0,1.0,,2.0,20.0,72.0,6.0,3.0,765.0,2.0,4.0,63.0,3.0,18.0,224.0,,1.0,319.0,12.0,4.0,15.0,8.0,2.0,17.0,8.0,1.0,3.0,836.0,4.0,14.0,,137.0,48.0,326.0,,1.0,29.0,749.0,,1353.0,1.0,72.0,48.0,41.0,1.0,6.0,3.0,854.0,,17.0,1.0,10.0,38.0,34.0,,,0.0,,1.0,,,5.0,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
Mexico_Liga_MX,2024-2025,Atlético de San Luis,8z500j8o7agchtuoqjwqvgudx,Rodrigo Dourado,Midfielder,13,23.0,7.0,467.0,20.0,765.0,1209.0,36.0,97.0,87.0,29.0,46.0,110.0,4.0,29.0,2.0,62.0,16.0,38.0,68.0,1.0,1.0,146.0,1.0,,29.0,5.0,1.0,1.0,2.0,68.0,85.0,17.0,1.0,827.0,6.0,6.0,74.0,5.0,23.0,361.0,,1.0,271.0,19.0,11.0,24.0,20.0,2.0,20.0,12.0,,5.0,870.0,14.0,64.0,,280.0,27.0,301.0,1.0,4.0,11.0,761.0,1.0,1776.0,,184.0,94.0,83.0,,18.0,24.0,937.0,1.0,20.0,1.0,10.0,52.0,132.0,0.0,1.0,1.0,,,,,8.0,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2024-2025,Atlético de San Luis,b5pf64v2vu42s1td4u9uh5c7o,Vitinho,Forward,11,9.0,10.0,44.0,6.0,140.0,299.0,4.0,28.0,37.0,2.0,4.0,28.0,5.0,1.0,14.0,8.0,5.0,4.0,,2.0,,83.0,5.0,5.0,,,6.0,1.0,7.0,28.0,61.0,2.0,,148.0,19.0,19.0,31.0,2.0,3.0,104.0,1.0,1.0,73.0,5.0,4.0,7.0,33.0,4.0,11.0,,,2.0,169.0,28.0,34.0,,17.0,1.0,25.0,,12.0,,141.0,1.0,582.0,,65.0,25.0,27.0,5.0,12.0,1.0,176.0,8.0,11.0,,10.0,3.0,62.0,2.0,0.0,0.0,2.0,,,,,,,,,2.0,10.0,3.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2024-2025,Atlético de San Luis,14x84apbgj4ztpu0m82hbvsru,B. Galdames,Midfielder,7,10.0,3.0,32.0,1.0,93.0,235.0,6.0,33.0,35.0,3.0,5.0,28.0,1.0,2.0,2.0,5.0,4.0,6.0,3.0,,1.0,77.0,1.0,,3.0,,1.0,,6.0,30.0,44.0,2.0,2.0,98.0,10.0,3.0,28.0,3.0,6.0,69.0,,4.0,24.0,3.0,5.0,6.0,8.0,3.0,14.0,,,1.0,122.0,25.0,29.0,,31.0,2.0,27.0,3.0,9.0,1.0,94.0,,250.0,,68.0,25.0,26.0,13.0,16.0,3.0,126.0,2.0,14.0,,10.0,9.0,59.0,,,0.0,,,,,,,3.0,,,,5.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2024-2025,Atlético de San Luis,cx2zyexwxy0nqw9u6yzmnpqp6,D. Guillén,Defender,15,2.0,,156.0,4.0,200.0,310.0,6.0,23.0,21.0,2.0,4.0,37.0,2.0,9.0,2.0,10.0,,15.0,16.0,1.0,,44.0,1.0,1.0,14.0,2.0,,1.0,,9.0,23.0,2.0,,210.0,1.0,4.0,22.0,2.0,7.0,54.0,,2.0,92.0,6.0,,8.0,4.0,,10.0,9.0,,2.0,243.0,5.0,14.0,1.0,29.0,15.0,103.0,,,9.0,206.0,,454.0,,44.0,13.0,22.0,6.0,5.0,1.0,247.0,,10.0,,10.0,21.0,23.0,1.0,0.0,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
