liga,temporada,equipo,id,nombre,posicion,dorsal,Time Played,Throw Ins to Own Player,Open Play Passes,Backward Passes,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,Own Goal Scored,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Unsuccessful Passes Opposition Half,Recoveries,Starts,Unsuccessful Passes Own Half,Touches,Appearances,Ground Duels,Forward Passes,Index,Duels won,Successful Long Passes,Total Fouls Won,Aerial Duels won,Duels,Total Clearances,Goals Conceded,Games Played,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Successful Launches,Shots Off Target (inc woodwork),Total Fouls Conceded,Total Shots,PutThrough/Blocked Distribution,Foul Attempted Tackle,Blocks,Total Touches In Opposition Box,Shots On Target ( inc goals ),Attempts from Set Pieces,Substitute On,Goals,Right Foot Goals,Yellow Cards,Goals from Inside Box,Assists (Intentional),Goal Assists,Unsuccessful Crosses open play,PutThrough/Blocked Distribution Won,Substitute Off,Key Passes (Attempt Assists),Unsuccessful Dribbles,Unsuccessful Crosses & Corners,Corners Won,Goals from Outside Box,Penalties Taken,Penalty Goals,Corners Taken (incl short corners),Unsuccessful Corners into Box,Saves Made,GK Successful Distribution,Saves Made from Inside Box,Saves made - caught,GK Unsuccessful Distribution,Goalkeeper Smother,Successful Lay-offs,Total Red Cards,Blocked Shots,Straight Red Cards,Foul Won Penalty,Throw Ins to Opposition Player,Goals Conceded Outside Box,Clean Sheets,Successful Crosses & Corners,Successful Crosses open play,Left Foot Goals,Offsides,Handballs conceded,Hit Woodwork,Unsuccessful lay-offs,Punches,Catches,Saves Made from Outside Box,Through balls,Successful Corners into Box,Saves made - parried,Penalty Goals Conceded,Drops,Penalties Faced,Headed Goals,Penalties Conceded,Second Goal Assists,Red Cards - 2nd Yellow
Concacaf_Leagues_Cup_2019_2022,2019,Houston Dynamo FC,42hi96pvzz8f69ixlcncn0549,K. Adams,Defender,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2019,Houston Dynamo FC,1knx6w8nx8sd81peciwtes3x1,D. Beasley,Defender,7,90.0,2.0,34.0,8.0,15.0,,1.0,,,8.0,21.0,2.0,4.0,40.0,1.0,34.0,1.0,5.0,13.0,4.0,5.0,1.0,2.0,60.0,1.0,9.0,16.0,10.0,5.0,1.0,2.0,,9.0,4.0,1.0,1.0,4.0,3.0,30.0,35.0,,,4.0,2.0,2.0,5.0,,,2.0,1.0,,1.0,,1.0,1.0,,,1.0,,,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2019,Houston Dynamo FC,58t051kyiko3imm429rqsn5rd,E. Bird,Midfielder,25,3.0,,1.0,,,,,,,2.0,,,1.0,1.0,,,,1.0,,2.0,,,,2.0,1.0,,1.0,10.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2019,Houston Dynamo FC,2az3hi45krcxbzny070v5mo5x,J. Cabezas,Midfielder,5,90.0,,41.0,6.0,17.0,1.0,1.0,,,6.0,20.0,3.0,4.0,42.0,,31.0,1.0,5.0,11.0,2.0,6.0,1.0,3.0,57.0,1.0,8.0,12.0,10.0,6.0,6.0,3.0,1.0,9.0,,1.0,1.0,3.0,13.0,36.0,37.0,1.0,2.0,3.0,1.0,,5.0,,,1.0,,4.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2019,Houston Dynamo FC,4i0iq31lu0vvjfgk8kqyec72t,D. Cerén,Midfielder,24,90.0,,40.0,10.0,13.0,,2.0,,1.0,4.0,26.0,5.0,1.0,42.0,1.0,35.0,1.0,3.0,14.0,3.0,8.0,1.0,,59.0,1.0,11.0,10.0,10.0,7.0,4.0,1.0,,12.0,1.0,1.0,1.0,4.0,8.0,37.0,39.0,1.0,4.0,5.0,1.0,4.0,7.0,,,4.0,,,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2019,Houston Dynamo FC,7aq775owdtnqe0p1k0qab2qc5,T. Deric,Goalkeeper,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2019,Houston Dynamo FC,7yuie6z5q0g0mans9pb5mdxhx,C. Duvall,Defender,12,90.0,6.0,19.0,8.0,8.0,,1.0,,1.0,12.0,9.0,3.0,5.0,23.0,1.0,15.0,1.0,6.0,1.0,3.0,2.0,1.0,4.0,47.0,1.0,10.0,9.0,10.0,5.0,2.0,1.0,,11.0,1.0,1.0,1.0,5.0,5.0,14.0,17.0,1.0,2.0,6.0,1.0,,5.0,,,2.0,,2.0,2.0,,,,,,,,,,,,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2019,Houston Dynamo FC,aoe90w0oopw8h5ipktpmme9cl,A. Elis,Forward,17,90.0,2.0,15.0,3.0,10.0,,,,6.0,15.0,,1.0,5.0,15.0,,8.0,1.0,5.0,1.0,6.0,1.0,1.0,,42.0,1.0,12.0,9.0,10.0,7.0,2.0,5.0,1.0,19.0,,1.0,1.0,6.0,2.0,10.0,10.0,7.0,1.0,12.0,,1.0,6.0,,,1.0,1.0,2.0,,,6.0,1.0,,,,,,,,,1.0,1.0,,,2.0,1.0,3.0,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2019,Houston Dynamo FC,7fayvrd58aelitugyce9k7yz9,A. Fuenmayor,Defender,2,90.0,,40.0,4.0,10.0,,4.0,,,7.0,25.0,,3.0,42.0,,26.0,1.0,7.0,4.0,5.0,4.0,1.0,2.0,46.0,1.0,3.0,18.0,10.0,1.0,9.0,,1.0,4.0,2.0,1.0,1.0,3.0,16.0,33.0,35.0,1.0,,3.0,,1.0,,,,2.0,,,1.0,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2019,Houston Dynamo FC,bh2no1aqn7l1wlpj8n2dz0yc5,K. Garcia,Defender,16,90.0,,51.0,3.0,15.0,2.0,7.0,,,11.0,28.0,1.0,3.0,53.0,1.0,38.0,1.0,10.0,15.0,8.0,2.0,1.0,2.0,60.0,1.0,3.0,22.0,10.0,2.0,5.0,,,3.0,4.0,1.0,1.0,1.0,13.0,41.0,43.0,,1.0,1.0,,,2.0,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2019,Houston Dynamo FC,6pqwh2z47uwgr9u9y8n79ppzp,M. Hairston,Midfielder,14,89.0,,20.0,5.0,11.0,1.0,1.0,,1.0,6.0,6.0,2.0,3.0,21.0,2.0,15.0,1.0,4.0,7.0,4.0,4.0,1.0,,34.0,1.0,9.0,6.0,10.0,6.0,2.0,2.0,,10.0,,1.0,1.0,3.0,3.0,16.0,17.0,1.0,1.0,4.0,1.0,,6.0,,,1.0,1.0,1.0,1.0,,2.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2019,Houston Dynamo FC,4m1a1e1aqovig7w39zrfy8smh,S. Junqua,Defender,29,1.0,,2.0,1.0,1.0,,,,,,1.0,,,2.0,,2.0,,,1.0,,,,,2.0,1.0,,,10.0,,,,,,,,1.0,,,2.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2019,Houston Dynamo FC,a15ecw8anfitp7u6by6rae7ai,I. Martínez,Midfielder,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2019,Houston Dynamo FC,cnf686wbn4i3yz72i5c70fkoa,E. McCue,Defender,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2019,Houston Dynamo FC,epusm8fpwyc40s5y1bu6e7w7p,R. Quioto,Forward,31,45.0,,8.0,6.0,5.0,,,,,10.0,4.0,,2.0,11.0,2.0,7.0,1.0,2.0,2.0,5.0,3.0,,,26.0,1.0,10.0,1.0,10.0,5.0,2.0,3.0,1.0,11.0,,1.0,1.0,6.0,2.0,6.0,9.0,1.0,,6.0,,,4.0,,,2.0,,,,,,,1.0,1.0,,,,,,,2.0,,,,2.0,3.0,,,,,2.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
