root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Open Play Passes,Goals from Inside Box,Successful Open Play Passes,Leftside Passes,Ground Duels lost,Unsuccessful Short Passes,Successful Lay-offs,Unsuccessful Passes Own Half,Aerial Duels won,Penalty Goals Conceded,Goals Conceded Inside Box,Successful Passes Opposition Half,Appearances,Goals Conceded,Goals from Outside Box,Aerial Duels,Left Foot Goals,Total Fouls Won,Index,Backward Passes,Touches,Total Passes,Substitute Off,Handballs conceded,Total Successful Passes ( Excl Crosses & Corners ) ,Substitute On,Successful Passes Own Half,Foul Attempted Tackle,Goals Conceded Outside Box,Times Tackled,Offsides,Total Losses Of Possession,Unsuccessful Dribbles,Duels lost,Total Unsuccessful Passes ( Excl Crosses & Corners ),Total Shots,Starts,Ground Duels,PutThrough/Blocked Distribution Won,Goals,Shots On Target ( inc goals ),Ground Duels won,Right Foot Goals,Total Touches In Opposition Box,Unsuccessful Passes Opposition Half,Rightside Passes,PutThrough/Blocked Distribution,Overruns,Total Fouls Conceded,Aerial Duels lost,Forward Passes,Time Played,Recoveries,Games Played,Duels won,Shots Off Target (inc woodwork),Successful Short Passes,Successful Dribbles,Yellow Cards,Duels,Home Goals,Away Goals,Winning Goal,Key Passes (Attempt Assists),Through balls,Successful Crosses & Corners,Corners Won,Unsuccessful Launches,Successful Launches,Successful Long Passes,Unsuccessful Long Passes,Interceptions,Total Clearances,Blocked Shots,Tackles Lost,Corners Taken (incl short corners),Unsuccessful Crosses open play,Attempts from Set Pieces,Unsuccessful Corners into Box,Successful Corners into Box,Tackles Won,Unsuccessful Crosses & Corners,Throw Ins to Own Player,Total Tackles,Clean Sheets,Successful Crosses open play,Blocks,Goal Assists,Unsuccessful lay-offs,Goal Kicks,GK Successful Distribution,Throw Ins to Opposition Player,GK Unsuccessful Distribution,Saves Made from Outside Box,Saves Made from Inside Box,Saves made - parried,Drops,Saves Made,Catches,Penalties Faced,Penalties Conceded,Straight Red Cards,Total Red Cards,Foul Won Penalty,Assists (Intentional),Hit Woodwork,Headed Goals,Punches,Penalty Goals,Penalties Taken,Set Pieces Goals,Red Cards - 2nd Yellow,Crosses not Claimed,Own Goal Scored,Saves made - caught,Goalkeeper Smother,Clearances Off the Line,Saves from Penalty,Penalties Saved,Last Player Tackle,Second Goal Assists,Penalties Off Target
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,Panama,Panama,8e0dqnvgoo9zqxvsbyd90bxii,I. Anderson,Defender,19,4.0,,3.0,1.0,,,,,,,,1.0,1.0,,,1.0,,,10.0,,8.0,4.0,,,3.0,1.0,2.0,,,,,2.0,,1.0,1.0,,,2.0,,,,2.0,,,1.0,1.0,,,,1.0,2.0,10.0,1.0,1.0,2.0,,3.0,,,3.0,,,0.0,,,,,1.0,,,1.0,,1.0,,1.0,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,Panama,Panama,78rxvyelnj7orbbzs4u1fghrd,C. Blackman,Defender,2,123.0,1.0,104.0,17.0,10.0,15.0,1.0,5.0,4.0,1.0,3.0,51.0,4.0,4.0,,5.0,,10.0,10.0,41.0,194.0,125.0,2.0,,106.0,,56.0,2.0,1.0,6.0,,32.0,4.0,11.0,19.0,3.0,4.0,30.0,2.0,1.0,2.0,20.0,1.0,8.0,16.0,37.0,4.0,,2.0,1.0,30.0,346.0,12.0,4.0,24.0,1.0,103.0,,,35.0,1.0,0.0,0.0,5.0,,1.0,1.0,2.0,,3.0,4.0,4.0,6.0,,3.0,,2.0,,,,7.0,2.0,16.0,10.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,Panama,Panama,2rhkidoqyjnxgkirg3ggmup61,G. Brown,Defender,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,Panama,Panama,1fz6kqbr8i7sunii6wymjkonp,Y. Bárcenas,Midfielder,0,57.0,,44.0,8.0,7.0,9.0,2.0,3.0,2.0,,1.0,31.0,2.0,2.0,,5.0,,3.0,10.0,14.0,102.0,60.0,1.0,,47.0,,18.0,1.0,1.0,5.0,,27.0,1.0,10.0,13.0,5.0,2.0,19.0,1.0,,4.0,12.0,,7.0,13.0,17.0,4.0,,2.0,3.0,21.0,178.0,4.0,2.0,14.0,1.0,42.0,4.0,,24.0,,,0.0,3.0,,2.0,1.0,2.0,1.0,5.0,4.0,1.0,2.0,,2.0,4.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,5.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,Panama,Panama,6knzu4ywl5yag1h8ij16g2rqh,A. Carrasquilla,Midfielder,8,179.0,1.0,148.0,45.0,16.0,26.0,3.0,9.0,1.0,1.0,2.0,69.0,4.0,3.0,,1.0,,6.0,10.0,26.0,227.0,183.0,2.0,,151.0,,82.0,5.0,1.0,7.0,,50.0,2.0,16.0,32.0,3.0,4.0,30.0,2.0,1.0,3.0,14.0,1.0,2.0,26.0,48.0,3.0,1.0,6.0,,64.0,318.0,13.0,4.0,15.0,,137.0,3.0,2.0,31.0,0.0,1.0,0.0,4.0,2.0,,,1.0,2.0,14.0,6.0,2.0,1.0,,3.0,2.0,,1.0,2.0,,2.0,3.0,,5.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,Panama,Panama,eiohczjmkky86hoq2q2xfx444,E. Cedeño,Midfielder,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,Panama,Panama,4w81878nkgucue9xq5zt37yp6,J. Córdoba,Defender,3,211.0,,183.0,20.0,7.0,18.0,,11.0,7.0,1.0,3.0,45.0,4.0,4.0,,11.0,,2.0,10.0,14.0,276.0,231.0,,1.0,203.0,,158.0,,1.0,3.0,,32.0,2.0,11.0,28.0,2.0,4.0,17.0,2.0,,,10.0,,2.0,17.0,92.0,4.0,,3.0,4.0,105.0,360.0,6.0,4.0,17.0,2.0,196.0,1.0,1.0,28.0,,,0.0,,,,,6.0,1.0,7.0,10.0,2.0,12.0,,1.0,,,,,,6.0,,1.0,7.0,2.0,,4.0,1.0,,9.0,9.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,Panama,Panama,5memdz6q0gzcn892t31c5a6l1,I. Díaz,Forward,10,3.0,,3.0,1.0,3.0,,,,,,,2.0,2.0,,,,,,10.0,,5.0,3.0,,,3.0,2.0,1.0,1.0,,2.0,1.0,2.0,,3.0,,,,3.0,,,,,,,,,,,1.0,,2.0,2.0,,2.0,,,3.0,,,3.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,Panama,Panama,abh60zcb8agg0l5ifzzvlyymt,F. Escobar,Defender,4,64.0,,49.0,21.0,4.0,7.0,,7.0,4.0,,1.0,19.0,2.0,2.0,,4.0,,1.0,10.0,3.0,89.0,70.0,,,53.0,,34.0,2.0,1.0,1.0,,19.0,,4.0,17.0,2.0,2.0,8.0,,,,4.0,,2.0,10.0,8.0,,,3.0,,38.0,170.0,5.0,2.0,8.0,2.0,46.0,,,12.0,,,0.0,,,,,5.0,1.0,7.0,10.0,3.0,3.0,,1.0,,,,,,2.0,,1.0,3.0,1.0,,2.0,,,2.0,2.0,1.0,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,Panama,Panama,9ggta4hzy0w4xkukczrti5y7e,J. Fajardo,Forward,17,28.0,1.0,19.0,9.0,10.0,9.0,1.0,4.0,1.0,1.0,2.0,14.0,4.0,3.0,,8.0,,1.0,10.0,9.0,70.0,33.0,3.0,,23.0,1.0,10.0,2.0,1.0,6.0,2.0,29.0,4.0,17.0,10.0,3.0,3.0,13.0,2.0,1.0,1.0,3.0,1.0,6.0,9.0,13.0,7.0,1.0,2.0,7.0,2.0,247.0,7.0,4.0,4.0,2.0,23.0,2.0,1.0,21.0,0.0,1.0,1.0,2.0,,1.0,2.0,,,,1.0,,6.0,2.0,,,3.0,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
