liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Offsides,Time Played,Throw Ins to Own Player,Substitute On,Successful Lay-offs,Successful Launches,Goals,Right Foot Goals,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Yellow Cards,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Corners into Box,Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Throw Ins to Opposition Player,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Goals from Outside Box,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Attempts from Set Pieces,Successful Long Passes,Successful Crosses open play,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Left Foot Goals,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Handballs conceded,Hit Woodwork,Assists (Intentional),Ground Duels lost,Leftside Passes,Goals from Inside Box,Penalties Taken,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Unsuccessful lay-offs,Goal Assists,Penalty Goals,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Penalties Conceded,Own Goal Scored,Clearances Off the Line,Headed Goals,Total Red Cards,Straight Red Cards,Saves Made,GK Successful Distribution,Crosses not Claimed,Punches,Goalkeeper Smother,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves made - caught,GK Unsuccessful Distribution,Foul Won Penalty,Set Pieces Goals,Penalties Saved,Saves from Penalty,Last Man Tackle,Red Cards - 2nd Yellow,Penalties Off Target,Other Goals,Second Goal Assists,Penalty Goals Conceded,Times Tackled,Home Goals,Away Goals,Winning Goal
USA_MLS,2016,Toronto FC,cvz7rxusmcxxv17fij7dxx6mt,J. Altidore,Forward,17,3.0,12.0,2068.0,6.0,7.0,44.0,1.0,15.0,11.0,668.0,19.0,148.0,2.0,373.0,5.0,5.0,18.0,8.0,19.0,3.0,42.0,368.0,99.0,23.0,194.0,682.0,8.0,60.0,20.0,442.0,22.0,51.0,212.0,,200.0,26.0,196.0,8.0,1.0,73.0,22.0,21.0,19.0,1083.0,,29.0,24.0,3.0,243.0,1.0,176.0,142.0,100.0,157.0,32.0,3.0,28.0,2.0,63.0,52.0,25.0,337.0,21.0,25.0,2.0,3.0,29.0,,4.0,2.0,4.0,138.0,158.0,14.0,1.0,458.0,470.0,94.0,6.0,7.0,6.0,,2.0,14.0,180.0,9.0,10.0,105.0,,,1.0,2.0,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,
USA_MLS,2016,Toronto FC,cfffc2qdknupbftpqye1cbf1l,Mo Babouli,Forward,11,8.0,3.0,647.0,1.0,10.0,12.0,,,,210.0,7.0,54.0,6.0,124.0,,1.0,8.0,7.0,5.0,1.0,26.0,124.0,49.0,11.0,45.0,220.0,2.0,11.0,12.0,159.0,10.0,6.0,53.0,5.0,57.0,11.0,62.0,4.0,1.0,29.0,6.0,12.0,4.0,363.0,10.0,16.0,7.0,2.0,78.0,,46.0,28.0,81.0,35.0,1.0,1.0,8.0,1.0,6.0,6.0,12.0,110.0,4.0,11.0,,13.0,16.0,4.0,1.0,,,49.0,63.0,,,157.0,167.0,32.0,1.0,1.0,,,2.0,6.0,75.0,5.0,4.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Toronto FC,b6u6116764v2j7apsi25vx3v9,S. Beitashour,Defender,33,67.0,1.0,3137.0,280.0,,3.0,14.0,,,1260.0,18.0,276.0,14.0,515.0,85.0,5.0,133.0,30.0,1.0,4.0,28.0,537.0,449.0,75.0,183.0,1266.0,7.0,39.0,10.0,906.0,32.0,1.0,316.0,,41.0,15.0,288.0,2.0,76.0,134.0,35.0,49.0,95.0,2134.0,,35.0,17.0,12.0,202.0,,529.0,28.0,47.0,140.0,,,44.0,14.0,42.0,16.0,15.0,246.0,71.0,36.0,,67.0,35.0,,1.0,,1.0,78.0,420.0,,,945.0,950.0,44.0,12.0,,1.0,,,52.0,106.0,23.0,77.0,124.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Toronto FC,3srgfj7v62cdgr8zqeq8bowd1,M. Bloom,Defender,28,3.0,,365.0,28.0,4.0,1.0,1.0,,,117.0,3.0,38.0,2.0,47.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,51.0,46.0,6.0,25.0,119.0,3.0,5.0,1.0,90.0,5.0,2.0,28.0,,23.0,4.0,21.0,,7.0,15.0,5.0,4.0,10.0,202.0,,9.0,3.0,2.0,21.0,,34.0,7.0,10.0,18.0,1.0,,1.0,2.0,5.0,6.0,1.0,30.0,10.0,6.0,,3.0,9.0,,,,1.0,9.0,24.0,,,90.0,91.0,9.0,,,2.0,,,6.0,12.0,,2.0,12.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Toronto FC,boojy2a86m5qkyqqzxvdk9jv9,A. Bono,Goalkeeper,25,,,1370.0,1.0,1.0,,39.0,,,153.0,,,,79.0,78.0,,166.0,,,2.0,2.0,175.0,116.0,1.0,2.0,363.0,,,1.0,87.0,14.0,,168.0,,34.0,1.0,134.0,,,158.0,15.0,,34.0,527.0,,16.0,,,3.0,,300.0,,100.0,11.0,,,108.0,,2.0,8.0,,13.0,12.0,16.0,,,16.0,,,,,,29.0,,,92.0,195.0,10.0,4.0,,,,,1.0,2.0,,2.0,3.0,,,,,,,42.0,146.0,2.0,6.0,3.0,,12.0,19.0,12.0,23.0,1.0,9.0,56.0,,,,,,,,,,,,,,
USA_MLS,2016,Toronto FC,2c8lm8pc33blr2596jt0fxkgl,M. Bradley,Midfielder,4,5.0,,2760.0,1.0,,11.0,9.0,2.0,2.0,2050.0,3.0,216.0,23.0,930.0,25.0,7.0,162.0,13.0,6.0,3.0,13.0,532.0,914.0,104.0,233.0,2216.0,,34.0,22.0,1557.0,31.0,10.0,395.0,10.0,559.0,38.0,382.0,4.0,,317.0,30.0,22.0,76.0,2726.0,55.0,30.0,27.0,11.0,242.0,,831.0,13.0,63.0,162.0,4.0,1.0,264.0,6.0,26.0,11.0,2.0,266.0,42.0,34.0,,63.0,30.0,38.0,,,2.0,91.0,610.0,2.0,,1694.0,1821.0,24.0,9.0,1.0,4.0,,6.0,68.0,104.0,36.0,72.0,151.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Toronto FC,6rnuvzwbmj7qv80xlwkjvqnkl,J. Chapman,Midfielder,14,11.0,,780.0,1.0,9.0,6.0,,,,416.0,7.0,78.0,3.0,208.0,,1.0,11.0,9.0,3.0,1.0,15.0,153.0,125.0,20.0,77.0,418.0,8.0,14.0,9.0,303.0,4.0,8.0,88.0,,96.0,19.0,81.0,4.0,,56.0,9.0,23.0,18.0,573.0,,18.0,7.0,2.0,84.0,,116.0,31.0,100.0,55.0,5.0,,27.0,3.0,9.0,17.0,11.0,116.0,7.0,5.0,,11.0,18.0,,,,2.0,46.0,128.0,,,328.0,330.0,32.0,,,2.0,,3.0,14.0,61.0,6.0,8.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Toronto FC,48ov1qmhwufa44p9nykoh8jbp,B. Cheyrou,Midfielder,8,9.0,,880.0,3.0,8.0,8.0,3.0,1.0,,547.0,6.0,31.0,1.0,295.0,8.0,1.0,35.0,4.0,6.0,2.0,8.0,184.0,153.0,20.0,86.0,568.0,2.0,10.0,16.0,395.0,8.0,10.0,121.0,,138.0,7.0,111.0,6.0,2.0,72.0,9.0,11.0,19.0,730.0,,17.0,6.0,1.0,80.0,,290.0,7.0,75.0,51.0,4.0,1.0,52.0,1.0,4.0,11.0,13.0,99.0,5.0,10.0,,9.0,17.0,,1.0,,,40.0,109.0,1.0,,429.0,447.0,19.0,2.0,,,,,12.0,48.0,8.0,19.0,40.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
USA_MLS,2016,Toronto FC,5fpdf84s7zmskbl4xm3kj3fmd,A. Cooper,Midfielder,31,6.0,,820.0,4.0,2.0,7.0,1.0,1.0,,446.0,9.0,88.0,2.0,242.0,1.0,1.0,9.0,6.0,9.0,2.0,9.0,172.0,128.0,41.0,80.0,457.0,8.0,21.0,30.0,349.0,8.0,14.0,89.0,1.0,87.0,7.0,77.0,5.0,,92.0,10.0,13.0,18.0,722.0,3.0,12.0,9.0,2.0,190.0,,149.0,18.0,97.0,113.0,5.0,,19.0,1.0,36.0,6.0,16.0,205.0,4.0,10.0,1.0,6.0,12.0,,,1.0,2.0,83.0,133.0,1.0,,357.0,368.0,15.0,,,2.0,,1.0,30.0,92.0,11.0,16.0,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Toronto FC,a7e4giaiuvuakmt7iw09mh9lh,M. Delgado,Midfielder,18,24.0,3.0,1997.0,10.0,6.0,13.0,2.0,2.0,1.0,1111.0,11.0,183.0,4.0,591.0,26.0,5.0,60.0,31.0,8.0,2.0,36.0,329.0,316.0,74.0,153.0,1116.0,11.0,30.0,16.0,841.0,21.0,13.0,213.0,1.0,156.0,29.0,184.0,4.0,1.0,134.0,23.0,50.0,53.0,1482.0,2.0,29.0,19.0,3.0,191.0,,371.0,26.0,92.0,119.0,5.0,,62.0,3.0,15.0,15.0,14.0,242.0,18.0,23.0,1.0,24.0,29.0,,1.0,,2.0,87.0,406.0,2.0,,899.0,903.0,51.0,3.0,,2.0,,1.0,49.0,123.0,25.0,39.0,104.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Toronto FC,817ltkyap93lk4mew1u7p8xk9,R. Edwards,Forward,44,,,2.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,2.0,,1.0,,,1.0,,,,100.0,1.0,1.0,,,,,,,2.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Toronto FC,1l6i2bcz1rgvkgo3dtxe9yrjd,T. Endoh,Midfielder,9,32.0,2.0,1387.0,11.0,6.0,8.0,1.0,2.0,,455.0,18.0,143.0,15.0,295.0,,,7.0,15.0,8.0,3.0,20.0,199.0,110.0,20.0,75.0,472.0,11.0,9.0,11.0,368.0,16.0,17.0,82.0,4.0,74.0,24.0,108.0,7.0,,59.0,15.0,20.0,18.0,738.0,23.0,21.0,3.0,,107.0,1.0,92.0,50.0,39.0,54.0,9.0,,22.0,12.0,20.0,5.0,15.0,132.0,3.0,19.0,1.0,44.0,21.0,12.0,1.0,1.0,,58.0,163.0,1.0,,373.0,390.0,25.0,,3.0,,,1.0,14.0,78.0,6.0,14.0,49.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,
