liga,temporada,equipo,id,nombre,posicion,dorsal,Goals Conceded Inside Box,Total Passes,Total Fouls Conceded,Total Successful Passes ( Excl Crosses & Corners ) ,Total Losses Of Possession,Leftside Passes,Foul Attempted Tackle,Penalty Goals Conceded,Time Played,Ground Duels lost,Times Tackled,Unsuccessful Crosses & Corners,Successful Passes Opposition Half,Substitute Off,Total Tackles,Unsuccessful Short Passes,Open Play Passes,Index,Tackles Won,Ground Duels won,Games Played,Successful Dribbles,Duels,Total Shots,Total Clearances,Total Fouls Won,Blocks,Throw Ins to Own Player,Ground Duels,Rightside Passes,Successful Short Passes,Unsuccessful Crosses open play,Throw Ins to Opposition Player,Recoveries,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Passes Own Half,Appearances,Goals Conceded,Starts,Shots On Target ( inc goals ),Successful Open Play Passes,Forward Passes,Duels won,Duels lost,Touches,Unsuccessful Passes Opposition Half,Winning Goal,Corners Won,Overruns,Through balls,Successful Long Passes,Assists (Intentional),Unsuccessful Corners into Box,Goals,Goal Assists,Penalties Conceded,Penalties Taken,Aerial Duels,Left Foot Goals,Successful Launches,Aerial Duels won,Goal Kicks,Clean Sheets,Penalty Goals,Successful Lay-offs,Goals Conceded Outside Box,Hit Woodwork,Yellow Cards,GK Successful Distribution,Unsuccessful Dribbles,Key Passes (Attempt Assists),Corners Taken (incl short corners),Blocked Shots,Tackles Lost,Attempts from Set Pieces,Unsuccessful Long Passes,Goals from Inside Box,PutThrough/Blocked Distribution,Aerial Duels lost,PutThrough/Blocked Distribution Won,Backward Passes,Handballs conceded,Unsuccessful Passes Own Half,Goals Openplay,Successful Crosses & Corners,Right Foot Goals,Interceptions,Unsuccessful lay-offs,Unsuccessful Launches,Shots Off Target (inc woodwork),Successful Corners into Box,Successful Crosses open play,Substitute On,Home Goals,Away Goals,Offsides,Other Goals,Second Goal Assists,Red Cards - 2nd Yellow,Total Red Cards,Saves Made from Inside Box,Saves Made,Clearances Off the Line,Punches,Saves Made from Outside Box,Saves made - parried,GK Unsuccessful Distribution,Catches,Goalkeeper Smother,Drops,Penalties Faced,Straight Red Cards,Last Player Tackle,Headed Goals,Own Goal Scored,Goals from Outside Box,Set Pieces Goals,Penalties Saved,Saves from Penalty,Foul Won Penalty,Crosses not Claimed,Saves made - caught,Carries,Final Third Touches,Progressive Carries,Total Big Chances Created,Total Big Chances Missed,Total Big Chances Scored,Total Big Chances Saved,Direct Setpiece Goals,Penalties Off Target
USA_MLS_Next_Pro,2025,Minnesota United FC II,dxrwdkljhdhgkj4doo1jf8kr8,J. Bernard,Midfielder,61,,6.0,,4.0,2.0,2.0,,,7.0,1.0,,,2.0,,,2.0,6.0,10.0,,1.0,2.0,,3.0,,,1.0,,1.0,2.0,,4.0,,,,,2.0,2.0,2.0,,,,4.0,4.0,2.0,1.0,9.0,1.0,0.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,
USA_MLS_Next_Pro,2025,Minnesota United FC II,axq8237svjgfs0aljdfkgerfu,C. Calov,Midfielder,34,27.0,973.0,27.0,806.0,307.0,238.0,17.0,6.0,1632.0,85.0,45.0,44.0,553.0,4.0,41.0,117.0,892.0,10.0,24.0,102.0,21.0,25.0,211.0,23.0,14.0,37.0,2.0,10.0,187.0,274.0,715.0,18.0,,99.0,40.0,167.0,289.0,21.0,29.0,19.0,12.0,735.0,303.0,112.0,99.0,1374.0,184.0,0.0,16.0,3.0,5.0,91.0,6.0,18.0,1.0,7.0,1.0,,24.0,,1.0,10.0,,2.0,,14.0,2.0,1.0,5.0,,19.0,44.0,57.0,7.0,17.0,4.0,50.0,,47.0,14.0,18.0,158.0,1.0,27.0,,36.0,1.0,14.0,,12.0,11.0,23.0,7.0,2.0,1.0,0.0,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,305.0,42.0,172.0,10.0,1.0,,,,
USA_MLS_Next_Pro,2025,Minnesota United FC II,cit2gf4ogca252eu38z4gntp0,C. Casillas-Lopez,Midfielder,53,2.0,186.0,6.0,166.0,26.0,64.0,5.0,,408.0,18.0,3.0,,86.0,5.0,12.0,15.0,180.0,10.0,6.0,13.0,8.0,,37.0,1.0,7.0,1.0,3.0,,31.0,34.0,161.0,,,27.0,,20.0,80.0,8.0,3.0,5.0,,160.0,54.0,18.0,19.0,240.0,18.0,0.0,,1.0,,5.0,,,,,,,6.0,,1.0,5.0,,,,2.0,1.0,,3.0,,,,,,6.0,,5.0,,11.0,1.0,8.0,34.0,,2.0,,,,8.0,,1.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,8.0,,,,,,
USA_MLS_Next_Pro,2025,Minnesota United FC II,7unzngjpd0xtw1tjvi4wtk2dw,K. Chandler,Defender,33,33.0,991.0,31.0,811.0,451.0,46.0,15.0,5.0,2353.0,121.0,54.0,106.0,460.0,1.0,79.0,136.0,933.0,10.0,50.0,161.0,27.0,34.0,314.0,11.0,40.0,50.0,3.0,129.0,282.0,302.0,767.0,62.0,38.0,187.0,57.0,180.0,390.0,27.0,39.0,26.0,6.0,768.0,350.0,176.0,138.0,1781.0,245.0,1.0,23.0,5.0,4.0,44.0,7.0,37.0,1.0,7.0,1.0,,32.0,1.0,6.0,15.0,,4.0,,3.0,6.0,,7.0,,35.0,30.0,59.0,4.0,29.0,,44.0,1.0,54.0,17.0,33.0,293.0,,41.0,1.0,39.0,,45.0,1.0,14.0,5.0,12.0,24.0,1.0,1.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,352.0,139.0,199.0,13.0,2.0,1.0,,,
USA_MLS_Next_Pro,2025,Minnesota United FC II,dbc343lsh3l20pi4a4gmd94wk,G. Cruz,Defender,40,,6.0,1.0,5.0,1.0,,1.0,,9.0,1.0,,,2.0,,,1.0,6.0,10.0,,,1.0,,1.0,,,,,,1.0,2.0,4.0,,,1.0,,1.0,3.0,1.0,,,,5.0,2.0,,1.0,6.0,1.0,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
USA_MLS_Next_Pro,2025,Minnesota United FC II,dg9osdk3lostc1vkk3d0l711w,T. Dennis,Midfielder,45,1.0,7.0,1.0,6.0,4.0,,,,29.0,3.0,2.0,1.0,4.0,,,1.0,6.0,10.0,,,3.0,,4.0,1.0,,,,,3.0,2.0,5.0,1.0,,1.0,3.0,1.0,2.0,3.0,1.0,,,5.0,,,4.0,11.0,2.0,0.0,,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,2.0,,,,,,,,,1.0,,5.0,,,,,,,,,1.0,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,
USA_MLS_Next_Pro,2025,Minnesota United FC II,9izknjlz6zunwjpo4u94q855g,M. Dieng,Forward,29,2.0,36.0,2.0,29.0,13.0,7.0,,,123.0,4.0,2.0,1.0,25.0,,,6.0,35.0,10.0,,3.0,2.0,2.0,13.0,1.0,,1.0,,,7.0,8.0,28.0,1.0,,1.0,3.0,7.0,4.0,2.0,2.0,1.0,,28.0,7.0,7.0,6.0,49.0,8.0,0.0,,,,1.0,,,,,,,6.0,,,4.0,,,,3.0,,,,,,,,,,,1.0,,2.0,2.0,1.0,14.0,,,,,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,17.0,27.0,7.0,,,,,,
USA_MLS_Next_Pro,2025,Minnesota United FC II,e48fiycudd08bqscbu48u3z3e,L. Dorsey,Forward,91,12.0,250.0,18.0,193.0,130.0,64.0,5.0,2.0,1351.0,45.0,28.0,5.0,131.0,15.0,4.0,54.0,249.0,10.0,1.0,27.0,22.0,6.0,136.0,56.0,12.0,18.0,1.0,1.0,72.0,65.0,189.0,5.0,,33.0,84.0,57.0,63.0,22.0,14.0,19.0,33.0,192.0,44.0,50.0,86.0,454.0,55.0,4.0,9.0,3.0,1.0,4.0,4.0,,12.0,4.0,,1.0,64.0,1.0,,23.0,,2.0,1.0,22.0,2.0,1.0,1.0,,13.0,12.0,,8.0,3.0,,3.0,11.0,9.0,41.0,4.0,77.0,2.0,7.0,11.0,1.0,11.0,1.0,1.0,,23.0,,1.0,3.0,4.0,8.0,14.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,85.0,101.0,38.0,5.0,16.0,10.0,,,
USA_MLS_Next_Pro,2025,Minnesota United FC II,aqqjtiyr2nayy6rjq6wxk6ec4,M. Duggan,Defender,23,,33.0,,30.0,4.0,8.0,,,45.0,,,,9.0,1.0,,2.0,32.0,10.0,,,1.0,,1.0,,4.0,,1.0,,,12.0,26.0,,,,1.0,3.0,21.0,1.0,,1.0,,29.0,10.0,1.0,,41.0,1.0,0.0,,,,4.0,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,3.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,2.0,,,,,,
USA_MLS_Next_Pro,2025,Minnesota United FC II,8bsy62y17rct1564zqmsf9638,A. Fariña,Midfielder,16,5.0,214.0,1.0,176.0,57.0,38.0,,,464.0,22.0,6.0,5.0,100.0,5.0,13.0,29.0,199.0,10.0,9.0,25.0,6.0,3.0,48.0,7.0,1.0,9.0,,1.0,47.0,64.0,163.0,1.0,,26.0,11.0,38.0,77.0,6.0,6.0,6.0,4.0,162.0,70.0,26.0,22.0,297.0,36.0,0.0,1.0,1.0,1.0,13.0,,3.0,2.0,1.0,,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,2.0,10.0,3.0,9.0,4.0,2.0,9.0,2.0,3.0,,2.0,42.0,,7.0,1.0,1.0,2.0,7.0,,3.0,3.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,83.0,19.0,2.0,,2.0,,,
