root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Touches,Successful Short Passes,Starts,Blocks,Successful Passes Opposition Half,PutThrough/Blocked Distribution,Appearances,Unsuccessful Passes Own Half,Tackles Lost,Tackles Won,Unsuccessful Short Passes,Total Tackles,Unsuccessful Passes Opposition Half,Ground Duels won,PutThrough/Blocked Distribution Won,Index,Clean Sheets,Games Played,Total Clearances,Total Passes,Total Losses Of Possession,Successful Long Passes,Ground Duels,Rightside Passes,Successful Open Play Passes,Recoveries,Total Successful Passes ( Excl Crosses & Corners ) ,Open Play Passes,Time Played,Total Unsuccessful Passes ( Excl Crosses & Corners ),Duels,Leftside Passes,Forward Passes,Interceptions,Successful Passes Own Half,Unsuccessful Launches,Duels won,Unsuccessful Long Passes,Backward Passes,Winning Goal,Ground Duels lost,GK Unsuccessful Distribution,Goals Conceded,Saves Made from Inside Box,Successful Launches,Duels lost,Goal Kicks,Aerial Duels,Saves Made,Catches,Goals Conceded Outside Box,Saves Made from Outside Box,Drops,Aerial Duels won,Saves made - parried,Punches,Goals Conceded Inside Box,GK Successful Distribution,Substitute On,Unsuccessful Crosses open play,Unsuccessful Crosses & Corners,Total Touches In Opposition Box,Total Fouls Won,Throw Ins to Own Player,Successful Lay-offs,Unsuccessful Dribbles,Times Tackled,Substitute Off,Foul Attempted Tackle,Total Fouls Conceded,Key Passes (Attempt Assists),Offsides,Aerial Duels lost,Corners Won,Successful Crosses & Corners,Goal Assists,Successful Crosses open play,Assists (Intentional),Successful Dribbles,Overruns,Throw Ins to Opposition Player,Yellow Cards,Handballs conceded,Corners Taken (incl short corners),Right Foot Goals,Unsuccessful Corners into Box,Shots Off Target (inc woodwork),Successful Corners into Box,Attempts from Set Pieces,Shots On Target ( inc goals ),Goals,Goals from Inside Box,Total Shots,Home Goals,Away Goals,Blocked Shots,Through balls,Foul Won Penalty,Penalties Taken,Headed Goals,Unsuccessful lay-offs,Penalty Goals,Left Foot Goals,Goals from Outside Box,Hit Woodwork,Last Player Tackle,Penalties Conceded,Goalkeeper Smother,Saves from Penalty,Penalties Faced,Penalties Saved,Red Cards - 2nd Yellow,Total Red Cards,Second Goal Assists,Penalty Goals Conceded,Clearances Off the Line,Straight Red Cards,Saves made - caught,Penalties Off Target,Own Goal Scored,Crosses not Claimed
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2024,Club Tigres UANL,Club_Tigres_UANL,609edevf8qla1f6vi4mjkkgkp,J. Angulo,Defender,27,289.0,147.0,4.0,1.0,92.0,4.0,4.0,7.0,4.0,14.0,21.0,18.0,31.0,25.0,2.0,10.0,1.0,4.0,9.0,190.0,49.0,10.0,35.0,61.0,153.0,13.0,157.0,185.0,360.0,33.0,45.0,13.0,92.0,3.0,67.0,7.0,34.0,12.0,24.0,0.0,10.0,,4.0,,3.0,11.0,,10.0,,,1.0,,,9.0,,,3.0,,,5.0,5.0,1.0,6.0,31.0,,2.0,2.0,,1.0,6.0,6.0,,1.0,1.0,2.0,,2.0,,1.0,,3.0,2.0,,,,,2.0,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2024,Club Tigres UANL,Club_Tigres_UANL,4051hgvu9v8jnu9rbbd0pr9bd,U. Antuna,Forward,22,96.0,44.0,1.0,,38.0,10.0,4.0,4.0,1.0,1.0,14.0,2.0,17.0,8.0,4.0,10.0,,4.0,,60.0,29.0,,16.0,7.0,42.0,4.0,44.0,58.0,124.0,16.0,18.0,24.0,16.0,1.0,8.0,2.0,8.0,2.0,13.0,0.0,8.0,,3.0,,,10.0,,2.0,,,,,,,,,3.0,,3.0,4.0,5.0,16.0,4.0,1.0,,,4.0,,3.0,4.0,4.0,1.0,2.0,1.0,2.0,,2.0,,2.0,,,2.0,,1.0,1.0,1.0,2.0,,,2.0,1.0,1.0,4.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2024,Club Tigres UANL,Club_Tigres_UANL,8f8h57y9u27itkkdehbdss4b9,J. Aquino,Midfielder,20,190.0,79.0,3.0,,45.0,4.0,3.0,6.0,5.0,1.0,16.0,6.0,25.0,16.0,1.0,10.0,1.0,3.0,8.0,108.0,46.0,4.0,25.0,4.0,80.0,9.0,83.0,105.0,243.0,25.0,27.0,32.0,51.0,11.0,39.0,4.0,18.0,9.0,21.0,0.0,9.0,,3.0,,2.0,9.0,,2.0,,,,,,2.0,,,3.0,,,6.0,6.0,2.0,5.0,21.0,,2.0,4.0,2.0,,,,,,,1.0,,1.0,,5.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2024,Club Tigres UANL,Club_Tigres_UANL,auegpd36ras84mp8q6j6gs8a1,J. Brunetta,Midfielder,11,156.0,78.0,2.0,,63.0,5.0,4.0,1.0,,,9.0,,20.0,9.0,5.0,10.0,,4.0,,90.0,44.0,2.0,24.0,41.0,74.0,13.0,80.0,83.0,214.0,10.0,27.0,8.0,18.0,1.0,18.0,,9.0,1.0,23.0,0.0,15.0,,2.0,,1.0,18.0,,3.0,,,,,,,,,2.0,,2.0,2.0,11.0,9.0,6.0,2.0,,4.0,13.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,,,,3.0,2.0,,,,9.0,1.0,8.0,4.0,1.0,,2.0,1.0,1.0,6.0,1.0,0.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2024,Club Tigres UANL,Club_Tigres_UANL,61huc8rado1jmr8ilgyv2aqxh,Samir,Defender,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2024,Club Tigres UANL,Club_Tigres_UANL,dta2hcu8sq62dx9diax5shk9,S. Córdova,Midfielder,17,145.0,50.0,3.0,,48.0,7.0,4.0,4.0,2.0,1.0,18.0,3.0,27.0,14.0,5.0,10.0,,4.0,1.0,71.0,52.0,2.0,26.0,20.0,45.0,18.0,52.0,63.0,208.0,19.0,27.0,18.0,23.0,3.0,10.0,,14.0,1.0,10.0,0.0,12.0,,3.0,,,13.0,1.0,1.0,,,1.0,,,,,,2.0,1.0,1.0,7.0,12.0,7.0,8.0,,,,5.0,3.0,2.0,2.0,7.0,,1.0,3.0,6.0,,2.0,,3.0,2.0,,,,11.0,,4.0,2.0,3.0,,3.0,1.0,1.0,5.0,1.0,0.0,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2024,Club Tigres UANL,Club_Tigres_UANL,8nfubgjn9bepubvpc1a640h2i,S. Fierro,Midfielder,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2024,Club Tigres UANL,Club_Tigres_UANL,22iqqk9sbs82tmmyd17m2omlm,M. Flores,Midfielder,24,105.0,45.0,2.0,,37.0,1.0,4.0,2.0,2.0,2.0,9.0,4.0,14.0,9.0,1.0,10.0,,4.0,1.0,57.0,34.0,2.0,25.0,10.0,46.0,11.0,47.0,56.0,169.0,10.0,29.0,16.0,17.0,1.0,14.0,1.0,10.0,1.0,14.0,1.0,16.0,,1.0,,1.0,19.0,,4.0,,,,,,1.0,,,1.0,,2.0,6.0,6.0,7.0,2.0,1.0,,7.0,10.0,2.0,2.0,4.0,3.0,,3.0,2.0,4.0,1.0,4.0,1.0,3.0,,,,1.0,1.0,,,,,,3.0,1.0,1.0,3.0,1.0,0.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2024,Club Tigres UANL,Club_Tigres_UANL,745jx9uzim73pkz4qavdzt7je,J. Garza,Midfielder,14,82.0,51.0,1.0,,34.0,3.0,1.0,4.0,,1.0,5.0,1.0,10.0,4.0,,10.0,,1.0,,61.0,16.0,1.0,9.0,1.0,52.0,6.0,52.0,61.0,79.0,9.0,10.0,17.0,26.0,3.0,20.0,4.0,4.0,4.0,17.0,0.0,5.0,,1.0,,1.0,6.0,,1.0,,,1.0,,,,,,,,,5.0,5.0,,3.0,5.0,,,1.0,1.0,2.0,3.0,3.0,,1.0,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2024,Club Tigres UANL,Club_Tigres_UANL,4zjhf8g09in1aj4k6c7x485at,A. Gignac,Forward,10,68.0,28.0,2.0,,19.0,,4.0,1.0,,1.0,9.0,1.0,11.0,2.0,,10.0,,4.0,5.0,42.0,21.0,3.0,7.0,12.0,27.0,3.0,31.0,38.0,164.0,11.0,17.0,10.0,7.0,,12.0,1.0,8.0,2.0,13.0,0.0,5.0,,2.0,,,9.0,,10.0,,,1.0,,,6.0,,,1.0,,2.0,1.0,1.0,8.0,,,4.0,3.0,4.0,2.0,,,1.0,,4.0,1.0,,,,,1.0,,,,,,,,5.0,,,1.0,,,6.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,
