liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Offsides,Time Played,Throw Ins to Own Player,Successful Lay-offs,Goals,Right Foot Goals,Open Play Passes,Corners Won,Times Tackled,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Yellow Cards,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Successful Long Passes,Successful Crosses open play,Total Fouls Won,Unsuccessful Dribbles,Duels,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Assists (Intentional),Ground Duels lost,Leftside Passes,Goals from Inside Box,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Goal Assists,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Winning Goal,Substitute On,Penalty Goals Conceded,Aerial Duels won,Total Clearances,Handballs conceded,Successful Launches,Unsuccessful Launches,Shots Off Target (inc woodwork),Blocks,Blocked Shots,Throw Ins to Opposition Player,Second Goal Assists,Hit Woodwork,Penalties Conceded,Total Red Cards,Red Cards - 2nd Yellow,Successful Corners into Box,Attempts from Set Pieces,Left Foot Goals,Goals from Outside Box,Saves Made,GK Successful Distribution,Crosses not Claimed,Punches,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,GK Unsuccessful Distribution,Foul Won Penalty,Penalties Taken,Penalty Goals,Goalkeeper Smother,Headed Goals,Unsuccessful lay-offs,Own Goal Scored,Penalties Saved,Saves from Penalty,Straight Red Cards,Last Man Tackle,Clearances Off the Line,Home Goals,Away Goals,Set Pieces Goals,Saves made - caught
Canada_Canadian_Premier_League,2020,FC Edmonton,6mmfo5q4m9zdbpl1cgqv5muhh,K. Alemán,Forward,11,4.0,1.0,537.0,2.0,2.0,1.0,,193.0,3.0,25.0,73.0,7.0,104.0,1.0,6.0,3.0,2.0,6.0,94.0,77.0,9.0,34.0,214.0,4.0,6.0,13.0,157.0,9.0,7.0,40.0,43.0,8.0,47.0,29.0,7.0,7.0,6.0,342.0,9.0,7.0,2.0,76.0,46.0,12.0,10.0,42.0,1.0,17.0,,18.0,15.0,85.0,11.0,13.0,7.0,5.0,,37.0,52.0,1.0,159.0,174.0,9.0,,,,8.0,43.0,1.0,1.0,39.0,0.0,,,3.0,2.0,1.0,1.0,,6.0,,4.0,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Canada_Canadian_Premier_League,2020,FC Edmonton,759r7l0y8jofaf394tnc7ytt6,P. Amanda,Forward,16,6.0,1.0,145.0,5.0,1.0,,,41.0,2.0,8.0,15.0,,20.0,,2.0,3.0,1.0,4.0,30.0,11.0,4.0,8.0,41.0,2.0,1.0,4.0,31.0,,1.0,10.0,3.0,,13.0,7.0,2.0,10.0,3.0,94.0,,4.0,1.0,21.0,9.0,5.0,10.0,13.0,1.0,,,3.0,4.0,27.0,1.0,6.0,4.0,,,10.0,14.0,,31.0,31.0,6.0,,,,4.0,14.0,,4.0,11.0,0.0,2.0,,2.0,1.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2020,FC Edmonton,614w28s7cigyjam7f10hz9gwl,T. Ameobi,Forward,18,,2.0,287.0,,2.0,,,74.0,2.0,5.0,24.0,,31.0,2.0,1.0,2.0,,10.0,35.0,26.0,4.0,19.0,77.0,3.0,8.0,1.0,56.0,8.0,3.0,20.0,21.0,2.0,17.0,12.0,3.0,2.0,3.0,117.0,,7.0,6.0,27.0,13.0,10.0,10.0,27.0,2.0,1.0,,5.0,,54.0,8.0,,7.0,,,17.0,19.0,,54.0,57.0,27.0,,,,1.0,27.0,3.0,,10.0,0.0,4.0,,17.0,2.0,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2020,FC Edmonton,7syvxffcyqbhwd42954p8ej85,H. Boakai,Forward,10,6.0,,309.0,,1.0,,,121.0,1.0,13.0,36.0,3.0,72.0,,4.0,8.0,1.0,3.0,52.0,41.0,6.0,10.0,124.0,3.0,5.0,9.0,107.0,4.0,3.0,14.0,24.0,2.0,22.0,18.0,4.0,9.0,1.0,206.0,4.0,6.0,4.0,47.0,25.0,3.0,10.0,20.0,2.0,3.0,2.0,5.0,5.0,50.0,5.0,9.0,6.0,3.0,,27.0,39.0,,107.0,110.0,3.0,,,,3.0,30.0,3.0,1.0,20.0,0.0,2.0,,,1.0,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2020,FC Edmonton,81ggmgps5zcnafmhlv9f0osiy,A. Caceres,Midfielder,19,1.0,,248.0,,1.0,,,74.0,1.0,9.0,21.0,1.0,44.0,,,5.0,,,29.0,24.0,9.0,8.0,75.0,2.0,4.0,4.0,67.0,7.0,,8.0,29.0,3.0,8.0,10.0,2.0,8.0,1.0,130.0,,7.0,1.0,32.0,16.0,11.0,10.0,22.0,,,1.0,5.0,7.0,36.0,7.0,1.0,7.0,,1.0,14.0,9.0,,66.0,67.0,4.0,,1.0,,6.0,14.0,3.0,1.0,18.0,0.0,5.0,1.0,4.0,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2020,FC Edmonton,6byiub7o0uwogoc24p79vx6ju,C. Carter,Midfielder,14,,,203.0,1.0,,,,87.0,,3.0,24.0,,39.0,,1.0,2.0,,,20.0,39.0,6.0,10.0,89.0,1.0,6.0,1.0,74.0,3.0,,11.0,15.0,2.0,9.0,14.0,1.0,5.0,2.0,121.0,,6.0,2.0,20.0,25.0,2.0,10.0,12.0,,4.0,,2.0,1.0,23.0,3.0,,6.0,,,11.0,25.0,,76.0,78.0,3.0,,,,5.0,11.0,1.0,5.0,9.0,0.0,5.0,1.0,3.0,2.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2020,FC Edmonton,79pboh9mzuchik3r2027wntgp,A. Đidić,Defender,55,,,241.0,,,,,142.0,2.0,,7.0,,35.0,,11.0,4.0,2.0,3.0,25.0,87.0,4.0,13.0,146.0,1.0,1.0,,105.0,2.0,1.0,24.0,21.0,,15.0,9.0,3.0,4.0,9.0,181.0,,3.0,1.0,6.0,63.0,3.0,10.0,11.0,,17.0,,,,16.0,4.0,,3.0,,,2.0,55.0,,118.0,122.0,10.0,,,,3.0,5.0,1.0,2.0,4.0,0.0,,,7.0,14.0,,2.0,6.0,1.0,6.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2020,FC Edmonton,2bvfol1n1otgzral4w8j0ci22,D. Doe,Forward,26,1.0,1.0,54.0,,,,,14.0,,2.0,5.0,,1.0,,1.0,2.0,,2.0,13.0,5.0,2.0,7.0,14.0,1.0,2.0,1.0,6.0,3.0,,8.0,2.0,,9.0,3.0,,3.0,,28.0,,2.0,1.0,9.0,4.0,,10.0,5.0,,,,1.0,1.0,12.0,3.0,1.0,2.0,,,5.0,3.0,,6.0,6.0,3.0,,,,1.0,7.0,1.0,1.0,4.0,0.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2020,FC Edmonton,1yufrkhruoxnyg54sxgduilt5,J. Esua,Defender,3,23.0,2.0,617.0,43.0,,,,269.0,4.0,13.0,50.0,2.0,102.0,1.0,24.0,4.0,2.0,2.0,111.0,124.0,5.0,27.0,275.0,1.0,6.0,12.0,200.0,12.0,4.0,51.0,13.0,3.0,63.0,54.0,7.0,11.0,11.0,472.0,,7.0,3.0,55.0,102.0,4.0,10.0,43.0,1.0,24.0,2.0,17.0,9.0,66.0,14.0,23.0,7.0,,,21.0,110.0,,218.0,224.0,11.0,,,,3.0,23.0,2.0,12.0,34.0,0.0,,1.0,9.0,24.0,,5.0,14.0,3.0,1.0,,15.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2020,FC Edmonton,7z8zzlbmnxxfixcaod718ww0k,S. Gardner,Midfielder,33,2.0,,82.0,5.0,,,,48.0,,,8.0,,16.0,1.0,5.0,1.0,,4.0,16.0,22.0,3.0,7.0,50.0,,3.0,1.0,32.0,,1.0,12.0,19.0,,7.0,1.0,,2.0,7.0,71.0,,2.0,2.0,8.0,20.0,1.0,10.0,7.0,,6.0,,,,15.0,,2.0,2.0,,,4.0,3.0,,37.0,38.0,7.0,,,,2.0,8.0,1.0,2.0,4.0,0.0,2.0,,3.0,2.0,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
