liga,temporada,equipo,id,nombre,posicion,dorsal,Handballs conceded,Shots On Target ( inc goals ),Goal Assists,Tackles Won,Key Passes (Attempt Assists),Total Touches In Opposition Box,Unsuccessful Crosses open play,Total Tackles,Yellow Cards,Tackles Lost,Throw Ins to Own Player,Unsuccessful Crosses & Corners,Leftside Passes,Successful Passes Opposition Half,Rightside Passes,Shots Off Target (inc woodwork),Total Successful Passes ( Excl Crosses & Corners ) ,Appearances,Blocks,Goals from Inside Box,Ground Duels lost,Aerial Duels won,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Short Passes,Interceptions,Successful Open Play Passes,Duels won,Times Tackled,Penalties Conceded,Unsuccessful Passes Own Half,Total Passes,Goals,Successful Passes Own Half,Aerial Duels,Duels lost,Successful Dribbles,Total Fouls Won,Total Clearances,Backward Passes,Ground Duels won,Index,Penalty Goals Conceded,Substitute On,Games Played,Goals Conceded Inside Box,PutThrough/Blocked Distribution,Unsuccessful Passes Opposition Half,Clean Sheets,Touches,Goals Conceded,Substitute Off,Total Losses Of Possession,Corners Won,PutThrough/Blocked Distribution Won,Total Shots,Duels,Successful Long Passes,Time Played,Forward Passes,Starts,Unsuccessful Dribbles,Unsuccessful Short Passes,Foul Attempted Tackle,Unsuccessful Long Passes,Total Fouls Conceded,Recoveries,Right Foot Goals,Aerial Duels lost,Open Play Passes,Successful Lay-offs,Unsuccessful Launches,Successful Launches,Ground Duels,Home Goals,Away Goals,Winning Goal,Corners Taken (incl short corners),Throw Ins to Opposition Player,Goals Conceded Outside Box,Successful Crosses & Corners,Successful Corners into Box,Successful Crosses open play,Goals from Outside Box,Attempts from Set Pieces,Second Goal Assists,Assists (Intentional),Unsuccessful Corners into Box,Offsides,Blocked Shots,Hit Woodwork,Headed Goals,Unsuccessful lay-offs,Through balls,Last Man Tackle,Total Red Cards,Left Foot Goals,Straight Red Cards,GK Unsuccessful Distribution,Catches,Punches,Saves made - caught,Saves from Penalty,Penalties Faced,Goalkeeper Smother,Saves Made,Saves Made from Outside Box,Drops,Penalties Saved,GK Successful Distribution,Saves Made from Inside Box,Own Goal Scored,Saves made - parried,Crosses not Claimed,Foul Won Penalty,Penalties Taken,Penalty Goals,Penalties Off Target,Clearances Off the Line,Red Cards - 2nd Yellow,Set Pieces Goals,Other Goals
USA_MLS,2019,Los Angeles FC,1a2903ylmdc3vmdps0u619lh,Mohammed El Munir,Defender,13,,3.0,,23.0,10.0,16.0,14.0,31.0,2.0,8.0,54.0,15.0,27.0,215.0,173.0,5.0,305.0,15.0,5.0,1.0,51.0,9.0,79.0,290.0,9.0,300.0,66.0,,,19.0,384.0,1.0,94.0,24.0,66.0,21.0,6.0,7.0,33.0,57.0,85.0,,11.0,15.0,5.0,26.0,75.0,,627.0,6.0,2.0,134.0,5.0,13.0,8.0,132.0,15.0,581.0,151.0,4.0,16.0,68.0,13.0,11.0,17.0,59.0,1.0,15.0,379.0,,6.0,1.0,108.0,,,,2.0,,1.0,4.0,,4.0,,,,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,
USA_MLS,2019,Los Angeles FC,1ulponxwggurn592nk3rqcfs9,E. Atuesta,Midfielder,20,1.0,18.0,8.0,48.0,43.0,45.0,4.0,73.0,8.0,25.0,4.0,21.0,727.0,1267.0,722.0,16.0,2189.0,32.0,8.0,2.0,177.0,12.0,339.0,2058.0,46.0,2084.0,206.0,,,76.0,2528.0,4.0,932.0,31.0,196.0,74.0,47.0,23.0,284.0,194.0,75.0,1.0,,32.0,30.0,73.0,284.0,8.0,3141.0,36.0,5.0,504.0,12.0,31.0,34.0,402.0,131.0,2816.0,795.0,32.0,38.0,236.0,35.0,103.0,50.0,285.0,3.0,19.0,2415.0,26.0,17.0,5.0,371.0,,,,27.0,,6.0,10.0,9.0,1.0,2.0,11.0,3.0,5.0,16.0,,11.0,2.0,,1.0,13.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,
USA_MLS,2019,Los Angeles FC,b6u6116764v2j7apsi25vx3v9,S. Beitashour,Defender,3,2.0,2.0,2.0,30.0,15.0,34.0,21.0,46.0,3.0,16.0,156.0,21.0,441.0,421.0,65.0,4.0,860.0,26.0,6.0,1.0,56.0,14.0,160.0,832.0,27.0,849.0,83.0,,1.0,60.0,1020.0,1.0,443.0,33.0,75.0,8.0,15.0,41.0,204.0,69.0,48.0,1.0,1.0,26.0,22.0,42.0,121.0,7.0,1460.0,23.0,10.0,224.0,6.0,26.0,6.0,158.0,28.0,1940.0,310.0,25.0,6.0,122.0,14.0,38.0,29.0,117.0,1.0,19.0,1007.0,3.0,25.0,10.0,125.0,,,,2.0,15.0,1.0,4.0,,4.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
USA_MLS,2019,Los Angeles FC,3qw81ws1dvf6ye83m2sd9vje1,T. Blackmon,Defender,27,1.0,2.0,4.0,10.0,12.0,33.0,4.0,17.0,3.0,7.0,55.0,4.0,434.0,459.0,119.0,4.0,924.0,20.0,7.0,1.0,26.0,27.0,136.0,890.0,30.0,896.0,62.0,,,51.0,1060.0,1.0,466.0,52.0,51.0,13.0,5.0,48.0,100.0,35.0,55.0,1.0,3.0,20.0,21.0,17.0,89.0,1.0,1333.0,27.0,2.0,176.0,8.0,7.0,6.0,113.0,34.0,1557.0,407.0,17.0,9.0,102.0,2.0,34.0,9.0,131.0,,25.0,1032.0,,14.0,5.0,61.0,,,,2.0,5.0,6.0,1.0,,1.0,,,,3.0,,,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
USA_MLS,2019,Los Angeles FC,6fnojo4m3daqz5moaa9yu1dk9,L. Blessing,Forward,7,2.0,10.0,3.0,59.0,39.0,108.0,8.0,87.0,7.0,28.0,24.0,8.0,417.0,862.0,451.0,15.0,1306.0,36.0,4.0,6.0,226.0,20.0,236.0,1279.0,32.0,1286.0,278.0,,1.0,57.0,1542.0,6.0,446.0,46.0,252.0,79.0,92.0,17.0,237.0,258.0,100.0,2.0,5.0,36.0,32.0,79.0,187.0,8.0,2293.0,37.0,3.0,485.0,21.0,39.0,25.0,530.0,27.0,2824.0,437.0,31.0,57.0,210.0,38.0,26.0,54.0,286.0,3.0,26.0,1522.0,24.0,5.0,2.0,484.0,,,,4.0,2.0,5.0,2.0,,2.0,,,4.0,2.0,,4.0,18.0,,1.0,2.0,4.0,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,
USA_MLS,2019,Los Angeles FC,2jxho5va9q638vkklji2n8cx6,S. Brewer,Forward,28,,,,,,,2.0,,,,11.0,2.0,33.0,32.0,3.0,1.0,54.0,1.0,,,7.0,2.0,6.0,51.0,1.0,51.0,3.0,,,3.0,60.0,,22.0,2.0,7.0,,1.0,2.0,9.0,1.0,61.0,,,1.0,1.0,2.0,5.0,,90.0,1.0,,13.0,,,1.0,10.0,3.0,90.0,15.0,1.0,2.0,5.0,1.0,1.0,2.0,9.0,,,57.0,,1.0,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2019,Los Angeles FC,2mmo9cxj0nuzwqgsnd787561h,A. Diomande,Forward,99,1.0,20.0,5.0,8.0,16.0,110.0,5.0,13.0,1.0,5.0,3.0,6.0,76.0,194.0,91.0,34.0,252.0,27.0,1.0,10.0,100.0,34.0,94.0,249.0,5.0,218.0,101.0,,,11.0,346.0,10.0,59.0,48.0,114.0,38.0,16.0,7.0,90.0,67.0,89.0,2.0,12.0,27.0,21.0,27.0,89.0,,693.0,26.0,8.0,236.0,10.0,17.0,54.0,215.0,3.0,1504.0,89.0,15.0,28.0,88.0,12.0,6.0,20.0,27.0,6.0,14.0,312.0,16.0,,,167.0,,,,1.0,,5.0,1.0,,1.0,,1.0,2.0,5.0,1.0,8.0,10.0,2.0,3.0,2.0,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2019,Los Angeles FC,5hz95r5xtghhv5qiclwyf05ey,P. Ejimadu,Goalkeeper,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2019,Los Angeles FC,6hq9a0pz5ybc67wdttd54xvbp,A. Guido,Midfielder,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2019,Los Angeles FC,8bcbp6dqxvu3vmwm4fuxnrmc5,J. Harvey,Defender,2,1.0,3.0,4.0,30.0,20.0,45.0,22.0,48.0,4.0,18.0,230.0,22.0,80.0,640.0,567.0,7.0,1145.0,32.0,7.0,1.0,71.0,51.0,189.0,1115.0,32.0,1126.0,117.0,,,70.0,1334.0,1.0,510.0,95.0,115.0,5.0,14.0,56.0,208.0,66.0,50.0,2.0,2.0,32.0,30.0,34.0,141.0,5.0,1910.0,35.0,10.0,264.0,10.0,21.0,10.0,232.0,30.0,2546.0,479.0,30.0,5.0,137.0,25.0,52.0,38.0,137.0,,44.0,1315.0,1.0,30.0,6.0,137.0,,,,,13.0,5.0,5.0,,5.0,,,1.0,2.0,,1.0,1.0,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
USA_MLS,2019,Los Angeles FC,beq1o3wl29kdr4qtahdij1m21,N. Hämäläinen,Defender,12,,,1.0,4.0,,1.0,3.0,5.0,,1.0,6.0,3.0,2.0,24.0,26.0,,44.0,3.0,2.0,,8.0,1.0,12.0,43.0,,44.0,7.0,,,3.0,56.0,,21.0,4.0,11.0,1.0,,3.0,13.0,6.0,98.0,,2.0,3.0,1.0,5.0,12.0,,87.0,1.0,1.0,20.0,,2.0,,18.0,1.0,95.0,15.0,1.0,1.0,11.0,3.0,1.0,5.0,4.0,,3.0,55.0,,,,14.0,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2019,Los Angeles FC,cqmccsnz1p7ja9gsghav1ddxx,D. Jaković,Defender,5,,,,4.0,1.0,,,7.0,1.0,3.0,,,31.0,32.0,9.0,,77.0,4.0,3.0,,3.0,4.0,11.0,73.0,4.0,73.0,15.0,,,4.0,88.0,,45.0,8.0,7.0,2.0,2.0,5.0,10.0,11.0,20.0,,2.0,4.0,3.0,,7.0,,117.0,3.0,,13.0,,,,22.0,4.0,197.0,38.0,2.0,,7.0,1.0,4.0,1.0,12.0,,4.0,84.0,,1.0,1.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2019,Los Angeles FC,62smmy1d3o9sm36mhyw5nrphx,M. Kaye,Midfielder,14,5.0,13.0,8.0,43.0,44.0,52.0,5.0,69.0,7.0,26.0,18.0,5.0,531.0,1036.0,539.0,14.0,1621.0,32.0,7.0,3.0,176.0,35.0,311.0,1536.0,43.0,1596.0,206.0,,,67.0,1932.0,4.0,587.0,74.0,215.0,59.0,46.0,22.0,257.0,171.0,65.0,1.0,5.0,32.0,26.0,63.0,249.0,6.0,2521.0,29.0,6.0,482.0,13.0,35.0,27.0,421.0,85.0,2546.0,605.0,27.0,29.0,267.0,31.0,44.0,51.0,255.0,,39.0,1905.0,31.0,4.0,1.0,347.0,,,,,,3.0,2.0,,2.0,1.0,,,7.0,,3.0,9.0,1.0,2.0,2.0,14.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2019,Los Angeles FC,33qmom9yrc1ft1cte9qju1djp,André Horta,Midfielder,8,,,,3.0,2.0,9.0,1.0,5.0,1.0,2.0,,5.0,27.0,69.0,40.0,4.0,113.0,4.0,,,8.0,,11.0,106.0,,110.0,8.0,,,1.0,124.0,,44.0,1.0,9.0,2.0,1.0,1.0,23.0,8.0,29.0,2.0,2.0,4.0,3.0,2.0,15.0,,156.0,3.0,2.0,25.0,,1.0,4.0,17.0,7.0,184.0,34.0,2.0,1.0,9.0,,2.0,1.0,9.0,,1.0,121.0,2.0,1.0,,16.0,,,,5.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
