liga,temporada,equipo,id,nombre,posicion,dorsal,Successful Short Passes,Successful Launches,Goals Conceded,Goal Kicks,Games Played,Saves Made from Inside Box,Appearances,Starts,Unsuccessful Passes Own Half,Successful Long Passes,Total Losses Of Possession,GK Unsuccessful Distribution,Time Played,Successful Passes Opposition Half,Forward Passes,Unsuccessful Long Passes,Total Clearances,Goals Conceded Outside Box,Saves Made,Duels won,Open Play Passes,Successful Open Play Passes,Recoveries,Rightside Passes,Touches,Index,Total Successful Passes ( Excl Crosses & Corners ) ,Duels,Ground Duels won,Unsuccessful Passes Opposition Half,Successful Passes Own Half,Total Unsuccessful Passes ( Excl Crosses & Corners ),GK Successful Distribution,Total Passes,Goalkeeper Smother,Leftside Passes,Goals Conceded Inside Box,Ground Duels,Saves Made from Outside Box,Winning Goal,Duels lost,Aerial Duels lost,Unsuccessful Launches,Penalties Conceded,Foul Attempted Tackle,Unsuccessful Short Passes,PutThrough/Blocked Distribution,Aerial Duels,Yellow Cards,Interceptions,Throw Ins to Own Player,Total Fouls Conceded,Total Fouls Won,Throw Ins to Opposition Player,Backward Passes,Penalty Goals Conceded,Ground Duels lost,Handballs conceded,Substitute Off,PutThrough/Blocked Distribution Won,Times Tackled,Own Goal Scored,Blocks,Goals,Aerial Duels won,Total Shots,Unsuccessful Crosses & Corners,Blocked Shots,Successful Dribbles,Right Foot Goals,Unsuccessful Dribbles,Total Touches In Opposition Box,Unsuccessful Crosses open play,Shots On Target ( inc goals ),Key Passes (Attempt Assists),Goals from Outside Box,Home Goals,Away Goals,Corners Taken (incl short corners),Total Tackles,Substitute On,Successful Corners into Box,Attempts from Set Pieces,Successful Crosses & Corners,Tackles Won,Corners Won,Saves made - parried,Penalties Faced,Successful Crosses open play,Tackles Lost,Overruns,Shots Off Target (inc woodwork),Successful Lay-offs,Offsides,Goals from Inside Box,Unsuccessful lay-offs,Headed Goals,Catches,Punches,Through balls,Penalty Goals,Left Foot Goals,Penalties Taken,Assists (Intentional),Goal Assists,Foul Won Penalty,Unsuccessful Corners into Box,Clean Sheets,Hit Woodwork,Last Player Tackle,Second Goal Assists,Drops,Straight Red Cards,Total Red Cards,Saves made - caught
Concacaf_Concacaf_Gold_Cup_Qualification,2025 USA - Canada,Guadeloupe,c2q7jgsdz63l3xp6bybxyxilm,R. Adélaïde,Goalkeeper,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup_Qualification,2025 USA - Canada,Guadeloupe,65js4yds9vyg0iyck8xh10frp,T. Ambrose,Forward,9,12.0,,,,1.0,,1.0,1.0,2.0,,17.0,,88.0,10.0,11.0,,1.0,,,11.0,25.0,12.0,2.0,4.0,38.0,10.0,12.0,18.0,3.0,11.0,3.0,13.0,,25.0,,6.0,,4.0,,0.0,7.0,6.0,,,,13.0,1.0,14.0,,,,,1.0,,4.0,,1.0,,1.0,1.0,1.0,,,,8.0,2.0,,,2.0,,1.0,,,1.0,2.0,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup_Qualification,2025 USA - Canada,Guadeloupe,c6wt22b15wkyfmle4zyg14es5,J. Angloma,Midfielder,18,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup_Qualification,2025 USA - Canada,Guadeloupe,7jpoubcwhn3hy76p4i8mrw1xx,A. Arénate,Forward,3,1.0,,,,2.0,,2.0,,1.0,,7.0,,29.0,,1.0,1.0,1.0,,,4.0,4.0,1.0,4.0,,16.0,10.0,1.0,8.0,4.0,2.0,1.0,3.0,,4.0,,2.0,,8.0,,0.0,4.0,,,,1.0,2.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,4.0,,,1.0,3.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,2.0,2.0,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup_Qualification,2025 USA - Canada,Guadeloupe,ap18f2pic6emw6x8a6qmc1l1x,A. Baron,Defender,17,28.0,,,,2.0,,2.0,2.0,2.0,4.0,11.0,,180.0,17.0,21.0,2.0,6.0,,,8.0,35.0,30.0,4.0,5.0,64.0,10.0,32.0,13.0,4.0,8.0,18.0,6.0,,38.0,,11.0,,8.0,,0.0,5.0,1.0,,,1.0,4.0,,5.0,,1.0,,3.0,1.0,,1.0,,4.0,,,,,,2.0,,4.0,1.0,4.0,,1.0,,,,1.0,,3.0,,,,1.0,2.0,,,1.0,3.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,2.0,,,,,,,
Concacaf_Concacaf_Gold_Cup_Qualification,2025 USA - Canada,Guadeloupe,egdfgs0oxkhk4n7wuk04y6s5w,K. Beaumont,Midfielder,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup_Qualification,2025 USA - Canada,Guadeloupe,be804hfaegrmblwga38hg7tp0,K. Bevis,Forward,14,13.0,,,,2.0,,2.0,1.0,,,5.0,,80.0,7.0,3.0,,1.0,,,3.0,14.0,13.0,2.0,7.0,25.0,10.0,13.0,8.0,3.0,1.0,6.0,1.0,,14.0,,2.0,,7.0,,0.0,5.0,1.0,,,,1.0,1.0,1.0,,,,,2.0,,2.0,,4.0,,1.0,1.0,4.0,,,,,1.0,,,1.0,,2.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup_Qualification,2025 USA - Canada,Guadeloupe,ax69g2ukn2tsaz71n0waf58q2,N. Cadiou,Midfielder,7,33.0,2.0,,,2.0,,2.0,2.0,6.0,7.0,24.0,,180.0,20.0,31.0,8.0,3.0,,,12.0,53.0,37.0,9.0,9.0,88.0,10.0,40.0,22.0,12.0,11.0,20.0,16.0,,56.0,,12.0,,21.0,,0.0,10.0,1.0,6.0,,2.0,8.0,3.0,1.0,,,,2.0,2.0,,4.0,,9.0,,,1.0,3.0,,2.0,,,,1.0,,4.0,,3.0,1.0,1.0,,,,,,,6.0,,,,,4.0,1.0,,,,2.0,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,
Concacaf_Concacaf_Gold_Cup_Qualification,2025 USA - Canada,Guadeloupe,7zgtqn8ani3pt7xxmt8n2jvmd,D. Cavaré,Defender,15,24.0,1.0,,1.0,2.0,,2.0,2.0,3.0,5.0,14.0,,180.0,10.0,14.0,3.0,12.0,,,8.0,31.0,24.0,5.0,6.0,76.0,10.0,29.0,15.0,4.0,5.0,19.0,8.0,1.0,37.0,,11.0,,11.0,,0.0,7.0,,2.0,,1.0,5.0,6.0,4.0,,1.0,9.0,4.0,2.0,2.0,6.0,,7.0,,,4.0,1.0,,,,4.0,1.0,,,3.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,
Concacaf_Concacaf_Gold_Cup_Qualification,2025 USA - Canada,Guadeloupe,drg5iqt5ii4r6n5qy03zpzwlx,B. Cognard,Goalkeeper,16,7.0,8.0,,16.0,2.0,2.0,2.0,2.0,1.0,15.0,22.0,8.0,180.0,13.0,38.0,21.0,2.0,,9.0,1.0,12.0,8.0,23.0,1.0,69.0,10.0,22.0,1.0,,20.0,9.0,21.0,19.0,43.0,,4.0,,,7.0,0.0,,,7.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,2.0,,,,,,,
