liga,temporada,equipo,id,nombre,posicion,dorsal,Times Tackled,Aerial Duels won,Aerial Duels,Aerial Duels lost,Rightside Passes,Successful Passes Opposition Half,Unsuccessful Crosses open play,Right Foot Goals,Corners Taken (incl short corners),Goals Conceded,Unsuccessful Crosses & Corners,Goals Conceded Inside Box,Ground Duels,Appearances,Games Played,Starts,Total Fouls Won,Total Tackles,Tackles Won,Assists (Intentional),Foul Attempted Tackle,Index,Tackles Lost,Clean Sheets,Total Passes,Goals Conceded Outside Box,Backward Passes,Goals,Interceptions,Ground Duels lost,Yellow Cards,Shots Off Target (inc woodwork),Ground Duels won,Duels lost,Duels,Offsides,Successful Open Play Passes,Total Touches In Opposition Box,Penalties Conceded,Leftside Passes,Throw Ins to Opposition Player,Unsuccessful Launches,Successful Passes Own Half,Successful Crosses open play,PutThrough/Blocked Distribution,Blocks,Handballs conceded,Successful Long Passes,Unsuccessful Passes Own Half,Successful Dribbles,Total Clearances,PutThrough/Blocked Distribution Won,Unsuccessful Long Passes,Unsuccessful Short Passes,Goal Assists,Shots On Target ( inc goals ),Time Played,Corners Won,Recoveries,Throw Ins to Own Player,Key Passes (Attempt Assists),Left Foot Goals,Successful Crosses & Corners,Penalty Goals Conceded,Total Shots,Unsuccessful Passes Opposition Half,Unsuccessful Dribbles,Forward Passes,Touches,Duels won,Hit Woodwork,Total Fouls Conceded,Total Unsuccessful Passes ( Excl Crosses & Corners ),Blocked Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Short Passes,Successful Launches,Successful Lay-offs,Goals from Inside Box,Open Play Passes,Total Losses Of Possession,Home Goals,Away Goals,Winning Goal,Clearances Off the Line,Headed Goals,Red Cards - 2nd Yellow,Substitute Off,Total Red Cards,Substitute On,Through balls,GK Unsuccessful Distribution,GK Successful Distribution,Goals from Outside Box,Second Goal Assists,Unsuccessful Corners into Box,Successful Corners into Box,Straight Red Cards,Attempts from Set Pieces,Foul Won Penalty,Unsuccessful lay-offs,Saves Made from Outside Box,Saves Made from Inside Box,Saves made - parried,Penalties Faced,Saves Made,Penalties Saved,Catches,Punches,Saves made - caught,Goalkeeper Smother,Saves from Penalty,Drops,Penalty Goals,Penalties Taken,Own Goal Scored,Set Pieces Goals,Other Goals,Penalties Off Target,Crosses not Claimed,Last Man Tackle
Canada_Canadian_Premier_League,2021,Valour FC,7q6h161f7gcqnpy07x80hbpck,W. Akio,Forward,19,50.0,9.0,52.0,43.0,67.0,139.0,9.0,7.0,,28.0,9.0,24.0,136.0,28.0,28.0,21.0,14.0,14.0,9.0,2.0,10.0,10.0,5.0,2.0,305.0,4.0,76.0,8.0,7.0,81.0,1.0,14.0,55.0,124.0,188.0,13.0,225.0,84.0,1.0,102.0,,3.0,93.0,2.0,18.0,1.0,2.0,10.0,12.0,27.0,5.0,6.0,7.0,68.0,3.0,23.0,1814.0,13.0,51.0,3.0,17.0,1.0,2.0,1.0,37.0,72.0,28.0,60.0,569.0,64.0,2.0,23.0,75.0,5.0,230.0,220.0,,8.0,7.0,300.0,185.0,5.0,3.0,4.0,,,,10.0,,7.0,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2021,Valour FC,6mmfo5q4m9zdbpl1cgqv5muhh,K. Alemán,Midfielder,8,62.0,5.0,19.0,14.0,140.0,302.0,8.0,,21.0,20.0,26.0,18.0,208.0,24.0,24.0,16.0,42.0,33.0,24.0,2.0,10.0,10.0,9.0,1.0,561.0,2.0,141.0,3.0,14.0,89.0,3.0,9.0,119.0,103.0,227.0,3.0,465.0,22.0,,145.0,,1.0,193.0,3.0,20.0,1.0,1.0,44.0,11.0,44.0,1.0,13.0,20.0,58.0,3.0,11.0,1388.0,9.0,74.0,5.0,26.0,3.0,12.0,1.0,20.0,93.0,30.0,135.0,928.0,124.0,,20.0,78.0,5.0,483.0,439.0,2.0,5.0,2.0,541.0,230.0,1.0,2.0,0.0,,,,12.0,,8.0,10.0,,,1.0,,11.0,7.0,,4.0,1.0,2.0,,,,,,,,,,,,,1.0,1.0,,,,,,1.0
Canada_Canadian_Premier_League,2021,Valour FC,98ajoa650l9wzwuur2ibzo6ad,A. Baquero,Midfielder,82,39.0,9.0,17.0,8.0,72.0,390.0,19.0,1.0,11.0,23.0,25.0,21.0,193.0,23.0,23.0,19.0,15.0,62.0,34.0,,23.0,10.0,28.0,5.0,1082.0,2.0,164.0,1.0,36.0,97.0,4.0,7.0,96.0,105.0,210.0,3.0,864.0,19.0,,436.0,21.0,23.0,510.0,4.0,40.0,5.0,1.0,78.0,60.0,20.0,33.0,14.0,57.0,133.0,,5.0,1830.0,7.0,138.0,125.0,15.0,,8.0,1.0,12.0,155.0,16.0,410.0,1575.0,105.0,,35.0,190.0,8.0,892.0,814.0,2.0,1.0,,1051.0,307.0,0.0,1.0,0.0,,,,5.0,,4.0,4.0,,,1.0,,5.0,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2021,Valour FC,7pb4kdsbaj2dfwo99st2v7g7p,A. Bouka,Defender,3,16.0,17.0,32.0,15.0,150.0,171.0,19.0,,,18.0,19.0,16.0,81.0,14.0,14.0,11.0,17.0,19.0,11.0,,6.0,10.0,8.0,2.0,493.0,2.0,90.0,,10.0,32.0,1.0,1.0,49.0,47.0,113.0,1.0,356.0,5.0,,18.0,22.0,22.0,204.0,4.0,31.0,2.0,2.0,18.0,56.0,13.0,20.0,14.0,39.0,83.0,,,1007.0,5.0,65.0,84.0,3.0,,4.0,1.0,1.0,85.0,11.0,235.0,781.0,66.0,,11.0,122.0,,371.0,353.0,2.0,,,474.0,197.0,0.0,0.0,0.0,,,,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2021,Valour FC,c5afaf96xtx4341sic680d711,S. Cebara,Defender,14,28.0,20.0,28.0,8.0,189.0,262.0,5.0,,,30.0,5.0,26.0,134.0,26.0,26.0,24.0,27.0,29.0,21.0,2.0,4.0,10.0,8.0,9.0,1189.0,4.0,128.0,1.0,36.0,50.0,3.0,3.0,84.0,58.0,162.0,3.0,1017.0,13.0,,458.0,10.0,21.0,791.0,3.0,14.0,7.0,1.0,64.0,62.0,29.0,60.0,7.0,47.0,92.0,2.0,2.0,2186.0,4.0,163.0,65.0,7.0,,3.0,1.0,5.0,82.0,22.0,414.0,1576.0,104.0,,9.0,139.0,1.0,1050.0,986.0,12.0,1.0,1.0,1148.0,215.0,1.0,0.0,1.0,,1.0,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2021,Valour FC,bwozu57m3yt2hypmbqe1hlbyt,M. Dyer,Midfielder,7,42.0,20.0,53.0,33.0,191.0,256.0,10.0,8.0,,27.0,10.0,26.0,184.0,27.0,27.0,19.0,42.0,35.0,20.0,3.0,11.0,10.0,15.0,2.0,629.0,1.0,145.0,9.0,21.0,77.0,6.0,20.0,107.0,110.0,237.0,3.0,467.0,74.0,,130.0,,2.0,249.0,,14.0,4.0,3.0,36.0,27.0,30.0,13.0,4.0,29.0,95.0,4.0,21.0,1650.0,8.0,56.0,2.0,11.0,1.0,,1.0,41.0,107.0,15.0,163.0,969.0,127.0,3.0,30.0,124.0,13.0,505.0,469.0,2.0,15.0,9.0,590.0,219.0,4.0,5.0,2.0,,,,12.0,,8.0,7.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,4.0,4.0,,,,,,
Canada_Canadian_Premier_League,2021,Valour FC,dpee0p2qzqrzcefewdtey4vyt,D. Fordyce,Forward,16,21.0,26.0,41.0,15.0,244.0,376.0,6.0,1.0,1.0,24.0,6.0,21.0,145.0,26.0,26.0,22.0,25.0,38.0,25.0,1.0,21.0,10.0,13.0,6.0,1091.0,3.0,169.0,2.0,21.0,69.0,5.0,4.0,76.0,84.0,186.0,2.0,853.0,16.0,,273.0,,31.0,513.0,3.0,18.0,8.0,1.0,93.0,54.0,13.0,20.0,9.0,95.0,111.0,2.0,5.0,1886.0,3.0,105.0,5.0,11.0,,4.0,,9.0,158.0,9.0,405.0,1335.0,102.0,,28.0,206.0,3.0,885.0,792.0,5.0,7.0,2.0,1055.0,257.0,0.0,2.0,0.0,,,,9.0,,4.0,11.0,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,
Canada_Canadian_Premier_League,2021,Valour FC,et1pw51sazo82s0oby2fkxtqt,Rafael Galhardo,Defender,42,22.0,2.0,9.0,7.0,145.0,301.0,7.0,2.0,50.0,22.0,52.0,19.0,103.0,23.0,23.0,14.0,30.0,14.0,5.0,1.0,14.0,10.0,9.0,2.0,561.0,3.0,115.0,2.0,6.0,52.0,2.0,18.0,51.0,59.0,112.0,3.0,408.0,24.0,,133.0,1.0,3.0,164.0,5.0,25.0,,,44.0,32.0,7.0,3.0,4.0,22.0,97.0,3.0,7.0,1374.0,14.0,54.0,11.0,36.0,,23.0,,25.0,139.0,10.0,168.0,828.0,53.0,,17.0,119.0,9.0,442.0,398.0,,5.0,1.0,520.0,236.0,2.0,0.0,0.0,,,,7.0,,9.0,3.0,,,1.0,1.0,32.0,12.0,,12.0,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2021,Valour FC,etxxyk4izi97gchj7fo58ogd1,A. Jean-Baptiste,Defender,35,,14.0,24.0,10.0,67.0,38.0,,,,2.0,,2.0,15.0,7.0,7.0,7.0,3.0,6.0,1.0,,4.0,10.0,5.0,5.0,239.0,,10.0,2.0,12.0,5.0,,,10.0,15.0,39.0,,181.0,4.0,,55.0,1.0,7.0,150.0,1.0,4.0,8.0,,24.0,24.0,1.0,30.0,2.0,27.0,25.0,,2.0,554.0,1.0,20.0,3.0,1.0,,1.0,,2.0,28.0,,107.0,318.0,24.0,,6.0,52.0,2.0,187.0,163.0,3.0,,2.0,231.0,54.0,1.0,1.0,1.0,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2021,Valour FC,4g57cr61ps0y0w29dv3f5s3c9,M. Kacher,Forward,10,4.0,3.0,6.0,3.0,36.0,61.0,1.0,,6.0,2.0,5.0,2.0,22.0,11.0,11.0,2.0,1.0,3.0,2.0,,3.0,10.0,1.0,,110.0,,22.0,,,16.0,1.0,4.0,6.0,19.0,28.0,,85.0,11.0,,23.0,,,28.0,1.0,4.0,,,5.0,2.0,2.0,1.0,2.0,1.0,21.0,,2.0,305.0,3.0,9.0,,3.0,,1.0,,6.0,25.0,2.0,29.0,155.0,9.0,,7.0,22.0,2.0,88.0,83.0,,,,107.0,44.0,0.0,0.0,0.0,,,,2.0,,9.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
