root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Corners Taken (incl short corners),Successful Dribbles,Duels lost,PutThrough/Blocked Distribution,Touches,Time Played,Ground Duels lost,Backward Passes,Total Fouls Won,Successful Crosses & Corners,Successful Passes Own Half,Successful Short Passes,Unsuccessful Short Passes,Tackles Lost,Goals Conceded Inside Box,Penalty Goals Conceded,Starts,Key Passes (Attempt Assists),Total Touches In Opposition Box,Ground Duels won,Total Tackles,Successful Crosses open play,Tackles Won,Unsuccessful Passes Opposition Half,Total Unsuccessful Passes ( Excl Crosses & Corners ),Substitute Off,Forward Passes,Unsuccessful Long Passes,Total Clearances,Total Passes,Throw Ins to Own Player,Unsuccessful Passes Own Half,Successful Lay-offs,Aerial Duels,Index,Successful Passes Opposition Half,Total Losses Of Possession,Blocked Shots,Goals Conceded,Aerial Duels lost,Ground Duels,Interceptions,Duels won,Unsuccessful Crosses open play,Unsuccessful Dribbles,Leftside Passes,Aerial Duels won,Unsuccessful Launches,Total Shots,Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Times Tackled,Recoveries,Unsuccessful Crosses & Corners,Appearances,Games Played,Blocks,Total Fouls Conceded,PutThrough/Blocked Distribution Won,Duels,Successful Open Play Passes,Successful Long Passes,Corners Won,Shots Off Target (inc woodwork),Rightside Passes,Winning Goal,Successful Launches,Clean Sheets,Saves Made from Outside Box,Saves made - parried,Saves Made,GK Successful Distribution,Goal Kicks,Catches,Punches,GK Unsuccessful Distribution,Saves Made from Inside Box,Substitute On,Foul Attempted Tackle,Shots On Target ( inc goals ),Goals from Inside Box,Handballs conceded,Right Foot Goals,Goals,Assists (Intentional),Yellow Cards,Goal Assists,Attempts from Set Pieces,Home Goals,Away Goals,Unsuccessful Corners into Box,Penalty Goals,Offsides,Penalties Taken,Successful Corners into Box,Throw Ins to Opposition Player,Own Goal Scored,Headed Goals,Second Goal Assists,Left Foot Goals,Penalties Conceded,Penalties Faced,Goals Conceded Outside Box,Through balls,Goalkeeper Smother,Foul Won Penalty,Clearances Off the Line,Saves from Penalty,Penalties Saved,Unsuccessful lay-offs,Last Man Tackle,Total Red Cards,Straight Red Cards,Drops,Saves made - caught,Goals from Outside Box,Hit Woodwork,Red Cards - 2nd Yellow,Fifty Fifty,Successful Fifty Fifty,Overruns,Crosses not Claimed,Set Pieces Goals
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2023 USA,Qatar,Qatar,64fsy2ioovrwpkf3mh7tgb11,Almoez Ali,Forward,19,,,7.0,2.0,32.0,82.0,4.0,11.0,1.0,,7.0,16.0,1.0,1.0,4.0,,1.0,,6.0,3.0,2.0,,1.0,1.0,1.0,1.0,2.0,,,17.0,,,3.0,3.0,10.0,9.0,9.0,,4.0,3.0,7.0,,3.0,,,2.0,,,1.0,14.0,16.0,3.0,,,1.0,1.0,,2.0,2.0,10.0,13.0,,1.0,1.0,2.0,0.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2023 USA,Qatar,Qatar,6hl0xey9edugb1mnqbc744bca,Jassem Gaber,Defender,20,,,6.0,,37.0,92.0,5.0,8.0,2.0,,14.0,23.0,3.0,1.0,2.0,1.0,1.0,,,4.0,2.0,,1.0,4.0,4.0,1.0,7.0,1.0,1.0,28.0,,1.0,,4.0,10.0,10.0,8.0,,2.0,1.0,9.0,,7.0,1.0,2.0,4.0,3.0,,,27.0,24.0,2.0,7.0,1.0,3.0,3.0,,,,13.0,23.0,1.0,,,9.0,0.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2023 USA,Qatar,Qatar,5k9892yp5tsjbhrbkani38qcq,Yusuf Abdurisag,Forward,11,,2.0,20.0,2.0,58.0,169.0,19.0,4.0,6.0,1.0,5.0,12.0,10.0,2.0,2.0,1.0,2.0,1.0,3.0,10.0,2.0,1.0,,10.0,11.0,2.0,6.0,1.0,2.0,24.0,,3.0,,2.0,10.0,9.0,27.0,1.0,2.0,1.0,29.0,,11.0,2.0,7.0,8.0,1.0,1.0,2.0,24.0,13.0,9.0,7.0,2.0,2.0,2.0,,7.0,,31.0,13.0,1.0,1.0,,6.0,0.0,,,,,,,,,,,,,4.0,2.0,1.0,,1.0,1.0,,,,,0.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,5.0,3.0,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2023 USA,Qatar,Qatar,1g1ywt7jmxfvutzm112hun9bd,Khalid Muneer,Forward,18,,,1.0,,2.0,8.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,10.0,,1.0,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2023 USA,Qatar,Qatar,9erzswqeuhdaebzdqn8l4wyy1,Homam El Amin,Defender,14,5.0,7.0,24.0,5.0,229.0,360.0,20.0,28.0,6.0,1.0,65.0,94.0,21.0,4.0,7.0,1.0,4.0,2.0,4.0,24.0,11.0,,7.0,31.0,34.0,,51.0,13.0,8.0,138.0,17.0,12.0,,7.0,10.0,40.0,58.0,,7.0,4.0,44.0,5.0,27.0,5.0,5.0,5.0,3.0,6.0,2.0,131.0,104.0,7.0,30.0,9.0,4.0,4.0,1.0,5.0,2.0,51.0,100.0,10.0,2.0,2.0,54.0,0.0,2.0,1.0,,,,,,,,,,,3.0,,,,,,,,,,,,3.0,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,1.0,,7.0,4.0,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2023 USA,Qatar,Qatar,1b0etegh2tkrfsum4hlh7yvvt,Hazem Shehata,Defender,3,,1.0,18.0,7.0,83.0,197.0,12.0,13.0,2.0,,17.0,35.0,6.0,3.0,3.0,1.0,3.0,,3.0,12.0,9.0,,6.0,7.0,7.0,3.0,9.0,1.0,1.0,42.0,,1.0,1.0,6.0,10.0,18.0,20.0,,3.0,6.0,24.0,2.0,12.0,1.0,1.0,7.0,,1.0,3.0,42.0,35.0,3.0,17.0,1.0,4.0,4.0,,3.0,5.0,30.0,35.0,,1.0,1.0,13.0,1.0,,,,,,,,,,,,1.0,2.0,2.0,1.0,,,1.0,,,,,0.0,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,5.0,1.0,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2023 USA,Qatar,Qatar,7xpgtsx0h6ohg0pgdxt3l5785,Assim Madibo,Midfielder,23,,,8.0,1.0,60.0,79.0,6.0,5.0,1.0,,16.0,31.0,8.0,3.0,5.0,,1.0,,,9.0,8.0,,5.0,5.0,10.0,1.0,19.0,2.0,,41.0,1.0,5.0,,2.0,10.0,15.0,13.0,,5.0,2.0,15.0,2.0,9.0,,,9.0,,2.0,,37.0,31.0,1.0,5.0,,3.0,3.0,1.0,2.0,1.0,17.0,27.0,,,,8.0,0.0,,,,,,,,,,,,2.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2023 USA,Qatar,Qatar,1n4vsrq9e9gfki5t1uvxm7euh,Ahmed Suhail,Defender,2,,,8.0,1.0,202.0,360.0,3.0,6.0,6.0,,82.0,94.0,15.0,1.0,7.0,1.0,4.0,1.0,,11.0,5.0,,4.0,29.0,43.0,,68.0,28.0,26.0,152.0,,15.0,,13.0,10.0,27.0,46.0,,7.0,5.0,14.0,3.0,19.0,1.0,,48.0,8.0,10.0,,140.0,109.0,1.0,19.0,1.0,4.0,4.0,4.0,2.0,,27.0,100.0,15.0,,,30.0,0.0,2.0,1.0,,,,,2.0,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2023 USA,Qatar,Qatar,5zkzo4yiyu7woawsneyr3w9as,Mahdi Salem,Midfielder,7,,,6.0,,28.0,57.0,4.0,4.0,3.0,,4.0,8.0,6.0,2.0,3.0,,,,1.0,7.0,4.0,,2.0,6.0,7.0,,4.0,1.0,1.0,15.0,,1.0,,3.0,10.0,4.0,12.0,,3.0,2.0,11.0,,8.0,,2.0,3.0,1.0,,,13.0,8.0,3.0,2.0,,2.0,2.0,,,,14.0,6.0,,,,4.0,0.0,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2023 USA,Qatar,Qatar,28a883m3vivjdrssdxvxk84ix,Bassam Al Rawi,Defender,15,,,13.0,4.0,184.0,270.0,9.0,17.0,2.0,,51.0,65.0,22.0,1.0,7.0,1.0,3.0,,1.0,4.0,2.0,,1.0,39.0,41.0,,53.0,19.0,14.0,115.0,13.0,9.0,,14.0,10.0,23.0,59.0,1.0,7.0,4.0,13.0,6.0,14.0,4.0,2.0,41.0,10.0,5.0,2.0,113.0,74.0,3.0,16.0,7.0,3.0,3.0,4.0,3.0,2.0,27.0,72.0,9.0,2.0,,4.0,0.0,1.0,,,,,,,,,,,,1.0,2.0,,,,,,2.0,,1.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,
