liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Blocks,Carries,Clean Sheets,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,GK Successful Distribution,Games Played,Goal Kicks,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Ground Duels,Ground Duels lost,Ground Duels won,Handballs conceded,Index,Interceptions,Last Player Tackle,Leftside Passes,Open Play Passes,Penalties Conceded,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Rightside Passes,Starts,Substitute Off,Substitute On,Successful Crosses & Corners,Successful Crosses open play,Successful Launches,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Through balls,Throw Ins to Opposition Player,Throw Ins to Own Player,Time Played,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Yellow Cards,Winning Goal,Assists (Intentional),Attempts from Set Pieces,Corners Taken (incl short corners),Corners Won,Goal Assists,Goals,Goals Openplay,Goals from Inside Box,Goals from Outside Box,Headed Goals,Hit Woodwork,Key Passes (Attempt Assists),Left Foot Goals,Offsides,Overruns,Penalties Taken,Penalty Goals,Right Foot Goals,Second Goal Assists,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Successful Corners into Box,Successful Dribbles,Successful Lay-offs,Times Tackled,Total Big Chances Created,Total Big Chances Missed,Total Big Chances Scored,Total Shots,Unsuccessful Corners into Box,Unsuccessful Dribbles,Unsuccessful lay-offs,Home Goals,Away Goals,Foul Won Penalty,Catches,Drops,GK Unsuccessful Distribution,Goalkeeper Smother,Penalties Faced,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - parried,Total Big Chances Saved,Saves made - caught,Clearances Off the Line,Own Goal Scored,Red Cards - 2nd Yellow,Total Red Cards,Penalties Saved,Saves from Penalty,Set Pieces Goals,Other Goals,Crosses not Claimed,Straight Red Cards,Direct Corner Goals,Direct Setpiece Goals,Penalties Off Target
USA_MLS,2025,San Diego FC,adsrfhfo35n0tctahgcyqugru,A. Alvarado,Forward,70,7.0,2.0,5.0,12.0,82.0,1.0,,59.0,,78.0,37.0,41.0,,95.0,10.0,,12.0,,9.0,8.0,1.0,71.0,35.0,36.0,1.0,10.0,14.0,,104.0,346.0,,1.0,28.0,11.0,6.0,21.0,74.0,6.0,5.0,6.0,,,,2.0,306.0,170.0,145.0,313.0,12.0,12.0,2.0,,,485.0,5.0,16.0,10.0,60.0,355.0,315.0,24.0,10.0,40.0,458.0,2.0,2.0,3.0,12.0,34.0,8.0,28.0,2.0,0.0,,,,2.0,,,,,,,,3.0,,,1.0,,,,,2.0,3.0,,3.0,15.0,8.0,,,,5.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2025,San Diego FC,bi8r4u9lcwsdv044kkxr1fbh1,C. Baird,Forward,21,26.0,18.0,8.0,28.0,117.0,5.0,1.0,68.0,1.0,90.0,53.0,37.0,113.0,73.0,6.0,,28.0,,15.0,14.0,1.0,64.0,35.0,29.0,,10.0,3.0,,93.0,346.0,,,38.0,17.0,4.0,30.0,76.0,11.0,10.0,17.0,3.0,1.0,1.0,5.0,283.0,196.0,102.0,290.0,1.0,7.0,2.0,,4.0,971.0,8.0,9.0,19.0,115.0,359.0,295.0,8.0,39.0,64.0,498.0,4.0,3.0,1.0,1.0,52.0,16.0,63.0,5.0,0.0,3.0,,3.0,2.0,3.0,,,,,,1.0,12.0,,3.0,,,,,,6.0,4.0,2.0,2.0,18.0,17.0,2.0,6.0,,10.0,1.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2025,San Diego FC,6vd4rxmqub05u2dtduy028fyt,E. Boateng,Midfielder,24,8.0,8.0,,13.0,24.0,,1.0,23.0,,33.0,23.0,10.0,,15.0,2.0,,13.0,,2.0,2.0,,25.0,15.0,10.0,,10.0,3.0,,17.0,81.0,,,14.0,5.0,1.0,7.0,26.0,,1.0,13.0,1.0,1.0,,1.0,61.0,43.0,19.0,60.0,3.0,3.0,,,1.0,231.0,2.0,8.0,1.0,36.0,82.0,61.0,6.0,8.0,21.0,126.0,5.0,5.0,2.0,3.0,23.0,3.0,18.0,3.0,0.0,,,,1.0,,,,,,,,1.0,,1.0,2.0,,,,,,,,3.0,2.0,5.0,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2025,San Diego FC,m8clu51iu7443ig9q6vn6fbo,L. Bombino,Defender,27,48.0,22.0,26.0,31.0,260.0,6.0,4.0,337.0,8.0,280.0,127.0,153.0,173.0,566.0,30.0,,31.0,,33.0,29.0,4.0,232.0,105.0,127.0,,10.0,38.0,1.0,86.0,1495.0,,3.0,204.0,40.0,19.0,102.0,630.0,29.0,9.0,2.0,12.0,12.0,8.0,42.0,1270.0,655.0,672.0,1273.0,21.0,52.0,4.0,11.0,193.0,2530.0,83.0,44.0,40.0,350.0,1542.0,1315.0,73.0,45.0,227.0,2214.0,34.0,34.0,19.0,59.0,179.0,82.0,168.0,7.0,0.0,2.0,,2.0,11.0,3.0,1.0,,1.0,,,,19.0,1.0,4.0,2.0,,,,2.0,9.0,5.0,,15.0,2.0,38.0,6.0,2.0,,14.0,,18.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2025,San Diego FC,6fjpwiqcuvkedo3hhpj4341zo,H. Diop,Defender,5,6.0,2.0,4.0,7.0,20.0,,1.0,42.0,,23.0,11.0,12.0,,83.0,2.0,,7.0,,4.0,4.0,,17.0,9.0,8.0,,10.0,1.0,,12.0,184.0,,1.0,26.0,5.0,2.0,4.0,77.0,,,7.0,,,1.0,6.0,169.0,91.0,86.0,171.0,,2.0,,,8.0,190.0,8.0,4.0,5.0,24.0,192.0,177.0,2.0,,15.0,232.0,4.0,4.0,2.0,4.0,13.0,6.0,11.0,1.0,0.0,,1.0,,1.0,,,,,,,,3.0,,,,,,,1.0,1.0,1.0,,1.0,,2.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
USA_MLS,2025,San Diego FC,3q2ibq6hhxyht8046ib49ye39,A. Dreyer,Midfielder,10,5.0,4.0,1.0,39.0,469.0,27.0,,447.0,9.0,152.0,79.0,73.0,315.0,362.0,3.0,,39.0,,47.0,42.0,5.0,147.0,75.0,72.0,2.0,10.0,10.0,,589.0,1531.0,,6.0,207.0,66.0,16.0,84.0,199.0,39.0,6.0,,48.0,19.0,,60.0,1260.0,942.0,438.0,1272.0,8.0,13.0,23.0,,21.0,3467.0,7.0,11.0,25.0,572.0,1619.0,1332.0,21.0,208.0,287.0,2243.0,144.0,58.0,8.0,41.0,380.0,51.0,246.0,4.0,10.0,14.0,5.0,110.0,43.0,17.0,23.0,20.0,21.0,2.0,1.0,2.0,78.0,21.0,25.0,7.0,4.0,3.0,1.0,3.0,33.0,56.0,21.0,26.0,78.0,54.0,29.0,17.0,16.0,89.0,59.0,26.0,3.0,6.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2025,San Diego FC,1uwtkp2t8af6ik8zini96r6z8,M. Duah,Midfielder,26,39.0,18.0,21.0,19.0,84.0,3.0,17.0,315.0,5.0,117.0,43.0,74.0,44.0,522.0,5.0,16.0,19.0,16.0,17.0,17.0,,78.0,25.0,53.0,,10.0,15.0,2.0,352.0,1282.0,,1.0,163.0,7.0,4.0,98.0,383.0,17.0,3.0,2.0,,,9.0,42.0,1180.0,336.0,901.0,1195.0,7.0,16.0,3.0,4.0,7.0,1482.0,67.0,10.0,25.0,130.0,1341.0,1237.0,23.0,3.0,104.0,1563.0,2.0,2.0,13.0,42.0,63.0,43.0,62.0,4.0,0.0,,,,2.0,,,,,,,1.0,3.0,,,1.0,,,,,2.0,1.0,,6.0,,6.0,,,,3.0,,2.0,,,,,,,,,,,,,,,3.0,,4.0,1.0,,,,,,,,,,,
USA_MLS,2025,San Diego FC,exoz42w08grp9ljra160xu1w4,L. Duru,Defender,3,2.0,2.0,,2.0,4.0,,,2.0,,7.0,5.0,2.0,,5.0,,,2.0,,,,,5.0,3.0,2.0,,10.0,,,4.0,13.0,,,,1.0,1.0,2.0,,,,2.0,,,,,11.0,7.0,4.0,11.0,1.0,,,1.0,3.0,37.0,,,1.0,5.0,13.0,11.0,1.0,,2.0,23.0,,,,,2.0,,2.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2025,San Diego FC,4yt1fm35fgy1ynk7ew59u5dlg,D. Ferree,Goalkeeper,18,,,,1.0,,,,1.0,,,,,,4.0,,2.0,1.0,2.0,,,,,,,,10.0,,,1.0,4.0,,,1.0,,,1.0,1.0,,,1.0,,,,,4.0,1.0,5.0,6.0,,,,,,9.0,,,,,6.0,6.0,,,,8.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,1.0,,,,,,,,,,,,,,
USA_MLS,2025,San Diego FC,4ajhe29nxseyo6wqg3hjdghcl,A. Godoy,Midfielder,20,34.0,9.0,25.0,30.0,291.0,3.0,5.0,367.0,4.0,208.0,89.0,119.0,146.0,606.0,31.0,,30.0,,23.0,20.0,3.0,174.0,80.0,94.0,2.0,10.0,22.0,,624.0,1929.0,,3.0,160.0,36.0,19.0,125.0,464.0,26.0,20.0,4.0,3.0,3.0,2.0,78.0,1762.0,978.0,842.0,1739.0,19.0,22.0,5.0,,5.0,2100.0,22.0,44.0,44.0,230.0,1985.0,1817.0,41.0,24.0,168.0,2286.0,6.0,6.0,4.0,41.0,129.0,45.0,127.0,6.0,0.0,,,1.0,3.0,1.0,1.0,1.0,1.0,,,1.0,15.0,1.0,,2.0,,,,1.0,10.0,7.0,,11.0,44.0,25.0,1.0,1.0,,17.0,,12.0,,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
