liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Carries,Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Foul Won Penalty,Games Played,Goals,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Goals Openplay,Goals from Inside Box,Goals from Outside Box,Ground Duels,Ground Duels lost,Ground Duels won,Handballs conceded,Headed Goals,Key Passes (Attempt Assists),Leftside Passes,Open Play Passes,Penalties Taken,Penalty Goals,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Right Foot Goals,Rightside Passes,Shots Created,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Substitute Off,Substitute On,Successful Crosses & Corners,Successful Crosses open play,Successful Dribbles,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Throw Ins to Opposition Player,Throw Ins to Own Player,Time Played,Times Tackled,Total Big Chances Created,Total Big Chances Scored,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Yellow Cards,Home Goals,Away Goals,Winning Goal,Blocks,Interceptions,Penalties Conceded,Successful Launches,Unsuccessful Launches,Corners Taken (incl short corners),Hit Woodwork,Successful Corners into Box,Through balls,Unsuccessful Corners into Box,Assists (Intentional),Goal Assists,Offsides,Total Big Chances Missed,Unsuccessful lay-offs,Attempts from Set Pieces,Left Foot Goals,Clean Sheets,GK Successful Distribution,Goal Kicks,Catches,Drops,GK Unsuccessful Distribution,Penalties Faced,Saves Made,Saves Made from Outside Box,Saves made - caught,Saves made - parried,Overruns,Straight Red Cards,Total Red Cards,Punches,Saves Made from Inside Box,Total Big Chances Saved,Clearances Off the Line,Last Player Tackle,Goalkeeper Smother,Penalties Saved,Saves from Penalty,Own Goal Scored,Second Goal Assists,Crosses not Claimed,Red Cards - 2nd Yellow,Direct Corner Goals,Direct Setpiece Goals,Set Pieces Goals
USA_USL_League_One,2026,Forward Madison FC,9ph8wasuz3ndre586gople49g,S. Annor Gyamfi,Forward,14,45.0,21.0,24.0,6.0,21.0,1.0,28.0,6.0,80.0,48.0,32.0,66.0,9.0,7.0,,6.0,2.0,5.0,4.0,1.0,1.0,2.0,,35.0,27.0,8.0,1.0,1.0,,11.0,47.0,,,2.0,14.0,1.0,1.0,8.0,1.0,12.0,1.0,3.0,5.0,6.0,2.0,,,,5.0,2.0,1.0,31.0,27.0,10.0,36.0,,1.0,,,494.0,9.0,1.0,1.0,8.0,14.0,2.0,50.0,53.0,8.0,37.0,1.0,17.0,16.0,120.0,2.0,2.0,3.0,,16.0,2.0,16.0,1.0,0.0,2.0,2.0,1.0,,,,,,,,,,1.0,1.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Forward Madison FC,anysxg2z6niqapc5m3f4tzims,J. Bolma,Midfielder,7,1.0,1.0,,4.0,8.0,,24.0,2.0,12.0,8.0,4.0,44.0,15.0,1.0,,4.0,1.0,,,,1.0,1.0,,11.0,7.0,4.0,,,1.0,1.0,37.0,,,,15.0,1.0,1.0,4.0,,13.0,1.0,3.0,1.0,,,4.0,3.0,2.0,2.0,,,31.0,26.0,8.0,31.0,1.0,,,2.0,81.0,3.0,,1.0,1.0,4.0,1.0,22.0,37.0,4.0,31.0,1.0,9.0,6.0,71.0,8.0,4.0,1.0,,12.0,2.0,6.0,,0.0,1.0,0.0,1.0,1.0,,,,5.0,,1.0,,4.0,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Forward Madison FC,63mwxq1ir6k4hm20ua1zrx5re,J. Castro,Midfielder,16,1.0,,1.0,5.0,24.0,2.0,38.0,2.0,16.0,7.0,9.0,33.0,31.0,1.0,,5.0,,6.0,4.0,2.0,,,,15.0,7.0,8.0,,,4.0,28.0,111.0,,,2.0,14.0,6.0,3.0,13.0,,35.0,4.0,,,3.0,3.0,2.0,,,2.0,3.0,9.0,91.0,47.0,49.0,87.0,1.0,2.0,,,244.0,1.0,,,2.0,1.0,3.0,30.0,118.0,,96.0,3.0,3.0,22.0,144.0,4.0,1.0,1.0,8.0,20.0,6.0,14.0,,,,0.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Forward Madison FC,dwyatw1wz3nrh1fcwu27ie8ve,A. Edwards,Forward,3,11.0,5.0,6.0,5.0,35.0,,36.0,3.0,46.0,27.0,19.0,67.0,42.0,4.0,,5.0,,4.0,3.0,1.0,,,,35.0,22.0,13.0,,,3.0,35.0,115.0,,,,21.0,11.0,3.0,14.0,,6.0,3.0,,1.0,5.0,4.0,,,,2.0,1.0,4.0,80.0,42.0,41.0,79.0,1.0,2.0,22.0,22.0,355.0,9.0,,,15.0,8.0,8.0,82.0,118.0,1.0,83.0,3.0,6.0,35.0,237.0,8.0,8.0,5.0,17.0,33.0,10.0,18.0,2.0,,,0.0,1.0,6.0,,3.0,8.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Forward Madison FC,bbcjl0991pd86wq1uqhn9p0yc,K. Flores,Goalkeeper,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Forward Madison FC,ltoddlfbimoyb6xgae4b2ktl,D. Gebhard,Forward,17,4.0,2.0,2.0,6.0,40.0,4.0,52.0,2.0,36.0,18.0,18.0,66.0,27.0,2.0,,6.0,1.0,7.0,5.0,2.0,,1.0,,32.0,16.0,16.0,,,2.0,23.0,109.0,,,2.0,27.0,4.0,3.0,22.0,1.0,19.0,2.0,,4.0,6.0,5.0,,1.0,1.0,3.0,4.0,,93.0,58.0,36.0,93.0,,4.0,,2.0,485.0,11.0,,,3.0,4.0,9.0,39.0,109.0,4.0,93.0,4.0,13.0,16.0,175.0,1.0,1.0,5.0,,15.0,2.0,16.0,,0.0,1.0,0.0,,2.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Forward Madison FC,b9n9z4vv7nx9y9w2gllms61re,J. Harms,Goalkeeper,1,3.0,,3.0,6.0,,,12.0,,6.0,,6.0,,112.0,,,6.0,,7.0,5.0,2.0,,,,3.0,,3.0,,,,23.0,83.0,,,2.0,2.0,1.0,,40.0,,25.0,,,,6.0,,,,,,,40.0,63.0,26.0,68.0,54.0,,,,,540.0,,,,13.0,,3.0,67.0,160.0,,94.0,,,66.0,222.0,,,,64.0,61.0,5.0,2.0,1.0,,,0.0,,,,7.0,23.0,,,,,,,,,,,,,1.0,41.0,48.0,2.0,1.0,30.0,2.0,18.0,5.0,,7.0,,,,7.0,12.0,3.0,,,1.0,,,,,,,,,
USA_USL_League_One,2026,Forward Madison FC,e7vsajjh4e7t51ciycjg0skd0,T. Humphrey,Defender,13,29.0,8.0,21.0,6.0,20.0,,62.0,1.0,48.0,17.0,31.0,36.0,133.0,4.0,,6.0,2.0,7.0,5.0,2.0,,2.0,,19.0,9.0,10.0,,1.0,2.0,84.0,255.0,,,2.0,30.0,5.0,3.0,20.0,1.0,28.0,2.0,4.0,4.0,6.0,1.0,,1.0,1.0,2.0,,17.0,202.0,88.0,122.0,192.0,2.0,4.0,,1.0,539.0,1.0,,2.0,34.0,7.0,2.0,68.0,265.0,8.0,209.0,6.0,13.0,56.0,355.0,4.0,4.0,,33.0,49.0,11.0,23.0,,0.0,2.0,1.0,5.0,5.0,,7.0,14.0,,,,1.0,,,,1.0,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Forward Madison FC,zl86cmdtqlg0cusmxb5m9jpw,M. Kanyane,Defender,6,6.0,3.0,3.0,5.0,21.0,,35.0,3.0,31.0,13.0,18.0,62.0,48.0,3.0,,5.0,1.0,4.0,3.0,1.0,,,1.0,25.0,10.0,15.0,,,4.0,2.0,93.0,,,2.0,27.0,6.0,5.0,15.0,,23.0,5.0,1.0,1.0,5.0,2.0,,7.0,,5.0,,4.0,66.0,45.0,29.0,63.0,4.0,3.0,12.0,17.0,338.0,2.0,2.0,,9.0,4.0,3.0,66.0,94.0,2.0,67.0,7.0,4.0,27.0,202.0,18.0,11.0,2.0,8.0,36.0,9.0,19.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,4.0,14.0,,7.0,1.0,6.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,
USA_USL_League_One,2026,Forward Madison FC,dpu5gyonkkl5rhvk0oynf0e3u,K. Carmichael,Defender,20,21.0,6.0,15.0,6.0,14.0,1.0,29.0,1.0,36.0,14.0,22.0,4.0,55.0,1.0,,6.0,,7.0,5.0,2.0,,,,15.0,8.0,7.0,,,2.0,35.0,155.0,,,2.0,13.0,3.0,2.0,12.0,,54.0,2.0,,,6.0,1.0,,,,3.0,,17.0,135.0,28.0,110.0,121.0,,2.0,,1.0,521.0,1.0,,,48.0,6.0,2.0,24.0,158.0,,138.0,2.0,2.0,20.0,239.0,,,1.0,14.0,17.0,3.0,6.0,2.0,,,0.0,6.0,7.0,,5.0,11.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
