liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Carries,Duels,Duels lost,Duels won,Forward Passes,Foul Attempted Tackle,Games Played,Goals,Goals Conceded,Goals Conceded Inside Box,Goals from Inside Box,Ground Duels,Ground Duels lost,Ground Duels won,Index,Leftside Passes,Offsides,Open Play Passes,Overruns,Penalties Taken,Penalty Goals,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Right Foot Goals,Rightside Passes,Shots On Target ( inc goals ),Substitute On,Successful Dribbles,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Won,Throw Ins to Opposition Player,Time Played,Times Tackled,Total Big Chances Scored,Total Clearances,Total Fouls Conceded,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Dribbles,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Short Passes,Yellow Cards,Home Goals,Away Goals,Winning Goal,Blocked Shots,Blocks,Corners Won,Final Third Touches,Goals Conceded Outside Box,Goals Openplay,Handballs conceded,Hit Woodwork,Key Passes (Attempt Assists),Penalty Goals Conceded,Shots Off Target (inc woodwork),Starts,Straight Red Cards,Substitute Off,Throw Ins to Own Player,Total Big Chances Missed,Total Fouls Won,Total Red Cards,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Launches,Unsuccessful Passes Own Half,Clean Sheets,Clearances Off the Line,Interceptions,Successful Launches,Tackles Lost,Unsuccessful lay-offs,Assists (Intentional),Corners Taken (incl short corners),Foul Won Penalty,Goal Assists,Second Goal Assists,Successful Crosses & Corners,Successful Crosses open play,Total Big Chances Created,Unsuccessful Corners into Box,Attempts from Set Pieces,Direct Setpiece Goals,Goals from Outside Box,Set Pieces Goals,Successful Corners into Box,Through balls,GK Successful Distribution,Goal Kicks,Left Foot Goals,Headed Goals,Penalties Conceded,Total Big Chances Saved,Catches,Drops,GK Unsuccessful Distribution,Goalkeeper Smother,Penalties Faced,Penalties Saved,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves from Penalty,Saves made - caught,Saves made - parried,Own Goal Scored,Last Player Tackle,Red Cards - 2nd Yellow,Crosses not Claimed,Penalties Off Target,Direct Corner Goals
USA_USL_League_One,2025,South Georgia Tormenta FC,43tr063d8ut1mygz1xjfaedm2,Gabriel Alves,Defender,3,54.0,25.0,29.0,30.0,226.0,351.0,235.0,113.0,122.0,483.0,14.0,30.0,1.0,46.0,42.0,1.0,181.0,88.0,93.0,10.0,41.0,2.0,1153.0,4.0,,,203.0,53.0,32.0,85.0,1.0,426.0,7.0,,23.0,3.0,68.0,911.0,495.0,472.0,861.0,21.0,48.0,2586.0,28.0,,66.0,43.0,463.0,1176.0,12.0,929.0,34.0,27.0,247.0,1920.0,11.0,126.0,283.0,121.0,10.0,0.0,1.0,0.0,6.0,7.0,13.0,190.0,4.0,1.0,,1.0,32.0,10.0,5.0,30.0,1.0,3.0,201.0,2.0,38.0,1.0,85.0,78.0,71.0,49.0,2.0,,28.0,16.0,13.0,,3.0,16.0,,3.0,1.0,38.0,30.0,4.0,7.0,,,,,7.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,
USA_USL_League_One,2025,South Georgia Tormenta FC,2isxv4mvury3ew7on0tx3rpt6,Y. Bazini,Forward,19,142.0,73.0,69.0,31.0,134.0,138.0,280.0,142.0,138.0,97.0,7.0,31.0,11.0,32.0,29.0,11.0,138.0,69.0,69.0,10.0,75.0,10.0,372.0,3.0,1.0,,70.0,24.0,10.0,48.0,8.0,90.0,20.0,9.0,20.0,37.0,8.0,251.0,184.0,94.0,266.0,11.0,,1922.0,38.0,9.0,18.0,29.0,226.0,396.0,38.0,274.0,15.0,95.0,122.0,703.0,17.0,6.0,103.0,116.0,2.0,4.0,7.0,4.0,10.0,2.0,15.0,147.0,3.0,10.0,3.0,2.0,13.0,7.0,18.0,22.0,,14.0,2.0,8.0,37.0,,3.0,3.0,3.0,22.0,2.0,,5.0,,4.0,7.0,4.0,,2.0,4.0,1.0,4.0,4.0,6.0,,,,,,,2.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,
USA_USL_League_One,2025,South Georgia Tormenta FC,8t08t0apxw269hv16vhxaycbt,H. Bwana,Midfielder,71,16.0,12.0,4.0,22.0,107.0,158.0,76.0,48.0,28.0,89.0,2.0,22.0,3.0,14.0,14.0,3.0,60.0,36.0,24.0,10.0,52.0,3.0,363.0,3.0,1.0,1.0,82.0,11.0,3.0,38.0,1.0,130.0,5.0,14.0,8.0,16.0,20.0,295.0,200.0,115.0,290.0,8.0,,834.0,20.0,2.0,2.0,10.0,121.0,378.0,9.0,310.0,11.0,26.0,68.0,514.0,12.0,11.0,64.0,57.0,2.0,2.0,1.0,0.0,6.0,,5.0,57.0,,2.0,,,13.0,5.0,4.0,8.0,,6.0,10.0,,5.0,,12.0,4.0,6.0,16.0,,,2.0,,3.0,1.0,1.0,12.0,,2.0,,5.0,2.0,3.0,7.0,,,,,3.0,3.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2025,South Georgia Tormenta FC,cskhx4mpx2quo562ptajwbsru,Gabriel Cabral,Midfielder,8,64.0,33.0,31.0,30.0,318.0,378.0,270.0,114.0,156.0,403.0,22.0,30.0,1.0,43.0,40.0,1.0,206.0,81.0,125.0,10.0,316.0,,1383.0,4.0,,,133.0,41.0,24.0,127.0,1.0,447.0,7.0,2.0,7.0,48.0,94.0,1190.0,649.0,650.0,1184.0,25.0,,2531.0,22.0,1.0,34.0,37.0,312.0,1484.0,25.0,1278.0,29.0,18.0,206.0,1939.0,9.0,70.0,205.0,136.0,6.0,0.0,1.0,0.0,16.0,8.0,13.0,136.0,3.0,1.0,2.0,,34.0,10.0,18.0,28.0,,2.0,7.0,2.0,91.0,,43.0,7.0,34.0,44.0,3.0,,30.0,17.0,4.0,2.0,1.0,42.0,,1.0,,21.0,4.0,5.0,22.0,7.0,,,,10.0,2.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2025,South Georgia Tormenta FC,6ki7cq3dsamhsfb1x1a7i5x3p,C. Doyle,Midfielder,22,27.0,12.0,15.0,25.0,105.0,85.0,99.0,44.0,55.0,194.0,13.0,25.0,1.0,15.0,14.0,1.0,72.0,32.0,40.0,10.0,135.0,,554.0,,,,26.0,13.0,8.0,55.0,1.0,127.0,4.0,10.0,2.0,19.0,27.0,439.0,231.0,217.0,419.0,16.0,,1229.0,7.0,1.0,26.0,18.0,144.0,561.0,12.0,446.0,27.0,6.0,115.0,726.0,1.0,36.0,99.0,79.0,3.0,1.0,0.0,1.0,5.0,5.0,2.0,83.0,1.0,,1.0,,9.0,6.0,8.0,15.0,,11.0,4.0,,12.0,,15.0,15.0,21.0,31.0,1.0,1.0,13.0,6.0,11.0,1.0,1.0,,,1.0,,2.0,2.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2025,South Georgia Tormenta FC,24lvqm5mjuzs1j4ar8qm5t97t,A. Drey,Midfielder,14,33.0,13.0,20.0,14.0,62.0,76.0,92.0,43.0,49.0,108.0,6.0,14.0,,18.0,17.0,,59.0,30.0,29.0,10.0,143.0,,425.0,,,,26.0,10.0,4.0,38.0,,128.0,,4.0,1.0,7.0,26.0,366.0,147.0,234.0,355.0,10.0,,781.0,6.0,,16.0,16.0,76.0,441.0,2.0,381.0,15.0,1.0,60.0,542.0,2.0,24.0,42.0,36.0,2.0,,,0.0,2.0,8.0,,,1.0,,2.0,,4.0,4.0,2.0,10.0,,7.0,,,14.0,,3.0,3.0,14.0,21.0,,,5.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2025,South Georgia Tormenta FC,d1v9qtekbvt8wtpf1cye0t1qs,S. Gottlieb,Defender,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2025,South Georgia Tormenta FC,4hdai9za2ls03tjpcw0ahu5wq,T. Gray,Forward,10,30.0,15.0,15.0,24.0,74.0,138.0,129.0,70.0,59.0,73.0,8.0,24.0,1.0,14.0,13.0,,99.0,55.0,44.0,10.0,77.0,2.0,278.0,3.0,,,71.0,17.0,4.0,36.0,,58.0,4.0,16.0,9.0,3.0,10.0,207.0,132.0,84.0,201.0,8.0,3.0,857.0,24.0,,13.0,15.0,149.0,282.0,6.0,211.0,14.0,30.0,71.0,479.0,17.0,14.0,82.0,57.0,1.0,1.0,0.0,1.0,5.0,1.0,8.0,69.0,1.0,1.0,,,5.0,3.0,2.0,8.0,,8.0,17.0,1.0,22.0,,22.0,22.0,8.0,11.0,,,4.0,4.0,6.0,1.0,2.0,1.0,1.0,2.0,,5.0,5.0,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2025,South Georgia Tormenta FC,3uabsdabmrqqjuuvgdp1ll89g,L. Healy,Forward,31,3.0,2.0,1.0,2.0,1.0,,4.0,3.0,1.0,,,2.0,,1.0,1.0,,1.0,1.0,,10.0,,,3.0,,,,,,,,,2.0,,2.0,,,1.0,1.0,,1.0,,,,5.0,,,,1.0,3.0,3.0,,1.0,,1.0,2.0,4.0,,,2.0,2.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2025,South Georgia Tormenta FC,58uexaxruilsi52735lkwmqqx,O. Jiménez,Defender,58,24.0,15.0,9.0,30.0,170.0,216.0,131.0,72.0,59.0,321.0,12.0,30.0,,35.0,33.0,,107.0,57.0,50.0,10.0,322.0,3.0,837.0,1.0,,,89.0,29.0,20.0,79.0,,48.0,2.0,3.0,4.0,8.0,41.0,684.0,381.0,339.0,665.0,16.0,28.0,2020.0,18.0,,35.0,25.0,298.0,861.0,8.0,706.0,26.0,24.0,155.0,1342.0,11.0,52.0,183.0,103.0,6.0,,,0.0,4.0,5.0,14.0,179.0,2.0,,,,19.0,6.0,6.0,27.0,,18.0,157.0,,20.0,,63.0,36.0,22.0,35.0,2.0,2.0,14.0,9.0,10.0,1.0,3.0,35.0,,3.0,,14.0,6.0,3.0,24.0,,,,,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
