liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Offsides,Time Played,Throw Ins to Own Player,Successful Lay-offs,Goals,Right Foot Goals,Open Play Passes,Corners Won,Times Tackled,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Yellow Cards,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Successful Long Passes,Successful Crosses open play,Total Fouls Won,Unsuccessful Dribbles,Duels,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Assists (Intentional),Ground Duels lost,Leftside Passes,Goals from Inside Box,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Goal Assists,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Winning Goal,Substitute On,Penalty Goals Conceded,Aerial Duels won,Total Clearances,Handballs conceded,Successful Launches,Unsuccessful Launches,Shots Off Target (inc woodwork),Blocks,Blocked Shots,Throw Ins to Opposition Player,Second Goal Assists,Hit Woodwork,Penalties Conceded,Total Red Cards,Red Cards - 2nd Yellow,Successful Corners into Box,Attempts from Set Pieces,Left Foot Goals,Goals from Outside Box,Saves Made,GK Successful Distribution,Crosses not Claimed,Punches,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,GK Unsuccessful Distribution,Foul Won Penalty,Penalties Taken,Penalty Goals,Goalkeeper Smother,Headed Goals,Unsuccessful lay-offs,Own Goal Scored,Penalties Saved,Saves from Penalty,Straight Red Cards,Last Man Tackle,Clearances Off the Line,Home Goals,Away Goals,Set Pieces Goals,Saves made - caught
Canada_Canadian_Premier_League,2020,Pacific FC,exgvhzo1zgo07og3rsnjv13v9,C. Irving,Goalkeeper,13,,,540.0,,,,,138.0,,,,,16.0,1.0,61.0,,,1.0,62.0,136.0,1.0,1.0,214.0,,,,121.0,8.0,,62.0,53.0,,54.0,79.0,6.0,,8.0,307.0,,6.0,,2.0,102.0,,10.0,6.0,,31.0,,2.0,,8.0,8.0,,6.0,,,1.0,59.0,,110.0,152.0,6.0,1.0,,,,2.0,1.0,,1.0,0.0,,3.0,5.0,11.0,,9.0,28.0,,,,,,,,,,,,,,22.0,79.0,,5.0,3.0,5.0,6.0,3.0,15.0,4.0,14.0,,,,,,,,1.0,1.0,,,,,,,
Canada_Canadian_Premier_League,2020,Pacific FC,9rwo2uejpeqqkmy6lgacm0ley,L. MacNaughton,Defender,6,1.0,,720.0,4.0,,1.0,,462.0,,3.0,40.0,,85.0,,44.0,3.0,,9.0,102.0,315.0,13.0,48.0,492.0,,15.0,3.0,339.0,9.0,7.0,92.0,88.0,1.0,59.0,41.0,8.0,5.0,34.0,599.0,,8.0,5.0,44.0,204.0,9.0,10.0,47.0,1.0,61.0,,10.0,2.0,74.0,9.0,1.0,8.0,,,18.0,160.0,1.0,373.0,400.0,30.0,2.0,,,9.0,27.0,4.0,12.0,26.0,0.0,,4.0,21.0,30.0,,3.0,15.0,6.0,5.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Canada_Canadian_Premier_League,2020,Pacific FC,br7fuyg4h8gseboweg8wjujft,T. Meilleur-Giguère,Defender,26,,1.0,900.0,1.0,,,,606.0,,1.0,46.0,,108.0,1.0,54.0,7.0,,13.0,87.0,423.0,5.0,28.0,613.0,,5.0,1.0,465.0,13.0,2.0,82.0,194.0,1.0,56.0,54.0,10.0,8.0,26.0,727.0,,10.0,5.0,16.0,223.0,7.0,10.0,22.0,2.0,66.0,,1.0,1.0,44.0,13.0,,10.0,,,9.0,150.0,,525.0,531.0,28.0,2.0,,,3.0,22.0,2.0,25.0,7.0,0.0,,5.0,15.0,48.0,,6.0,27.0,,4.0,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,
Canada_Canadian_Premier_League,2020,Pacific FC,368zrfhpvljc7rvzkl1v0x1bd,A. Samaké,Defender,5,,,89.0,,,,,59.0,,,7.0,,12.0,,7.0,1.0,,2.0,12.0,37.0,2.0,5.0,61.0,2.0,2.0,,45.0,2.0,,12.0,9.0,,7.0,5.0,2.0,1.0,5.0,72.0,,3.0,1.0,4.0,26.0,,10.0,3.0,,4.0,,,,7.0,2.0,,3.0,,,2.0,19.0,,47.0,49.0,3.0,,,,1.0,4.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,2.0,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2020,Pacific FC,83d29e64znddf9kkyo62u4g6h,N. Verhoeven,Midfielder,19,2.0,2.0,173.0,3.0,,,,83.0,1.0,3.0,24.0,3.0,39.0,,2.0,1.0,,,29.0,26.0,3.0,20.0,84.0,2.0,2.0,7.0,59.0,3.0,2.0,22.0,16.0,3.0,21.0,8.0,2.0,9.0,3.0,115.0,2.0,3.0,2.0,17.0,28.0,2.0,10.0,11.0,2.0,3.0,2.0,1.0,1.0,17.0,3.0,2.0,3.0,,,6.0,16.0,,61.0,62.0,,,,,3.0,6.0,,1.0,11.0,0.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2020,Pacific FC,al5jt5ntx6alvfvo3tq1py6i2,Z. Verhoven,Midfielder,16,13.0,1.0,308.0,15.0,,1.0,1.0,126.0,7.0,19.0,32.0,8.0,68.0,1.0,6.0,2.0,,7.0,85.0,39.0,11.0,23.0,128.0,1.0,16.0,14.0,90.0,5.0,4.0,29.0,15.0,11.0,40.0,15.0,2.0,11.0,7.0,262.0,8.0,9.0,8.0,73.0,47.0,10.0,10.0,30.0,2.0,9.0,3.0,4.0,13.0,81.0,5.0,18.0,9.0,3.0,,44.0,34.0,1.0,98.0,99.0,8.0,,1.0,,5.0,51.0,6.0,5.0,29.0,0.0,7.0,2.0,1.0,,1.0,2.0,3.0,2.0,,2.0,2.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2020,Pacific FC,aisfml98z3uznfzhbopr5kmp5,M. Village,Goalkeeper,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2020,Pacific FC,3ucemntfw84vk7op9z7wnf36d,N. Wirth,Goalkeeper,1,,,360.0,,,,,81.0,,,,,11.0,,33.0,,,,39.0,87.0,,5.0,136.0,,1.0,,75.0,5.0,,38.0,34.0,,21.0,43.0,4.0,1.0,17.0,181.0,,4.0,1.0,3.0,54.0,,10.0,4.0,,23.0,,3.0,,5.0,5.0,,4.0,,,1.0,48.0,,65.0,98.0,2.0,1.0,,,,1.0,,,2.0,0.0,,2.0,2.0,4.0,,4.0,15.0,,,,,,,1.0,,,,,,,9.0,52.0,,2.0,,,4.0,1.0,5.0,2.0,8.0,,,,1.0,,,,,,,,,,,,
Canada_Canadian_Premier_League,2020,Pacific FC,dryx6vgko76wuqqr4g9pjl4ru,S. Young,Midfielder,20,,1.0,462.0,,1.0,,,199.0,1.0,7.0,44.0,1.0,82.0,1.0,4.0,2.0,,9.0,50.0,85.0,12.0,31.0,201.0,4.0,12.0,6.0,147.0,5.0,2.0,35.0,54.0,6.0,22.0,34.0,6.0,5.0,13.0,272.0,,9.0,3.0,45.0,57.0,8.0,10.0,30.0,1.0,19.0,1.0,5.0,1.0,61.0,5.0,,9.0,,,22.0,46.0,,164.0,166.0,16.0,2.0,,,7.0,31.0,5.0,6.0,23.0,0.0,3.0,3.0,7.0,7.0,1.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2020,Pacific FC,ckozved8umsj42boq3tte1byt,M. de Jong,Defender,17,15.0,,442.0,50.0,,,,247.0,7.0,5.0,23.0,5.0,106.0,,35.0,3.0,,2.0,106.0,86.0,9.0,35.0,257.0,4.0,3.0,4.0,165.0,6.0,6.0,70.0,75.0,9.0,68.0,22.0,6.0,13.0,21.0,410.0,7.0,7.0,2.0,26.0,152.0,6.0,10.0,23.0,2.0,22.0,4.0,4.0,3.0,34.0,6.0,19.0,7.0,4.0,,9.0,7.0,,179.0,187.0,8.0,,,,9.0,11.0,,10.0,17.0,0.0,1.0,2.0,6.0,14.0,,2.0,13.0,4.0,3.0,1.0,6.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
