liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels won,Total Clearances,Successful Passes Own Half,Successful Launches,Total Unsuccessful Passes ( Excl Crosses & Corners ),Unsuccessful Passes Opposition Half,Interceptions,PutThrough/Blocked Distribution,Open Play Passes,Times Tackled,Total Fouls Conceded,Total Successful Passes ( Excl Crosses & Corners ) ,Throw Ins to Own Player,Duels,Time Played,Rightside Passes,Total Tackles,Unsuccessful Crosses open play,Unsuccessful Corners into Box,Total Touches In Opposition Box,PutThrough/Blocked Distribution Won,Unsuccessful Launches,Total Passes,Successful Crosses open play,Substitute Off,Ground Duels,Shots Off Target (inc woodwork),Successful Dribbles,Aerial Duels,Goals Conceded,Corners Won,Total Losses Of Possession,GK Successful Distribution,Throw Ins to Opposition Player,Games Played,Ground Duels won,Unsuccessful Dribbles,Total Fouls Won,Blocks,Forward Passes,Unsuccessful Long Passes,Ground Duels lost,Tackles Lost,Assists (Intentional),Touches,Goals Conceded Inside Box,Duels lost,Total Shots,Unsuccessful Passes Own Half,Successful Short Passes,Unsuccessful Short Passes,Goals Conceded Outside Box,Backward Passes,Successful Long Passes,Yellow Cards,Key Passes (Attempt Assists),Recoveries,Corners Taken (incl short corners),Appearances,Tackles Won,Shots On Target ( inc goals ),Leftside Passes,Successful Open Play Passes,Aerial Duels lost,Successful Passes Opposition Half,Foul Attempted Tackle,Goal Assists,Duels won,Successful Crosses & Corners,Unsuccessful Crosses & Corners,Index,Starts,Home Goals,Away Goals,Winning Goal,Hit Woodwork,Headed Goals,Goals from Inside Box,Penalty Goals Conceded,Goals,Offsides,Blocked Shots,Right Foot Goals,Substitute On,Through balls,Fifty Fifty,Successful Fifty Fifty,Successful Lay-offs,Saves made - parried,Saves Made,Saves Made from Inside Box,Goalkeeper Smother,GK Unsuccessful Distribution,Catches,Saves Made from Outside Box,Successful Corners into Box,Handballs conceded,Red Cards - 2nd Yellow,Clean Sheets,Straight Red Cards,Own Goal Scored,Total Red Cards,Left Foot Goals,Unsuccessful lay-offs,Attempts from Set Pieces,Punches,Saves from Penalty,Penalties Faced,Penalties Saved,Last Man Tackle,Clearances Off the Line,Penalties Conceded,Second Goal Assists,Foul Won Penalty,Drops,Saves made - caught,Penalty Goals,Penalties Taken,Goals from Outside Box,Crosses not Claimed,Other Goals,Set Pieces Goals,Penalties Off Target
USA_USL_Championship,2022,Louisville City FC,9m07pgfzvwoikbgd6nmnjidp1,C. Bone,Midfielder,13,3.0,5.0,404.0,,167.0,179.0,24.0,32.0,1106.0,18.0,22.0,965.0,9.0,118.0,2110.0,301.0,29.0,19.0,18.0,36.0,16.0,6.0,1132.0,3.0,10.0,109.0,7.0,5.0,9.0,22.0,12.0,272.0,,,31.0,47.0,9.0,13.0,1.0,329.0,30.0,62.0,9.0,3.0,1393.0,21.0,68.0,12.0,27.0,904.0,137.0,1.0,210.0,61.0,2.0,32.0,138.0,24.0,31.0,20.0,5.0,292.0,942.0,6.0,568.0,15.0,3.0,50.0,7.0,39.0,10.0,22.0,,,0.0,,,,3.0,,3.0,7.0,,9.0,6.0,3.0,1.0,7.0,,,,,,,,3.0,1.0,,2.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2022,Louisville City FC,bst0cnba7qhy8yea6hng4enyt,W. Charpie,Defender,6,72.0,76.0,938.0,17.0,316.0,210.0,41.0,13.0,1706.0,15.0,42.0,1460.0,71.0,262.0,2782.0,515.0,29.0,13.0,,25.0,6.0,73.0,1776.0,3.0,9.0,131.0,7.0,10.0,131.0,24.0,4.0,385.0,1.0,21.0,36.0,60.0,9.0,21.0,16.0,697.0,171.0,71.0,13.0,1.0,2174.0,24.0,130.0,11.0,119.0,1314.0,145.0,,142.0,146.0,7.0,6.0,173.0,,36.0,16.0,4.0,422.0,1402.0,59.0,525.0,21.0,2.0,132.0,3.0,13.0,10.0,32.0,0.0,1.0,0.0,,,1.0,4.0,1.0,1.0,3.0,,4.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,9.0,1.0,,1.0,1.0,,,,,,,,,4.0,,,,,,,,,,,
USA_USL_Championship,2022,Louisville City FC,dgpphcc9ql3pv3b4chhchml90,O. Damm,Midfielder,67,,1.0,6.0,,6.0,7.0,2.0,2.0,18.0,1.0,,14.0,2.0,5.0,45.0,2.0,,1.0,,,,,20.0,,1.0,5.0,,1.0,,1.0,1.0,10.0,,1.0,1.0,4.0,1.0,3.0,,7.0,,1.0,,,33.0,1.0,1.0,,,14.0,6.0,,8.0,,,1.0,5.0,,1.0,,,3.0,12.0,,8.0,,,4.0,,1.0,10.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2022,Louisville City FC,8ji7rdv7551irvuu5e0q3m9jp,P. DelPiccolo,Midfielder,36,55.0,16.0,143.0,2.0,186.0,180.0,11.0,29.0,603.0,21.0,39.0,429.0,3.0,255.0,1961.0,137.0,28.0,12.0,11.0,66.0,15.0,16.0,615.0,2.0,22.0,151.0,15.0,4.0,104.0,20.0,8.0,273.0,,1.0,37.0,62.0,8.0,32.0,5.0,276.0,32.0,89.0,12.0,2.0,916.0,19.0,138.0,28.0,34.0,405.0,154.0,1.0,91.0,24.0,7.0,19.0,94.0,18.0,37.0,16.0,13.0,111.0,418.0,49.0,295.0,26.0,2.0,117.0,9.0,28.0,10.0,26.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,4.0,1.0,11.0,1.0,11.0,6.0,2.0,1.0,5.0,,,,,,,,5.0,1.0,,4.0,,,,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2022,Louisville City FC,7f1q3d59u9n16v9xrskfxqsq1,A. Dia,Defender,3,47.0,54.0,461.0,12.0,364.0,346.0,41.0,60.0,1310.0,26.0,30.0,996.0,243.0,229.0,2723.0,409.0,42.0,64.0,19.0,41.0,24.0,61.0,1360.0,22.0,5.0,151.0,5.0,16.0,78.0,24.0,17.0,578.0,,48.0,32.0,87.0,13.0,30.0,5.0,632.0,146.0,64.0,11.0,7.0,2123.0,23.0,95.0,5.0,107.0,915.0,218.0,1.0,250.0,81.0,8.0,33.0,169.0,25.0,32.0,31.0,,69.0,951.0,31.0,562.0,15.0,8.0,134.0,27.0,89.0,10.0,31.0,,,0.0,,,,3.0,,4.0,1.0,,1.0,7.0,3.0,2.0,,,,,,,,,2.0,,1.0,10.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2022,Louisville City FC,hglsr5ybsi6bsl178ge0c31m,D. Faundez,Goalkeeper,18,2.0,13.0,143.0,13.0,102.0,82.0,,,169.0,,,179.0,,5.0,861.0,39.0,,,,,,39.0,281.0,,,3.0,,,2.0,9.0,,102.0,61.0,,9.0,3.0,,3.0,,189.0,98.0,,,,354.0,8.0,,,20.0,124.0,4.0,1.0,,55.0,1.0,,66.0,,9.0,,,53.0,118.0,,36.0,,,5.0,,,10.0,8.0,,,0.0,,,,2.0,,,,,1.0,,,,,7.0,24.0,18.0,,22.0,2.0,5.0,,,,3.0,,,,,,,4.0,,3.0,,,,,,,,,,,,,,,
USA_USL_Championship,2022,Louisville City FC,4jq1xl8ott88bxfdo4bjm47hl,T. Gibson,Midfielder,12,19.0,23.0,591.0,7.0,219.0,151.0,31.0,23.0,1328.0,7.0,25.0,1144.0,1.0,154.0,2442.0,329.0,30.0,1.0,,3.0,9.0,26.0,1363.0,1.0,11.0,100.0,3.0,4.0,54.0,21.0,3.0,248.0,,1.0,32.0,53.0,1.0,19.0,1.0,428.0,76.0,47.0,14.0,,1555.0,20.0,82.0,3.0,69.0,1031.0,143.0,1.0,212.0,113.0,3.0,12.0,159.0,,32.0,16.0,,394.0,1111.0,35.0,554.0,10.0,,72.0,1.0,1.0,10.0,29.0,,,0.0,,,,4.0,,,2.0,,3.0,1.0,,,8.0,,,,,,,,,3.0,,9.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2022,Louisville City FC,2lkasajm52puoopsfq2mtewru,Jorge González,Forward,9,49.0,16.0,147.0,,142.0,157.0,12.0,32.0,600.0,52.0,46.0,465.0,10.0,292.0,1900.0,175.0,23.0,22.0,3.0,77.0,15.0,4.0,607.0,5.0,18.0,192.0,15.0,26.0,100.0,20.0,13.0,272.0,,1.0,27.0,75.0,30.0,26.0,1.0,165.0,11.0,117.0,8.0,1.0,972.0,20.0,168.0,37.0,14.0,448.0,131.0,,166.0,17.0,7.0,28.0,83.0,6.0,27.0,15.0,22.0,101.0,458.0,51.0,325.0,27.0,2.0,124.0,7.0,29.0,10.0,22.0,1.0,2.0,1.0,1.0,,3.0,4.0,3.0,7.0,19.0,2.0,5.0,1.0,,,7.0,,,,,,,,2.0,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2022,Louisville City FC,89ixapo4jd0qy98gmvl4a6jje,W. Harris,Forward,14,49.0,5.0,89.0,1.0,144.0,140.0,1.0,38.0,402.0,89.0,35.0,303.0,,349.0,2273.0,88.0,26.0,10.0,,140.0,16.0,,447.0,,13.0,204.0,31.0,25.0,145.0,21.0,19.0,338.0,,2.0,34.0,72.0,41.0,22.0,1.0,122.0,6.0,132.0,12.0,1.0,888.0,20.0,228.0,73.0,14.0,294.0,138.0,1.0,141.0,9.0,3.0,17.0,69.0,1.0,34.0,14.0,42.0,96.0,258.0,96.0,214.0,14.0,3.0,121.0,,10.0,10.0,26.0,10.0,5.0,5.0,1.0,1.0,13.0,4.0,15.0,28.0,19.0,7.0,8.0,5.0,2.0,1.0,14.0,,,,,,,,,1.0,1.0,7.0,,,1.0,7.0,2.0,5.0,,,,,1.0,,,,1.0,,,1.0,1.0,2.0,,,2.0,
USA_USL_Championship,2022,Louisville City FC,58uexaxruilsi52735lkwmqqx,O. Jiménez,Defender,19,1.0,20.0,92.0,3.0,65.0,90.0,6.0,6.0,270.0,6.0,6.0,222.0,57.0,41.0,618.0,39.0,5.0,20.0,12.0,2.0,1.0,9.0,287.0,2.0,4.0,33.0,1.0,2.0,8.0,9.0,6.0,131.0,,12.0,21.0,14.0,4.0,7.0,,124.0,25.0,19.0,2.0,1.0,472.0,9.0,26.0,2.0,11.0,205.0,40.0,,49.0,17.0,1.0,13.0,44.0,24.0,21.0,3.0,1.0,75.0,209.0,7.0,141.0,2.0,1.0,15.0,11.0,36.0,10.0,5.0,,,0.0,,,,2.0,,,,,16.0,4.0,,,,,,,,,,,7.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2022,Louisville City FC,4c8kzaso29h55hzvspc6x4glw,J. Kron,Goalkeeper,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2022,Louisville City FC,4f03usm5tnljkqleajmz9kmol,C. Lancaster,Forward,17,1.0,,18.0,,21.0,17.0,,4.0,67.0,6.0,4.0,54.0,1.0,32.0,280.0,21.0,3.0,,,12.0,1.0,1.0,75.0,1.0,3.0,24.0,3.0,1.0,8.0,5.0,2.0,36.0,,,8.0,13.0,1.0,9.0,,17.0,3.0,11.0,2.0,,128.0,5.0,18.0,8.0,4.0,52.0,18.0,,17.0,2.0,3.0,6.0,10.0,1.0,8.0,1.0,5.0,20.0,46.0,7.0,39.0,1.0,,14.0,3.0,,10.0,2.0,4.0,0.0,2.0,,,4.0,1.0,4.0,1.0,1.0,4.0,6.0,,,,4.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,3.0,,,,,
USA_USL_Championship,2022,Louisville City FC,1pskishj1zfs5dtf2jnpkdx49,J. Leinhos,Defender,30,3.0,4.0,31.0,,29.0,22.0,5.0,2.0,91.0,4.0,3.0,64.0,15.0,19.0,231.0,13.0,1.0,1.0,,,1.0,8.0,93.0,,,14.0,,3.0,5.0,5.0,,44.0,,7.0,4.0,6.0,1.0,2.0,2.0,47.0,16.0,8.0,1.0,,150.0,5.0,10.0,,8.0,58.0,13.0,,17.0,6.0,,1.0,22.0,,4.0,,,16.0,63.0,2.0,33.0,2.0,,9.0,,1.0,10.0,2.0,,,0.0,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2022,Louisville City FC,6b3gpcxipjbkqpeiahugoplgp,N. Matsoso,Midfielder,7,3.0,7.0,130.0,2.0,54.0,36.0,11.0,8.0,335.0,12.0,14.0,286.0,12.0,92.0,727.0,94.0,24.0,5.0,,18.0,4.0,9.0,340.0,1.0,2.0,84.0,6.0,4.0,8.0,6.0,5.0,90.0,,,30.0,45.0,5.0,17.0,,84.0,13.0,39.0,16.0,1.0,488.0,6.0,44.0,7.0,23.0,269.0,41.0,,79.0,17.0,2.0,5.0,73.0,2.0,30.0,8.0,1.0,83.0,281.0,5.0,157.0,10.0,1.0,48.0,1.0,5.0,10.0,4.0,0.0,1.0,1.0,,,1.0,1.0,1.0,,9.0,,26.0,,5.0,2.0,4.0,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,
USA_USL_Championship,2022,Louisville City FC,bteydgv4om5ylyoznx9vesogl,N. McCabe,Midfielder,11,12.0,9.0,210.0,3.0,83.0,137.0,5.0,12.0,527.0,8.0,10.0,470.0,4.0,61.0,935.0,169.0,9.0,11.0,41.0,13.0,5.0,10.0,553.0,7.0,7.0,40.0,5.0,3.0,21.0,9.0,10.0,171.0,,,16.0,21.0,5.0,10.0,2.0,160.0,27.0,19.0,2.0,5.0,747.0,9.0,28.0,14.0,11.0,428.0,56.0,,83.0,42.0,3.0,19.0,58.0,64.0,16.0,7.0,9.0,141.0,446.0,9.0,289.0,8.0,5.0,33.0,29.0,65.0,10.0,11.0,0.0,3.0,0.0,,,1.0,1.0,3.0,,2.0,3.0,5.0,2.0,,,1.0,,,,,,,,20.0,,,1.0,,,,,,6.0,,,,,,,,,,,,1.0,1.0,2.0,,,1.0,
USA_USL_Championship,2022,Louisville City FC,1xb2wmuzlhgo6vt7f9yl2rnkk,C. Moguel,Midfielder,8,7.0,11.0,80.0,1.0,47.0,56.0,13.0,10.0,199.0,1.0,5.0,163.0,1.0,40.0,448.0,43.0,12.0,3.0,17.0,1.0,8.0,5.0,210.0,2.0,3.0,24.0,2.0,,16.0,4.0,6.0,78.0,,,16.0,14.0,,2.0,,67.0,16.0,10.0,4.0,,317.0,4.0,19.0,3.0,16.0,142.0,31.0,,44.0,21.0,2.0,8.0,26.0,27.0,16.0,8.0,1.0,56.0,154.0,9.0,95.0,3.0,,21.0,12.0,25.0,10.0,3.0,,,0.0,,,,,,,5.0,,13.0,,,,,,,,,,,,7.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2022,Louisville City FC,1xe0py7x4van1c5s7gmkulyp5,K. Morton,Goalkeeper,1,4.0,20.0,461.0,32.0,278.0,216.0,1.0,2.0,551.0,1.0,,553.0,,10.0,2439.0,141.0,,,,,,109.0,831.0,,1.0,6.0,,,4.0,20.0,,284.0,221.0,,28.0,4.0,,4.0,,501.0,273.0,2.0,,,1071.0,20.0,2.0,,62.0,404.0,5.0,,,149.0,2.0,1.0,254.0,,28.0,,,189.0,409.0,,92.0,,1.0,8.0,,,10.0,28.0,,,0.0,,,,2.0,,,,,,,,,,8.0,52.0,35.0,4.0,62.0,22.0,17.0,,,,13.0,,,,,,,5.0,,2.0,,,,,,,,2.0,,,,,,,
