liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Carries,Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Games Played,Goal Assists,Goals,Goals Conceded,Goals Conceded Outside Box,Goals Openplay,Goals from Outside Box,Ground Duels,Ground Duels lost,Ground Duels won,Key Passes (Attempt Assists),Leftside Passes,Offsides,Open Play Passes,Overruns,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Right Foot Goals,Rightside Passes,Shots Created,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Substitute Off,Successful Crosses & Corners,Successful Crosses open play,Successful Dribbles,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Through balls,Time Played,Times Tackled,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Unsuccessful Passes Opposition Half,Unsuccessful Short Passes,Yellow Cards,Home Goals,Away Goals,Winning Goal,Substitute On,Aerial Duels lost,Foul Won Penalty,Goals Conceded Inside Box,Goals from Inside Box,Hit Woodwork,Left Foot Goals,Other Goals,Tackles Won,Total Big Chances Created,Total Big Chances Missed,Total Big Chances Scored,Unsuccessful Passes Own Half,Blocks,GK Successful Distribution,Goal Kicks,Handballs conceded,Interceptions,Penalties Conceded,Penalty Goals Conceded,Red Cards - 2nd Yellow,Successful Launches,Throw Ins to Opposition Player,Throw Ins to Own Player,Total Red Cards,Unsuccessful Launches,Unsuccessful Long Passes,Assists (Intentional),Clean Sheets,Total Big Chances Saved,GK Unsuccessful Distribution,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - parried,Attempts from Set Pieces,Corners Taken (incl short corners),Successful Corners into Box,Unsuccessful Corners into Box,Second Goal Assists,Catches,Goalkeeper Smother,Penalties Faced,Headed Goals,Penalties Taken,Clearances Off the Line,Last Player Tackle,Own Goal Scored,Unsuccessful lay-offs,Direct Setpiece Goals,Penalty Goals,Set Pieces Goals,Punches,Straight Red Cards,Drops,Penalties Saved,Saves from Penalty,Penalties Off Target,Saves made - caught,Direct Corner Goals,Crosses not Claimed
USA_MLS_Next_Pro,2026,New England Revolution II,5dwkv2tw8yn09txh69qu9e2ok,L. Azar,Midfielder,44,1.0,1.0,1.0,3.0,,2.0,,7.0,3.0,4.0,4.0,3.0,1.0,1.0,,,1.0,1.0,,,6.0,3.0,3.0,,3.0,,11.0,,,1.0,1.0,4.0,,3.0,,,,1.0,1.0,,,,,,6.0,2.0,5.0,7.0,,,45.0,2.0,1.0,1.0,2.0,9.0,12.0,,7.0,1.0,,5.0,24.0,,,,4.0,5.0,,,,0.0,,,,,,,,,1.0,,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2026,New England Revolution II,esbrve1fywvzexaws4byj07sa,J. Buck,Midfielder,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2026,New England Revolution II,e5yhe0b6pydaedttxl9ibn6z8,C. Carlos,Midfielder,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2026,New England Revolution II,xxu2xv2n6f5d51ksa8z4rv2s,J. Da,Forward,10,29.0,15.0,10.0,53.0,5.0,55.0,3.0,92.0,57.0,35.0,147.0,29.0,3.0,10.0,,1.0,5.0,1.0,1.0,,63.0,43.0,20.0,8.0,33.0,8.0,144.0,,28.0,9.0,6.0,17.0,1.0,42.0,8.0,7.0,6.0,7.0,5.0,1.0,1.0,8.0,21.0,,97.0,77.0,34.0,110.0,2.0,,632.0,24.0,4.0,19.0,10.0,89.0,157.0,13.0,110.0,2.0,40.0,47.0,262.0,3.0,3.0,6.0,43.0,47.0,4.0,1.0,0.0,1.0,3.0,14.0,,4.0,1.0,1.0,,,,1.0,3.0,1.0,7.0,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,
USA_MLS_Next_Pro,2026,New England Revolution II,3ch5hqfd2ge7gkyfmegobxega,G. Dahlin,Defender,6,12.0,7.0,7.0,62.0,1.0,129.0,3.0,47.0,17.0,30.0,88.0,154.0,1.0,7.0,1.0,,7.0,2.0,,,35.0,12.0,23.0,1.0,160.0,,413.0,1.0,66.0,6.0,4.0,37.0,,59.0,2.0,2.0,1.0,7.0,,1.0,1.0,6.0,,27.0,353.0,167.0,209.0,348.0,3.0,1.0,630.0,6.0,23.0,2.0,7.0,79.0,435.0,3.0,375.0,10.0,9.0,60.0,548.0,3.0,3.0,4.0,47.0,28.0,2.0,,,0.0,,5.0,,5.0,,,,,7.0,1.0,,,16.0,3.0,,,,12.0,,,,4.0,2.0,15.0,,20.0,32.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2026,New England Revolution II,2y1xy5yfy4ky4wpxplihk6xas,G. Emerhi,Midfielder,78,,,1.0,5.0,1.0,7.0,1.0,8.0,1.0,7.0,16.0,1.0,,1.0,,,,,,,8.0,1.0,7.0,,8.0,,14.0,,6.0,1.0,,3.0,,,,1.0,,1.0,1.0,,,2.0,,,11.0,7.0,4.0,11.0,,,45.0,1.0,,,2.0,8.0,14.0,1.0,11.0,3.0,3.0,3.0,30.0,3.0,3.0,1.0,4.0,3.0,,,,0.0,,,,,,1.0,,,3.0,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2026,New England Revolution II,bzv3yqbc7ttf7fftbm2nelxck,M. Fry,Forward,32,1.0,,3.0,15.0,1.0,46.0,4.0,29.0,15.0,14.0,82.0,25.0,4.0,3.0,,1.0,2.0,,1.0,,28.0,14.0,14.0,2.0,29.0,1.0,75.0,,27.0,10.0,4.0,10.0,,7.0,2.0,,2.0,3.0,1.0,1.0,,11.0,,2.0,56.0,44.0,14.0,55.0,,,240.0,6.0,1.0,5.0,1.0,36.0,76.0,2.0,57.0,2.0,19.0,19.0,124.0,7.0,3.0,3.0,23.0,17.0,2.0,1.0,0.0,0.0,,1.0,,2.0,1.0,,1.0,,2.0,,,1.0,3.0,,,,,,,,,,,3.0,,,2.0,,1.0,,,,,,,,5.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2026,New England Revolution II,3zt1tury2xdk2nuj9tm0n9dzo,S. George,Midfielder,20,4.0,,3.0,2.0,,3.0,,9.0,7.0,2.0,10.0,,2.0,3.0,,,1.0,,,,5.0,3.0,2.0,2.0,6.0,,8.0,1.0,2.0,2.0,1.0,1.0,,1.0,2.0,1.0,,,,,,1.0,,,5.0,5.0,1.0,6.0,1.0,,36.0,1.0,,2.0,,6.0,9.0,1.0,6.0,1.0,3.0,3.0,16.0,,,1.0,3.0,3.0,,,,0.0,3.0,4.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2026,New England Revolution II,opnutov04c33y3gq2fjpkaac,J. Gunn,Goalkeeper,73,,,4.0,,,6.0,,2.0,,2.0,,40.0,,4.0,,,3.0,2.0,,,2.0,,2.0,,15.0,,41.0,,2.0,,,32.0,,20.0,,,,4.0,,,,,,16.0,33.0,9.0,48.0,41.0,,,360.0,,,,2.0,19.0,75.0,,57.0,,,18.0,107.0,,,,13.0,2.0,,,,0.0,,,,1.0,,,,,,,,,5.0,,30.0,14.0,,,,,,9.0,,,,7.0,16.0,,2.0,2.0,1.0,9.0,7.0,2.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,
USA_MLS_Next_Pro,2026,New England Revolution II,c3rqu0xnwe51bvf9ohw9nsi6s,L. Katsell,Midfielder,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
