liga,temporada,equipo,id,nombre,posicion,dorsal,Time Played,Substitute On,Appearances,Index,Games Played,Yellow Cards,Substitute Off,Goals Conceded Inside Box,Starts,Goals Conceded,Clean Sheets,Goals,Right Foot Goals,Open Play Passes,Successful Passes Opposition Half,Total Passes,Successful Short Passes,Total Shots,Touches,Total Touches In Opposition Box,Shots On Target ( inc goals ),Assists (Intentional),Leftside Passes,Goals from Inside Box,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Goal Assists,Successful Crosses & Corners,Successful Crosses open play,Total Red Cards,Straight Red Cards,Headed Goals,Forward Passes,Unsuccessful Crosses open play,Throw Ins to Own Player,Successful Lay-offs,Corners Won,Backward Passes,Unsuccessful Long Passes,Shots Off Target (inc woodwork),Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Fouls Conceded,Successful Dribbles,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Recoveries,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Ground Duels,Duels won,Successful Long Passes,Total Fouls Won,Unsuccessful Dribbles,Duels,Left Foot Goals,Unsuccessful Crosses & Corners,Handballs conceded,Ground Duels lost,Tackles Won,Duels lost,Tackles Lost,Ground Duels won,Successful Launches,PutThrough/Blocked Distribution Won,Aerial Duels lost,Set Pieces Goals,Goals from Outside Box,Attempts from Set Pieces,Aerial Duels won,Total Clearances,Aerial Duels,Unsuccessful lay-offs,Offsides,Unsuccessful Launches,Foul Attempted Tackle,Blocks,Interceptions,Corners Taken (incl short corners),Unsuccessful Corners into Box,Saves Made,GK Successful Distribution,Catches,Saves Made from Inside Box,Penalties Conceded,Throw Ins to Opposition Player,Penalties Off Target,Penalties Taken,Successful Corners into Box,Punches,Saves Made from Outside Box,Saves made - parried,Penalties Faced,GK Unsuccessful Distribution,Own Goal Scored,Goals Conceded Outside Box,Penalties Saved,Saves from Penalty,Clearances Off the Line,Hit Woodwork,Red Cards - 2nd Yellow,Foul Won Penalty,Penalty Goals,Goalkeeper Smother,Through balls,Saves made - caught,Drops
Concacaf_Concacaf_U17,2017 Panama,Panama Under 17,1gs1muiwgw430uoo1y3j673s9,J. Barría,Defender,2,90.0,,1.0,10.0,1.0,1.0,,1.0,1.0,1.0,,,,25.0,5.0,27.0,10.0,,37.0,,,,6.0,,14.0,15.0,,,,,,,18.0,,,,,3.0,10.0,,13.0,10.0,4.0,2.0,2.0,,12.0,,,8.0,,3.0,,4.0,7.0,7.0,5.0,2.0,,9.0,,,,1.0,3.0,2.0,1.0,6.0,,,1.0,,,,1.0,1.0,2.0,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_U17,2017 Panama,Panama Under 17,ck6lztyt72jzem58a54n7uz8p,J. Clement,Forward,9,326.0,1.0,5.0,10.0,5.0,,3.0,2.0,4.0,3.0,1.0,,,25.0,15.0,27.0,18.0,1.0,53.0,4.0,,1.0,3.0,,17.0,18.0,1.0,1.0,1.0,,,,6.0,2.0,,1.0,2.0,12.0,1.0,1.0,27.0,4.0,1.0,8.0,9.0,2.0,9.0,6.0,3.0,9.0,,5.0,1.0,2.0,24.0,7.0,,2.0,2.0,30.0,,2.0,2.0,19.0,1.0,23.0,,5.0,,,4.0,,,,2.0,,6.0,,1.0,,3.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Concacaf_Concacaf_U17,2017 Panama,Panama Under 17,2ssshmxh2qvljjgbkgcl5r65l,A. Cundumi,Midfielder,16,435.0,,5.0,10.0,5.0,,1.0,3.0,5.0,5.0,1.0,,,86.0,42.0,90.0,55.0,1.0,182.0,1.0,,,3.0,,57.0,61.0,,1.0,1.0,,,,54.0,1.0,34.0,,,10.0,11.0,1.0,52.0,20.0,11.0,18.0,6.0,,29.0,23.0,1.0,19.0,,14.0,4.0,11.0,29.0,21.0,6.0,4.0,,37.0,,1.0,1.0,14.0,10.0,16.0,1.0,15.0,,3.0,2.0,,,,6.0,6.0,8.0,,,7.0,2.0,,7.0,1.0,,,,,,1.0,8.0,,,,,,,,,,2.0,,,,,,,,,,,
Concacaf_Concacaf_U17,2017 Panama,Panama Under 17,5mas9v0oj8k30tbvm2krg98tl,E. Cunningham,Midfielder,5,298.0,1.0,5.0,10.0,5.0,1.0,3.0,3.0,4.0,5.0,,,,106.0,40.0,109.0,63.0,1.0,146.0,,,1.0,16.0,,67.0,68.0,1.0,,,,,,57.0,,1.0,1.0,,10.0,8.0,1.0,53.0,28.0,4.0,33.0,4.0,1.0,41.0,26.0,2.0,37.0,,15.0,4.0,4.0,15.0,14.0,5.0,4.0,,28.0,,,,7.0,3.0,14.0,1.0,8.0,1.0,3.0,7.0,,,,6.0,4.0,13.0,,,2.0,2.0,,5.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
Concacaf_Concacaf_U17,2017 Panama,Panama Under 17,20xmxjlrf3rg2znom4ra6p1bd,A. Fábrega,Goalkeeper,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_U17,2017 Panama,Panama Under 17,6cxjaeza5yvib1tndjq7hjv1l,J. Frías,Goalkeeper,1,450.0,,5.0,10.0,5.0,,,3.0,5.0,5.0,2.0,,,15.0,21.0,67.0,17.0,,85.0,,,,5.0,,11.0,46.0,1.0,,,,,,53.0,,,,,,21.0,,23.0,25.0,,,,,21.0,9.0,,13.0,,24.0,,8.0,1.0,1.0,29.0,1.0,,1.0,,,,,,,,1.0,4.0,,,,,,,,,,,5.0,,,,,,9.0,25.0,2.0,4.0,,,,,,,5.0,3.0,1.0,9.0,,2.0,,,,,,,,,,2.0,1.0
Concacaf_Concacaf_U17,2017 Panama,Panama Under 17,c69qj07n606xz1tiv7p9ifv1l,A. Fruto,Midfielder,15,275.0,2.0,5.0,10.0,5.0,,3.0,2.0,3.0,4.0,,,,64.0,30.0,65.0,44.0,2.0,125.0,6.0,2.0,,24.0,,43.0,44.0,,,,,,,21.0,2.0,1.0,1.0,1.0,13.0,2.0,,46.0,14.0,6.0,19.0,4.0,9.0,21.0,7.0,2.0,18.0,2.0,14.0,8.0,5.0,42.0,22.0,,4.0,3.0,47.0,,2.0,,23.0,5.0,25.0,1.0,19.0,,6.0,2.0,,,,3.0,,5.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
Concacaf_Concacaf_U17,2017 Panama,Panama Under 17,6sn6a1xpp6tyqac8a21ka1fxl,V. Griffith,Midfielder,8,450.0,,5.0,10.0,5.0,1.0,,3.0,5.0,5.0,2.0,,,134.0,50.0,142.0,103.0,3.0,201.0,2.0,1.0,,27.0,,103.0,110.0,,,,,,,50.0,,,,1.0,14.0,7.0,2.0,45.0,60.0,15.0,25.0,4.0,,32.0,51.0,1.0,24.0,1.0,14.0,3.0,8.0,32.0,25.0,7.0,7.0,,38.0,,,,11.0,14.0,13.0,1.0,21.0,,2.0,2.0,,,,4.0,5.0,6.0,,,1.0,4.0,,7.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
Concacaf_Concacaf_U17,2017 Panama,Panama Under 17,av1smi3bszrl0svtyte6pthwp,E. Guerrero,Midfielder,11,437.0,,5.0,10.0,5.0,1.0,1.0,3.0,5.0,5.0,2.0,4.0,4.0,75.0,36.0,75.0,53.0,13.0,140.0,14.0,8.0,,11.0,4.0,54.0,54.0,,,,,,,21.0,2.0,,5.0,1.0,24.0,1.0,5.0,50.0,18.0,7.0,20.0,6.0,3.0,21.0,19.0,2.0,18.0,2.0,12.0,4.0,5.0,40.0,16.0,1.0,3.0,3.0,46.0,,2.0,1.0,27.0,5.0,30.0,2.0,13.0,,3.0,3.0,,,,3.0,,6.0,1.0,2.0,,3.0,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,
Concacaf_Concacaf_U17,2017 Panama,Panama Under 17,4kpyvyyjj537euejxau6xkoa1,R. Guzmán,Defender,13,359.0,,4.0,10.0,4.0,,,2.0,4.0,4.0,2.0,,,51.0,12.0,53.0,31.0,,72.0,,,,7.0,,38.0,40.0,,,,1.0,1.0,,27.0,,1.0,,,3.0,4.0,,16.0,28.0,3.0,9.0,2.0,1.0,13.0,16.0,1.0,6.0,,6.0,,7.0,9.0,8.0,9.0,2.0,,11.0,,,,3.0,3.0,3.0,,6.0,3.0,,,,,,2.0,8.0,2.0,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
