liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Throw Ins to Own Player,Successful Lay-offs,Successful Launches,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Yellow Cards,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Attempts from Set Pieces,Successful Long Passes,Successful Crosses open play,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Hit Woodwork,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Unsuccessful lay-offs,Goal Assists,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Substitute On,Offsides,Penalties Conceded,Goals,Successful Corners into Box,Total Red Cards,Throw Ins to Opposition Player,Red Cards - 2nd Yellow,Blocks,Left Foot Goals,Unsuccessful Corners into Box,Handballs conceded,Assists (Intentional),Goals from Inside Box,Penalties Taken,Penalty Goals,Goals from Outside Box,Headed Goals,Last Man Tackle,Straight Red Cards,Saves Made,GK Successful Distribution,Punches,Goalkeeper Smother,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves made - caught,GK Unsuccessful Distribution,Right Foot Goals,Foul Won Penalty,Set Pieces Goals,Drops,Penalties Off Target,Crosses not Claimed,Own Goal Scored,Clearances Off the Line,Penalties Saved,Saves from Penalty,Other Goals
Mexico_Liga_MX,2017-2018,Querétaro FC,9nu96uyhtoq565f332lcyhzop,G. Alcalá,Goalkeeper,33,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2017-2018,Querétaro FC,b06e6h9f059bdqstozlln57mx,A. Arellano,Midfielder,8,2.0,330.0,1.0,,,122.0,,18.0,,56.0,,2.0,3.0,3.0,1.0,4.0,5.0,23.0,55.0,10.0,11.0,125.0,1.0,5.0,,104.0,2.0,1.0,14.0,27.0,2.0,13.0,,11.0,2.0,3.0,4.0,170.0,,7.0,3.0,28.0,26.0,3.0,10.0,18.0,,,7.0,,6.0,2.0,1.0,35.0,1.0,6.0,3.0,7.0,,12.0,54.0,108.0,111.0,7.0,,,,,6.0,17.0,4.0,5.0,16.0,5.0,,,,,,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2017-2018,Querétaro FC,5mh7wvpi31e4feo3m4u54fvf9,Edgar Benítez,Forward,23,7.0,459.0,3.0,6.0,1.0,125.0,6.0,36.0,5.0,70.0,,1.0,2.0,4.0,1.0,1.0,11.0,66.0,38.0,7.0,21.0,126.0,4.0,9.0,11.0,97.0,5.0,4.0,23.0,49.0,4.0,27.0,1.0,23.0,5.0,9.0,6.0,226.0,4.0,8.0,7.0,66.0,26.0,10.0,10.0,30.0,3.0,1.0,6.0,4.0,9.0,3.0,10.0,80.0,2.0,6.0,10.0,8.0,,39.0,15.0,102.0,103.0,14.0,,,1.0,,4.0,50.0,3.0,3.0,27.0,3.0,1.0,,,1.0,,,,2.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2017-2018,Querétaro FC,2um6tj55ickc9o3dpfmbiu28l,M. Britos,Forward,15,,445.0,,18.0,,120.0,1.0,33.0,2.0,69.0,1.0,1.0,2.0,2.0,3.0,2.0,36.0,44.0,31.0,5.0,27.0,127.0,3.0,8.0,1.0,98.0,2.0,5.0,29.0,43.0,3.0,24.0,3.0,10.0,4.0,5.0,5.0,171.0,,10.0,6.0,28.0,25.0,17.0,10.0,30.0,2.0,,,2.0,5.0,19.0,,83.0,4.0,4.0,,10.0,,17.0,26.0,91.0,98.0,55.0,,2.0,,,3.0,53.0,2.0,,11.0,6.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2017-2018,Querétaro FC,a8rrht3jerm0hxodcudoym85x,Y. Candelo,Midfielder,19,38.0,976.0,10.0,14.0,1.0,370.0,17.0,80.0,13.0,184.0,2.0,1.0,18.0,16.0,8.0,3.0,8.0,215.0,106.0,22.0,82.0,377.0,1.0,14.0,15.0,258.0,10.0,10.0,100.0,51.0,18.0,121.0,4.0,63.0,10.0,45.0,31.0,608.0,17.0,12.0,10.0,112.0,111.0,33.0,10.0,56.0,2.0,,19.0,8.0,10.0,9.0,10.0,129.0,1.0,13.0,52.0,12.0,1.0,65.0,135.0,274.0,277.0,17.0,2.0,1.0,2.0,1.0,18.0,73.0,4.0,7.0,47.0,2.0,5.0,,,4.0,,2.0,,1.0,,12.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2017-2018,Querétaro FC,80jgo5f50a94hyuglcc2rxjo5,G. Corral,Defender,2,23.0,1220.0,84.0,,4.0,520.0,4.0,86.0,22.0,253.0,19.0,2.0,36.0,10.0,3.0,4.0,24.0,190.0,198.0,29.0,67.0,532.0,1.0,16.0,12.0,398.0,12.0,5.0,103.0,49.0,15.0,95.0,4.0,75.0,14.0,29.0,39.0,871.0,14.0,14.0,8.0,91.0,246.0,10.0,10.0,74.0,2.0,,31.0,13.0,9.0,25.0,7.0,140.0,39.0,16.0,31.0,14.0,,42.0,151.0,421.0,429.0,49.0,3.0,,,,21.0,66.0,8.0,15.0,49.0,,,,,7.0,,13.0,,1.0,,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2017-2018,Querétaro FC,eycdwe8plhkcxgo1bjyq4q6sp,J. Cortizo,Midfielder,29,5.0,184.0,,2.0,,86.0,1.0,17.0,6.0,54.0,,,,1.0,,2.0,3.0,33.0,28.0,4.0,12.0,88.0,1.0,4.0,9.0,73.0,2.0,1.0,12.0,27.0,8.0,15.0,,8.0,2.0,5.0,3.0,144.0,4.0,5.0,3.0,33.0,23.0,3.0,10.0,22.0,1.0,,3.0,3.0,8.0,1.0,3.0,37.0,2.0,4.0,6.0,5.0,,12.0,21.0,74.0,76.0,4.0,,,,,2.0,15.0,2.0,2.0,21.0,3.0,,,,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2017-2018,Querétaro FC,f0yb1lb942bcuxgk0djkr7ydx,J. Gómez,Midfielder,28,16.0,917.0,26.0,1.0,1.0,319.0,7.0,36.0,4.0,173.0,1.0,4.0,7.0,16.0,6.0,2.0,14.0,99.0,115.0,39.0,33.0,324.0,1.0,21.0,16.0,279.0,10.0,7.0,40.0,99.0,6.0,49.0,4.0,58.0,9.0,23.0,7.0,559.0,,11.0,12.0,124.0,92.0,12.0,10.0,78.0,1.0,,5.0,4.0,12.0,12.0,10.0,150.0,12.0,12.0,16.0,11.0,,58.0,97.0,281.0,284.0,26.0,2.0,,1.0,,25.0,72.0,14.0,18.0,66.0,2.0,,,,,,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2017-2018,Querétaro FC,dh9uepuoe9cudkwnspfq3v4r9,J. Güémez,Midfielder,6,1.0,1356.0,1.0,16.0,2.0,596.0,1.0,90.0,,265.0,7.0,3.0,32.0,10.0,5.0,3.0,16.0,126.0,238.0,21.0,75.0,610.0,1.0,23.0,7.0,438.0,13.0,5.0,107.0,148.0,6.0,78.0,,88.0,16.0,19.0,30.0,764.0,,16.0,14.0,85.0,206.0,2.0,10.0,68.0,,,65.0,,20.0,21.0,,122.0,22.0,16.0,1.0,16.0,,38.0,166.0,491.0,503.0,37.0,5.0,1.0,,1.0,11.0,54.0,10.0,29.0,47.0,,,,,,1.0,,,5.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2017-2018,Querétaro FC,dki2fbua19s15mi3bgjyga1h,M. Martínez,Defender,3,,871.0,22.0,,3.0,164.0,,21.0,,26.0,12.0,4.0,22.0,4.0,2.0,1.0,8.0,61.0,119.0,22.0,17.0,184.0,2.0,13.0,,132.0,8.0,4.0,39.0,59.0,1.0,26.0,2.0,27.0,10.0,6.0,13.0,342.0,,12.0,6.0,44.0,76.0,8.0,10.0,46.0,2.0,,13.0,,4.0,21.0,,73.0,49.0,9.0,,12.0,,19.0,28.0,128.0,145.0,29.0,4.0,,,,17.0,27.0,5.0,13.0,25.0,2.0,,,1.0,,,16.0,,8.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
