liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off,Forward Passes,Unsuccessful Passes Opposition Half,Total Unsuccessful Passes ( Excl Crosses & Corners ),Time Played,Successful Short Passes,Unsuccessful Passes Own Half,Duels,Touches,Duels won,Corners Won,Unsuccessful Long Passes,Successful Passes Opposition Half,Ground Duels won,Times Tackled,Duels lost,Recoveries,Unsuccessful Short Passes,Total Tackles,Tackles Won,Total Passes,Leftside Passes,Ground Duels,Throw Ins to Own Player,Ground Duels lost,Total Losses Of Possession,Index,Total Successful Passes ( Excl Crosses & Corners ) ,Appearances,Home Goals,Away Goals,Winning Goal,Aerial Duels lost,Shots On Target ( inc goals ),Foul Won Penalty,Successful Lay-offs,Unsuccessful Crosses open play,Successful Passes Own Half,Unsuccessful Crosses & Corners,Unsuccessful Dribbles,Successful Open Play Passes,Goals Conceded,Right Foot Goals,Rightside Passes,Unsuccessful lay-offs,Interceptions,Offsides,Successful Dribbles,Shots Off Target (inc woodwork),Penalty Goals Conceded,Goals from Inside Box,Total Fouls Won,Goals Conceded Inside Box,Open Play Passes,Through balls,Starts,Aerial Duels won,Blocked Shots,Key Passes (Attempt Assists),Goals Conceded Outside Box,Total Shots,Successful Long Passes,Total Clearances,Total Fouls Conceded,Backward Passes,Aerial Duels,Handballs conceded,Attempts from Set Pieces,Successful Crosses & Corners,Corners Taken (incl short corners),Unsuccessful Launches,Second Goal Assists,Successful Crosses open play,Penalties Taken,Throw Ins to Opposition Player,Penalty Goals,Tackles Lost,Headed Goals,Goals from Outside Box,Left Foot Goals,Clean Sheets,Successful Launches,Blocks,Goal Assists,Assists (Intentional),Hit Woodwork,Total Touches In Opposition Box,Unsuccessful Corners into Box,Penalties Conceded,Successful Corners into Box,Set Pieces Goals,Last Man Tackle,Own Goal Scored,Catches,Saves made - parried,Goalkeeper Smother,Saves Made from Outside Box,GK Successful Distribution,GK Unsuccessful Distribution,Drops,Saves Made from Inside Box,Saves Made,Crosses not Claimed,Punches,Penalties Faced,Saves made - caught,Clearances Off the Line,Penalties Off Target,Other Goals,Saves from Penalty,Penalties Saved
USA_MLS,2011,Philadelphia Union,6j30vwldz9cnivosszbdpvh05,F. Adu,Midfielder,0.0,13.0,2.0,2.0,,,,7.0,5.0,57.0,87.0,52.0,646.0,167.0,8.0,56.0,373.0,24.0,7.0,10.0,113.0,23.0,20.0,32.0,31.0,42.0,6.0,4.0,227.0,64.0,55.0,4.0,32.0,142.0,77.0,175.0,13.0,1.0,1.0,1.0,,5.0,,9.0,18.0,72.0,43.0,1.0,,8.0,,46.0,1.0,3.0,1.0,2.0,4.0,1.0,2.0,15.0,6.0,,3.0,6.0,1.0,10.0,12.0,2.0,9.0,8.0,,8.0,60.0,1.0,,2.0,10.0,24.0,5.0,,2.0,,,,2.0,,,2.0,,,,1.0,,,,17.0,,7.0,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,Philadelphia Union,528w0pwheptrz9ax73nq5nqvp,D. Califf,Defender,4.0,35.0,1.0,4.0,,,,,,555.0,170.0,266.0,3150.0,906.0,97.0,158.0,1710.0,99.0,7.0,83.0,233.0,60.0,1.0,59.0,122.0,183.0,35.0,31.0,1305.0,232.0,99.0,10.0,39.0,367.0,43.0,1039.0,35.0,0.0,1.0,1.0,20.0,4.0,,,1.0,806.0,1.0,,82.0,38.0,,458.0,,31.0,,,5.0,3.0,1.0,25.0,29.0,120.0,1.0,35.0,39.0,2.0,4.0,9.0,9.0,133.0,214.0,34.0,60.0,59.0,,,,,87.0,,,,2.0,,4.0,,,1.0,10.0,25.0,18.0,,,,3.0,,1.0,,,1.0,,,,,,,,,,,,,,,2.0,,,,
USA_MLS,2011,Philadelphia Union,bga32zh7ovvj6rlxyztpsngt1,B. Carroll,Midfielder,7.0,32.0,1.0,6.0,,,,,2.0,492.0,226.0,301.0,2751.0,931.0,80.0,156.0,1658.0,79.0,4.0,83.0,553.0,73.0,33.0,77.0,198.0,218.0,58.0,38.0,1347.0,358.0,145.0,3.0,72.0,382.0,29.0,1046.0,32.0,0.0,1.0,0.0,5.0,5.0,,6.0,5.0,496.0,5.0,3.0,104.0,34.0,1.0,362.0,,41.0,,2.0,7.0,2.0,1.0,13.0,26.0,143.0,5.0,32.0,6.0,7.0,19.0,8.0,12.0,115.0,35.0,31.0,135.0,11.0,4.0,,3.0,,47.0,,3.0,,,,20.0,,,,8.0,6.0,11.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,Philadelphia Union,8ie1vhem3ijhyvs8owolwcdsl,K. Daniel,Midfielder,26.0,18.0,1.0,1.0,,,,9.0,7.0,132.0,104.0,82.0,888.0,324.0,13.0,92.0,645.0,49.0,5.0,14.0,228.0,43.0,24.0,43.0,75.0,68.0,27.0,24.0,421.0,59.0,76.0,12.0,33.0,179.0,52.0,339.0,18.0,1.0,0.0,0.0,10.0,2.0,,15.0,28.0,121.0,35.0,4.0,62.0,9.0,,136.0,1.0,15.0,1.0,10.0,4.0,2.0,1.0,6.0,7.0,82.0,3.0,9.0,6.0,1.0,7.0,2.0,6.0,15.0,12.0,6.0,94.0,16.0,,1.0,10.0,10.0,4.0,,6.0,,2.0,,3.0,1.0,,,2.0,2.0,,2.0,2.0,1.0,1.0,6.0,,4.0,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,Philadelphia Union,6u0uzwdo09307q2zzqg5xn36d,M. Farfán,Midfielder,21.0,23.0,2.0,1.0,,,,8.0,,334.0,190.0,204.0,1640.0,496.0,45.0,178.0,1130.0,85.0,17.0,42.0,325.0,74.0,46.0,93.0,86.0,162.0,48.0,39.0,729.0,161.0,158.0,48.0,84.0,350.0,46.0,525.0,23.0,2.0,0.0,1.0,9.0,7.0,,3.0,30.0,206.0,31.0,18.0,29.0,16.0,1.0,145.0,,46.0,,11.0,11.0,,,15.0,12.0,40.0,4.0,15.0,11.0,8.0,18.0,4.0,18.0,29.0,37.0,25.0,89.0,20.0,,,6.0,,28.0,,6.0,,22.0,,9.0,,2.0,1.0,3.0,5.0,2.0,4.0,4.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,Philadelphia Union,9c0k9bgclh940lsowvnockrmd,G. Farfán,Midfielder,15.0,24.0,1.0,3.0,,,,4.0,3.0,344.0,171.0,207.0,1766.0,481.0,60.0,158.0,1180.0,98.0,5.0,54.0,246.0,83.0,24.0,60.0,90.0,153.0,50.0,39.0,722.0,39.0,138.0,141.0,55.0,349.0,90.0,515.0,24.0,0.0,1.0,0.0,5.0,1.0,1.0,3.0,24.0,273.0,24.0,5.0,41.0,24.0,1.0,237.0,,32.0,,4.0,1.0,3.0,1.0,29.0,20.0,61.0,3.0,20.0,15.0,,5.0,4.0,2.0,34.0,46.0,31.0,102.0,20.0,4.0,,4.0,,59.0,,4.0,,45.0,,11.0,,,,4.0,16.0,5.0,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,Philadelphia Union,7wri555bwpxycy1nd1701g9g5,J. González,Defender,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,Philadelphia Union,4phg009itgihmxtb5hb5ymzth,C. Harrison,Goalkeeper,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,Philadelphia Union,8bcbp6dqxvu3vmwm4fuxnrmc5,J. Harvey,Defender,2.0,30.0,,7.0,1.0,1.0,,,8.0,441.0,224.0,249.0,2498.0,662.0,65.0,120.0,1532.0,69.0,7.0,80.0,384.0,51.0,18.0,51.0,100.0,169.0,37.0,34.0,964.0,41.0,92.0,183.0,41.0,424.0,23.0,715.0,30.0,0.0,0.0,0.0,10.0,2.0,,1.0,32.0,347.0,40.0,7.0,36.0,40.0,,338.0,,30.0,,2.0,4.0,3.0,,12.0,34.0,55.0,4.0,30.0,18.0,3.0,12.0,6.0,6.0,53.0,77.0,24.0,144.0,28.0,3.0,,16.0,7.0,56.0,1.0,15.0,,52.0,,3.0,,,,5.0,15.0,8.0,4.0,4.0,,1.0,6.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,Philadelphia Union,byhdddo0wicsyg93vdb5h1w5,T. Holder,Goalkeeper,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
