liga,temporada,equipo,id,nombre,posicion,dorsal,Goals Conceded Inside Box,Total Passes,Total Fouls Conceded,Total Successful Passes ( Excl Crosses & Corners ) ,Total Losses Of Possession,Leftside Passes,Foul Attempted Tackle,Penalty Goals Conceded,Time Played,Ground Duels lost,Times Tackled,Unsuccessful Crosses & Corners,Successful Passes Opposition Half,Substitute Off,Total Tackles,Unsuccessful Short Passes,Open Play Passes,Index,Tackles Won,Ground Duels won,Games Played,Successful Dribbles,Duels,Total Shots,Total Clearances,Total Fouls Won,Blocks,Throw Ins to Own Player,Ground Duels,Rightside Passes,Successful Short Passes,Unsuccessful Crosses open play,Throw Ins to Opposition Player,Recoveries,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Passes Own Half,Appearances,Goals Conceded,Starts,Shots On Target ( inc goals ),Successful Open Play Passes,Forward Passes,Duels won,Duels lost,Touches,Unsuccessful Passes Opposition Half,Winning Goal,Corners Won,Overruns,Through balls,Successful Long Passes,Assists (Intentional),Unsuccessful Corners into Box,Goals,Goal Assists,Penalties Conceded,Penalties Taken,Aerial Duels,Left Foot Goals,Successful Launches,Aerial Duels won,Goal Kicks,Clean Sheets,Penalty Goals,Successful Lay-offs,Goals Conceded Outside Box,Hit Woodwork,Yellow Cards,GK Successful Distribution,Unsuccessful Dribbles,Key Passes (Attempt Assists),Corners Taken (incl short corners),Blocked Shots,Tackles Lost,Attempts from Set Pieces,Unsuccessful Long Passes,Goals from Inside Box,PutThrough/Blocked Distribution,Aerial Duels lost,PutThrough/Blocked Distribution Won,Backward Passes,Handballs conceded,Unsuccessful Passes Own Half,Goals Openplay,Successful Crosses & Corners,Right Foot Goals,Interceptions,Unsuccessful lay-offs,Unsuccessful Launches,Shots Off Target (inc woodwork),Successful Corners into Box,Successful Crosses open play,Substitute On,Home Goals,Away Goals,Offsides,Other Goals,Second Goal Assists,Red Cards - 2nd Yellow,Total Red Cards,Saves Made from Inside Box,Saves Made,Clearances Off the Line,Punches,Saves Made from Outside Box,Saves made - parried,GK Unsuccessful Distribution,Catches,Goalkeeper Smother,Drops,Penalties Faced,Straight Red Cards,Last Player Tackle,Headed Goals,Own Goal Scored,Goals from Outside Box,Set Pieces Goals,Penalties Saved,Saves from Penalty,Foul Won Penalty,Crosses not Claimed,Saves made - caught,Carries,Final Third Touches,Progressive Carries,Total Big Chances Created,Total Big Chances Missed,Total Big Chances Scored,Total Big Chances Saved,Direct Setpiece Goals,Penalties Off Target
USA_MLS_Next_Pro,2025,St Louis CITY2,5so1rc8nkdo0wg9r496w3dvpx,R. Alm,Midfielder,21,1.0,14.0,2.0,10.0,7.0,3.0,1.0,,32.0,3.0,,,6.0,,3.0,4.0,14.0,10.0,1.0,6.0,2.0,2.0,9.0,2.0,1.0,1.0,,,9.0,4.0,9.0,,,3.0,2.0,4.0,4.0,2.0,1.0,,,10.0,4.0,6.0,3.0,27.0,2.0,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,1.0,,1.0,3.0,,2.0,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,4.0,1.0,,,,,
USA_MLS_Next_Pro,2025,St Louis CITY2,3dyn7hheqvs3gm3m84jrra9lg,S. Antwi,Midfielder,49,17.0,917.0,43.0,826.0,136.0,266.0,28.0,1.0,2226.0,78.0,16.0,6.0,383.0,7.0,49.0,73.0,886.0,10.0,35.0,94.0,27.0,5.0,201.0,8.0,31.0,41.0,4.0,4.0,172.0,238.0,786.0,6.0,,99.0,6.0,91.0,446.0,27.0,29.0,25.0,2.0,795.0,225.0,104.0,97.0,1200.0,69.0,0.0,2.0,,,40.0,2.0,,,2.0,,,29.0,,10.0,10.0,,7.0,,35.0,12.0,,6.0,,4.0,10.0,,2.0,14.0,,18.0,,21.0,19.0,14.0,188.0,2.0,28.0,,3.0,,43.0,,14.0,6.0,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.0,14.0,45.0,2.0,,,,,
USA_MLS_Next_Pro,2025,St Louis CITY2,632mpv8dpnxjm69f8ip1e4l5g,D. Armstrong,Forward,77,3.0,66.0,7.0,54.0,34.0,15.0,4.0,,150.0,20.0,12.0,2.0,33.0,,5.0,9.0,66.0,10.0,3.0,9.0,11.0,1.0,34.0,1.0,2.0,3.0,,6.0,29.0,10.0,51.0,2.0,,17.0,9.0,12.0,21.0,11.0,3.0,,,54.0,28.0,12.0,22.0,125.0,11.0,0.0,1.0,2.0,,3.0,,,,,,,5.0,,,3.0,,,,,,,1.0,,4.0,1.0,,,2.0,,3.0,,6.0,2.0,5.0,13.0,,3.0,,,,2.0,,3.0,1.0,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,19.0,18.0,,,,,,
USA_MLS_Next_Pro,2025,St Louis CITY2,d3xe46be1ajvxzxzboiaoy385,T. Baumgartl,Defender,32,,93.0,1.0,88.0,7.0,42.0,,,90.0,1.0,,,25.0,,2.0,3.0,86.0,10.0,2.0,2.0,1.0,,7.0,2.0,2.0,,,,3.0,12.0,83.0,,,6.0,2.0,5.0,63.0,1.0,,1.0,,81.0,39.0,4.0,3.0,102.0,5.0,0.0,,,,5.0,,,,,,,4.0,,,2.0,3.0,1.0,,,,,,3.0,,,,,,,2.0,,,2.0,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,19.0,,,,,,
USA_MLS_Next_Pro,2025,St Louis CITY2,92oqt9q51us5rpmqmvvrdso6i,R. Becher,Midfielder,56,4.0,165.0,10.0,111.0,79.0,42.0,5.0,1.0,425.0,28.0,12.0,3.0,70.0,3.0,12.0,47.0,161.0,10.0,8.0,17.0,11.0,1.0,70.0,9.0,8.0,4.0,,,45.0,32.0,103.0,3.0,1.0,22.0,22.0,54.0,41.0,11.0,5.0,4.0,5.0,107.0,69.0,33.0,37.0,246.0,46.0,0.0,2.0,,1.0,8.0,,,1.0,1.0,,,25.0,,1.0,16.0,,1.0,,4.0,1.0,,1.0,,3.0,4.0,,3.0,4.0,,7.0,1.0,8.0,9.0,5.0,22.0,,11.0,1.0,,1.0,3.0,2.0,2.0,4.0,,,7.0,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,29.0,,,1.0,,,
USA_MLS_Next_Pro,2025,St Louis CITY2,37vbc16ejxmfkssydcdxq69zo,N. Bishop,Goalkeeper,55,2.0,54.0,,46.0,8.0,17.0,,,180.0,,,,4.0,,,,42.0,10.0,,1.0,2.0,,1.0,,1.0,1.0,,,1.0,9.0,38.0,,,11.0,,8.0,42.0,2.0,3.0,2.0,,34.0,28.0,1.0,,72.0,5.0,0.0,,,,8.0,,,,,,,,,4.0,,11.0,1.0,,,1.0,,,19.0,,,,,,,8.0,,,,,,,3.0,,,,,,7.0,,,,,,,,,,,,4.0,6.0,,,2.0,3.0,,2.0,,,,,,,,,,,,,1.0,,5.0,,2.0,,,,,,
USA_MLS_Next_Pro,2025,St Louis CITY2,bcnvqucsthfxageakjs0eyhg,E. Carlock,Forward,73,,17.0,2.0,11.0,13.0,7.0,1.0,,45.0,5.0,3.0,3.0,9.0,,3.0,6.0,17.0,10.0,1.0,4.0,1.0,1.0,9.0,1.0,,,,,9.0,1.0,11.0,3.0,,1.0,6.0,6.0,2.0,1.0,,,1.0,11.0,5.0,4.0,5.0,29.0,9.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,2.0,,,,,,,4.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,22.0,8.0,,,,,,
USA_MLS_Next_Pro,2025,St Louis CITY2,5nnl3svl6el4oh237oriapno4,E. Chavez,Defender,79,1.0,65.0,6.0,57.0,22.0,9.0,,,164.0,8.0,1.0,4.0,25.0,1.0,7.0,4.0,62.0,10.0,3.0,7.0,7.0,,20.0,,8.0,,,15.0,15.0,17.0,56.0,4.0,4.0,7.0,,8.0,32.0,7.0,3.0,1.0,,54.0,25.0,9.0,11.0,116.0,11.0,0.0,,,,1.0,,,,,,,5.0,,,2.0,,,,,2.0,,,,1.0,,,,4.0,,4.0,,1.0,3.0,1.0,14.0,,1.0,,,,3.0,,4.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.0,4.0,,,,,,
USA_MLS_Next_Pro,2025,St Louis CITY2,dpedfgxin5nc4qmziaokpmiy2,C. Cilley,Midfielder,43,24.0,1512.0,52.0,1274.0,349.0,157.0,22.0,1.0,2500.0,96.0,28.0,27.0,537.0,5.0,52.0,156.0,1466.0,10.0,31.0,92.0,29.0,18.0,273.0,22.0,92.0,23.0,8.0,86.0,188.0,615.0,1186.0,27.0,7.0,117.0,52.0,238.0,745.0,29.0,37.0,29.0,11.0,1232.0,539.0,139.0,134.0,2037.0,196.0,0.0,16.0,3.0,1.0,88.0,1.0,,3.0,1.0,1.0,,85.0,1.0,13.0,47.0,5.0,7.0,,9.0,13.0,,6.0,5.0,13.0,12.0,2.0,3.0,21.0,,82.0,3.0,33.0,38.0,15.0,201.0,1.0,69.0,1.0,8.0,1.0,43.0,1.0,43.0,11.0,,8.0,,2.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,393.0,66.0,201.0,5.0,1.0,1.0,,,
USA_MLS_Next_Pro,2025,St Louis CITY2,1e8yd0boxv8ad15y8wscw0aok,T. Clancy,Midfielder,63,,31.0,3.0,19.0,17.0,7.0,2.0,,60.0,3.0,,1.0,9.0,,3.0,6.0,31.0,10.0,1.0,4.0,6.0,,9.0,1.0,,1.0,,,7.0,4.0,19.0,1.0,,5.0,1.0,12.0,10.0,6.0,,,,19.0,15.0,5.0,4.0,51.0,8.0,0.0,,,,,,,,,,,2.0,,,1.0,,,,,,,1.0,,,,,,2.0,,6.0,,4.0,1.0,3.0,5.0,,5.0,,,,5.0,,6.0,1.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2.0,3.0,,,,,,
