liga,temporada,equipo,id,nombre,posicion,dorsal,Successful Open Play Passes,Total Passes,Time Played,Goals Conceded,PutThrough/Blocked Distribution,Unsuccessful Passes Opposition Half,Total Shots,Total Losses Of Possession,Backward Passes,Times Tackled,Appearances,Aerial Duels won,Aerial Duels lost,Foul Attempted Tackle,Successful Passes Own Half,Aerial Duels,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Duels,Games Played,Rightside Passes,Corners Won,Forward Passes,Duels lost,Substitute On,Ground Duels,Starts,Tackles Won,Shots Off Target (inc woodwork),Successful Lay-offs,Total Fouls Conceded,Shots On Target ( inc goals ),Successful Passes Opposition Half,Tackles Lost,Total Unsuccessful Passes ( Excl Crosses & Corners ),Open Play Passes,Total Clearances,Leftside Passes,Unsuccessful Short Passes,Ground Duels won,Unsuccessful Dribbles,Assists (Intentional),Recoveries,Offsides,Goals Conceded Inside Box,Total Touches In Opposition Box,Substitute Off,Interceptions,Successful Short Passes,Touches,Goal Assists,Ground Duels lost,Blocked Shots,Index,Key Passes (Attempt Assists),Duels won,Winning Goal,Goals from Inside Box,Total Fouls Won,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Handballs conceded,Successful Launches,Left Foot Goals,Goals,Successful Long Passes,Throw Ins to Opposition Player,Overruns,Successful Dribbles,Yellow Cards,Unsuccessful Passes Own Half,Home Goals,Away Goals,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Throw Ins to Own Player,Blocks,Unsuccessful Launches,Successful Corners into Box,Through balls,Successful Crosses open play,Successful Crosses & Corners,Unsuccessful lay-offs,Corners Taken (incl short corners),Unsuccessful Corners into Box,Right Foot Goals,Hit Woodwork,Attempts from Set Pieces,Penalties Taken,Penalty Goals,Foul Won Penalty,Goals from Outside Box,Headed Goals,Goal Kicks,GK Unsuccessful Distribution,GK Successful Distribution,Total Red Cards,Red Cards - 2nd Yellow,Saves made - parried,Saves Made from Outside Box,Saves Made,Saves Made from Inside Box,Catches,Goals Conceded Outside Box,Drops,Clean Sheets,Penalty Goals Conceded,Goals Openplay,Straight Red Cards,Penalties Conceded,Penalties Faced,Punches,Clearances Off the Line,Goalkeeper Smother,Set Pieces Goals,Second Goal Assists,Saves from Penalty,Penalties Saved,Saves made - caught,Own Goal Scored,Last Player Tackle
USA_US_Open_Cup,2025,Charlotte FC,exk9svcdgcbn05ms00fhorvv8,J. Neeley,Defender,39,16.0,19.0,30.0,,1.0,1.0,,4.0,3.0,1.0,2.0,,1.0,,7.0,1.0,16.0,,2.0,2.0,,,10.0,2.0,2.0,1.0,,,,,,,9.0,,3.0,19.0,,6.0,2.0,,1.0,,1.0,,,,,1.0,15.0,27.0,,1.0,,10.0,,,0.0,,,1.0,1.0,,,,,1.0,,,,,2.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Charlotte FC,66bdf9l614g2dx43x8003m162,N. Petković,Midfielder,23,23.0,32.0,87.0,1.0,2.0,8.0,3.0,18.0,11.0,4.0,2.0,,1.0,1.0,12.0,1.0,23.0,,10.0,2.0,6.0,,9.0,7.0,1.0,9.0,1.0,,,1.0,3.0,3.0,11.0,,9.0,32.0,2.0,6.0,6.0,3.0,1.0,,1.0,,1.0,3.0,1.0,,22.0,52.0,,6.0,1.0,10.0,,3.0,0.0,1.0,1.0,3.0,1.0,1.0,,,1.0,1.0,,,2.0,,1.0,0.0,1.0,,,,,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Charlotte FC,22zkj62c3nnd2zerfbntlevze,A. Privett,Midfielder,4,111.0,121.0,120.0,1.0,,8.0,,12.0,7.0,1.0,1.0,3.0,2.0,1.0,62.0,5.0,111.0,2.0,10.0,1.0,39.0,,51.0,5.0,,5.0,1.0,1.0,,,1.0,,49.0,1.0,10.0,121.0,6.0,24.0,3.0,2.0,1.0,,10.0,,1.0,,,1.0,104.0,134.0,,3.0,,10.0,,5.0,0.0,,,7.0,,,1.0,,,7.0,,,,,2.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Charlotte FC,b1el7j39v2pgvl9zodd9usded,T. Ream,Defender,3,26.0,27.0,35.0,1.0,,1.0,,1.0,3.0,,2.0,2.0,,,19.0,2.0,26.0,,2.0,2.0,13.0,,6.0,,2.0,,,,,,,,7.0,,1.0,27.0,3.0,5.0,1.0,,,,2.0,,1.0,,,,23.0,30.0,,,,10.0,1.0,2.0,0.0,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Charlotte FC,ds4avrkvrp4jxq9lp02ssci22,N. Scardina,Defender,35,88.0,103.0,210.0,4.0,2.0,15.0,,29.0,29.0,6.0,2.0,3.0,2.0,,41.0,5.0,88.0,1.0,15.0,2.0,4.0,,31.0,10.0,,10.0,2.0,1.0,,,2.0,,47.0,,15.0,103.0,7.0,39.0,11.0,2.0,1.0,1.0,15.0,,4.0,2.0,2.0,4.0,84.0,156.0,1.0,8.0,1.0,10.0,,5.0,0.0,,1.0,4.0,1.0,,2.0,,,4.0,1.0,1.0,,,5.0,,,5.0,5.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Charlotte FC,4ywn289r9mrs444sgkgduyivo,T. Smalls,Forward,25,22.0,32.0,127.0,2.0,1.0,8.0,3.0,17.0,12.0,4.0,2.0,1.0,1.0,,5.0,2.0,25.0,1.0,12.0,2.0,8.0,,4.0,8.0,1.0,10.0,1.0,1.0,1.0,3.0,,2.0,20.0,,7.0,29.0,1.0,8.0,7.0,3.0,3.0,,2.0,2.0,2.0,6.0,1.0,1.0,25.0,52.0,,7.0,,10.0,1.0,4.0,0.0,1.0,2.0,,,,,1.0,1.0,,,,,,,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Charlotte FC,crpkn4juf1s72y9c76t3o4k16,Iuri Tavares,Forward,38,53.0,70.0,206.0,3.0,6.0,16.0,,31.0,15.0,9.0,2.0,1.0,1.0,2.0,14.0,2.0,53.0,5.0,26.0,2.0,21.0,,22.0,14.0,,24.0,2.0,4.0,,4.0,4.0,,39.0,1.0,17.0,70.0,3.0,12.0,14.0,11.0,6.0,,8.0,,3.0,1.0,1.0,,50.0,109.0,,13.0,,10.0,1.0,12.0,0.0,,4.0,3.0,5.0,1.0,,,,3.0,,,2.0,1.0,2.0,,,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Charlotte FC,4dri4lv9b4w3mz8aj3329qjh0,I. Toklomati,Forward,17,10.0,13.0,78.0,,2.0,1.0,2.0,6.0,6.0,5.0,1.0,1.0,1.0,2.0,3.0,2.0,12.0,1.0,11.0,1.0,2.0,1.0,2.0,9.0,,9.0,1.0,1.0,1.0,3.0,2.0,1.0,9.0,,1.0,11.0,,3.0,1.0,1.0,4.0,,2.0,,,4.0,1.0,,12.0,25.0,,8.0,,10.0,1.0,2.0,0.0,,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Charlotte FC,9b29l83qhedv79h20lgyu9tqt,B. Tuiloma,Defender,6,144.0,163.0,205.0,3.0,1.0,10.0,1.0,16.0,1.0,1.0,2.0,4.0,2.0,,87.0,6.0,148.0,3.0,12.0,2.0,49.0,,52.0,5.0,,6.0,2.0,3.0,,,1.0,1.0,61.0,,15.0,159.0,7.0,61.0,5.0,3.0,1.0,,4.0,,3.0,3.0,2.0,2.0,138.0,183.0,,3.0,,10.0,1.0,7.0,0.0,1.0,,10.0,,,,,1.0,10.0,,,,1.0,5.0,0.0,1.0,,,,2.0,3.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
USA_US_Open_Cup,2025,Charlotte FC,bqxs1jhlsp1xlksbhs62syfbo,K. Vargas,Forward,18,56.0,67.0,240.0,4.0,5.0,17.0,6.0,27.0,25.0,4.0,2.0,,2.0,1.0,10.0,2.0,56.0,6.0,20.0,2.0,10.0,2.0,13.0,9.0,,18.0,2.0,4.0,5.0,2.0,3.0,1.0,47.0,2.0,11.0,67.0,2.0,19.0,7.0,11.0,3.0,,8.0,2.0,4.0,13.0,,,55.0,118.0,1.0,7.0,1.0,10.0,5.0,11.0,0.0,1.0,3.0,4.0,3.0,,,,1.0,1.0,,,2.0,1.0,1.0,0.0,1.0,7.0,7.0,1.0,,1.0,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Charlotte FC,4hmqtr4zzogg0yw2w9dibv5k9,E. Williamson,Midfielder,19,69.0,89.0,207.0,4.0,3.0,21.0,1.0,29.0,16.0,3.0,2.0,,,5.0,29.0,,73.0,,13.0,2.0,17.0,,35.0,8.0,,13.0,2.0,,,2.0,5.0,1.0,48.0,,16.0,85.0,4.0,21.0,13.0,5.0,2.0,1.0,12.0,,4.0,2.0,2.0,1.0,67.0,124.0,1.0,8.0,1.0,10.0,4.0,5.0,0.0,,2.0,3.0,1.0,,,,,6.0,,,3.0,,3.0,,,8.0,2.0,1.0,1.0,1.0,3.0,,,4.0,,7.0,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
