liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Offsides,Time Played,Throw Ins to Own Player,Substitute On,Successful Lay-offs,Goals,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Yellow Cards,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Corners into Box,Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Throw Ins to Opposition Player,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Ground Duels,Goals from Outside Box,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Attempts from Set Pieces,Successful Long Passes,Successful Crosses open play,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Left Foot Goals,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Handballs conceded,Hit Woodwork,Assists (Intentional),Ground Duels lost,Leftside Passes,Goals from Inside Box,Penalties Taken,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Unsuccessful lay-offs,Goal Assists,Penalty Goals,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Successful Launches,Blocks,Right Foot Goals,Total Red Cards,Straight Red Cards,GK Successful Distribution,Headed Goals,GK Unsuccessful Distribution,Penalties Conceded,Clearances Off the Line,Saves Made,Punches,Goalkeeper Smother,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves made - caught,Set Pieces Goals,Other Goals,Own Goal Scored,Foul Won Penalty,Penalty Goals Conceded,Second Goal Assists,Red Cards - 2nd Yellow,Penalties Off Target,Last Man Tackle,Penalties Saved,Saves from Penalty,Crosses not Claimed,Home Goals,Away Goals,Winning Goal,Times Tackled
USA_MLS,2017,Seattle Sounders FC,bcz69tohequp39f75t6q6szjd,S. Adekoya,Forward,12,1.0,,77.0,,1.0,1.0,,15.0,,10.0,,9.0,,1.0,,1.0,2.0,2.0,3.0,5.0,6.0,,2.0,17.0,1.0,3.0,,15.0,1.0,3.0,2.0,,4.0,1.0,2.0,,,,1.0,1.0,1.0,26.0,,2.0,2.0,5.0,,1.0,3.0,70.0,3.0,1.0,,,,2.0,1.0,,9.0,,3.0,,1.0,2.0,,1.0,,,3.0,2.0,,,13.0,15.0,4.0,,,,,,,6.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2017,Seattle Sounders FC,us2vdrmol0lacxx5lt7e1vqh,J. Alfaro,Defender,15,1.0,,817.0,1.0,7.0,1.0,,478.0,1.0,28.0,,122.0,13.0,4.0,39.0,,1.0,4.0,12.0,89.0,280.0,13.0,43.0,484.0,2.0,9.0,1.0,363.0,13.0,1.0,82.0,,158.0,1.0,60.0,,,42.0,8.0,5.0,23.0,574.0,,15.0,4.0,29.0,,249.0,3.0,20.0,25.0,,,39.0,,2.0,9.0,1.0,50.0,33.0,17.0,,1.0,15.0,,,,,13.0,49.0,,,398.0,402.0,21.0,2.0,,,,,10.0,25.0,3.0,14.0,16.0,5.0,10.0,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
USA_MLS,2017,Seattle Sounders FC,abbr148gjj0whyyijov67knv9,O. Alonso,Midfielder,6,8.0,1.0,2090.0,11.0,3.0,29.0,1.0,1624.0,4.0,155.0,3.0,807.0,12.0,4.0,39.0,9.0,10.0,6.0,9.0,246.0,733.0,66.0,114.0,1690.0,3.0,42.0,42.0,1367.0,23.0,16.0,153.0,,475.0,12.0,112.0,8.0,2.0,202.0,24.0,23.0,49.0,2090.0,,27.0,27.0,254.0,,493.0,13.0,61.0,160.0,6.0,,170.0,3.0,41.0,11.0,19.0,274.0,35.0,29.0,,8.0,27.0,,1.0,1.0,,105.0,567.0,1.0,,1477.0,1537.0,20.0,6.0,,,,,49.0,114.0,17.0,33.0,149.0,2.0,19.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,5.0,3.0,,,,,,,,,,
USA_MLS,2017,Seattle Sounders FC,dut4jl28mnzev74hm4pc9s2j9,W. Bruin,Forward,17,3.0,12.0,2272.0,,11.0,53.0,13.0,498.0,13.0,140.0,,277.0,2.0,1.0,5.0,6.0,25.0,2.0,66.0,243.0,82.0,16.0,150.0,514.0,12.0,28.0,2.0,356.0,23.0,49.0,155.0,,134.0,20.0,144.0,9.0,,43.0,25.0,20.0,14.0,744.0,,36.0,3.0,110.0,,108.0,113.0,100.0,76.0,24.0,,3.0,,20.0,40.0,10.0,216.0,9.0,25.0,1.0,3.0,36.0,,,1.0,2.0,74.0,132.0,13.0,,343.0,359.0,106.0,5.0,15.0,3.0,,1.0,10.0,140.0,6.0,10.0,36.0,1.0,2.0,8.0,,,,4.0,,,,,,,,,,,,,,,,,1.0,3.0,1.0,,,,,,,,,,
USA_MLS,2017,Seattle Sounders FC,cv3xqr4xxkxub011e67s2awgl,J. Delem,Midfielder,21,14.0,1.0,850.0,37.0,6.0,1.0,,402.0,3.0,80.0,4.0,174.0,10.0,3.0,17.0,5.0,2.0,3.0,2.0,116.0,174.0,21.0,47.0,408.0,5.0,9.0,1.0,320.0,10.0,2.0,64.0,,42.0,7.0,51.0,,15.0,41.0,10.0,12.0,27.0,603.0,,16.0,7.0,63.0,,135.0,3.0,30.0,49.0,,,24.0,4.0,14.0,14.0,5.0,79.0,26.0,13.0,,14.0,16.0,,1.0,,,28.0,151.0,,,338.0,344.0,16.0,2.0,,,,,18.0,30.0,3.0,19.0,35.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
USA_MLS,2017,Seattle Sounders FC,1l550ygo81yhbyuecd36rx711,C. Dempsey,Midfielder,2,8.0,5.0,2560.0,6.0,4.0,82.0,15.0,1111.0,12.0,259.0,3.0,671.0,1.0,3.0,17.0,10.0,58.0,5.0,54.0,353.0,303.0,15.0,166.0,1154.0,9.0,19.0,17.0,904.0,22.0,102.0,183.0,,307.0,41.0,163.0,30.0,,99.0,29.0,27.0,28.0,1599.0,,33.0,4.0,186.0,2.0,279.0,121.0,72.0,123.0,44.0,15.0,67.0,3.0,56.0,36.0,30.0,276.0,8.0,27.0,6.0,8.0,33.0,,1.0,5.0,3.0,99.0,309.0,13.0,3.0,928.0,971.0,90.0,7.0,6.0,4.0,2.0,4.0,9.0,153.0,6.0,3.0,87.0,,3.0,5.0,1.0,1.0,,4.0,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,,,,,
USA_MLS,2017,Seattle Sounders FC,774fgdux4lyp6ee3h3e4rhvit,B. Evans,Midfielder,3,11.0,,480.0,18.0,5.0,2.0,1.0,202.0,1.0,41.0,2.0,100.0,5.0,,14.0,2.0,,,1.0,86.0,59.0,6.0,32.0,203.0,4.0,4.0,3.0,152.0,3.0,1.0,46.0,,19.0,4.0,48.0,,9.0,25.0,6.0,4.0,9.0,305.0,,11.0,2.0,32.0,,89.0,8.0,92.0,17.0,1.0,,5.0,2.0,5.0,3.0,3.0,36.0,11.0,3.0,,11.0,11.0,,,,,18.0,54.0,1.0,,156.0,157.0,4.0,1.0,,,,,5.0,19.0,1.0,7.0,14.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2017,Seattle Sounders FC,2upzlub38s49tok1rf7qvc0k5,Á. Fernández,Midfielder,8,6.0,2.0,492.0,4.0,5.0,5.0,,198.0,1.0,34.0,,104.0,5.0,1.0,12.0,10.0,1.0,4.0,14.0,74.0,45.0,8.0,40.0,201.0,3.0,4.0,,147.0,5.0,5.0,52.0,,45.0,2.0,47.0,,,30.0,5.0,22.0,11.0,272.0,,10.0,1.0,31.0,,61.0,20.0,21.0,24.0,4.0,,2.0,,8.0,8.0,4.0,53.0,7.0,9.0,,6.0,10.0,,,,,15.0,61.0,,,146.0,149.0,22.0,,1.0,,,,6.0,29.0,2.0,2.0,16.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2017,Seattle Sounders FC,ctly31kk772nia6is9ul9ar4l,O. Fisher,Defender,91,15.0,,543.0,53.0,2.0,,,264.0,7.0,61.0,1.0,115.0,11.0,1.0,21.0,9.0,2.0,2.0,3.0,112.0,97.0,14.0,37.0,269.0,7.0,9.0,3.0,205.0,9.0,3.0,58.0,,50.0,2.0,54.0,3.0,12.0,26.0,7.0,19.0,19.0,461.0,,9.0,4.0,55.0,,99.0,11.0,75.0,30.0,1.0,,6.0,1.0,10.0,3.0,7.0,61.0,15.0,11.0,,15.0,9.0,,1.0,,,28.0,59.0,,,207.0,211.0,6.0,,,,,,11.0,31.0,3.0,8.0,27.0,1.0,3.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,
USA_MLS,2017,Seattle Sounders FC,27fyf4lu42ovf02lksw45pjo5,S. Frei,Goalkeeper,24,,,3330.0,,,,,495.0,1.0,,,122.0,194.0,2.0,344.0,1.0,,7.0,,363.0,509.0,2.0,7.0,982.0,,,,369.0,31.0,,351.0,,132.0,1.0,273.0,,,310.0,37.0,2.0,78.0,1350.0,,37.0,,8.0,,707.0,,64.0,15.0,,,262.0,,5.0,10.0,,18.0,22.0,38.0,,,37.0,,,,,3.0,143.0,,,343.0,631.0,10.0,16.0,,,,,1.0,3.0,1.0,3.0,5.0,97.0,,,,,393.0,,110.0,,,98.0,9.0,,3.0,41.0,42.0,35.0,55.0,6.0,10.0,,,,,5.0,1.0,,,,,,1.0,,,,
