liga,temporada,equipo,id,nombre,posicion,dorsal,Penalty Goals Conceded,Goals Conceded,Games Played,Appearances,Index,Starts,Goals Conceded Inside Box,Time Played,Winning Goal,Yellow Cards,Substitute On,Substitute Off,Goals Conceded Outside Box,Rightside Passes,Successful Open Play Passes,Forward Passes,Touches,Goalkeeper Smother,Punches,Total Passes,Successful Passes Opposition Half,GK Successful Distribution,Leftside Passes,Saves Made from Outside Box,Unsuccessful Passes Own Half,Unsuccessful Passes Opposition Half,Successful Short Passes,Recoveries,Saves Made,Penalties Faced,Goal Kicks,Successful Long Passes,Total Losses Of Possession,Total Unsuccessful Passes ( Excl Crosses & Corners ),Open Play Passes,GK Unsuccessful Distribution,Saves Made from Inside Box,Total Clearances,Successful Launches,Total Successful Passes ( Excl Crosses & Corners ) ,Unsuccessful Long Passes,Unsuccessful Launches,Successful Passes Own Half,Saves made - parried,Tackles Lost,PutThrough/Blocked Distribution,Backward Passes,Total Fouls Won,Tackles Won,Duels,Blocked Shots,Unsuccessful Dribbles,Aerial Duels,Ground Duels lost,Corners Won,Aerial Duels lost,Times Tackled,Unsuccessful Crosses & Corners,PutThrough/Blocked Distribution Won,Total Fouls Conceded,Total Tackles,Ground Duels,Total Touches In Opposition Box,Aerial Duels won,Duels lost,Unsuccessful Crosses open play,Successful Dribbles,Unsuccessful Short Passes,Ground Duels won,Duels won,Successful Lay-offs,Total Shots,Shots Off Target (inc woodwork),Interceptions,Foul Attempted Tackle,Throw Ins to Own Player,Last Man Tackle,Throw Ins to Opposition Player,Blocks,Successful Crosses open play,Key Passes (Attempt Assists),Successful Crosses & Corners,Through balls,Assists (Intentional),Shots On Target ( inc goals ),Goal Assists,Goals,Goals from Inside Box,Offsides,Left Foot Goals,Home Goals,Away Goals,Handballs conceded,Penalties Conceded,Corners Taken (incl short corners),Unsuccessful Corners into Box,Successful Corners into Box,Attempts from Set Pieces,Unsuccessful lay-offs,Catches,Clean Sheets,Headed Goals,Hit Woodwork,Right Foot Goals,Red Cards - 2nd Yellow,Total Red Cards,Goals from Outside Box,Second Goal Assists,Saves made - caught,Own Goal Scored,Penalties Taken,Penalty Goals,Foul Won Penalty,Drops,Clearances Off the Line,Set Pieces Goals,Straight Red Cards,Penalties Saved,Saves from Penalty,Overruns
USA_US_Open_Cup,2023,Bavarian United FC,9aufe6v01zxtz99zeyasy778q,B. Andryk,Forward,11,,1.0,1.0,1.0,10.0,1.0,1.0,82.0,0.0,,,1.0,,7.0,28.0,12.0,59.0,,,39.0,22.0,,5.0,,1.0,10.0,27.0,5.0,,,,2.0,15.0,10.0,38.0,,,,,29.0,1.0,1.0,9.0,,1.0,1.0,15.0,1.0,1.0,5.0,,,1.0,,,1.0,,1.0,1.0,,2.0,4.0,4.0,,1.0,1.0,1.0,9.0,4.0,4.0,,2.0,2.0,3.0,,3.0,,,,2.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2023,Bavarian United FC,fn56d967dkm8ozyipbr8fvqi,L. Andryk,Midfielder,7,,1.0,1.0,1.0,10.0,1.0,1.0,90.0,0.0,,,,,11.0,17.0,9.0,76.0,,,38.0,24.0,,11.0,,3.0,18.0,20.0,6.0,,,,4.0,37.0,14.0,31.0,,,,,24.0,2.0,,3.0,,,2.0,7.0,4.0,,19.0,,7.0,4.0,9.0,3.0,1.0,9.0,7.0,,,,15.0,11.0,3.0,10.0,4.0,2.0,12.0,6.0,9.0,1.0,2.0,1.0,1.0,,2.0,,3.0,,3.0,4.0,3.0,,,1.0,,,,1.0,,,,,,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2023,Bavarian United FC,7ct0dh2li6t5x79wempclaz9w,J. Bradford,Midfielder,13,,,1.0,1.0,10.0,,,8.0,0.0,1.0,1.0,,,,,1.0,2.0,,,1.0,,,,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,2.0,,,1.0,1.0,,,,,,1.0,,1.0,,1.0,1.0,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2023,Bavarian United FC,9ghtp75p3fcvbe2vepr5kwduc,M. Comiskey,Midfielder,19,,1.0,1.0,1.0,10.0,1.0,1.0,58.0,0.0,,,1.0,,2.0,6.0,3.0,23.0,,,11.0,3.0,,3.0,,1.0,6.0,6.0,3.0,,,,,9.0,5.0,11.0,,,,,6.0,1.0,,3.0,,,,3.0,1.0,1.0,6.0,,1.0,2.0,1.0,2.0,1.0,1.0,2.0,,,1.0,4.0,3.0,1.0,2.0,2.0,1.0,4.0,3.0,4.0,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2023,Bavarian United FC,btmw0fhvo8b3vikz8o5zkwydw,I. Cuellar,Midfielder,9,,,1.0,1.0,10.0,,,24.0,0.0,,1.0,,,1.0,4.0,3.0,13.0,,,6.0,1.0,,,,,4.0,4.0,1.0,,,,,6.0,2.0,6.0,,,1.0,,4.0,1.0,,3.0,,,,2.0,,,4.0,,,4.0,,,3.0,,2.0,,,,,2.0,1.0,3.0,2.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2023,Bavarian United FC,81lrh22dc7fo2m0ijyekh0z1m,B. Dietz,Defender,6,,1.0,1.0,1.0,10.0,1.0,1.0,90.0,0.0,,,,,11.0,61.0,33.0,87.0,,,74.0,22.0,,27.0,,2.0,9.0,51.0,8.0,,,,12.0,11.0,11.0,69.0,,,,,63.0,6.0,1.0,41.0,,1.0,2.0,3.0,1.0,1.0,8.0,,,2.0,3.0,,1.0,,,1.0,3.0,2.0,6.0,,1.0,4.0,,,5.0,3.0,4.0,,2.0,2.0,4.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2023,Bavarian United FC,dpdme33cl4a6ete42jx7jkems,J. Gutierrez,Midfielder,10,,,1.0,1.0,10.0,,,32.0,0.0,,1.0,,,1.0,9.0,4.0,23.0,,,14.0,8.0,,5.0,,1.0,5.0,8.0,,,,,1.0,9.0,5.0,14.0,,,,,9.0,1.0,,2.0,,1.0,,4.0,,,7.0,1.0,,4.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,3.0,7.0,3.0,3.0,,,4.0,1.0,4.0,,1.0,,,,,,,,1.0,2.0,1.0,,,1.0,,,,1.0,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2023,Bavarian United FC,8zpal5pim8ttvzr6r79hn1jx0,J. Haines,Midfielder,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2023,Bavarian United FC,1vzsti1wfef9lduvkqmnaccmh,B. Huseini,Midfielder,17,,,1.0,1.0,10.0,,,45.0,0.0,,1.0,,,7.0,18.0,9.0,34.0,,,24.0,13.0,,5.0,,,6.0,15.0,4.0,,,,3.0,8.0,6.0,23.0,,,,,18.0,,,5.0,,,,3.0,2.0,1.0,8.0,,,2.0,2.0,1.0,,1.0,,,1.0,1.0,6.0,3.0,2.0,2.0,,1.0,6.0,4.0,6.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2023,Bavarian United FC,459nlaw56bizaodsz60n7o2l0,A. Mirsberger,Midfielder,5,,1.0,1.0,1.0,10.0,1.0,1.0,90.0,0.0,,,,,11.0,33.0,20.0,66.0,,,46.0,10.0,,10.0,,2.0,10.0,28.0,9.0,,,,6.0,18.0,12.0,45.0,,,3.0,,34.0,5.0,,24.0,,1.0,,5.0,3.0,1.0,12.0,,1.0,6.0,1.0,1.0,1.0,1.0,,,,2.0,6.0,7.0,5.0,2.0,,,7.0,5.0,10.0,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
