liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Substitute On,Goals,Right Foot Goals,Open Play Passes,Corners Won,Times Tackled,Backward Passes,Successful Passes Opposition Half,Yellow Cards,PutThrough/Blocked Distribution Won,Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Penalty Goals Conceded,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Ground Duels lost,Leftside Passes,Goals from Inside Box,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Tackles Won,Duels lost,Interceptions,Ground Duels won,Winning Goal,Successful Crosses & Corners,Unsuccessful Long Passes,Successful Crosses open play,Offsides,Throw Ins to Own Player,Successful Lay-offs,Unsuccessful Launches,Shots Off Target (inc woodwork),Blocks,Successful Long Passes,Left Foot Goals,Clean Sheets,Tackles Lost,Successful Launches,Hit Woodwork,Assists (Intentional),Unsuccessful lay-offs,Goal Assists,Through balls,Throw Ins to Opposition Player,Handballs conceded,Last Man Tackle,Successful Corners into Box,Second Goal Assists,Attempts from Set Pieces,Foul Won Penalty,Headed Goals,Penalties Taken,Penalty Goals,Saves Made,GK Successful Distribution,Penalties Conceded,Punches,Penalties Saved,Goalkeeper Smother,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves from Penalty,Saves made - caught,GK Unsuccessful Distribution,Goals from Outside Box,Clearances Off the Line,Own Goal Scored,Home Goals,Away Goals,Goal Kicks,Crosses not Claimed,Total Red Cards,Red Cards - 2nd Yellow,Drops,Straight Red Cards,Other Goals,Set Pieces Goals,Penalties Off Target
USA_USL_League_One,2020,Orlando City B,37g9of9qb1hgpap7yjz4qs4p,R. Aguilera,Midfielder,45,2.0,600.0,1.0,1.0,1.0,321.0,1.0,8.0,58.0,117.0,3.0,6.0,,4.0,76.0,166.0,9.0,38.0,1.0,340.0,2.0,10.0,4.0,259.0,15.0,4.0,57.0,108.0,5.0,41.0,1.0,45.0,7.0,10.0,19.0,415.0,1.0,8.0,7.0,41.0,87.0,5.0,10.0,22.0,1.0,6.0,3.0,,48.0,7.0,15.0,3.0,8.0,1.0,22.0,87.0,1.0,265.0,283.0,7.0,3.0,26.0,7.0,19.0,0.0,,19.0,,,1.0,1.0,7.0,3.0,3.0,24.0,,,6.0,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,
USA_USL_League_One,2020,Orlando City B,7cwhgbq3ui2w0vfrw22zg92sq,A. Amer,Midfielder,46,1.0,379.0,2.0,,,182.0,2.0,1.0,29.0,54.0,1.0,1.0,2.0,2.0,34.0,114.0,2.0,13.0,,187.0,4.0,2.0,,151.0,6.0,3.0,22.0,74.0,1.0,21.0,2.0,14.0,5.0,2.0,8.0,226.0,7.0,7.0,2.0,8.0,34.0,,10.0,5.0,1.0,2.0,1.0,,11.0,6.0,8.0,7.0,7.0,3.0,4.0,50.0,,160.0,165.0,3.0,,6.0,1.0,4.0,0.0,3.0,9.0,,,,3.0,1.0,2.0,1.0,14.0,,,2.0,1.0,,,1.0,,,,,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
USA_USL_League_One,2020,Orlando City B,481suuvg47719zxnajg5zlx7u,A. Aviza,Goalkeeper,61,,990.0,,,,165.0,,,,8.0,,1.0,3.0,,78.0,248.0,2.0,3.0,1.0,331.0,,,,216.0,18.0,,75.0,100.0,,32.0,,93.0,11.0,4.0,43.0,481.0,,11.0,,4.0,127.0,,10.0,9.0,,5.0,5.0,,9.0,10.0,21.0,,11.0,,,104.0,,124.0,256.0,5.0,2.0,,,4.0,0.0,,72.0,,,,,30.0,,,40.0,,1.0,,7.0,,,,,,,,,,,,,,,,50.0,185.0,,4.0,2.0,1.0,6.0,17.0,19.0,33.0,3.0,2.0,1.0,15.0,,,1.0,0.0,0.0,,1.0,,,1.0,,,,
USA_USL_League_One,2020,Orlando City B,diujkyv8kfqfj5t3ick97pi0a,J. Bender,Defender,19,1.0,242.0,,,,73.0,4.0,6.0,22.0,44.0,,,,4.0,51.0,21.0,3.0,14.0,1.0,76.0,2.0,5.0,5.0,58.0,4.0,3.0,16.0,19.0,6.0,18.0,1.0,12.0,3.0,4.0,5.0,139.0,9.0,3.0,4.0,23.0,12.0,6.0,10.0,10.0,,2.0,,5.0,27.0,1.0,4.0,7.0,3.0,5.0,13.0,23.0,,57.0,60.0,4.0,2.0,17.0,2.0,10.0,0.0,5.0,2.0,2.0,,1.0,2.0,,3.0,,2.0,,,1.0,,,,,,,1.0,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
USA_USL_League_One,2020,Orlando City B,6t5g9e7119c15ir6ww3gex80l,F. Carabalí,Defender,47,1.0,643.0,3.0,,,309.0,,4.0,20.0,48.0,2.0,6.0,1.0,9.0,79.0,211.0,13.0,35.0,2.0,325.0,2.0,16.0,4.0,236.0,13.0,2.0,66.0,60.0,2.0,34.0,2.0,47.0,7.0,12.0,33.0,435.0,,10.0,13.0,45.0,141.0,3.0,10.0,37.0,,8.0,13.0,1.0,67.0,24.0,14.0,1.0,10.0,,21.0,104.0,,243.0,259.0,22.0,7.0,30.0,7.0,24.0,0.0,,31.0,,,14.0,,16.0,2.0,4.0,23.0,,,6.0,6.0,,,,,,2.0,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,0.0,0.0,,,1.0,1.0,,,,,
USA_USL_League_One,2020,Orlando City B,5w8wyn94ovw846d5gk29u76x,J. DeZart,Midfielder,0,,157.0,,,,80.0,1.0,3.0,15.0,27.0,,1.0,,2.0,28.0,35.0,1.0,15.0,1.0,82.0,1.0,,1.0,58.0,2.0,1.0,20.0,21.0,,12.0,1.0,13.0,2.0,4.0,8.0,109.0,,2.0,,11.0,20.0,1.0,10.0,7.0,,5.0,,1.0,13.0,6.0,2.0,,2.0,,4.0,26.0,,60.0,62.0,2.0,1.0,6.0,,7.0,0.0,,5.0,,,,,3.0,1.0,1.0,4.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
USA_USL_League_One,2020,Orlando City B,abruuxcx53mxc5usozzgcrv56,Fablo Dos Santos De Oliveira,Forward,48,,223.0,4.0,,,92.0,,4.0,11.0,38.0,,3.0,,,19.0,44.0,8.0,10.0,,94.0,1.0,4.0,1.0,77.0,3.0,1.0,12.0,22.0,3.0,10.0,1.0,22.0,1.0,6.0,2.0,131.0,,5.0,3.0,25.0,32.0,1.0,10.0,18.0,1.0,7.0,3.0,2.0,28.0,1.0,3.0,,5.0,,10.0,29.0,,82.0,82.0,3.0,4.0,10.0,4.0,15.0,0.0,,2.0,,,1.0,,1.0,,1.0,5.0,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
USA_USL_League_One,2020,Orlando City B,6bg69aksa8wb6wmu7w81is8yy,J. Forbes,Defender,73,1.0,25.0,1.0,,,9.0,1.0,2.0,,3.0,,,1.0,,5.0,5.0,2.0,2.0,,9.0,,,,7.0,,,2.0,5.0,1.0,1.0,,4.0,,1.0,2.0,18.0,,1.0,,5.0,3.0,,10.0,4.0,,1.0,1.0,1.0,6.0,,1.0,1.0,1.0,,2.0,1.0,,7.0,7.0,1.0,1.0,2.0,,3.0,0.0,1.0,,1.0,2.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
USA_USL_League_One,2020,Orlando City B,48kltp69di617qhz5ola31cve,A. Gluvačević,Forward,49,1.0,387.0,7.0,1.0,,56.0,,5.0,22.0,24.0,,2.0,,14.0,40.0,21.0,1.0,17.0,1.0,64.0,2.0,11.0,1.0,45.0,8.0,14.0,19.0,11.0,3.0,17.0,2.0,11.0,3.0,3.0,3.0,124.0,,10.0,5.0,19.0,19.0,16.0,10.0,16.0,6.0,3.0,11.0,2.0,44.0,3.0,8.0,1.0,10.0,,14.0,12.0,1.0,37.0,45.0,25.0,1.0,28.0,,5.0,0.0,,2.0,,4.0,,4.0,,8.0,,,,,,,,,2.0,,,,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,
USA_USL_League_One,2020,Orlando City B,30wsyyrd417wbz1l2v4zmwqy2,Kenji Tanaka,Forward,66,4.0,503.0,6.0,2.0,2.0,112.0,5.0,39.0,27.0,43.0,,6.0,1.0,5.0,115.0,30.0,18.0,39.0,1.0,115.0,4.0,11.0,12.0,69.0,9.0,7.0,44.0,24.0,9.0,36.0,2.0,28.0,6.0,12.0,12.0,266.0,4.0,12.0,8.0,94.0,31.0,20.0,10.0,39.0,3.0,5.0,4.0,25.0,103.0,3.0,10.0,4.0,12.0,,59.0,33.0,2.0,68.0,71.0,9.0,13.0,64.0,8.0,35.0,0.0,2.0,5.0,1.0,3.0,3.0,,2.0,4.0,,2.0,,,5.0,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,
