root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Throw Ins to Own Player,Open Play Passes,Corners Won,Backward Passes,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Total Fouls Conceded,Successful Short Passes,Goals Conceded Inside Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Throw Ins to Opposition Player,Recoveries,Starts,Unsuccessful Passes Own Half,Touches,Appearances,Foul Attempted Tackle,Ground Duels,Forward Passes,Index,Duels won,Successful Long Passes,Aerial Duels won,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Tackles Won,Duels lost,Interceptions,Ground Duels won,Substitute On,Blocks,Successful Lay-offs,Goals,Successful Crosses & Corners,Yellow Cards,PutThrough/Blocked Distribution Won,Goals Conceded Outside Box,Successful Dribbles,Total Shots,Successful Corners into Box,Blocked Shots,PutThrough/Blocked Distribution,Corners Taken (incl short corners),Goals from Outside Box,Total Touches In Opposition Box,Shots On Target ( inc goals ),Attempts from Set Pieces,Total Fouls Won,Unsuccessful Dribbles,Left Foot Goals,Unsuccessful Corners into Box,Handballs conceded,Assists (Intentional),Goal Assists,Through balls,Tackles Lost,Shots Off Target (inc woodwork),Substitute Off,Saves Made,GK Successful Distribution,Successful Launches,Punches,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Saves made - caught,GK Unsuccessful Distribution,Offsides,Unsuccessful lay-offs,Successful Crosses open play,Goals from Inside Box,Right Foot Goals,Other Goals,Clearances Off the Line,Hit Woodwork,Headed Goals,Penalties Taken,Goalkeeper Smother,Penalty Goals Conceded,Crosses not Claimed,Penalties Saved,Penalties Faced,Saves from Penalty,Penalties Conceded,Total Red Cards,Straight Red Cards,Set Pieces Goals,Penalty Goals,Red Cards - 2nd Yellow,Own Goal Scored,Second Goal Assists,Foul Won Penalty
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Jamaica,Jamaica,62bnn920lbehx9qvzqrm3hl9l,M. Binns,Midfielder,0,,130.0,,46.0,,16.0,11.0,,4.0,,14.0,26.0,,5.0,46.0,2.0,33.0,,9.0,10.0,,7.0,,7.0,1.0,2.0,58.0,5.0,2.0,8.0,10.0,10.0,3.0,4.0,,8.0,,,,5.0,5.0,10.0,37.0,37.0,,,,5.0,4.0,3.0,4.0,,2.0,,,1.0,,,1.0,,,,,,,,,,2.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Jamaica,Jamaica,vii7iwznqiwigznyp13a6505,A. Blake,Goalkeeper,1,,473.0,,40.0,,,25.0,18.0,43.0,,44.0,52.0,,,120.0,,38.0,1.0,43.0,14.0,,41.0,,41.0,6.0,2.0,184.0,6.0,,3.0,93.0,10.0,5.0,39.0,2.0,5.0,3.0,2.0,,6.0,,13.0,28.0,77.0,2.0,3.0,,,,3.0,,,,,,1.0,,1.0,2.0,,,,,,,,,,3.0,,,,,,,,,,1.0,21.0,63.0,13.0,1.0,,6.0,10.0,7.0,11.0,2.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Jamaica,Jamaica,bvmqiuxeyjf68mz3jbm6i295h,C. Burke,Forward,0,3.0,164.0,,31.0,,6.0,11.0,5.0,7.0,7.0,23.0,9.0,8.0,6.0,33.0,12.0,17.0,1.0,13.0,8.0,1.0,12.0,,9.0,2.0,4.0,65.0,5.0,5.0,33.0,16.0,10.0,12.0,3.0,2.0,42.0,5.0,1.0,3.0,5.0,23.0,3.0,18.0,20.0,9.0,,6.0,30.0,1.0,10.0,3.0,,,,,,4.0,,1.0,,,,5.0,,,1.0,,,1.0,2.0,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Jamaica,Jamaica,cnmgw2syykbowssks8tt5k639,S. Campbell,Defender,6,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,10.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Jamaica,Jamaica,ctly31kk772nia6is9ul9ar4l,O. Fisher,Defender,0,5.0,335.0,3.0,76.0,1.0,19.0,33.0,3.0,5.0,3.0,37.0,30.0,5.0,10.0,77.0,5.0,59.0,2.0,15.0,8.0,3.0,18.0,1.0,21.0,4.0,2.0,139.0,4.0,2.0,34.0,26.0,10.0,14.0,3.0,,37.0,1.0,3.0,5.0,4.0,20.0,24.0,61.0,62.0,3.0,2.0,5.0,23.0,4.0,14.0,,2.0,,,1.0,,4.0,1.0,3.0,3.0,,,8.0,,,3.0,2.0,,6.0,4.0,,,,,,,,1.0,1.0,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Jamaica,Jamaica,97pjboubtkne3y3p19q7oag9h,S. Francis,Defender,14,2.0,120.0,2.0,28.0,,5.0,11.0,2.0,4.0,2.0,26.0,4.0,5.0,10.0,28.0,2.0,14.0,,14.0,10.0,1.0,15.0,,5.0,2.0,3.0,52.0,2.0,1.0,13.0,11.0,10.0,11.0,,5.0,20.0,2.0,1.0,4.0,2.0,7.0,2.0,14.0,14.0,7.0,,2.0,9.0,,6.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,3.0,,1.0,1.0,,,2.0,1.0,2.0,,,,1.0,3.0,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Jamaica,Jamaica,a5ehz5cugx4cl3e4akjilw9g5,O. Gordon,Forward,0,2.0,407.0,,96.0,1.0,23.0,32.0,5.0,8.0,8.0,71.0,33.0,12.0,29.0,98.0,9.0,59.0,1.0,37.0,17.0,5.0,36.0,,20.0,4.0,9.0,181.0,6.0,5.0,44.0,38.0,10.0,29.0,2.0,5.0,57.0,4.0,3.0,8.0,6.0,20.0,20.0,60.0,61.0,13.0,2.0,11.0,28.0,5.0,24.0,2.0,,5.0,,4.0,1.0,3.0,2.0,6.0,3.0,1.0,,5.0,6.0,,3.0,2.0,,7.0,1.0,,4.0,2.0,,,,1.0,1.0,,,,,,,,,,,,,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Jamaica,Jamaica,cuoqfjefs15h0l1pecfq6bz6d,E. Grandison,Midfielder,0,,15.0,,2.0,,,1.0,,,,1.0,1.0,,,2.0,,2.0,,,,,,,1.0,,,5.0,1.0,,1.0,1.0,10.0,,,,1.0,,,,1.0,1.0,1.0,2.0,2.0,,,,1.0,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Jamaica,Jamaica,b94672anjq9m7dmu87huzp2ol,R. Harriott,Defender,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Jamaica,Jamaica,85nsnl777m5l144wdvyboyns9,D. Hyatt,Goalkeeper,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Jamaica,Jamaica,68rpn2pkh5jmvnk5kl1zobbv9,J. Johnson,Midfielder,16,,60.0,,10.0,,2.0,2.0,,,,5.0,4.0,,4.0,10.0,,6.0,,4.0,4.0,,4.0,,2.0,1.0,,16.0,2.0,,3.0,2.0,10.0,2.0,,,3.0,,,,2.0,1.0,2.0,6.0,6.0,,,,1.0,,2.0,1.0,,,,,,,,,3.0,,,,,,2.0,2.0,,2.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Jamaica,Jamaica,15jb2rb0mvhaz492ii7yqrk6h,K. Lambert,Midfielder,21,1.0,362.0,,124.0,,7.0,35.0,1.0,3.0,1.0,21.0,74.0,15.0,12.0,124.0,7.0,101.0,2.0,15.0,36.0,3.0,8.0,,18.0,4.0,8.0,170.0,5.0,6.0,31.0,39.0,10.0,21.0,8.0,3.0,35.0,6.0,3.0,1.0,5.0,13.0,42.0,109.0,109.0,4.0,2.0,10.0,14.0,10.0,18.0,1.0,1.0,1.0,,,2.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,,,4.0,2.0,,,,,,,5.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Jamaica,Jamaica,ctcf8m5r0uqvzgtr0qkfbnc9h,K. Lawrence,Defender,20,2.0,540.0,34.0,181.0,3.0,32.0,73.0,13.0,24.0,2.0,97.0,74.0,7.0,24.0,185.0,3.0,129.0,2.0,48.0,49.0,4.0,46.0,24.0,21.0,6.0,14.0,356.0,6.0,1.0,26.0,97.0,10.0,16.0,8.0,5.0,33.0,22.0,4.0,12.0,6.0,15.0,7.0,135.0,137.0,7.0,3.0,6.0,17.0,22.0,11.0,,1.0,,1.0,10.0,1.0,6.0,2.0,2.0,1.0,4.0,1.0,10.0,13.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,7.0,,2.0,2.0,,1.0,,,,,1.0,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Jamaica,Jamaica,9ev8f4qxozcykzs80sc40andh,D. Lowe,Defender,17,1.0,540.0,,143.0,2.0,6.0,31.0,7.0,16.0,1.0,40.0,87.0,13.0,17.0,151.0,7.0,93.0,2.0,33.0,15.0,1.0,25.0,,21.0,6.0,9.0,243.0,6.0,2.0,29.0,71.0,10.0,28.0,25.0,8.0,38.0,36.0,4.0,1.0,6.0,9.0,59.0,111.0,118.0,9.0,3.0,11.0,10.0,16.0,20.0,,7.0,2.0,,,,1.0,2.0,1.0,3.0,,,4.0,,,10.0,1.0,,6.0,,,,1.0,,,,2.0,2.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Jamaica,Jamaica,e77l3wpj8gep8h3o736y18xjp,D. Mattocks,Forward,10,4.0,478.0,1.0,74.0,6.0,20.0,34.0,,2.0,6.0,64.0,20.0,2.0,26.0,82.0,7.0,46.0,2.0,28.0,24.0,2.0,27.0,,10.0,5.0,5.0,157.0,6.0,3.0,49.0,24.0,10.0,31.0,8.0,9.0,64.0,,4.0,4.0,6.0,27.0,14.0,46.0,54.0,15.0,,1.0,33.0,2.0,22.0,1.0,,4.0,2.0,,1.0,3.0,2.0,10.0,6.0,,1.0,6.0,,,20.0,4.0,,12.0,7.0,1.0,,,1.0,2.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,5.0,,,2.0,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Jamaica,Jamaica,cegti98uvnxk3u3isjdlv7k5x,D. Miller,Goalkeeper,13,,67.0,,4.0,,,2.0,5.0,14.0,,16.0,3.0,,,19.0,,1.0,1.0,14.0,,,14.0,,13.0,,,31.0,1.0,,,18.0,10.0,2.0,4.0,2.0,2.0,,2.0,,1.0,,1.0,1.0,5.0,2.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,2.0,,1.0,2.0,1.0,3.0,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Jamaica,Jamaica,codmjv4pdtghkn1h0tgln9g45,R. Morris,Midfielder,9,2.0,37.0,,4.0,,4.0,3.0,,,1.0,5.0,2.0,3.0,,4.0,,4.0,,,,,2.0,,2.0,,,18.0,1.0,,5.0,,10.0,5.0,,,6.0,1.0,,2.0,1.0,,,4.0,4.0,1.0,,3.0,1.0,1.0,5.0,1.0,,,,1.0,,,,1.0,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Jamaica,Jamaica,bye93n1zk8m2rjf3k89k41eqd,S. Nicholson,Forward,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
