liga,temporada,equipo,id,nombre,posicion,dorsal,Duels lost,Tackles Lost,Total Clearances,Aerial Duels won,Yellow Cards,Time Played,Unsuccessful Short Passes,Throw Ins to Own Player,Goals Conceded Outside Box,Assists (Intentional),Unsuccessful Dribbles,Forward Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Foul Attempted Tackle,Unsuccessful Passes Opposition Half,Tackles Won,Blocked Shots,Successful Passes Own Half,Substitute On,Key Passes (Attempt Assists),Goals Conceded Inside Box,Substitute Off,Total Fouls Won,Successful Crosses & Corners,Successful Dribbles,Recoveries,Overruns,Throw Ins to Opposition Player,Unsuccessful Long Passes,Shots Off Target (inc woodwork),Leftside Passes,Total Fouls Conceded,Goals Conceded,PutThrough/Blocked Distribution,Duels,Starts,Unsuccessful Launches,Through balls,Aerial Duels lost,Aerial Duels,Total Shots,Total Losses Of Possession,Successful Open Play Passes,Times Tackled,Ground Duels,Successful Crosses open play,Penalty Goals Conceded,Goal Assists,Appearances,Unsuccessful Passes Own Half,Unsuccessful Crosses & Corners,Total Touches In Opposition Box,Backward Passes,Penalties Conceded,Total Tackles,Touches,Interceptions,Successful Short Passes,Successful Passes Opposition Half,Successful Lay-offs,Successful Launches,Total Successful Passes ( Excl Crosses & Corners ) ,Unsuccessful lay-offs,Total Passes,Blocks,Open Play Passes,Duels won,Shots On Target ( inc goals ),Successful Long Passes,Ground Duels lost,Games Played,Rightside Passes,Index,PutThrough/Blocked Distribution Won,Unsuccessful Crosses open play,Ground Duels won,Corners Won,Winning Goal,Right Foot Goals,Goals,Offsides,Left Foot Goals,Hit Woodwork,Headed Goals,Goals from Inside Box,Clean Sheets,Home Goals,Away Goals,Total Red Cards,Goal Kicks,GK Successful Distribution,Straight Red Cards,Goals from Outside Box,Attempts from Set Pieces,Clearances Off the Line,Successful Corners into Box,Foul Won Penalty,Red Cards - 2nd Yellow,Set Pieces Goals,Unsuccessful Corners into Box,Corners Taken (incl short corners),Penalties Taken,Penalty Goals,Handballs conceded,Other Goals,Own Goal Scored,Punches,Saves made - parried,Saves Made,GK Unsuccessful Distribution,Catches,Saves Made from Outside Box,Saves Made from Inside Box,Penalties Faced,Drops,Goalkeeper Smother,Saves made - caught,Last Player Tackle,Second Goal Assists,Penalties Saved,Saves from Penalty,Penalties Off Target,Crosses not Claimed
USA_USL_League_One,2024,Lexington SC,52wv7a0dknss7v3sitamb2j8p,E. Ackon,Defender,3,3.0,1.0,8.0,5.0,1.0,135.0,11.0,1.0,,,,39.0,14.0,1.0,8.0,2.0,,54.0,,1.0,8.0,1.0,4.0,,,7.0,,,3.0,1.0,35.0,1.0,8.0,3.0,15.0,2.0,2.0,,,5.0,2.0,15.0,79.0,,10.0,,1.0,,2.0,6.0,,7.0,6.0,,3.0,128.0,2.0,78.0,30.0,,2.0,84.0,,98.0,5.0,93.0,12.0,1.0,6.0,3.0,2.0,18.0,10.0,3.0,,7.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2024,Lexington SC,7wnds81bhqhajg2dnndnwh2ei,M. Agboola,Defender,18,2.0,,1.0,4.0,1.0,20.0,4.0,,,,,13.0,4.0,,1.0,,,17.0,3.0,1.0,1.0,,,,,3.0,,,,,11.0,1.0,1.0,1.0,6.0,,,,,4.0,,5.0,33.0,1.0,2.0,,,,3.0,3.0,,,5.0,,,41.0,,31.0,16.0,,,33.0,,37.0,1.0,37.0,4.0,,2.0,2.0,3.0,8.0,10.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2024,Lexington SC,c6k5s0xs4l9s70nupiqbly0a,K. Balogun,Forward,14,22.0,,1.0,9.0,1.0,129.0,10.0,,,,7.0,9.0,11.0,3.0,13.0,1.0,1.0,2.0,5.0,1.0,4.0,1.0,4.0,,2.0,5.0,,,1.0,,6.0,5.0,4.0,3.0,38.0,1.0,,,3.0,12.0,1.0,33.0,13.0,12.0,26.0,,,,6.0,1.0,3.0,7.0,5.0,,1.0,62.0,,12.0,11.0,2.0,,13.0,,24.0,,24.0,16.0,1.0,1.0,19.0,6.0,4.0,10.0,2.0,3.0,7.0,,0.0,1.0,1.0,,,,,1.0,,0.0,1.0,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2024,Lexington SC,9m2l2wpu8cht54izobml845t6,N. Brown,Forward,77,75.0,2.0,12.0,18.0,4.0,1311.0,45.0,3.0,6.0,3.0,15.0,58.0,53.0,10.0,73.0,7.0,6.0,134.0,6.0,12.0,19.0,7.0,35.0,8.0,13.0,44.0,8.0,,8.0,7.0,24.0,16.0,25.0,19.0,149.0,14.0,6.0,,20.0,38.0,19.0,155.0,307.0,32.0,111.0,8.0,1.0,3.0,20.0,18.0,38.0,49.0,129.0,,9.0,611.0,5.0,305.0,184.0,9.0,3.0,310.0,2.0,363.0,4.0,360.0,74.0,12.0,5.0,55.0,20.0,152.0,10.0,9.0,38.0,56.0,12.0,0.0,2.0,3.0,5.0,1.0,1.0,,3.0,2.0,2.0,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2024,Lexington SC,isauuse3yqdwymvfne6ci385,Nico Campuzano,Goalkeeper,23,,,,1.0,,7.0,,,1.0,,,5.0,1.0,,,,,1.0,1.0,,1.0,,,,,,,,1.0,,,,2.0,,1.0,,1.0,,,1.0,,1.0,,,,,,,1.0,1.0,,,,,,7.0,,1.0,3.0,,1.0,4.0,,5.0,,1.0,1.0,,3.0,,1.0,,10.0,,,,,0.0,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,
USA_USL_League_One,2024,Lexington SC,da3z6nhhqd45932cy3qi2kout,M. Canadi,Midfielder,19,20.0,2.0,7.0,6.0,,601.0,35.0,2.0,3.0,1.0,3.0,99.0,50.0,1.0,64.0,7.0,2.0,161.0,,7.0,8.0,1.0,9.0,5.0,4.0,16.0,1.0,,15.0,6.0,108.0,2.0,11.0,13.0,48.0,7.0,,,5.0,11.0,9.0,90.0,320.0,10.0,37.0,,1.0,1.0,7.0,9.0,23.0,4.0,64.0,,9.0,489.0,3.0,307.0,172.0,8.0,2.0,328.0,,378.0,,367.0,28.0,3.0,21.0,15.0,7.0,107.0,10.0,8.0,6.0,22.0,3.0,0.0,,,,,,,,,,,,,,,,2.0,,4.0,,,,9.0,13.0,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2024,Lexington SC,56dgwb24qfzj4coisw4lj4duc,I. Cano,Forward,7,48.0,1.0,4.0,4.0,2.0,524.0,47.0,,3.0,,9.0,61.0,53.0,4.0,47.0,6.0,3.0,39.0,11.0,5.0,15.0,5.0,7.0,2.0,7.0,28.0,2.0,2.0,6.0,1.0,29.0,6.0,18.0,9.0,72.0,6.0,2.0,5.0,14.0,18.0,5.0,99.0,103.0,20.0,54.0,2.0,2.0,1.0,17.0,13.0,7.0,20.0,26.0,,7.0,256.0,2.0,99.0,66.0,1.0,2.0,103.0,2.0,156.0,,156.0,24.0,4.0,4.0,34.0,17.0,40.0,10.0,4.0,5.0,20.0,3.0,0.0,2.0,2.0,,,,,2.0,,1.0,1.0,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2024,Lexington SC,a0r2fx204amflk1vjf5evgx2i,A. Caputo,Midfielder,6,98.0,12.0,26.0,21.0,6.0,1664.0,69.0,2.0,8.0,2.0,11.0,233.0,95.0,18.0,65.0,21.0,1.0,448.0,2.0,9.0,28.0,5.0,12.0,3.0,4.0,99.0,2.0,,26.0,4.0,286.0,29.0,36.0,33.0,166.0,19.0,8.0,1.0,24.0,45.0,5.0,149.0,763.0,26.0,121.0,3.0,2.0,3.0,21.0,38.0,8.0,2.0,101.0,,33.0,1118.0,28.0,747.0,343.0,8.0,3.0,788.0,1.0,883.0,8.0,855.0,68.0,1.0,41.0,74.0,21.0,263.0,10.0,21.0,6.0,47.0,4.0,0.0,,,,,,,,3.0,,,,,,,,,1.0,,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,
USA_USL_League_One,2024,Lexington SC,62awqz56meu6i0fnwg7vynq7e,A. Causey,Goalkeeper,1,,,,,,90.0,,,,,,11.0,5.0,,1.0,,,23.0,,,3.0,,,,,6.0,,,5.0,,8.0,,3.0,,,1.0,5.0,,,,,5.0,12.0,,,,1.0,,1.0,4.0,,,,,,35.0,,23.0,1.0,,1.0,24.0,,29.0,,17.0,,,1.0,,1.0,10.0,10.0,,,,,0.0,,,,,,,,,,,,9.0,13.0,,,,,,,,,,,,,,,,,,2.0,,,,2.0,1.0,,,,,,,,,
USA_USL_League_One,2024,Lexington SC,8x1m9jmypxtxezmzbc5t9zfh0,E. Ceja,Defender,74,,,,1.0,,11.0,1.0,,,,,3.0,1.0,,,1.0,,1.0,1.0,,,,,,,1.0,,,,,1.0,,,,2.0,,,,,1.0,,1.0,3.0,,1.0,,,,1.0,1.0,,,,,1.0,5.0,,2.0,2.0,,1.0,3.0,,4.0,,4.0,2.0,,1.0,,1.0,,10.0,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
